,susceptible,exposed,infected,recovered,symptomatic,hospitalized,critical,deceased,quarantine_S,quarantine_E,quarantine_I,contact_traced
2020-02-16,1.0,1.1190038180410272e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.999998880996182,2.2380076360820544e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.9999977619923639,2.2380076360820544e-06,1.1190038180410272e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.9999932859770918,6.714022908246163e-06,1.1190038180410272e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.9999932859770918,5.5950190902051355e-06,1.1190038180410272e-06,1.1190038180410272e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.9999888099618196,8.952030544328217e-06,2.2380076360820544e-06,1.1190038180410272e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.9999854529503654,7.83302672628719e-06,6.714022908246163e-06,1.1190038180410272e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.9999753819160031,1.7904061088656435e-05,3.3570114541230816e-06,2.2380076360820544e-06,2.2380076360820544e-06,0.0,0.0,0.0,2.2380076360820544e-06,0.0,0.0,0.0
2020-02-24,0.999972024904549,1.6785057270615407e-05,6.714022908246163e-06,3.3570114541230816e-06,2.2380076360820544e-06,0.0,0.0,0.0,2.2380076360820544e-06,0.0,0.0,0.0
2020-02-25,0.9999597158625505,2.5737087814943625e-05,7.83302672628719e-06,4.476015272164109e-06,3.3570114541230816e-06,0.0,0.0,0.0,3.3570114541230816e-06,0.0,0.0,0.0
2020-02-26,0.999945168812916,3.580812217731287e-05,1.1190038180410271e-05,5.5950190902051355e-06,3.3570114541230816e-06,0.0,0.0,0.0,4.476015272164109e-06,0.0,0.0,0.0
2020-02-27,0.9999250267441913,4.699816035772314e-05,1.6785057270615407e-05,5.5950190902051355e-06,6.714022908246163e-06,0.0,0.0,0.0,6.714022908246163e-06,0.0,0.0,0.0
2020-02-28,0.9999104796945567,5.035517181184622e-05,2.349908017886157e-05,6.714022908246163e-06,1.0071034362369245e-05,0.0,0.0,0.0,1.0071034362369245e-05,0.0,0.0,0.0
2020-02-29,0.9998914566296501,6.154520999225649e-05,2.1261072542779514e-05,1.1190038180410271e-05,1.566605345257438e-05,0.0,0.0,0.0,1.6785057270615407e-05,0.0,0.0,0.0
2020-03-01,0.9998690765532892,6.154520999225649e-05,3.8046129813394925e-05,1.3428045816492326e-05,1.9023064906697463e-05,0.0,0.0,0.0,2.1261072542779514e-05,0.0,0.0,0.0
2020-03-02,0.9998433394654742,7.273524817266677e-05,4.364114890360006e-05,1.566605345257438e-05,2.5737087814943625e-05,0.0,0.0,0.0,2.6856091632984652e-05,0.0,0.0,0.0
2020-03-03,0.9997896272822083,0.00010518635889585655,5.035517181184622e-05,1.9023064906697463e-05,3.6927125995353894e-05,0.0,0.0,0.0,3.8046129813394925e-05,0.0,0.0,0.0
2020-03-04,0.9997381531065784,0.00012532842762059504,6.60212252644206e-05,2.4618083996902597e-05,4.5879156539682115e-05,1.1190038180410272e-06,0.0,9.360114572925161e-12,5.035517181184622e-05,0.0,0.0,0.0
2020-03-05,0.9996810839118583,0.0001521845192535797,7.497325580874882e-05,3.133210690514876e-05,6.0426206174215464e-05,1.1190038180410272e-06,0.0,3.402073190369234e-11,6.60212252644206e-05,0.0,0.0,0.0
2020-03-06,0.9996027536445954,0.00020142068724738487,7.049724053658471e-05,4.1403141267518005e-05,8.392528635307704e-05,1.1190038180410272e-06,0.0,9.505634597930325e-11,8.840130162524115e-05,0.0,0.0,0.0
2020-03-07,0.9995400894307851,0.000205896702519549,0.0001029483512597745,5.3712183265969305e-05,9.735333216956936e-05,1.1190038180410272e-06,0.0,2.4632851503581456e-10,0.00010518635889585655,0.0,0.0,0.0
2020-03-08,0.9994695921902486,0.00023722880942469776,0.00010966237416802066,6.714022908246163e-05,0.0001152573932582258,2.2380076360820544e-06,0.0,5.903136714070658e-10,0.00012644743143863606,0.0,0.0,0.0
2020-03-09,0.9993879049115315,0.00027303693160201064,0.00012197141616647196,8.392528635307704e-05,0.00013092344671080018,2.2380076360820544e-06,1.1190038180410272e-06,1.3213757209146769e-09,0.00014323248870925148,0.0,0.0,0.0
2020-03-10,0.9992715285144553,0.00032786811868602096,0.00014211348489121044,0.00010182934744173347,0.00015106551543553866,4.476015272164109e-06,2.2380076360820544e-06,2.802997430668533e-09,0.00017008858034223612,0.0,0.0,0.0
2020-03-11,0.9991585091288332,0.00036479524468137483,0.00018687363761285154,0.0001275664352566771,0.00015777953834378484,3.3570114541230816e-06,2.2380076360820544e-06,5.619129518476109e-09,0.00017904061088656434,0.0,0.0,0.0
2020-03-12,0.9990130386324878,0.00042969746612775444,0.00020701570633759002,0.00015554153070770278,0.00018687363761285154,6.714022908246163e-06,2.2380076360820544e-06,1.0700279004195051e-08,0.00021149172160975414,0.0,0.0,0.0
2020-03-13,0.9988149749566946,0.0005315268135694879,0.00024841884760510804,0.00017792160706852332,0.00021932474833604132,5.5950190902051355e-06,3.3570114541230816e-06,1.943658894183297e-08,0.0002428238285149029,0.0,0.0,0.0
2020-03-14,0.9985878171816323,0.000619928115194729,0.0002909409926906671,0.00019918267961130284,0.0002920599965087081,7.83302672628719e-06,3.3570114541230816e-06,3.377777646221835e-08,0.00031220206523344655,0.0,0.0,0.0
2020-03-15,0.9984367516661967,0.0006277611419210162,0.00034017716068447223,0.00024058582087882084,0.0003424151683205543,8.952030544328217e-06,4.476015272164109e-06,5.63336097373314e-08,0.0003793422943159082,0.0,0.0,0.0
2020-03-16,0.9983058282194859,0.0006076190731962777,0.00038493731340611336,0.0002640849010576824,0.0004229834432195083,1.1190038180410271e-05,4.476015272164109e-06,9.040973253885467e-08,0.00045543455394269803,0.0,0.0,0.0
