,nTotalInfected,nInfectedCumulative,nContagiousCumulative,nShowingSymptomsCumulative,nSeriouslySickCumulative,nCriticalCumulative
2020-02-16,4,4,0,0,0,0
2020-02-17,8,8,0,0,0,0
2020-02-18,12,12,4,0,0,0
2020-02-19,28,28,4,0,0,0
2020-02-20,24,28,8,0,0,0
2020-02-21,40,44,12,0,0,0
2020-02-22,52,56,28,0,0,0
2020-02-23,84,92,28,8,0,0
2020-02-24,92,104,44,8,0,0
2020-02-25,132,148,56,12,0,0
2020-02-26,180,200,72,16,0,0
2020-02-27,252,272,104,28,0,0
2020-02-28,300,324,144,40,0,0
2020-02-29,352,392,172,64,0,0
2020-03-01,424,472,252,84,0,0
2020-03-02,508,564,304,112,0,0
2020-03-03,688,756,380,156,0,0
2020-03-04,852,940,492,204,4,0
2020-03-05,1032,1144,600,272,4,0
2020-03-06,1276,1424,704,368,4,0
2020-03-07,1456,1648,912,440,4,0
2020-03-08,1660,1900,1052,540,8,0
2020-03-09,1892,2192,1216,632,12,4
2020-03-10,2244,2608,1436,760,24,8
2020-03-11,2556,3012,1708,836,24,8
2020-03-12,2976,3532,1996,1008,36,8
2020-03-13,3604,4240,2340,1176,36,12
2020-03-14,4340,5052,2836,1476,44,12
2020-03-15,4732,5592,3348,1748,56,16
2020-03-16,5116,6060,3888,2104,64,16
2020-03-17,5572,6712,4368,2492,80,16
2020-03-18,5912,7244,4920,2876,96,16
2020-03-19,6128,7704,5412,3264,124,16
2020-03-20,6396,8200,5972,3708,140,20
2020-03-21,6688,8740,6416,4164,164,24
2020-03-22,6788,9160,6972,4524,180,32
2020-03-23,6780,9508,7516,4892,204,36
2020-03-24,6872,9976,8024,5416,240,52
2020-03-25,6876,10344,8480,5792,272,60
2020-03-26,6912,10720,8900,6212,316,64
2020-03-27,6940,11076,9316,6644,352,88
2020-03-28,6868,11440,9680,7032,388,96
2020-03-29,6760,11724,10084,7328,424,96
2020-03-30,6768,12064,10448,7672,448,104
2020-03-31,6712,12436,10796,8004,492,108
2020-04-01,6532,12700,11180,8296,520,120
2020-04-02,6408,12948,11488,8608,560,128
2020-04-03,6236,13188,11816,8868,584,140
2020-04-04,6012,13380,12168,9092,624,148
2020-04-05,5912,13652,12440,9364,644,164
2020-04-06,5776,13848,12676,9636,684,180
2020-04-07,5664,14124,12968,9904,728,184
2020-04-08,5448,14304,13276,10112,760,196
2020-04-09,5328,14508,13480,10340,792,212
2020-04-10,5168,14668,13696,10588,820,236
2020-04-11,4980,14824,13944,10772,840,240
2020-04-12,4780,14988,14172,10980,848,252
