Ward name,Latitude,Longitude,Number of dwellings (on council tax register) (2015),Median Household income estimate (2012/13),Estimated ward-level income (£/a),Resulting origin sizes (21% of household budget) (10^8 £/a)
City of London,51.512344,-0.090985,6680,"63,620","424,981,600",0.89
Barking and Dagenham - Abbey,51.481942,0.126251,5060,"33,920","171,635,200",0.36
Barking and Dagenham - Alibon,51.547616,0.151888,4140,"32,470","134,425,800",0.28
Barking and Dagenham - Becontree,51.550437,0.131144,5180,"33,000","170,940,000",0.36
Barking and Dagenham - Chadwell Heath,51.572228,0.141995,4060,"33,920","137,715,200",0.29
Barking and Dagenham - Eastbrook,51.551343,0.165792,4060,"37,400","151,844,000",0.32
Barking and Dagenham - Eastbury,51.534017,0.099424,4340,"32,870","142,655,800",0.30
Barking and Dagenham - Gascoigne,51.531498,0.080927,4700,"29,480","138,556,000",0.29
Barking and Dagenham - Goresbrook,51.5342,0.131158,4350,"33,250","144,637,500",0.30
Barking and Dagenham - Heath,51.572228,0.141995,4470,"31,340","140,089,800",0.29
Barking and Dagenham - Longbridge,51.540336,0.08261,3850,"40,570","156,194,500",0.33
Barking and Dagenham - Mayesbrook,51.532831,0.099395,4020,"31,530","126,750,600",0.27
Barking and Dagenham - Parsloes,51.546175,0.138953,3740,"31,860","119,156,400",0.25
Barking and Dagenham - River,51.52141,0.096781,4000,"33,490","133,960,000",0.28
Barking and Dagenham - Thames,51.522029,0.101013,4520,"32,580","147,261,600",0.31
Barking and Dagenham - Valence,51.555527,0.130325,4250,"33,200","141,100,000",0.30
Barking and Dagenham - Village,51.536563,0.075766,4560,"31,960","145,737,600",0.31
Barking and Dagenham - Whalebone,51.574506,0.143712,4100,"37,180","152,438,000",0.32
Barnet - Brunswick Park,51.624723,-0.154687,6150,"39,800","244,770,000",0.51
Barnet - Burnt Oak,51.605694,-0.261644,6700,"29,400","196,980,000",0.41
Barnet - Childs Hill,51.564268,-0.194796,8380,"38,960","326,484,800",0.69
Barnet - Colindale,51.589691,-0.249103,8460,"30,170","255,238,200",0.54
Barnet - Coppetts,51.602015,-0.153156,7030,"38,090","267,772,700",0.56
Barnet - East Barnet,51.631068,-0.151271,6680,"39,870","266,331,600",0.56
Barnet - East Finchley,51.58763,-0.164262,6880,"41,160","283,180,800",0.59
Barnet - Edgware,51.615786,-0.262034,6180,"38,410","237,373,800",0.50
Barnet - Finchley Church End,51.598282,-0.198414,6640,"45,030","298,999,200",0.63
Barnet - Garden Suburb,51.58306,-0.175161,6620,"53,090","351,455,800",0.74
Barnet - Golders Green,51.575666,-0.198171,6660,"40,800","271,728,000",0.57
Barnet - Hale,51.615174,-0.255032,6320,"38,590","243,888,800",0.51
Barnet - Hendon,51.586246,-0.220009,7430,"38,530","286,277,900",0.60
Barnet - High Barnet,51.659247,-0.206675,6860,"43,940","301,428,400",0.63
Barnet - Mill Hill,51.617289,-0.221389,7230,"41,920","303,081,600",0.64
Barnet - Oakleigh,51.631449,-0.165447,6480,"41,670","270,021,600",0.57
Barnet - Totteridge,51.633474,-0.202507,6190,"46,150","285,668,500",0.60
Barnet - Underhill,51.641778,-0.186249,6510,"37,040","241,130,400",0.51
Barnet - West Finchley,51.602785,-0.191554,6860,"42,050","288,463,000",0.61
Barnet - West Hendon,51.578336,-0.252671,6730,"35,090","236,155,700",0.50
Barnet - Woodhouse,51.611381,-0.166878,7030,"38,220","268,686,600",0.56
Bexley - Barnehurst,51.460893,0.165643,4470,"38,200","170,754,000",0.36
Bexley - Belvedere,51.485165,0.14827,5170,"33,510","173,246,700",0.36
Bexley - Blackfen and Lamorbey,51.437118,0.094354,4250,"40,780","173,315,000",0.36
Bexley - Blendon and Penhill,51.447872,0.117763,4370,"40,340","176,285,800",0.37
Bexley - Brampton,51.473336,0.127858,4200,"40,790","171,318,000",0.36
Bexley - Christchurch,51.429048,0.097661,4610,"40,190","185,275,900",0.39
Bexley - Colyers,51.471635,0.171184,4070,"34,450","140,211,500",0.29
Bexley - Crayford,51.450113,0.182205,5390,"34,900","188,111,000",0.40
Bexley - Cray Meadows,51.435811,0.148277,4820,"35,530","171,254,600",0.36
Bexley - Danson Park,51.455769,0.122606,4580,"38,580","176,696,400",0.37
Bexley - East Wickham,51.471627,0.10894,4350,"36,260","157,731,000",0.33
Bexley - Erith,51.480818,0.174675,5260,"33,160","174,421,600",0.37
Bexley - Falconwood and Welling,51.463641,0.0926,4270,"39,000","166,530,000",0.35
Bexley - Lesnes Abbey,51.488938,0.128743,4570,"35,630","162,829,100",0.34
Bexley - Longlands,51.43121,0.075904,4580,"40,880","187,230,400",0.39
Bexley - North End,51.468626,0.181029,4920,"29,930","147,255,600",0.31
Bexley - Northumberland Heath,51.472272,0.163438,4260,"37,130","158,173,800",0.33
Bexley - St. Mary's,51.437465,0.161626,4580,"44,010","201,565,800",0.42
Bexley - St. Michael's,51.471087,0.110974,4080,"38,510","157,120,800",0.33
Bexley - Sidcup,51.426486,0.100939,4900,"41,220","201,978,000",0.42
Bexley - Thamesmead East,51.503559,0.119933,4770,"32,100","153,117,000",0.32
Brent - Alperton,51.539896,-0.290454,4750,"31,250","148,437,500",0.31
Brent - Barnhill,51.564232,-0.262958,5740,"34,630","198,776,200",0.42
Brent - Brondesbury Park,51.541303,-0.214792,5450,"40,020","218,109,000",0.46
Brent - Dollis Hill,51.561246,-0.230969,4530,"30,990","140,384,700",0.29
Brent - Dudden Hill,51.55418,-0.243959,5530,"33,470","185,089,100",0.39
Brent - Fryent,51.579958,-0.277981,4520,"35,590","160,866,800",0.34
Brent - Harlesden,51.534933,-0.247334,6850,"27,030","185,155,500",0.39
Brent - Kensal Green,51.53053,-0.22463,6010,"34,640","208,186,400",0.44
Brent - Kenton,51.580677,-0.301482,3970,"42,190","167,494,300",0.35
Brent - Kilburn,51.546895,-0.204093,7770,"34,270","266,277,900",0.56
Brent - Mapesbury,51.54701,-0.210532,6430,"36,830","236,816,900",0.50
Brent - Northwick Park,51.567281,-0.271057,4010,"41,100","164,811,000",0.35
Brent - Preston,51.573793,-0.298865,5130,"35,960","184,474,800",0.39
Brent - Queens Park,51.533381,-0.208923,6220,"42,880","266,713,600",0.56
Brent - Queensbury,51.591869,-0.290707,4810,"35,110","168,879,100",0.35
Brent - Stonebridge,51.543113,-0.25883,6290,"25,800","162,282,000",0.34
Brent - Sudbury,51.560859,-0.328099,5190,"33,530","174,020,700",0.37
Brent - Tokyngton,51.547268,-0.277159,5730,"33,130","189,834,900",0.40
Brent - Welsh Harp,51.579738,-0.241504,4960,"31,620","156,835,200",0.33
Brent - Wembley Central,51.551615,-0.29571,4800,"31,040","148,992,000",0.31
Brent - Willesden Green,51.543974,-0.22953,6230,"31,390","195,559,700",0.41
Bromley - Bickley,51.401857,0.052503,6310,"47,190","297,768,900",0.63
Bromley - Biggin Hill,51.312059,0.032802,4090,"40,930","167,403,700",0.35
Bromley - Bromley Common and Keston,51.383845,0.039219,6980,"40,510","282,759,800",0.59
Bromley - Bromley Town,51.406025,0.013156,7920,"43,460","344,203,200",0.72
Bromley - Chelsfield and Pratts Bottom,51.340472,0.112327,5960,"44,850","267,306,000",0.56
Bromley - Chislehurst,51.412626,0.077487,6720,"46,250","310,800,000",0.65
Bromley - Clock House,51.40858,-0.04063,7320,"41,650","304,878,000",0.64
Bromley - Copers Cope,51.412205,-0.024042,8590,"43,170","370,830,300",0.78
Bromley - Cray Valley East,51.391736,0.104593,7070,"32,230","227,866,100",0.48
Bromley - Cray Valley West,51.391736,0.104593,6920,"31,740","219,640,800",0.46
Bromley - Crystal Palace,51.419883,-0.078542,6530,"34,060","222,411,800",0.47
Bromley - Darwin,51.414784,-0.034058,2140,"42,810","91,613,400",0.19
Bromley - Farnborough and Crofton,51.366109,0.053105,6350,"44,590","283,146,500",0.59
Bromley - Hayes and Coney Hall,51.371054,-0.001278,6260,"45,660","285,831,600",0.60
Bromley - Kelsey and Eden Park,51.401926,-0.030156,6580,"44,700","294,126,000",0.62
Bromley - Mottingham and Chislehurst North,51.435475,0.041365,4510,"32,330","145,808,300",0.31
Bromley - Orpington,51.374843,0.094214,6610,"38,090","251,774,900",0.53
Bromley - Penge and Cator,51.408434,-0.032854,8010,"36,090","289,080,900",0.61
Bromley - Petts Wood and Knoll,51.37632,0.092636,5620,"48,530","272,738,600",0.57
Bromley - Plaistow and Sundridge,51.406381,0.033906,6920,"39,460","273,063,200",0.57
Bromley - Shortlands,51.399212,0.004141,4330,"48,020","207,926,600",0.44
Bromley - West Wickham,51.375798,-0.014861,5900,"46,210","272,639,000",0.57
Camden - Belsize,51.548974,-0.169787,6490,"52,680","341,893,200",0.72
Camden - Bloomsbury,51.519205,-0.124262,5560,"40,340","224,290,400",0.47
Camden - Camden Town with Primrose Hill,51.538449,-0.154993,6430,"45,840","294,751,200",0.62
Camden - Cantelowes,51.545164,-0.129838,5350,"39,060","208,971,000",0.44
Camden - Fortune Green,51.555445,-0.19444,5480,"46,800","256,464,000",0.54
Camden - Frognal and Fitzjohns,51.551706,-0.158826,5540,"60,310","334,117,400",0.70
Camden - Gospel Oak,51.556394,-0.148184,4940,"39,990","197,550,600",0.41
Camden - Hampstead Town,51.549856,-0.18176,5510,"62,840","346,248,400",0.73
Camden - Haverstock,51.547859,-0.160552,5810,"35,730","207,591,300",0.44
Camden - Highgate,51.571188,-0.149069,4990,"47,840","238,721,600",0.50
Camden - Holborn and Covent Garden,51.517935,-0.109928,7000,"40,180","281,260,000",0.59
Camden - Kentish Town,51.547304,-0.142005,5860,"41,230","241,607,800",0.51
Camden - Kilburn,51.537076,-0.191135,6260,"34,730","217,409,800",0.46
Camden - King's Cross,51.533334,-0.132231,5200,"32,890","171,028,000",0.36
Camden - Regent's Park,51.532692,-0.141995,6330,"34,260","216,865,800",0.46
Camden - St. Pancras and Somers Town,51.53989,-0.135574,6660,"30,500","203,130,000",0.43
Camden - Swiss Cottage,51.543532,-0.174862,6780,"50,340","341,305,200",0.72
Camden - West Hampstead,51.547358,-0.190436,6090,"46,290","281,906,100",0.59
Croydon - Addiscombe,51.38055,-0.072275,7690,"38,070","292,758,300",0.61
Croydon - Ashburton,51.377272,-0.074541,5650,"38,600","218,090,000",0.46
Croydon - Bensham Manor,51.396111,-0.09788,6250,"33,530","209,562,500",0.44
Croydon - Broad Green,51.389331,-0.111988,7480,"31,000","231,880,000",0.49
Croydon - Coulsdon East,51.319941,-0.141267,5000,"42,660","213,300,000",0.45
Croydon - Coulsdon West,51.319941,-0.141267,5090,"46,610","237,244,900",0.50
Croydon - Croham,51.353139,-0.089384,7100,"42,260","300,046,000",0.63
Croydon - Fairfield,51.362683,-0.028541,8820,"39,130","345,126,600",0.72
Croydon - Fieldway,51.507351,-0.127758,4040,"26,720","107,948,800",0.23
Croydon - Heathfield,51.365321,-0.097223,5620,"39,770","223,507,400",0.47
Croydon - Kenley,51.32633,-0.102494,5970,"44,160","263,635,200",0.55
Croydon - New Addington,51.348184,-0.017094,4050,"28,770","116,518,500",0.24
Croydon - Norbury,51.414661,-0.114299,6110,"36,810","224,909,100",0.47
Croydon - Purley,51.339228,-0.119711,5980,"44,600","266,708,000",0.56
Croydon - Sanderstead,51.334791,-0.081587,4970,"47,030","233,739,100",0.49
Croydon - Selhurst,51.393247,-0.087384,7940,"31,220","247,886,800",0.52
Croydon - Selsdon and Ballards,51.355611,-0.064937,4600,"45,320","208,472,000",0.44
Croydon - Shirley,51.373975,-0.05293,5700,"39,500","225,150,000",0.47
Croydon - South Norwood,51.400208,-0.075726,8230,"34,430","283,358,900",0.60
Croydon - Thornton Heath,51.396747,-0.105523,6920,"33,720","233,342,400",0.49
Croydon - Upper Norwood,51.41792,-0.08475,6770,"37,430","253,401,100",0.53
Croydon - Waddon,51.375938,-0.113658,7360,"34,630","254,876,800",0.54
Croydon - West Thornton,51.349329,-0.086817,6310,"32,400","204,444,000",0.43
Croydon - Woodside,51.389349,-0.065779,7170,"33,890","242,991,300",0.51
Ealing - Acton Central,51.50872,-0.26295,6620,"36,500","241,630,000",0.51
Ealing - Cleveland,51.52137,-0.321872,5960,"41,730","248,710,800",0.52
Ealing - Dormers Wells,51.516798,-0.357227,4390,"29,350","128,846,500",0.27
Ealing - Ealing Broadway,51.514928,-0.301862,6740,"45,540","306,939,600",0.64
Ealing - Ealing Common,51.510234,-0.288233,6090,"43,600","265,524,000",0.56
Ealing - East Acton,51.51032,-0.250568,8130,"32,930","267,720,900",0.56
Ealing - Elthorne,51.499997,-0.329638,6480,"38,970","252,525,600",0.53
Ealing - Greenford Broadway,51.510264,-0.323633,6670,"30,500","203,435,000",0.43
Ealing - Greenford Green,51.550543,-0.338038,5220,"35,420","184,892,400",0.39
Ealing - Hanger Hill,51.521662,-0.291533,6450,"44,760","288,702,000",0.61
Ealing - Hobbayne,51.519691,-0.346113,5560,"36,220","201,383,200",0.42
Ealing - Lady Margaret,51.522017,-0.374729,4170,"32,520","135,608,400",0.28
Ealing - Northfield,51.503371,-0.317348,5550,"48,480","269,064,000",0.57
Ealing - North Greenford,51.531797,-0.34622,4970,"36,480","181,305,600",0.38
Ealing - Northolt Mandeville,51.548418,-0.367598,5900,"31,950","188,505,000",0.40
Ealing - Northolt West End,51.535067,-0.396097,5760,"28,550","164,448,000",0.35
Ealing - Norwood Green,51.493073,-0.368325,4540,"29,020","131,750,800",0.28
Ealing - Perivale,51.532222,-0.324477,5440,"36,040","196,057,600",0.41
Ealing - South Acton,51.501778,-0.288608,6830,"34,300","234,269,000",0.49
Ealing - Southall Broadway,51.510264,-0.323633,3990,"27,930","111,440,700",0.23
Ealing - Southall Green,51.497487,-0.390355,4710,"27,150","127,876,500",0.27
Ealing - Southfield,51.502808,-0.263491,6400,"50,170","321,088,000",0.67
Ealing - Walpole,51.50968,-0.313229,5740,"46,240","265,417,600",0.56
Enfield - Bowes,51.612343,-0.115253,5530,"36,300","200,739,000",0.42
Enfield - Bush Hill Park,51.644861,-0.072226,5570,"41,800","232,826,000",0.49
Enfield - Chase,51.653202,-0.116439,5720,"36,350","207,922,000",0.44
Enfield - Cockfosters,51.647851,-0.151255,5510,"43,570","240,070,700",0.50
Enfield - Edmonton Green,51.625081,-0.06078,6950,"26,010","180,769,500",0.38
Enfield - Enfield Highway,51.652918,-0.041145,5910,"29,450","174,049,500",0.37
Enfield - Enfield Lock,51.66794,-0.024218,6730,"30,240","203,515,200",0.43
Enfield - Grange,51.631417,-0.125221,5460,"45,960","250,941,600",0.53
Enfield - Haselbury,51.622316,-0.074791,5790,"29,600","171,384,000",0.36
Enfield - Highlands,51.629729,-0.166532,5840,"43,540","254,273,600",0.53
Enfield - Jubilee,51.652628,-0.119968,5410,"30,800","166,628,000",0.35
Enfield - Lower Edmonton,51.625081,-0.06078,6230,"28,110","175,125,300",0.37
Enfield - Palmers Green,51.623469,-0.103752,5920,"37,970","224,782,400",0.47
Enfield - Ponders End,51.646025,-0.045836,5780,"28,560","165,076,800",0.35
Enfield - Southbury,51.6487,-0.05241,5880,"33,260","195,568,800",0.41
Enfield - Southgate,51.62805,-0.126776,6110,"41,520","253,687,200",0.53
