row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
City of London	City of London	London,3675,5998,17239,17920,20522,11728,11043,23538,23560,30427,23613,21703,17500,22520,14501,19936,22782,20105,10026,26716,5370,27570,35052,16502,17020,6048,10613,10368,13575,3411,1860,8193,8383,6944,11571,12930,13269,17498,12409,8847,17460,6272,5327,25903,9982,12845,12960,11416,8458
Abbey	Barking and Dagenham	London,29258,31039,16260,28116,64569,37311,44595,64021,35515,109645,88975,80923,29407,70160,26408,76648,4846,61120,35609,15715,30953,71617,45811,9380,5645,25846,31813,35406,38613,28566,22544,33231,25620,20573,24735,15708,15243,33430,24316,23288,38495,16346,20205,31315,28537,31453,29070,29229,33496
Alibon	Barking and Dagenham	London,24057,25835,42954,55012,48935,32110,28961,48388,5255,58841,57932,40295,6896,78925,7582,41164,31580,45486,41993,39764,25752,55983,30177,22130,22647,21128,30450,30205,33412,23281,18713,28030,28220,25772,30399,25111,24646,34994,9531,17346,37297,23164,15641,21028,28622,32682,31787,30119,28295
Becontree	Barking and Dagenham	London,22108,23885,43679,55737,46986,30160,27012,46438,5730,56891,55983,38346,5145,79649,5633,39214,32305,43536,40044,40488,23803,54034,28227,20180,20698,19179,28501,28256,31463,21332,16764,26081,26270,23822,28449,23161,22696,33045,7581,15397,35347,21214,13692,19078,26672,30733,29838,28170,26345
Chadwell Heath	Barking and Dagenham	London,25171,26952,50399,62457,42457,40786,22483,41909,2706,52362,51454,53044,5735,86369,8696,34685,39025,39008,35515,47208,28325,49505,23698,23243,23761,17930,31564,31319,43717,21149,19827,29144,29333,26885,31512,26224,25759,36108,10644,13500,46569,24277,16755,14549,29735,33796,32901,31233,29408
Eastbrook	Barking and Dagenham	London,24885,26662,43057,55115,45912,32937,25939,45365,3987,90805,54909,89790,7394,79027,8410,57809,31683,42463,38970,39866,26580,52961,27154,39255,23475,21386,31277,31033,34240,24109,19541,28858,29047,26599,31226,42200,41735,35821,10358,14452,38124,23991,16469,18005,29449,33510,32614,30947,29122
Eastbury	Barking and Dagenham	London,19940,21721,43511,55569,42993,41322,23019,42445,9371,52898,51990,36178,4486,79482,2288,35221,32137,39544,36051,40321,21635,50041,24235,18012,18530,17765,26333,26088,29295,19164,14596,23913,24102,21654,26281,20993,20528,30877,4520,11404,47105,19046,11524,15085,24504,28565,27670,26002,24177
Gascoigne	Barking and Dagenham	London,19251,21032,44652,56710,41447,39777,21474,40900,10555,51353,50445,52035,3993,80622,743,33676,33278,37998,34506,41461,20946,48496,22689,17324,7703,16219,25644,25400,42708,18476,13907,23225,23414,20966,25593,20305,19840,30188,2974,9858,45559,18358,10835,13540,23816,27877,26981,25314,23489
Goresbrook	Barking and Dagenham	London,21633,23414,41716,53774,46511,28739,26537,45964,8119,56417,55508,88449,7128,77686,5158,38740,30342,43062,39569,38525,23328,53559,27753,37914,20223,18704,28026,27782,30989,20857,16289,25607,25796,23348,27975,40859,40394,32570,7107,14922,34873,20740,13217,18604,26198,30258,29363,27695,25871
Heath	Barking and Dagenham	London,25171,26948,50399,62457,42457,40786,22483,41909,2706,52362,51454,53044,5735,86369,8696,34685,39025,39008,35515,47208,28325,49505,23698,23243,23761,17930,31564,31319,43717,21149,19827,29144,29333,26885,31512,26224,25759,36108,10644,13500,46569,24277,16755,14549,29735,33796,32901,31233,29408
Longbridge	Barking and Dagenham	London,19470,21248,23547,58407,41380,39709,21406,40832,9347,51286,50377,51967,2403,82319,1046,33609,23823,37931,34438,43158,21165,48428,22622,17543,8493,16152,25863,25619,42641,18695,14126,23444,23633,21185,25812,20524,20059,30407,2907,9791,45492,18577,11054,13473,24035,28096,27200,25533,23708
