row: origin/col: dest/entries: seconds,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
City of London	City of London	London,990,1146,2929,3104,2670,1990,2314,3246,2571,3093,3114,3301,1776,3785,1460,2910,1985,2877,1997,2910,1367,3351,2786,1865,2036,1386,1891,1765,2017,819,516,1578,1516,1464,2230,2317,2343,2902,1394,1739,2546,1200,896,2070,1825,2311,2677,2181,1724
Abbey	Barking and Dagenham	London,3447,3548,1999,3045,4907,4445,3391,5038,2523,5022,5191,4492,2470,3719,2154,3951,659,4854,4453,1802,3822,5587,3442,1171,917,2564,4106,4167,4419,3306,2330,3980,3894,3055,3013,1664,1585,4330,2088,2251,5090,2199,1905,2692,3530,4023,3717,3671,4126
Alibon	Barking and Dagenham	London,2928,3028,2972,3672,3857,3926,2342,3989,727,4280,4950,5156,995,4147,1025,3250,2073,3804,3617,2388,3303,4538,2392,1966,2137,2247,3773,3647,3900,2825,1826,3460,3398,3173,3939,2391,2313,4681,1051,1969,4428,2572,1387,1676,3649,4194,4386,3935,3606
Becontree	Barking and Dagenham	London,2658,2758,2826,3526,3588,3656,2072,3719,825,4011,4681,4887,778,4001,755,2980,1927,3535,3348,2242,3033,4268,2123,1696,1867,1978,3503,3378,3630,2555,1557,3191,3129,2904,3670,2122,2043,4411,781,1700,4159,2303,1117,1407,3379,3924,4117,3665,3336
Chadwell Heath	Barking and Dagenham	London,3136,3237,3174,3875,3566,3830,2050,3697,309,3988,4659,5049,880,4349,1233,2958,2276,3513,3326,2590,3379,4246,2101,2174,2345,1962,3982,3856,3753,2813,2035,3669,3607,3382,4148,2600,2521,4889,1260,1589,4250,2781,1595,1385,3857,4402,4595,4143,3814
Eastbrook	Barking and Dagenham	London,3157,3257,3053,3754,4142,4155,2626,4274,567,4358,5235,5001,1167,4228,1254,3287,2155,4089,3902,2469,3532,4823,2677,2615,2367,2538,4003,3877,4129,3055,2056,3690,3628,3403,4169,2983,2904,4910,1281,2197,4658,2802,1616,1961,3878,4423,4616,4164,3836
Eastbury	Barking and Dagenham	London,2515,2616,2794,3494,3369,3633,1853,3501,1353,3792,4462,4744,716,3968,341,2762,1895,3316,3129,2209,2890,4049,1904,1554,1725,1842,3361,3235,3488,2413,1414,3048,2986,2761,3527,1979,1900,4269,669,1481,4054,2160,974,1188,3236,3781,3974,3522,3194
Gascoigne	Barking and Dagenham	London,2410,2510,2730,3430,3156,3421,1641,3288,1353,3579,4249,4640,721,3904,129,2549,1830,3103,2916,2145,2785,3837,1691,1448,2296,1630,3255,3129,3344,2307,1308,2942,2880,2655,3421,1873,1795,4163,456,1268,3841,2054,869,975,3131,3676,3868,3416,3088
Goresbrook	Barking and Dagenham	London,2655,2755,2569,3269,3584,3753,2069,3716,1158,4007,4677,4517,1014,3744,752,2977,1670,3531,3344,1985,3030,4265,2119,2131,1864,1974,3500,3374,3626,2552,1553,3187,3125,2900,3666,2499,2420,4408,778,1696,4155,2299,1114,1403,3376,3921,4113,3662,3333
Heath	Barking and Dagenham	London,3136,3236,3174,3875,3566,3830,2050,3697,309,3988,4659,5049,880,4349,1233,2958,2276,3513,3326,2590,3379,4246,2101,2174,2345,1962,3982,3856,3753,2813,2035,3669,3607,3382,4148,2600,2521,4889,1260,1589,4250,2781,1595,1385,3857,4402,4595,4143,3814
Longbridge	Barking and Dagenham	London,2522,2622,2371,3721,3153,3417,1637,3284,1296,3575,4246,4636,473,4196,208,2545,1680,3100,2913,2436,2897,3833,1688,1560,2395,1626,3367,3242,3340,2419,1421,3054,2992,2768,3534,1986,1907,4275,452,1264,3837,2167,981,972,3243,3788,3981,3529,3200
Mayesbrook	Barking and Dagenham	London,2522,2622,2869,3569,3375,3640,1860,3507,1429,3798,4468,4751,791,4044,348,2768,1971,3323,3135,2285,2897,4056,1911,1560,1731,1849,3367,3242,3494,2420,1421,3055,2993,2768,3534,1986,1907,4275,675,1487,4060,2167,981,1194,3243,3788,3981,3529,3200
Parsloes	Barking and Dagenham	London,2739,2840,2907,3607,3669,3837,2153,3800,880,4092,4762,4968,859,4082,836,3061,2008,3616,3429,2323,3114,4349,2204,1777,1948,2059,3584,3459,3711,2636,1638,3272,3210,2985,3751,2203,2124,4492,862,1780,4240,2384,1198,1488,3460,4005,4198,3746,3417
River	Barking and Dagenham	London,2398,2499,2248,3528,3328,3396,1812,3460,1451,3751,4421,4627,852,4002,468,2720,1929,3275,3088,2243,2773,4008,1863,1436,1607,1718,3243,3118,3370,2295,1297,2931,2869,2644,3410,1862,1783,4151,521,1440,3899,2043,857,1147,3119,3664,3857,3405,3076
Thames	Barking and Dagenham	London,2491,2591,2340,3620,3420,3489,1905,3552,1543,3843,4513,4719,945,4094,561,2813,2021,3368,3180,2335,2866,4101,1955,1529,1700,1810,3336,3210,3463,2388,1390,3023,2961,2736,3502,1954,1876,4244,614,1532,3991,2135,950,1239,3212,3757,3949,3498,3169
Valence	Barking and Dagenham	London,2735,2835,2903,3603,3665,3833,2149,3796,718,4088,4758,4964,743,4078,832,3057,2004,3612,3425,2319,3110,4345,2200,1773,1944,2055,3580,3455,3707,2632,1634,3268,3206,2981,3747,2199,2120,4488,858,1773,4236,2380,1194,1484,3456,4001,4194,3742,3413
Village	Barking and Dagenham	London,2496,2596,2345,3577,3126,3391,1611,3258,1482,3549,4219,4610,659,4051,0,2519,1978,3074,2886,2292,2870,3807,1661,1533,2369,1600,3341,3215,3314,2393,1394,3028,2966,2741,3507,1959,1880,4249,426,1238,3811,2140,955,945,3217,3761,3954,3502,3174
Whalebone	Barking and Dagenham	London,3252,3353,3420,4120,3761,4025,2245,3892,425,4184,4854,5244,995,4594,1349,3153,2521,3708,3521,2835,3627,4441,2296,2290,2461,2157,4097,3972,3948,3008,2151,3785,3722,3498,4264,2716,2637,5005,1375,1784,4445,2897,1711,1580,3973,4518,4711,4259,3930
Brunswick Park	Barnet	London,2961,2818,3676,5013,2014,2279,897,2113,2399,2437,3108,3498,1804,4645,1684,1072,2984,1962,1775,3728,2028,2695,1099,2864,3035,2303,2924,2842,2202,2225,2702,2639,3019,3796,4449,3290,3211,3846,1821,2146,2699,3467,2282,1280,3632,3365,4277,3600,2565
Burnt Oak	Barnet	London,2743,2590,4617,5207,1891,2230,1675,1135,3051,2314,2984,3375,2810,4522,2691,221,3718,1521,1546,4032,1862,2625,1784,4179,4042,2699,2801,2793,2079,2498,3201,2590,2970,3567,4224,4547,4468,3722,2828,3153,2576,3816,3289,2287,3435,3242,4228,3551,2336
Childs Hill	Barnet	London,1962,1809,4685,4426,1492,1530,1387,1624,3117,1915,2585,2976,2522,4123,2403,1084,3703,1439,757,4447,1081,2173,1976,3583,3754,2035,2310,2093,1680,1765,2499,1839,2208,2786,3443,4157,4196,3323,2540,2865,2177,3036,3001,1999,2655,2641,3528,2851,1556
Colindale	Barnet	London,2371,2217,4785,4835,1527,1792,1523,1098,3254,1950,2620,3011,2659,4157,2540,566,3886,1274,1173,4200,1489,2208,1952,3719,3890,2547,2437,2354,1714,2347,3057,2151,2532,3194,3851,4566,4604,3358,2676,3001,2212,3444,3137,2135,3145,2878,3790,3113,1964
Coppetts	Barnet	London,2482,2462,3784,5056,1625,1890,777,1757,2507,2048,2718,3109,1912,4256,1793,1018,3092,1572,1385,3836,1549,2306,1368,2972,3144,1947,2535,2452,1813,1747,2449,2249,2630,3439,4059,3398,3319,3456,1930,2254,2310,3249,2390,1388,3243,2976,3888,3211,2209
East Barnet	Barnet	London,3006,2889,3666,5033,2085,2350,918,2100,2389,2508,3178,3569,1794,4716,1675,1067,2974,2032,1845,3748,2072,2766,882,2854,3026,2262,2995,2912,2273,2311,2692,2709,3090,3867,4519,3280,3201,3916,1812,2136,2770,3458,2272,1270,3703,3436,4348,3671,2636
East Finchley	Barnet	London,2134,2087,4032,4704,1643,1907,1021,1774,2755,2066,2736,3126,2160,4273,2041,1035,3341,1590,1189,4085,1201,2323,1688,3221,3392,1678,2553,2470,1830,1477,2180,2196,2485,3064,3721,4097,4123,3474,2178,2503,2327,2980,2639,1637,2932,2993,3906,3228,1833
Edgware	Barnet	London,2757,2603,4440,5221,1905,2170,1603,1180,2874,2159,2998,3389,2738,4535,2619,0,3541,1566,1559,3855,1875,2585,1607,4002,4239,2627,2815,2732,2092,2426,3129,2529,2909,3581,4237,4370,4291,3736,2756,3081,2590,3830,3217,2215,3440,3256,4168,3491,2350
Finchley Church End	Barnet	London,2616,2379,4143,5006,1575,1840,1136,1707,2866,1998,2668,3059,2271,4206,2152,831,3452,1522,1335,4195,1651,2256,1724,3331,3503,2159,2485,2402,1763,1959,2662,2199,2580,3357,4009,3757,3678,3406,2289,2613,2260,3461,2749,1748,3193,2926,3838,3161,2126
Garden Suburb	Barnet	London,2145,1991,4176,4609,1545,1809,1168,1676,2899,1968,2638,3028,2303,4175,2184,937,3484,1492,1094,4228,1263,2225,1757,3364,3535,1890,2455,2372,1732,1690,2393,2101,2390,2968,3625,4239,4265,3376,2321,2646,2230,3121,2782,1780,2837,2895,3808,3131,1738
Golders Green	Barnet	London,2218,2064,4183,4682,1441,1706,1175,1573,2906,1864,2534,2925,2310,4072,2191,968,3491,1388,1021,4235,1337,2122,1764,3371,3542,2092,2351,2268,1629,1891,2594,2065,2446,3042,3699,3797,3718,3272,2328,2653,2126,3292,2789,1787,2902,2792,3704,3027,1812
Hale	Barnet	London,2696,2543,4415,5160,1844,2109,1542,1173,2849,2267,2937,3328,2678,4475,2559,140,3516,1559,1499,3830,1815,2525,1582,3977,4214,2566,2754,2671,2032,2366,3068,2468,2849,3520,4177,4344,4266,3675,2695,3020,2529,3769,3156,2154,3379,3195,4107,3430,2289
Hendon	Barnet	London,2255,2101,4116,4719,1403,1668,1109,1466,2839,1826,2496,2887,2244,4034,2125,665,3425,1351,1057,4169,1373,2084,1698,3305,3476,2133,2313,2231,1591,1932,2635,2028,2408,3079,3736,3730,3652,3235,2262,2587,2088,3328,2722,1721,3021,2754,3666,2989,1848
High Barnet	Barnet	London,3180,3026,4127,4827,2328,2593,1703,1825,2561,2009,2988,3645,2374,4446,2255,792,3228,2212,1983,3542,2299,2779,1138,3689,3926,3075,3238,3156,2516,2937,3272,2953,3333,4004,4661,4056,3978,4003,2392,2921,3013,4038,2852,2056,3863,3679,4591,3914,2773
Mill Hill	Barnet	London,2680,2526,4638,5144,1828,2093,1362,1521,3123,2251,2921,3312,2528,4458,2409,523,3740,1775,1482,4054,1798,2508,1676,3589,3760,2495,2738,2655,2015,2295,2997,2452,2833,3504,4160,4014,3936,3659,2546,2871,2513,3753,3007,2005,3363,3179,4091,3414,2273
Oakleigh	Barnet	London,3072,3024,3823,5161,2118,2383,1045,1987,2546,2541,3211,3602,1951,4748,1832,945,3132,2065,1878,3876,2139,2798,1110,3011,3183,2377,3028,2945,2305,2329,2849,2742,3122,4002,4552,3437,3358,3949,1969,2294,2803,3615,2429,1428,3736,3469,4381,3704,2771
Totteridge	Barnet	London,2894,2740,4472,5358,2042,2306,1350,1597,2851,2465,3135,3526,2256,4672,2137,563,3573,1983,1696,3887,2012,2722,1308,3316,3488,2731,2952,2869,2229,2496,3198,2666,3046,3718,4374,3742,3663,3873,2274,2598,2727,3920,2734,1732,3577,3393,4305,3628,2487
Underhill	Barnet	London,3181,3028,4355,5056,2329,2594,1450,1893,2790,2346,3422,3813,2326,4783,2207,851,3457,2270,1984,3771,2300,3010,1192,3387,3558,2822,3239,3156,2517,2685,3224,2953,3334,4005,4662,3813,3734,4160,2344,2669,3014,3990,2805,1803,3864,3680,4592,3915,2774
West Finchley	Barnet	London,2605,2407,4025,5035,1604,1869,1018,1736,2748,2027,2697,3088,2153,4234,2034,797,3334,1551,1364,4077,1671,2284,1576,3213,3385,2148,2514,2431,1791,1948,2650,2228,2608,3385,4038,3639,3560,3435,2171,2495,2289,3450,2631,1630,3222,2955,3867,3190,2155
West Hendon	Barnet	London,2533,2440,4997,4933,1502,1767,1603,1158,3334,1925,2595,2986,2739,4132,2620,745,4098,1235,1278,4413,1652,2183,2192,3799,3970,2627,2412,2329,1689,2427,3129,2126,2507,3357,3936,4728,4146,3333,2756,3081,2187,3606,3217,2215,3120,2853,3765,3088,1917
Woodhouse	Barnet	London,2663,2615,3789,5234,1803,2067,916,1934,2512,2226,2896,3286,1916,4433,1797,1096,3097,1750,1563,3841,1729,2483,1235,2977,3148,2250,2713,2630,1990,2006,2708,2427,2807,3592,4237,3403,3324,3634,1934,2259,2488,3508,2395,1393,3421,3153,4066,3389,2362
Barnehurst	Bexley	London,3303,3403,1829,2954,4763,4301,3247,4500,2030,4529,4838,4139,2315,3366,2010,3459,453,4710,4309,1500,3678,5299,3004,1152,1253,2420,3962,4023,4275,3162,2186,3836,3734,2895,2869,1520,1441,4186,1944,2107,4946,2039,1761,2548,3386,3879,3573,3527,3982
Belvedere	Bexley	London,3498,3598,2050,3096,4957,4496,3442,4785,2315,4814,5137,4438,2521,3665,2205,3743,645,4904,4503,1828,3873,5638,3288,1222,1014,2614,4157,4217,4470,3357,2380,4030,3944,3106,3064,1714,1636,4380,2138,2302,5140,2250,1955,2743,3581,4074,3767,3721,4176
Blackfen and Lamorbey	Bexley	London,3193,3294,1274,2385,4652,4421,3137,4784,2328,4827,4830,4131,2216,3381,1900,3756,593,4600,4198,1127,3568,5333,3188,706,1127,2309,3779,4050,4302,3052,2076,3726,3551,2795,2686,1337,1258,4003,1834,1997,4763,1929,1650,2438,3203,3696,3390,3344,3871
Blendon and Penhill	Bexley	London,2836,2937,1388,2434,4296,3834,2780,4427,1971,4470,4661,3961,1859,3188,1543,3400,237,4243,3842,1191,3211,4976,2831,685,923,1953,3495,3556,3808,2695,1719,3369,3267,2428,2402,1053,974,3719,1477,1640,4479,1572,1294,2081,2919,3412,3106,3060,3515
Brampton	Bexley	London,3212,3313,1764,2810,4671,4210,3156,4803,2266,4766,4956,4257,2235,3483,1919,3695,423,4618,4217,1567,3587,5352,3206,1003,790,2328,3871,3932,4184,3071,2095,3744,3642,2804,2778,1428,1350,4094,1852,2016,4854,1948,1669,2457,3295,3788,3481,3435,3890
Christchurch	Bexley	London,3266,3367,1121,2167,4725,4362,3210,4857,2294,4793,4612,3913,2289,3162,1973,3723,666,4673,4271,909,3641,5406,3261,818,1264,2382,3720,3991,4243,3125,2149,3799,3492,2736,2627,1278,1199,3944,1907,2070,4704,2002,1723,2511,3144,3637,3331,3285,3944
Colyers	Bexley	London,3480,3581,2006,3130,4781,4478,3266,4490,2019,4519,4950,4251,2305,3477,1953,3448,630,4729,4485,1677,3855,5289,2993,1329,1186,2596,4139,4200,4452,3339,2363,4012,3910,3072,3046,1696,1618,4362,1975,2284,5122,2216,1937,2600,3563,4056,3749,3703,4158
Crayford	Bexley	London,3201,3302,1727,2852,4661,4299,3145,4392,1921,4421,4621,3921,2207,3148,1908,3350,489,4608,4207,1398,3576,5191,2895,1050,1288,2318,3860,3921,4173,3060,2084,3734,3632,2793,2767,1418,1339,4084,1842,2005,4844,1937,1659,2446,3284,3777,3471,3425,3880
Cray Meadows	Bexley	London,3123,3224,1264,2388,4583,4221,3067,4456,1986,4485,4595,3896,2146,3122,1830,3414,495,4530,4129,935,3498,5263,2960,972,1210,2240,3782,3843,4095,2982,2006,3656,3554,2715,2689,1340,1261,4006,1764,1927,4766,1859,1581,2368,3206,3699,3393,3347,3802
Danson Park	Bexley	London,2933,3033,1485,2531,4392,4031,2877,4524,1988,4487,4677,3978,1956,3205,1640,3416,263,4340,3938,1288,3308,5073,2928,782,1019,2049,3592,3653,3905,2792,1816,3466,3363,2525,2499,1150,1071,3815,1574,1737,4575,1669,1390,2178,3016,3509,3203,3157,3611
East Wickham	Bexley	London,3129,3229,1738,2872,4588,4127,3072,4720,2355,5011,5197,4608,2151,3572,1835,3783,583,4535,4134,1655,3504,5268,3123,811,685,2245,3822,3848,4101,2987,2011,3661,3534,2695,2729,1380,1301,4046,1769,1933,4806,1839,1586,2373,3246,3739,3433,3387,3807
Erith	Bexley	London,3604,3705,2130,3091,4870,4602,3354,4578,2108,4607,5038,4339,2393,3565,2042,3536,778,4817,4610,1801,3979,5377,3081,1399,976,2721,4263,4324,4576,3463,2487,4137,4035,3196,3170,1821,1742,4487,2063,2408,5247,2340,2062,2689,3687,4180,3874,3828,4283
Falconwood and Welling	Bexley	London,2930,3030,1449,2583,4389,3928,2873,4521,2215,4812,4998,4320,1952,3432,1637,3782,480,4336,3935,1481,3305,5069,2924,522,637,2046,3533,3649,3901,2788,1812,3462,3305,2549,2440,1091,1012,3757,1570,1734,4517,1670,1387,2174,2957,3450,3144,3098,3608
Lesnes Abbey	Bexley	London,3513,3613,2065,3111,4973,4611,3457,4943,2473,4972,5258,4558,2536,3785,2220,3902,725,4920,4519,1868,3888,5653,3447,1237,890,2630,4172,4233,4485,3372,2396,4046,3960,3121,3079,1730,1651,4396,2154,2317,5156,2265,1971,2758,3596,4089,3783,3737,4192
Longlands	Bexley	London,3074,3175,897,2067,4534,4045,3018,4665,2395,4957,4713,4189,2097,3063,1781,3926,927,4481,4080,929,3449,5254,3069,578,1036,2191,3403,3673,3925,2933,1957,3607,3174,2419,2310,960,882,3626,1715,1878,4386,1764,1532,2319,2827,3320,3013,2967,3753
North End	Bexley	London,3383,3483,1908,2869,4648,4381,3132,4356,1886,4385,4816,4117,2171,3344,1820,3314,639,4595,4388,1579,3757,5155,2860,1231,1289,2499,4041,4102,4354,3241,2265,3915,3813,2974,2949,1599,1520,4265,1842,2186,5025,2118,1840,2467,3465,3959,3652,3606,4061
Northumberland Heath	Bexley	London,3440,3540,1966,3090,4899,4438,3384,4588,2118,4617,4975,4276,2403,3502,2052,3546,590,4846,4445,1637,3815,5387,3091,1289,1146,2556,4099,4160,4412,3299,2322,3972,3870,3032,3006,1656,1578,4322,2080,2244,5082,2176,1897,2685,3523,4016,3709,3663,4118
St. Mary's	Bexley	London,3132,3232,1396,2521,4591,4230,3076,4322,1861,4360,4550,3851,2155,3078,1839,3289,520,4539,4137,1067,3507,5272,2835,981,1219,2248,3791,3852,4104,2991,2015,3665,3563,2724,2698,1349,1270,4015,1773,1936,4774,1868,1590,2377,3215,3708,3402,3356,3810
St. Michael's	Bexley	London,3150,3251,1760,2868,4609,4148,3094,4741,2325,4824,5015,4315,2173,3542,1857,3753,553,4557,4156,1625,3525,5290,3145,833,666,2267,3844,3870,4122,3009,2033,3683,3555,2717,2751,1401,1323,4067,1791,1954,4827,1861,1608,2395,3268,3761,3454,3408,3828
Sidcup	Bexley	London,3266,3367,1002,2048,4725,4293,3210,4646,2176,4675,4493,3794,2289,3044,1973,3604,666,4673,4271,790,3641,4452,3260,824,1270,2382,3651,3922,4174,3125,2149,3799,3423,2667,2558,1209,1130,3763,1907,2070,4635,2012,1723,2511,3075,3569,3231,3216,3944
Thamesmead East	Bexley	London,3444,3544,2263,3309,4903,4442,3388,5035,2474,4973,5512,4705,2467,3932,2151,3902,923,4850,4449,2066,3819,5584,3438,1326,782,2560,4289,4164,4416,3303,2326,3976,3914,3197,3245,1895,1816,4561,2084,2248,4944,2341,1901,2689,3761,4255,3948,3902,4122
Alperton	Brent	London,2495,1938,4901,4431,976,1293,1804,1041,3534,1436,2106,2497,2939,3643,2820,1468,4119,532,1606,4881,1911,1693,2392,3999,4171,2827,1923,1827,1200,2627,3256,1624,2004,3168,3434,4373,4412,2844,2957,3281,1698,3418,3417,2415,2618,2364,3263,2586,1633
