row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
City of London	City of London	London,3725,7875,19407,18565,21503,11577,13096,22172,21906,33093,25338,22635,13761,24703,14071,22770,25254,19717,10536,21469,6955,23628,20179,19768,14157,6614,11045,11024,14913,3734,2089,8974,7427,7344,14468,10968,12271,18575,12963,10256,18915,7861,5902,12220,9475,13407,12675,10998,7818
Abbey	Barking and Dagenham	London,24987,25870,20302,36738,39697,32839,33336,42466,28583,53449,44416,41541,20620,43105,19212,41857,6629,40372,31134,24756,27195,42958,31779,11377,4854,20500,34681,28816,36191,23975,18978,32612,28328,33558,32643,14545,17057,38919,11772,15630,37370,20424,13886,20834,27853,31105,31286,29957,29106
Alibon	Barking and Dagenham	London,22260,26692,44111,41348,40038,30199,31301,39875,5587,50796,44155,41480,8168,43520,6329,40437,30328,42305,29353,42010,25774,41802,41804,25405,19794,21037,29876,29841,33859,22434,17518,27797,26409,28975,31671,31516,27136,34948,10071,14095,37732,23572,17089,23671,28292,31591,31401,29815,26354
Becontree	Barking and Dagenham	London,21593,26025,43444,40682,39371,29532,30634,39208,6240,50129,43488,40786,6493,42853,7477,39770,29646,41638,28686,41343,25107,41134,26094,24738,19127,20371,29209,29174,33193,21767,16851,27131,25743,28309,31005,30849,26469,34282,9404,13268,37065,22906,16422,16287,27626,30925,30734,29149,25687
Chadwell Heath	Barking and Dagenham	London,24934,29646,36243,43691,39521,29666,33975,39243,2957,50164,46495,44154,5564,45861,10274,37918,33565,37164,32027,39309,28449,44760,28451,28079,22468,23711,32550,32515,36274,20873,20192,30471,29189,31649,32965,32907,29810,35979,12981,12565,40406,25913,19763,14644,30994,33932,34075,32517,29028
Eastbrook	Barking and Dagenham	London,28298,28726,35656,43104,41965,36221,37339,45798,4375,56719,45909,43234,13098,45379,8083,44473,32645,43719,31107,43764,30647,44090,35080,27159,21548,23810,31629,31595,35354,27428,19272,29551,28269,30729,32378,33270,28890,37965,11284,19120,39486,25326,18855,22273,30074,33345,33154,31597,32392
Eastbury	Barking and Dagenham	London,18774,23206,40626,37863,37417,26713,27815,36389,10028,51899,40123,37995,4756,40035,2349,36951,26842,34318,25867,38524,22288,38600,38318,21922,16308,17552,26384,26355,30244,18948,14032,24457,23891,25490,28186,23858,24966,31917,6044,11913,34246,20087,13616,14619,24807,28747,27915,26330,22868
Gascoigne	Barking and Dagenham	London,17728,22160,39580,36817,35495,25619,26769,35213,11329,46134,39077,37357,3714,38989,680,35905,26191,33274,24821,37478,21242,37554,26094,18416,15094,16506,25338,25309,29198,16628,12986,23411,22845,24444,27957,21176,22556,30871,3160,9970,33200,19041,12688,13598,23761,28776,26869,25284,21822
Goresbrook	Barking and Dagenham	London,20865,25297,42717,39954,38643,28804,29906,38480,8331,49401,42760,40086,6773,42126,4962,39042,28918,40910,27958,40615,24379,40407,40395,24013,18399,19643,28481,28446,32465,21039,16123,26403,25015,27581,30277,30121,25741,33554,7619,12702,36337,22178,15694,22276,26898,30197,30006,28421,24959
Heath	Barking and Dagenham	London,24934,29646,36243,43691,39521,29666,33975,39243,2957,50164,46495,44154,5564,45861,10484,37918,33565,37164,32027,39320,28449,44760,28451,28082,22468,23711,32550,32515,36274,20873,20192,30471,29189,31649,32965,32907,29810,35993,13001,12565,40406,25913,19776,14644,30994,33932,34075,32517,29028
Longbridge	Barking and Dagenham	London,16757,21200,25484,35859,35411,24659,24791,34253,14799,45174,38663,37763,4446,38029,820,32836,25231,32109,22983,36518,18803,35932,31752,19745,14134,15535,24360,24349,28238,15609,12016,23177,21885,23484,26180,20175,21596,32913,2974,14456,32240,18081,11728,12232,22801,26722,25899,24324,20851
Mayesbrook	Barking and Dagenham	London,18843,23275,40695,37932,37486,26782,27884,36458,9963,51968,40192,38064,4712,40104,2297,37020,26911,34387,25936,38593,22357,38686,38373,21991,16377,17621,26453,26424,30313,19017,14101,24526,23960,25559,28255,23927,25035,31986,6113,11983,34315,20156,13672,14597,24876,28816,27984,26399,22937
Parsloes	Barking and Dagenham	London,22154,26586,44174,41242,39932,30093,31195,39769,6562,50690,44049,41374,7217,43583,6223,40331,30207,42197,29247,42073,25668,41865,26803,25299,19688,20931,29770,29735,33753,22328,17412,27691,26303,28869,31734,31410,27030,34842,9965,13989,37626,23466,16983,16981,28186,31485,31295,29709,26248
River	Barking and Dagenham	London,19358,23790,41210,38447,37125,27249,27381,36843,13769,47764,41253,38551,5183,40619,2913,35500,27416,34407,26451,39108,22872,38900,34342,22503,16892,18136,26950,26939,30958,18258,14616,24896,23508,26074,29587,28544,24186,35280,5686,11194,34830,20671,14187,15117,25391,28690,28499,26914,23452
Thames	Barking and Dagenham	London,19659,24091,41511,38748,37426,27550,27682,37144,14070,48065,41554,38852,5456,40920,3214,35801,27717,34708,26752,39409,23173,39201,34643,22804,17193,18437,27251,27240,31259,18559,14917,25197,23809,26375,29888,28845,24487,35581,5987,11495,35131,20972,14488,15278,25692,28991,28800,27215,23753
Valence	Barking and Dagenham	London,21971,26402,43823,41198,40614,29725,31011,39302,5586,50223,44002,41164,6683,43231,7782,37987,30601,37223,29064,41721,25486,41512,28603,22728,19504,17314,29611,29551,33441,20942,17228,27654,26227,28687,31383,26843,26846,36048,9240,12624,37443,23420,16747,15408,28004,31303,31112,29525,26064
Village	Barking and Dagenham	London,17219,21651,26011,36318,35007,25120,25252,34714,11708,45635,38595,36450,3150,38490,-1,33297,25287,37356,24312,36979,20743,36393,25595,17917,14595,15997,24821,24810,28699,17393,12477,22767,21369,23935,26641,26475,22057,33374,2494,14918,32701,18250,12188,12896,23262,27183,26360,24783,21313
Whalebone	Barking and Dagenham	London,22212,25065,35481,36959,39990,30135,31253,39712,2874,50633,44126,44536,5812,46330,10953,38387,29750,37633,28394,39568,24561,48172,25424,24899,21336,17724,31205,32925,36814,21342,20602,27897,29327,30182,32278,29742,28534,36448,12880,13034,40541,24744,18897,13561,31376,35242,31652,30177,26306
Brunswick Park	Barnet	London,16380,18681,35825,36027,34850,21981,5015,19542,38680,42525,37212,37876,23183,38267,29935,10266,43610,21997,23112,42558,14567,35650,10106,36097,35225,14322,23548,23401,27368,18738,17911,21961,21231,23517,27973,28151,29449,32891,28915,27053,31373,24887,26970,12598,22971,25887,33764,24515,20107
Burnt Oak	Barnet	London,15468,18686,34603,35194,33271,23473,23347,9349,40560,23327,37747,36976,31340,37366,31437,1414,39027,11565,14763,40032,12012,37195,18852,34900,34286,20251,23944,23429,27812,16213,19436,21875,20837,22685,32063,29593,32234,35761,30440,28910,33237,26424,24444,26758,22138,26954,31238,32259,19587
Childs Hill	Barnet	London,10108,11447,31267,30095,18668,10863,17986,15137,30478,26058,20612,31561,24853,30676,30174,10458,35926,13281,3779,33927,6651,18222,18154,28635,28568,11664,13033,16190,12838,10852,13345,9097,13637,15994,24344,23433,24731,24345,26875,22590,16005,19900,19225,21397,17011,21688,25877,18530,7310
Colindale	Barnet	London,14438,17655,33572,34163,14739,22442,22316,8414,39530,22246,36716,35945,30309,36335,30406,5222,37996,7866,7602,39001,10982,18959,29416,33891,33255,19220,22913,22398,16033,15182,18405,20844,19806,21654,31033,28587,31204,34731,29409,27880,19199,25393,23414,25727,21107,25923,30208,31229,18557
Coppetts	Barnet	London,13841,17059,33279,33567,22697,21846,6065,18807,37710,29746,35574,35360,29713,35739,31162,12184,39472,16449,13253,38405,10414,24800,16768,32450,31072,12877,22317,21802,27258,14586,17809,20248,18699,21058,30237,27023,28321,34408,29647,27283,31709,24797,22817,18423,20511,25349,29611,24817,17960
East Barnet	Barnet	London,17641,19952,37023,37313,36065,23252,6299,32829,39816,43750,39012,39092,31819,39483,31196,13089,44520,19273,24396,39939,14691,36124,8146,37768,32596,15606,24809,24685,31239,16119,19195,22745,22342,24801,28947,31299,32597,31598,30695,28314,32589,26148,27971,13820,24255,29092,31145,25788,21391
East Finchley	Barnet	London,9906,13124,32395,29632,29248,17911,17785,25996,33775,38409,31610,31388,25778,31804,27246,9688,35537,22353,13180,34470,6479,29153,17790,30079,27137,9015,19326,17867,23194,10651,14539,16313,15874,17123,26302,23088,24386,30487,26776,23348,27684,20862,18882,21250,16576,21401,25676,26697,14025
Edgware	Barnet	London,19184,22401,37957,38086,17716,25696,15855,12032,39591,25316,40933,39380,32994,40428,36433,-1,45295,10506,12034,42937,15728,21182,18535,38533,35093,22535,26337,27144,20917,19105,24451,26535,24986,25577,31077,31931,33229,38442,36053,31808,24084,27818,28403,29650,25030,29846,34130,35151,23303
Finchley Church End	Barnet	London,12878,16095,32012,32603,20961,19390,9853,12979,36746,29978,35156,34359,28749,34775,30199,10767,36436,13364,7711,37441,9450,23043,15822,31484,30109,17291,22297,20838,17135,13622,17511,17680,18845,20094,29472,27027,29643,33444,27849,26320,30745,23833,21854,24447,19547,24385,28647,29669,16997
