row: origin/col: dest/entries: seconds,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
City of London	City of London	London,947,1783,3298,2097,3641,2110,2079,3259,2305,4192,4334,3051,2311,2997,2157,3575,5212,3167,2120,2359,1033,3685,3253,3754,2082,2102,2086,1851,2844,847,620,1822,1982,1503,2799,1983,2550,3559,2579,1582,2916,2078,1156,2484,1644,2552,2268,2394,1500
Abbey	Barking and Dagenham	London,4370,4640,4434,5057,7244,5554,5100,5745,4253,7098,6858,6477,4806,5973,3828,6356,1622,6663,5092,4811,4054,6452,6555,2571,1371,4304,5644,5483,5808,3868,3766,5681,5544,4975,5371,4555,3805,6037,4148,3423,5472,3782,3438,5399,4440,4735,5228,5255,4923
Alibon	Barking and Dagenham	London,3610,4595,6103,5313,6604,4902,4756,5645,1855,6698,7146,5863,2525,6109,1723,6603,6319,6498,4932,5155,4339,7299,6682,4788,3236,3646,5028,4663,5748,4004,2826,4765,4864,4479,5687,4691,5141,6022,2754,3383,5728,4246,3405,4879,4396,4991,5544,5206,4163
Becontree	Barking and Dagenham	London,3584,4569,6077,5287,6578,4876,4730,5619,2099,6672,7120,6137,1902,6083,2042,6577,6293,6472,4906,5129,4313,7273,6932,4762,3210,3620,5002,4637,5722,3978,2800,4739,4838,4453,5661,4665,5415,5996,2728,3260,5702,4220,3379,4377,4370,4965,5518,5180,4137
Chadwell Heath	Barking and Dagenham	London,4286,5224,6884,6283,6433,4731,5432,5354,733,6347,7996,6479,1891,6959,2918,5630,6982,6104,5668,5682,4866,7675,5542,5524,3852,4382,5644,5279,6392,3593,3442,5381,5520,5035,6357,4820,5757,6219,3824,2612,6404,5096,3841,4148,5192,5721,6100,5963,4839
Eastbrook	Barking and Dagenham	London,4087,5017,6443,5842,6870,5319,5233,5942,1515,6935,7555,6272,2603,6159,2132,6218,6775,6692,5461,5564,4336,6794,6212,5317,3645,4141,5437,5072,6185,4181,3235,5174,5313,4828,5916,5100,5550,6799,2987,3200,6197,4655,3634,4830,4985,5280,5893,5756,4640
Eastbury	Barking and Dagenham	London,3118,4143,5651,4921,6452,4450,4424,5253,2817,6066,6711,5411,1903,5657,728,5920,5867,6147,4600,4703,3827,6607,6230,4336,2784,3314,4576,4211,5204,3672,2374,4133,4410,3907,5235,5095,5679,5458,2126,3343,5276,3794,2953,4338,4064,5042,5032,4903,3651
Gascoigne	Barking and Dagenham	London,3202,4227,5735,5005,6056,4354,4508,5097,3159,6150,6795,5484,1516,5741,524,6004,5423,6231,4684,4787,3911,6691,5212,4005,2533,3398,4660,4295,5288,3657,2458,4217,4494,3991,5439,4459,4738,5542,1714,2680,5360,3878,2447,3951,4148,4048,5116,4987,3735
Goresbrook	Barking and Dagenham	London,3425,4410,5918,5128,6419,4717,4571,5460,3088,6513,6961,5678,2340,5924,1483,6418,6134,6313,4747,4970,4154,7114,6497,4603,3051,3461,4843,4478,5563,3819,2641,4580,4679,4294,5502,4506,4956,5837,2878,3198,5543,4061,3220,4694,4211,4806,5359,5021,3978
Heath	Barking and Dagenham	London,4286,5224,6884,6283,6433,4731,5432,5354,733,6347,7996,6479,1891,6959,2918,5630,6982,6104,5668,5682,4866,7675,5542,5524,3852,4382,5644,5279,6392,3593,3442,5381,5520,5035,6357,4820,5757,6219,3824,2612,6404,5096,3841,4148,5192,5721,6100,5963,4839
Longbridge	Barking and Dagenham	London,2521,3486,5180,4324,5795,3613,3647,4416,2813,5649,6037,4239,1076,4700,387,5023,4742,5209,3763,4046,2990,4999,5061,4004,1972,2477,3739,3554,4547,2839,1657,3896,3753,3310,4458,3860,3877,5366,1319,2201,4619,3137,1586,3461,3347,4205,4255,4097,3054
