,alpha
0,0.7766860366816815
1,0.7766860366816815
2,0.7766860366816815
3,0.7766860366816815
4,0.20594520887188572
5,0.3278960882647185
6,0.3160184632593949
7,0.27494762605850426
8,0.10358077558384893
9,0.5062076402286949
10,0.5062076402286949
11,1.0169740366957871
12,0.6689274531759486
13,0.33563380740984194
14,0.6169302124031271
15,0.33996645547818705
16,0.33996645547818705
17,0.3720562565064729
18,0.053287281009498644
19,0.07400755873526094
20,0.4377004233894535
21,0.8458005133265329
22,0.7208160954042023
23,1.1846555305337398
24,0.9988627433574822
25,0.9988627433574822
26,0.9988627433574822
27,0.6406485394885851
28,0.4727753937990795
29,0.4727753937990795
30,0.22190687516708607
31,0.1624289063587909
32,0.1624289063587909
33,0.2794877807363255
34,0.0760891639899979
35,0.0760891639899979
36,0.2547002355857576
37,0.2547002355857576
38,0.28891817465914094
39,0.41264448349591487
40,0.4541436837705637
41,0.3532908148255357
42,0.3532908148255357
43,1.2248335159842854
44,1.204444781587096
45,0.5413814903174062
46,0.5413814903174062
47,0.5963311833958027
48,0.5681075932614473
49,0.18583490738149794
50,0.2141473919638049
51,0.2141473919638049
52,0.2141473919638049
53,0.2141473919638049
54,0.2141473919638049
55,0.2141473919638049
56,0.6515927504045276
57,0.08900490125998761
58,0.23644558043941888
59,0.34864880420015726
60,0.40844979823344546
61,0.35211087651302636
62,0.5185067840777907
63,0.2516680071409303
64,0.23119312750779653
65,0.4211163486154078
66,0.9422606057770818
67,0.9422606057770818
68,0.6014844153509418
69,0.6014844153509418
70,0.8594720647619507
71,0.871542783563003
72,0.9673164145354372
73,0.544868425273486
74,0.3857727147248899
75,0.3857727147248899
76,0.3857727147248899
77,0.3857727147248899
78,0.439562420114175
79,0.439562420114175
80,0.3352212885426859
81,0.0826929203055417
82,0.0007090422514332007
83,0.0007090422514332007
84,0.3478649362600274
85,0.08758467954385074
86,0.06800915929877227
87,0.333571731182103
88,0.333571731182103
89,0.333571731182103
90,0.34116127813396957
91,0.34116127813396957
92,0.02374822568374796
93,0.24137641803744994
94,0.21982864841270017
95,0.21982864841270017
96,0.21982864841270017
97,0.14560700872514154
98,0.3506318675879154
99,0.26360903542701425
100,0.01181508040842083
101,0.02903677812711753
102,0.02903677812711753
103,0.013476341215829246
104,0.31727979334522327
105,0.3071732096472057
106,0.03733627302757986
107,0.08851522246467122
108,0.08851522246467122
109,0.08851522246467122
110,0.2848899134173509
111,0.2848899134173509
112,0.2848899134173509
113,0.08683670539661958
114,0.08683670539661958
115,0.20608423703597367
116,0.33682687849675996
117,0.13949170576883985
118,0.06855926669991472
119,0.1971282413509691
120,0.1971282413509691
121,0.1971282413509691
122,0.1971282413509691
123,0.49335472748516596
124,0.6010012198132069
125,0.6010012198132069
126,0.6010012198132069
127,0.6855293522999382
128,0.6558797958746627
129,0.05766976113057165
130,0.0895248724741507
131,0.39513473845124375
132,0.018254184442326182
133,0.04956319441543722
134,0.2709341120191721
135,0.12326109750231623
136,0.11835674831925042
137,0.12656053083833382
138,0.12656053083833382
139,0.2875468892931373
140,0.4397089204363437
141,0.4397089204363437
142,0.19145718678112056
143,0.14272572593184787
144,0.14272572593184787
145,0.2983069330090563
146,0.004320018213013921
147,0.549507479218718
148,0.5347552513815625
149,0.43506505818359575
150,0.033982502718022
151,0.033982502718022
152,0.033982502718022
153,0.08198123492369662
154,0.08198123492369662
155,0.24135339585311238
156,0.24135339585311238
157,0.6863973420666294
158,0.6590746266227315
159,0.6590746266227315
160,0.6590746266227315
161,0.5831950209585953
162,0.11661434648517599
163,0.21319727866616356
164,0.21319727866616356
165,0.5737918598362379
166,0.5866954407387512
167,0.5866954407387512
168,0.6915224805358388
169,0.6535422140466486
170,0.6535422140466486
171,0.4650021083254062
172,0.8191823947445336
173,0.9264328432222597
174,1.2138431963136693
175,1.2138431963136693
176,0.6326383434249315
177,0.6720323888535535
178,0.8652820887656124
179,0.458734951801747
180,0.22135615388450985
181,0.15638180250636236
182,0.15638180250636236
183,0.15638180250636236
184,0.12962834306194954
185,0.12962834306194954
186,0.12962834306194954
187,0.2091279065221418
188,0.2091279065221418
189,0.19294843051289023
190,0.09075128645985563
191,0.07357454825280406
192,0.07357454825280406
193,0.02237121259468019
194,0.7525027362448976
195,0.7830202158187496
196,0.7418496448598738
197,0.784514534940795
198,0.5169256681035177
199,0.5169256681035177
200,0.672119968740424
201,0.6211706777145573
202,0.2891833490579419
203,0.2891833490579419
204,0.1618048067469637
205,0.47481404627172996
206,0.47481404627172996
207,0.47481404627172996
208,0.47481404627172996
209,0.2585123043627229
210,0.3004587741953964
211,0.3662517863414307
212,0.10273987469406964
213,0.050895479561200344
214,0.050895479561200344
215,0.19008022994201468
216,0.18840759137566845
217,0.47492946243502787
218,0.47871699827790776
219,0.5896686609313107
220,0.5896686609313107
221,0.3581198132569111
222,0.09620406404757864
223,0.09620406404757864
224,0.17042480489201856
225,0.030097800118241508
226,0.030097800118241508
227,0.10762376841610685
228,0.10762376841610685
229,0.05873602848486892
230,0.05873602848486892
231,0.05873602848486892
232,0.0074386939981754
233,0.13569452792285192
234,0.019234800647821862
235,0.1541654616538895
236,0.14011130097211327
237,0.1279258083611081
238,0.4318265435171066
239,0.4981837520805973
240,0.6470434465853898
241,0.3098572968694117
242,0.1956004716579076
243,0.03538370577186237
244,0.03538370577186237
245,0.044721499324872224
246,0.044721499324872224
247,0.34352556375378357
248,0.058844346594954855
249,0.19635334054183343
250,0.16364707016840566
251,0.16364707016840566
252,0.16364707016840566
253,0.03655677882134406
254,0.03655677882134406
255,0.38780140697062204
256,0.47400722083726876
257,0.27676083659665063
258,0.27676083659665063
259,0.3944307411181116
260,0.029162565893934622
261,0.20791650873129425
262,0.44766189393932465
263,0.29589480851002214
264,0.6292079027850747
265,0.7843535653561104
266,0.5854168455791785
267,0.5691278452621993
268,0.4622541182463969
269,0.24433970723006776
270,0.3543109788989411
271,0.284953928434062
272,0.49785812501386273
273,0.4711050307590583
274,0.3726752319314748
275,0.5725477111942837
276,0.7727825825029978
277,0.1322827955803042
278,0.24809610016698613
279,0.24809610016698613
280,0.05039297667918158
281,0.05039297667918158
282,0.17218579748615442
283,0.057119403312030734
284,0.24822491358262672
285,0.17682563974270327
286,0.07865105036393155
287,0.07738112484268334
288,0.0072833538230335365
289,0.0072833538230335365
290,0.0072833538230335365
291,0.08145705661568872
292,0.032772145840935504
293,0.45366845755439666
294,0.8838559596180661
295,0.8838559596180661
296,0.6978736836978575
297,0.4921153099185874
298,0.4921153099185874
299,0.06875165492136143
300,0.13651832593843605
301,0.27423455186134316
302,0.27423455186134316
303,0.27423455186134316
304,0.3842835740356686
305,0.5954763631799934
306,0.03180078969846045
307,0.24362865056156263
308,0.006917515285617987
309,0.006917515285617987
310,0.0036852672541040827
311,0.0036852672541040827
312,0.09584354694754314
313,0.1402815179032953
314,0.44943678885079436
315,0.44943678885079436
316,0.44943678885079436
317,0.44943678885079436
318,0.3186663523962166
319,0.5302856579612939
320,0.31417969514725963
321,0.017165368112551482
322,0.20652064057164807
323,0.42072032520315583
324,0.42072032520315583
325,0.7435714862532115
326,0.7435714862532115
327,0.6232666965971108
328,0.9768083471215359
329,1.0030362437124587
330,1.4031819527065874
331,1.5949664227859701
332,1.5949664227859701
333,1.6123061984377907
334,1.6123061984377907
335,1.6123061984377907
336,1.6123061984377907
337,1.6123061984377907
338,1.6123061984377907
339,1.6123061984377907
340,1.2921770195419828
341,1.0313423757634639
342,1.0313423757634639
343,0.6796964506855183
344,0.6796964506855183
345,0.484502834366094
346,0.44078240508914274
347,0.3380037403771729
348,0.26015945584599615
349,0.43778210103409226
350,0.43778210103409226
351,0.12926099535067875
352,0.12926099535067875
353,0.12926099535067875
354,0.12926099535067875
355,0.18548225687519931
356,0.1817063513790751
357,0.1817063513790751
358,0.2997398299986035
359,0.08791607921578459
360,0.026967185113418904
361,0.237427019565096
362,0.1382652379242283
363,0.4078343176438879
364,0.3089733335647778
365,0.3089733335647778
366,0.360860946569593
367,0.15439835982871608
368,0.15439835982871608
369,0.15439835982871608
370,0.27803980969048636
371,0.012011639833861887
372,0.18889177511715735
373,0.14737640093998522
374,0.20081210065364336
375,0.6125609916680868
376,0.6125609916680868
377,0.5125889006969312
378,0.44792211107098673
379,0.8269622505759874
380,0.7865109829480555
381,0.7865109829480555
382,0.9469581767276698
383,0.7493253947299707
384,0.7493253947299707
385,0.5111511033754645
386,0.5111511033754645
387,0.5111511033754645
388,0.6657222820873694
389,0.6657222820873694
390,0.6657222820873694
