,alpha
0,1.17097421
1,1.17093181632977
2,1.17093181632977
3,1.17093181632977
4,1.17093181632977
5,1.1703505240796601
6,1.1703505240796601
7,1.1703505240796601
8,1.1700092972112073
9,1.1698180255108954
10,1.1698180255108954
11,1.1665347729238138
12,1.1665347729238138
13,1.1697303492406006
14,1.1697303492406006
15,1.1697303492406006
16,1.1697303492406006
17,1.1620654176734126
18,1.1690136789573897
19,1.1690136789573897
20,1.1721960344166809
21,1.1639822844431686
22,1.1669457520090256
23,1.1593576192818724
24,1.1593576192818724
25,1.1593576192818724
26,1.1593161460112307
27,1.158197529501967
28,1.1568344975757807
29,1.1568344975757807
30,1.1568344975757807
31,1.1772527665260746
32,1.1772527665260746
33,1.1772527665260746
34,1.1760553444829889
35,1.1760553444829889
36,1.1760553444829889
37,1.1760553444829889
38,1.1739799734374061
39,1.1739799734374061
40,1.1691696063341648
41,1.1691696063341648
42,1.17497475389948
43,1.1815517395026922
44,1.1815517395026922
45,1.1815517395026922
46,1.1815517395026922
47,1.16592397214963
48,1.16592397214963
49,1.16592397214963
50,1.16592397214963
51,1.16592397214963
52,1.1748702785173863
53,1.174672998055117
54,1.174672998055117
55,1.1792416814654572
56,1.1792416814654572
57,1.1773193366663233
58,1.1773193366663233
59,1.1763117912043979
60,1.1763117912043979
61,1.1847432146595092
62,1.1822655427420938
63,1.1699472785874625
64,1.1699472785874625
65,1.1819127521593655
66,1.1819127521593655
67,1.1819127521593655
68,1.1819127521593655
69,1.1819127521593655
70,1.1819127521593655
71,1.169904160108083
72,1.169904160108083
73,1.169904160108083
74,1.169904160108083
75,1.169904160108083
76,1.173374876992138
77,1.173374876992138
78,1.173374876992138
79,1.173374876992138
80,1.173374876992138
81,1.1680284290743579
82,1.1680284290743579
83,1.1659931194980022
84,1.1731003670487279
85,1.1731003670487279
86,1.1676773509859515
87,1.1648484635076113
88,1.1607935709573058
89,1.1645914368322943
90,1.1645914368322943
91,1.1644299202919872
92,1.1644299202919872
93,1.1644299202919872
94,1.1776966309862
95,1.1776966309862
96,1.1776966309862
97,1.1776966309862
98,1.1776966309862
99,1.1776966309862
100,1.1773947845920762
101,1.1773947845920762
102,1.1773947845920762
103,1.1773947845920762
104,1.1773947845920762
105,1.1716389459303664
106,1.1716389459303664
107,1.1716389459303664
108,1.1716389459303664
109,1.1716389459303664
110,1.1716389459303664
111,1.1716389459303664
112,1.1729365183756575
113,1.1729365183756575
114,1.1729365183756575
115,1.176620352147818
116,1.176620352147818
117,1.176620352147818
118,1.1748800078510555
119,1.1684592955271935
120,1.1684592955271935
121,1.1653876754955714
122,1.1686777670190378
123,1.1686777670190378
124,1.172930344644535
125,1.172930344644535
126,1.172930344644535
127,1.172930344644535
128,1.165541803413342
129,1.1793912923597982
130,1.1744857344024997
131,1.1733915615716528
132,1.1733915615716528
133,1.1733915615716528
134,1.1773858937645394
135,1.1773858937645394
136,1.1749898164403918
137,1.1699303928844627
138,1.1699303928844627
139,1.1699303928844627
140,1.1699303928844627
141,1.1699303928844627
142,1.1699303928844627
143,1.1699303928844627
144,1.1699303928844627
145,1.1699303928844627
146,1.1699303928844627
147,1.1701809124063405
148,1.1787435564240294
149,1.1787435564240294
150,1.1724224065632234
151,1.1724224065632234
152,1.174557489364433
153,1.174557489364433
154,1.174557489364433
155,1.174557489364433
156,1.1721958020047385
157,1.1721958020047385
158,1.1718028153614435
159,1.1676873639539598
160,1.1676873639539598
161,1.174727219072338
162,1.174727219072338
163,1.174727219072338
164,1.174727219072338
165,1.1707480004397006
166,1.1707480004397006
167,1.1722163453436905
168,1.1722163453436905
169,1.1722163453436905
170,1.1722163453436905
171,1.1762554022121245
172,1.1761555810352886
173,1.1761555810352886
174,1.1732866807108207
175,1.1753893093803094
176,1.1753893093803094
177,1.1721010425618759
178,1.1791420200423435
179,1.1791420200423435
180,1.1764334165266546
181,1.1744298686809276
182,1.1751808724354849
183,1.1751808724354849
184,1.1751808724354849
185,1.1698616163616844
186,1.1698616163616844
187,1.1698616163616844
188,1.1698616163616844
189,1.1698616163616844
190,1.1698616163616844
191,1.1706559362790683
192,1.1656623428172133
193,1.1656623428172133
194,1.1647564508777828
195,1.1647564508777828
196,1.1687382450928478
197,1.1687382450928478
198,1.1687382450928478
199,1.1664467312780717
200,1.17587997762755
201,1.17587997762755
202,1.17587997762755
203,1.17587997762755
204,1.195829094291846
205,1.195829094291846
206,1.195829094291846
207,1.1897057039056955
208,1.1897057039056955
209,1.1897057039056955
210,1.1897057039056955
211,1.1856950199819982
