,beta
0,0.25761399
1,0.2520293361816453
2,0.2520293361816453
3,0.2520293361816453
4,0.2520293361816453
5,0.24506083963221775
6,0.24506083963221775
7,0.24506083963221775
8,0.2421746715958684
9,0.2422766803799522
10,0.2422766803799522
11,0.24068823066082973
12,0.24068823066082973
13,0.24223212705687364
14,0.24223212705687364
15,0.24223212705687364
16,0.24223212705687364
17,0.241934512884454
18,0.2504817975462976
19,0.2504817975462976
20,0.25300199965630943
21,0.2431028802895936
22,0.25326058532857837
23,0.2514437398839021
24,0.2514437398839021
25,0.2514437398839021
26,0.24450930678246738
27,0.2385802154474973
28,0.2437583151449187
29,0.2437583151449187
30,0.2437583151449187
31,0.2610925058721568
32,0.2610925058721568
33,0.2610925058721568
34,0.26658687343514376
35,0.26658687343514376
36,0.26658687343514376
37,0.26658687343514376
38,0.26565729897836465
39,0.26565729897836465
40,0.26094815382706527
41,0.26094815382706527
42,0.25608983479708425
43,0.2580185691704235
44,0.2580185691704235
45,0.2580185691704235
46,0.2580185691704235
47,0.2469965287175787
48,0.2469965287175787
49,0.2469965287175787
50,0.2469965287175787
51,0.2469965287175787
52,0.25338074206683003
53,0.26194056274585115
54,0.26194056274585115
55,0.25995073870597046
56,0.25995073870597046
57,0.25626739804145815
58,0.25626739804145815
59,0.2614572446123653
60,0.2614572446123653
61,0.260698121178437
62,0.2552255182860785
63,0.2498996846476591
64,0.2498996846476591
65,0.2610896739187677
66,0.2610896739187677
67,0.2610896739187677
68,0.2610896739187677
69,0.2610896739187677
70,0.2610896739187677
71,0.24798133352224294
72,0.24798133352224294
73,0.24798133352224294
74,0.24798133352224294
75,0.24798133352224294
76,0.252091341193539
77,0.252091341193539
78,0.252091341193539
79,0.252091341193539
80,0.252091341193539
81,0.2538971461091704
82,0.2538971461091704
83,0.2638450915107885
84,0.26625017287085634
85,0.26625017287085634
86,0.25793636603541564
87,0.2603053205981045
88,0.25164492066198213
89,0.2576361630313026
90,0.2576361630313026
91,0.25051567673291214
92,0.25051567673291214
93,0.25051567673291214
94,0.2529571542541353
95,0.2529571542541353
96,0.2529571542541353
97,0.2529571542541353
98,0.2529571542541353
99,0.2529571542541353
100,0.26604582655251513
101,0.26604582655251513
102,0.26604582655251513
103,0.26604582655251513
104,0.26604582655251513
105,0.2654179776199194
106,0.2654179776199194
107,0.2654179776199194
108,0.2654179776199194
109,0.2654179776199194
110,0.2654179776199194
111,0.2654179776199194
112,0.27011924946350047
113,0.27011924946350047
114,0.27011924946350047
115,0.2704742786148595
116,0.2704742786148595
117,0.2704742786148595
118,0.271940683272349
119,0.26064919768585076
120,0.26064919768585076
121,0.2575954618001336
122,0.26250384444154884
123,0.26250384444154884
124,0.25780522356532715
125,0.25780522356532715
126,0.25780522356532715
127,0.25780522356532715
128,0.25264667977151534
129,0.266038725292359
130,0.25543868688646537
131,0.25402578123684005
132,0.25402578123684005
133,0.25402578123684005
134,0.25982168971423286
135,0.25982168971423286
136,0.26009172685222737
137,0.2533484774573743
138,0.2533484774573743
139,0.2533484774573743
140,0.2533484774573743
141,0.2533484774573743
142,0.2533484774573743
143,0.2533484774573743
144,0.2533484774573743
145,0.2533484774573743
146,0.2533484774573743
147,0.2652961310800802
148,0.2655792053240006
149,0.2655792053240006
150,0.26156926053285123
151,0.26156926053285123
152,0.26199278898862177
153,0.26199278898862177
154,0.26199278898862177
155,0.26199278898862177
156,0.2679270791103847
157,0.2679270791103847
158,0.26602239473097494
159,0.2552979745316238
160,0.2552979745316238
161,0.26379803354703985
162,0.26379803354703985
163,0.26379803354703985
164,0.26379803354703985
165,0.2637525448258016
166,0.2637525448258016
167,0.26541141915986427
168,0.26541141915986427
169,0.26541141915986427
170,0.26541141915986427
171,0.2648724950280815
172,0.2625850885195778
173,0.2625850885195778
174,0.2630854004937001
175,0.2619355342108585
176,0.2619355342108585
177,0.25523542456358606
178,0.25732460041385186
179,0.25732460041385186
180,0.2659747167775776
181,0.2670175762884059
182,0.26127969581891014
183,0.26127969581891014
184,0.26127969581891014
185,0.263572578747664
186,0.263572578747664
187,0.263572578747664
188,0.263572578747664
189,0.263572578747664
190,0.263572578747664
191,0.26404829393063317
192,0.2532006081908852
193,0.2532006081908852
194,0.25168284834735655
195,0.25168284834735655
196,0.2550762089031476
197,0.2550762089031476
198,0.2550762089031476
199,0.2569404829614582
200,0.26417413472934836
201,0.26417413472934836
202,0.26417413472934836
203,0.26417413472934836
204,0.27926125680936914
205,0.27926125680936914
206,0.27926125680936914
207,0.27661925403608006
208,0.27661925403608006
209,0.27661925403608006
210,0.27661925403608006
211,0.2735809669118073
212,0.2735809669118073
213,0.2735809669118073
214,0.2735809669118073
215,0.2735809669118073
216,0.2735809669118073
217,0.2735809669118073
218,0.26060936462262313
219,0.26060936462262313
220,0.26060936462262313
221,0.25991382958824527
222,0.25991382958824527
223,0.2634333379225377
224,0.2562769395061045
225,0.25533266302180235
226,0.25226851588832794
227,0.25604810194020694
228,0.26034962103878906
229,0.26034962103878906
230,0.2551818007243313
231,0.2551818007243313
232,0.2574880938203714
233,0.25929027127844223
234,0.25929027127844223
235,0.25929027127844223
236,0.2576408506099149
237,0.2535430111116799
238,0.2535430111116799
239,0.2535430111116799
240,0.2535430111116799
241,0.25116597450073
242,0.25116597450073
243,0.25116597450073
244,0.25116597450073
245,0.25116597450073
246,0.2552963388860528
247,0.2552963388860528
248,0.26304809726835754
249,0.2518890311237097
250,0.2518890311237097
251,0.25451265818041613
252,0.25451265818041613
253,0.25231657039520367
254,0.25231657039520367
255,0.25231657039520367
256,0.2524315536087802
257,0.25169896896376664
258,0.2565600165921127
259,0.2565600165921127
260,0.2565600165921127
261,0.2565600165921127
262,0.2565600165921127
263,0.258542571487112
264,0.258542571487112
265,0.2524123862669053
266,0.2524123862669053
267,0.2517404523805729
268,0.2607354398940497
269,0.2650233370323352
270,0.2650233370323352
271,0.2650233370323352
272,0.26617453410986724
273,0.26617453410986724
274,0.26617453410986724
275,0.26617453410986724
276,0.26617453410986724
277,0.26617453410986724
278,0.26617453410986724
279,0.26711240060935865
280,0.26711240060935865
281,0.26433721909600033
282,0.2581623078315976
283,0.2581623078315976
284,0.2581623078315976
285,0.2581623078315976
286,0.25191042141219006
287,0.25191042141219006
288,0.2598259403883823
289,0.2598259403883823
290,0.2598259403883823
291,0.2598259403883823
292,0.2598259403883823
293,0.26299963735226156
294,0.267249638010764
295,0.267249638010764
296,0.25998518403510795
297,0.25998518403510795
298,0.25998518403510795
299,0.25998518403510795
300,0.2573022750987815
301,0.25525547949727434
302,0.25525547949727434
303,0.25525547949727434
304,0.25525547949727434
305,0.25525547949727434
306,0.25696338680438596
307,0.25696338680438596
308,0.25696338680438596
309,0.25095500464872345
310,0.25095500464872345
311,0.25095500464872345
312,0.25095500464872345
313,0.25095500464872345
314,0.252110631957252
315,0.2461951481664205
316,0.2461951481664205
317,0.24578961521647805
318,0.25223820445869605
319,0.25223820445869605
320,0.25223820445869605
321,0.25223820445869605
322,0.2557045821483843
323,0.2578594311211393
324,0.2578594311211393
325,0.2588599117169619
326,0.2588599117169619
327,0.2588599117169619
328,0.2676625684462259
329,0.26541265156066546
330,0.2619851783669812
331,0.25854135856580346
332,0.25854135856580346
333,0.25854135856580346
334,0.25854135856580346
335,0.25854135856580346
336,0.25854135856580346
337,0.25567206498133654
338,0.25567206498133654
339,0.2610650902392801
340,0.25487284467725746
341,0.2624220180938846
342,0.2624220180938846
343,0.2624220180938846
344,0.27359440615966235
345,0.27359440615966235
346,0.27359440615966235
347,0.26138357389795924
348,0.26138357389795924
349,0.26138357389795924
350,0.26138357389795924
351,0.26138357389795924
352,0.26138357389795924
353,0.2667520890439663
354,0.2720785053061343
355,0.2669021299635086
356,0.27212933961553903
357,0.2691140351002093
358,0.26659280839133753
359,0.26851163663422195
360,0.26851163663422195
361,0.26314203002267683
362,0.26314203002267683
363,0.26314203002267683
364,0.26146007614291406
365,0.2452666159106079
366,0.2452666159106079
367,0.2452666159106079
368,0.2452666159106079
369,0.24409532530217914
370,0.24409532530217914
371,0.24409532530217914
372,0.2425890494918112
373,0.24676205547191943
374,0.24676205547191943
375,0.24598862453252784
376,0.24598862453252784
377,0.24598862453252784
378,0.251737450950976
379,0.251737450950976
380,0.251737450950976
381,0.2580244652310814
382,0.2580244652310814
383,0.2615144952921334
384,0.2615144952921334
385,0.2601049344445319
386,0.2601049344445319
387,0.2601049344445319
388,0.2601049344445319
389,0.2601049344445319
390,0.2598085590895304
391,0.2598085590895304
392,0.2546641615787868
393,0.2520887055135679
394,0.25186299838652426
395,0.25186299838652426
396,0.25186299838652426
397,0.25186299838652426
398,0.25186299838652426
399,0.2538527443869718
400,0.2522637076178279
401,0.2522637076178279
402,0.25367245265194305
403,0.25367245265194305
404,0.25620872120794325
405,0.24645982921124174
406,0.25457383366711084
407,0.2568337608555768
408,0.24950673730509698
409,0.24950673730509698
410,0.25069620174942636
411,0.25069620174942636
412,0.25321581972560075
413,0.2516131309832608
414,0.26339769572679766
415,0.26339769572679766
416,0.2665889038646883
417,0.2665889038646883
418,0.2665889038646883
419,0.2665889038646883
420,0.26540137908139
421,0.26540137908139
422,0.2600152821273584
423,0.26880438631492043
424,0.26880438631492043
425,0.26880438631492043
426,0.2609574429323002
427,0.2609574429323002
428,0.2609574429323002
429,0.263605571841595
430,0.263605571841595
431,0.2603754829140269
432,0.26357406725738275
433,0.26873628931012233
434,0.26873628931012233
435,0.27363084686487044
436,0.2730207771714647
437,0.2730207771714647
438,0.263390151707825
439,0.26534328730972645
440,0.26742270439107774
441,0.26742270439107774
442,0.26725907171597474
443,0.26922513352538746
444,0.26922513352538746
445,0.25168197014332966
