row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
City of London	City of London	London,3675,5998,17239,17920,20522,11577,11043,22172,21906,30427,23613,21703,13761,22520,14071,19936,22782,19717,10026,21469,5370,23628,20179,16502,14157,6048,10613,10368,13575,3411,1860,8193,7427,6944,11571,10968,12271,17498,12409,8847,17460,6272,5327,12220,9475,12845,12675,10998,7818
Abbey	Barking and Dagenham	London,24987,25870,16260,28116,39697,32839,33336,42466,28583,53449,44416,41541,20620,43105,19212,41857,4846,40372,31134,15715,27195,42958,31779,9380,4854,20500,31813,28816,36191,23975,18978,32612,25620,20573,24735,14545,15243,33430,11772,15630,37370,16346,13886,20834,27853,31105,29070,29229,29106
Alibon	Barking and Dagenham	London,22260,25835,42954,41348,40038,30199,28961,39875,5255,50796,44155,40295,6896,43520,6329,40437,30328,42305,29353,39764,25752,41802,30177,22130,19794,21037,29876,29841,33412,22434,17518,27797,26409,25772,30399,25111,24646,34948,9531,14095,37297,23164,15641,21028,28292,31591,31401,29815,26354
Becontree	Barking and Dagenham	London,21593,23885,43444,40682,39371,29532,27012,39208,5730,50129,43488,38346,5145,42853,5633,39214,29646,41638,28686,40488,23803,41134,26094,20180,19127,19179,28501,28256,31463,21332,16764,26081,25743,23822,28449,23161,22696,33045,7581,13268,35347,21214,13692,16287,26672,30733,29838,28170,25687
Chadwell Heath	Barking and Dagenham	London,24934,26952,36243,43691,39521,29666,22483,39243,2706,50164,46495,44154,5564,45861,8696,34685,33565,37164,32027,39309,28325,44760,23698,23243,22468,17930,31564,31319,36274,20873,19827,29144,29189,26885,31512,26224,25759,35979,10644,12565,40406,24277,16755,14549,29735,33796,32901,31233,29028
Eastbrook	Barking and Dagenham	London,24885,26662,35656,43104,41965,32937,25939,45365,3987,56719,45909,43234,7394,45379,8083,44473,31683,42463,31107,39866,26580,44090,27154,27159,21548,21386,31277,31033,34240,24109,19272,28858,28269,26599,31226,33270,28890,35821,10358,14452,38124,23991,16469,18005,29449,33345,32614,30947,29122
Eastbury	Barking and Dagenham	London,18774,21721,40626,37863,37417,26713,23019,36389,9371,51899,40123,36178,4486,40035,2288,35221,26842,34318,25867,38524,21635,38600,24235,18012,16308,17552,26333,26088,29295,18948,14032,23913,23891,21654,26281,20993,20528,30877,4520,11404,34246,19046,11524,14619,24504,28565,27670,26002,22868
Gascoigne	Barking and Dagenham	London,17728,21032,39580,36817,35495,25619,21474,35213,10555,46134,39077,37357,3714,38989,680,33676,26191,33274,24821,37478,20946,37554,22689,17324,7703,16219,25338,25309,29198,16628,12986,23225,22845,20966,25593,20305,19840,30188,2974,9858,33200,18358,10835,13540,23761,27877,26869,25284,21822
Goresbrook	Barking and Dagenham	London,20865,23414,41716,39954,38643,28739,26537,38480,8119,49401,42760,40086,6773,42126,4962,38740,28918,40910,27958,38525,23328,40407,27753,24013,18399,18704,28026,27782,30989,20857,16123,25607,25015,23348,27975,30121,25741,32570,7107,12702,34873,20740,13217,18604,26198,30197,29363,27695,24959
Heath	Barking and Dagenham	London,24934,26948,36243,43691,39521,29666,22483,39243,2706,50164,46495,44154,5564,45861,8696,34685,33565,37164,32027,39320,28325,44760,23698,23243,22468,17930,31564,31319,36274,20873,19827,29144,29189,26885,31512,26224,25759,35993,10644,12565,40406,24277,16755,14549,29735,33796,32901,31233,29028
Longbridge	Barking and Dagenham	London,16757,21200,23547,35859,35411,24659,21406,34253,9347,45174,38663,37763,2403,38029,820,32836,23823,32109,22983,36518,18803,35932,22622,17543,8493,15535,24360,24349,28238,15609,12016,23177,21885,21185,25812,20175,20059,30407,2907,9791,32240,18081,11054,12232,22801,26722,25899,24324,20851
