Ward name,West End,Knightsbridge,Bromley,Croydon,Ealing,Shepherds Bush,Wood Green,Harrow,Romford,Uxbridge,Hounslow,Kingston,Ilford,Sutton,Barking,Edgware,Bexleyheath,Wembley,Kilburn,Orpington,Camden Town,Southall,Enfield Town,Eltham,Woolwich,Dalston,Fulham,Hammersmith,Chiswick,Angel,Nags Head,Kensington High Street ,King's Road (east),Brixton,Streatham,Catford,Lewisham,Wimbledon,East Ham,Stratford,Richmond,Peckham,Canary Wharf,Walthamstow,Clapham Junction,Putney,Tooting,Wandsworth,Queensway/ Westbourne Grove
City of London,2968.0120615258206,5292.262321334125,13849.946979064245,15150.745755020489,17390.914444123457,9272.521318379726,9437.74251300962,18942.295813801033,19965.644178403316,27181.84199613773,20356.758142917213,18295.7458932465,12571.474271721914,18236.083421511354,11846.543562094823,16495.29233252363,17174.20979604225,15389.43376286464,7454.48638903773,19962.807411313293,4639.074838234483,19809.55244160944,15578.46534655521,12049.432338755258,11266.98974005251,4180.111485719165,8595.015545198778,9484.743113033697,12501.66664545569,2670.002231029905,1639.3744258236225,7435.480906242423,6532.336184159058,5928.7408587669315,9668.286463163782,8987.130379393418,9606.143128720643,13781.076438020118,10295.894141139865,7377.302170222868,15786.544490483788,4503.991724016593,4731.0140803383165,10041.333734632146,7619.575631836504,10463.668644854262,11490.502676906352,8792.084377056639,6718.583874690725
Barking and Dagenham - Abbey,18364.598214458627,20216.30396558383,11519.384670050216,19507.743591742536,32727.94119027197,24418.192518749725,20659.185225743942,34195.7953753451,11174.799540025599,42572.14829167335,34669.17683839032,30582.966941187377,8995.556198722086,25933.742177640765,7006.824074284855,30697.43124186879,3286.5797307789057,30788.44460768665,22804.513004429467,12114.220885764638,19655.15548182155,35004.12742117983,23737.355683949823,6140.888752529342,4147.419984588735,15426.375282597246,22715.552258849188,24254.83533730883,27249.385381812932,17114.382228157305,14028.244639348297,22433.093477771956,20833.047126239966,16909.32314668994,18356.21935380837,10954.620468649364,10564.238153489934,25056.251187913145,7146.542893389806,11747.86097000049,29871.021224000215,13558.773414903457,10693.429068576319,15604.070303223785,20658.994815246424,23905.79141631956,21496.826821852654,21514.90187174047,22055.27754988684
Barking and Dagenham - Alibon,20079.72663219672,22539.6258605126,18444.316072096386,25762.641575458427,34217.58124386705,26460.56412544852,18827.404070694854,34334.61431779694,3750.8717067996913,43666.52281629183,37596.672263884066,34764.49711080282,5324.593985170683,31668.223477808955,5405.897847231039,29587.89735895915,10525.508238190023,31582.530762537695,23751.056414228457,19622.586129788353,20384.561707902256,36827.12232036186,19839.085907729328,12736.250069847008,8707.401935009606,15350.9459056436,25685.004331824646,26736.105224496678,29753.69951999138,17911.317668090476,15619.539899691112,24683.22630820724,23635.529081364417,20855.800748260106,23288.145420302924,16518.90343618318,16358.383039133352,29530.328860183276,6990.992764337363,10739.332340752035,32963.627487728656,17338.390891127547,13010.658942610562,12617.748535056911,24142.35624620806,27316.821831801793,26259.787123249742,25194.657310409195,23795.87580601555
Barking and Dagenham - Becontree,18732.803388434582,21230.460206106563,18017.26901108441,25060.28277146147,32811.37758705179,25109.974359156065,17364.12054255329,32874.82598034192,4405.413431928466,42231.270262103804,36294.50287860753,33616.49727732386,3857.004878858352,30807.631245808792,4128.686816663663,28121.301777484226,10807.686318811411,30145.6111293842,22336.324496092417,19692.063518028765,18969.559531525156,35437.55536989297,18503.763157165282,12303.192243994084,8080.089815173868,13919.624686860958,24423.369162852818,25421.878846602165,28431.308368756512,16512.369248687868,14300.902027208487,23356.856831759083,22367.03182928735,19747.48023917483,22314.767362497063,15748.49991535418,15640.636953635938,28444.27209259611,5762.963789587688,9300.95488500557,31688.63062699108,16247.248263984118,11812.69230878241,11173.465467393105,22947.906455188364,26096.96557900874,25237.001564137398,24018.644833839662,22432.069916332894
Barking and Dagenham - Chadwell Heath,20092.786956325766,22700.37906630848,20521.16969578281,27424.805229383277,33841.45733481988,26418.66898126447,17546.368527490155,33458.5941137432,2567.4740182243168,43051.63864282249,37732.992455601074,35431.84411822639,4864.563020173263,33030.4083797168,6057.548314138116,28326.463637265224,13222.212117144003,30982.821533204387,23361.051630052963,22196.297887320645,20016.35629702186,36546.4121413177,17769.38118753205,14813.515333232466,10543.39215238514,14915.963102920721,26012.3076676592,26855.069195447315,29826.50136538359,17669.9975042688,15799.880907940373,24759.879430562378,23947.39371289771,21678.150164723444,24429.851752025428,18086.709489741355,18016.426172218788,30380.86208823505,7692.678033497003,10343.682856151356,33217.23602270316,18226.539349078197,13646.531581782969,11189.293132956207,24701.21128132675,27781.756133624902,27277.95761641547,25805.712942718328,23702.697964569114
Barking and Dagenham - Eastbrook,21100.88852651435,23572.506969711674,19308.954641796372,26720.208595381555,35207.31359995322,27480.83673078395,19638.649870112982,35248.32121630291,2989.5279400192812,44627.12095132786,38631.93656722719,35810.703741272126,6218.461167799206,32668.91633580171,6438.899796031536,30416.072653712778,11063.176209811423,32541.103443882057,24733.58498025571,20242.63975918352,21366.7908616597,37828.49920194948,20392.830031640467,13616.8425673433,9669.22579590189,16316.955939526966,26726.85412204852,27768.017367568053,30783.56643455132,18905.8312734375,16649.10564260157,25711.639171996565,24676.312340940367,21900.313026166208,24315.147824899635,17503.42504869048,17328.256527207046,30572.31499548059,8033.101788186548,11697.21602864296,34003.862334576,18382.011697864047,14056.819192767243,13373.392371860944,25189.073551977915,28362.6018031729,27294.25864231987,26241.5700473487,24810.43076365268
Barking and Dagenham - Eastbury,16261.417796230346,18665.8599877855,15435.586792076248,22263.186040703047,30517.52611495248,22638.643193803928,15989.956689635244,30952.4707573264,7257.812767627117,40077.04371646831,33708.04421562438,30839.193403441048,2980.6309445136076,27958.25850214106,1660.6584761111449,26582.437415434026,9364.205844270795,28017.442870267292,20099.80465613641,17703.022360802788,16745.67904117618,33076.50686942714,18105.998376527146,9765.101202048147,5420.744377150853,11822.12030638898,21772.05655433832,22864.207790742686,25889.056701002286,14224.838389324203,11769.312795018024,20827.497566756298,19727.349969925028,16941.25326636652,19463.151107436355,12932.777761972997,12850.201544152615,25627.575207064277,3096.4524602278734,7332.445774818275,29056.09476236806,13430.126829129145,9081.873015048506,10205.33959564339,20211.659795126157,23388.79159708111,22395.46314290346,21264.314196516567,20001.869622054604
Barking and Dagenham - Gascoigne,14957.077645664778,17356.15091252914,14720.53446935325,21270.66681378589,29231.278369848664,21332.86242105448,14982.120516913084,29743.38045420437,8427.625797993514,38812.61566187509,32398.714814270184,29567.36056001551,2811.982014511569,26842.724785715025,666.8069986736867,25487.316848658487,9553.050533469337,26762.529360391425,18828.29611975075,17443.554926570225,15480.111971804121,31780.371325230717,17467.500335709083,9144.366281383658,4763.054629727571,10598.745653909331,20466.347921007873,21554.49805471985,24579.511622887174,12949.75264087979,10461.73155762049,19518.530989373907,18420.315960383145,15687.018989532831,18283.49267430087,11925.325616007514,11890.11751083562,24382.785551265013,1787.4061134212989,6188.7409777235325,27749.13422392908,12185.735474832241,7787.366020369288,9419.221733001546,18922.369451296556,22092.44036967236,21184.439553089658,19981.478700072865,18700.488769811607
Barking and Dagenham - Goresbrook,18442.894688288372,20822.494305018594,16429.767574515114,23694.40693700638,32712.197914675507,24816.765774902844,17983.067822808796,33114.24968232047,5775.892574588529,42269.14296291096,35848.444545111255,32836.76328633825,4542.124581698938,29609.185673887034,3840.2821467095514,28646.5046110268,9004.393042149028,30206.39013840965,22294.09915821782,17903.634462501133,18938.866607220167,35267.32319216873,19663.499847100495,10714.074141639301,6639.700506617303,13999.35261244663,23888.197322136195,25020.087045994864,28048.245051777914,16419.746745990964,13943.163027794779,22993.137841849246,21851.72784054774,18909.290493616605,21263.622991642766,14451.827471652334,14289.373951093672,27560.032578770257,5270.525507177724,9471.577426379894,31177.31274120134,15385.513029928677,11170.956447489045,12004.993681657705,22267.190325761556,25465.344031564222,24255.425378470125,23299.712006657788,22187.748383704686
Barking and Dagenham - Heath,20092.786956325766,22700.37906630848,20521.16969578281,27424.805229383277,33841.45733481988,26418.66898126447,17546.368527490155,33458.5941137432,2567.4740182243168,43051.63864282249,37732.992455601074,35431.84411822639,4864.563020173263,33030.4083797168,6057.548314138116,28326.463637265224,13222.212117144003,30982.821533204387,23361.051630052963,22196.297887320645,20016.35629702186,36546.4121413177,17769.38118753205,14813.515333232466,10543.39215238514,14915.963102920721,26012.3076676592,26855.069195447315,29826.50136538359,17669.9975042688,15799.880907940373,24759.879430562378,23947.39371289771,21678.150164723444,24429.851752025428,18086.709489741355,18016.426172218788,30380.86208823505,7692.678033497003,10343.682856151356,33217.23602270316,18226.539349078197,13646.531581782969,11189.293132956207,24701.21128132675,27781.756133624902,27277.95761641547,25805.712942718328,23702.697964569114
Barking and Dagenham - Longbridge,15221.471338474961,17697.15994885113,15690.310666441674,22141.224500529126,29385.349770025663,21602.108755197973,14637.63932111204,29691.116843815522,7776.087913634263,38889.76152800698,32759.913323720626,30121.056664707532,1863.2137236955593,27623.411545015566,632.5093759728323,25250.04127006124,10411.256175952078,26816.603859343104,18936.11917716607,18419.536507055953,15573.146297778476,31978.446407546595,16800.693469405927,10129.67864952567,5750.221823802116,10592.388273300645,20884.64275556858,21890.85192615846,24904.173978989355,13077.519872243141,10770.294994452792,19831.448194991677,18827.961108273095,16295.465307919741,19004.802523648865,12798.280687176033,12787.461031018112,25000.278814202717,2277.4742173218515,6045.530359449937,28149.5892371154,12821.644313469425,8306.160259712782,8857.092431314277,19430.1632655423,22567.25398907025,21861.03507203878,20510.43125362447,18937.779558196326
Barking and Dagenham - Mayesbrook,16243.09331559146,18637.158233724895,15313.323946700222,22158.23064390171,30511.882367895778,22618.657036597557,16046.051149729401,30973.20994930798,7347.021864176582,40081.077124289,33674.9524930716,30780.075737159452,3091.6129889577574,27866.62767729086,1686.225589952915,26626.25861304362,9238.541111072498,28024.742114489363,20100.7252853345,17571.131733111753,16748.78455475,33065.02371283734,18200.762180765923,9640.128922079057,5299.6994493239845,11837.884646870581,21732.587317918304,22835.42350179332,25861.45882701986,14224.027119336784,11746.895167382581,20802.073814934094,19689.678286664308,16877.090697995085,19382.018936590484,12830.48919916869,12743.670331677518,25560.14749911654,3072.231055685381,7364.021529776202,29018.0967230121,13363.675587528493,9034.776280520402,10285.074414906127,20160.445449315277,23341.45525482983,22320.16044665759,21209.985953959345,19986.3465293678
Barking and Dagenham - Parsloes,19171.04461520089,21632.776135960386,17853.960432540953,25047.670889437108,33314.242363323254,25551.880382748717,18022.691435988312,33464.20253887691,4383.094309780258,42773.45666065804,36690.85875051665,33888.91702726273,4488.212967191014,30889.035162522545,4498.67115610696,28768.002288523036,10322.794517245697,30690.758948180785,22850.36231604632,19301.740466618903,19484.17845274696,35920.73480443143,19220.95764270882,12136.763391399954,8008.345603779508,14457.641444424848,24784.21128974234,25828.957166924498,28846.01034696025,17007.116063766967,14711.692207295322,23775.213126499366,22733.55826036457,19989.32351053663,22465.212226193227,15770.635199826815,15632.092044977193,28671.790254571526,6090.73497026246,9851.356203415071,32061.128132803722,16475.82580812973,12119.628694473815,11859.132696693061,23254.427775502747,26423.739887547377,25420.717951257615,24311.13793326404,22887.480792077524
