row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
City of London	City of London	London,0.9457921165022649,0.9130528808970106,0.769946199350182,0.7620354454277629,0.7325509945915611,0.8389797582766546,0.8458016292510864,0.7144479936773538,0.7173358765482444,0.6303786316235045,0.6990043796630394,0.7195476381733297,0.8116470361030226,0.7106874085327686,0.8078402410525429,0.7390900907426111,0.7078692302615597,0.7415488382964539,0.8589476380351364,0.7221056189752103,0.9217901626822439,0.6988453885617886,0.7363714317782899,0.7786000262196359,0.8067873296831132,0.912360807193406,0.851335191937128,0.8545042105359644,0.8139397183584862,0.9495863175806016,0.9721866547433207,0.8831596262278459,0.8934787778328841,0.9000473952762568,0.8390561020373077,0.8467641893262163,0.8301960358909505,0.7669279260204802,0.8284604087616039,0.8744436486786333,0.7673700197445137,0.9092667506226196,0.9223914654362546,0.8308383831092255,0.866155145640609,0.8230006393221764,0.8251251557763689,0.8463790339135605,0.8881964531880253
Abbey	Barking and Dagenham	London,0.6845898386066815,0.6754836289745032,0.7814627405494002,0.6528632268843562,0.547705806776008,0.6077368243175031,0.6031734367628284,0.5251823697312552,0.6482558560018516,0.4446044736342813,0.5098788939617205,0.5326014933935612,0.7314630862391736,0.5201176028569003,0.7472497757040599,0.5300552476586273,0.9291444593004441,0.5421277718817408,0.6236558994425528,0.7879483652355084,0.6620459052537816,0.521278394092506,0.6175852733200754,0.8674039178770988,0.9290317400892151,0.7327954412194715,0.6172669159231685,0.6459692762168446,0.5776151647055773,0.6951774721500918,0.7499062371793738,0.6098325778915559,0.6780494681384999,0.7319846364367302,0.6872111111164713,0.802054021802327,0.7936087517373503,0.6023142024672721,0.8365023638596544,0.7889647255187492,0.5673792498428548,0.7804442087129098,0.8101098844927118,0.7290930624184387,0.6554723548935976,0.6239302397326114,0.6434857974199889,0.6419360402683016,0.6431345816746377
Alibon	Barking and Dagenham	London,0.713495165505091,0.6758422611025157,0.5213100164282718,0.5341626499957242,0.5448807295952708,0.6325620573909468,0.6445503705951838,0.54622931047158,0.9233991763325505,0.4628572120780578,0.5119010673141378,0.5427611995531697,0.900702809334526,0.5168544697837959,0.908481099871737,0.541593635653459,0.631325770783159,0.5264662288475509,0.6407300155181724,0.5471495791103776,0.6766934929250998,0.5304975467207226,0.6327731384802018,0.7149032010488195,0.7406834161655432,0.7268519598547964,0.6356681959468283,0.6360056890081602,0.6024786418899575,0.711614903084336,0.7666953474245313,0.6560292557563682,0.6699846649730055,0.6764882788272262,0.6306463651644473,0.6833036788691763,0.6881392743385139,0.5886067549554627,0.8654198696698077,0.8075462671689417,0.5680077245218319,0.7037802962986819,0.7888331227261314,0.7269511729892769,0.6511229975906108,0.6193485687764934,0.6211357378331083,0.6362565141283679,0.6705437266750539
Becontree	Barking and Dagenham	London,0.7207489772008561,0.6961269518188692,0.517450520515984,0.5395850787812574,0.5504203077174816,0.6389930554860095,0.6638858002064743,0.5517825990605272,0.9167713539018579,0.46756289085594305,0.5171053547833167,0.5590431248276972,0.9249408608710894,0.5221091164572209,0.9181209483909899,0.5517323936468809,0.6378892903118782,0.5318185943194826,0.6472440538818427,0.5411749126233607,0.6969931622725698,0.5358990239511111,0.6731928855052431,0.7363602645679751,0.7482136396159537,0.7476238341518583,0.6490624990971581,0.6514785758092764,0.6205519902332564,0.7236074586809446,0.7755125454939186,0.6733256178413579,0.6767858595777659,0.6967923590823778,0.6495745488620526,0.703812316148823,0.708793046902191,0.6058411853527811,0.8913945318156781,0.8177380514681439,0.5850558756653091,0.7249035175950147,0.8124967928058511,0.7811428258564712,0.6673177702640333,0.6274600847893297,0.636034625321038,0.6523287988781971,0.6773608687696806
Chadwell Heath	Barking and Dagenham	London,0.6851403064090593,0.664490156833129,0.5771598394318191,0.5155158647771522,0.5491696372547855,0.637695843978164,0.7110862986281941,0.5514897985372534,0.9597933226136106,0.4673147810762235,0.4940538761527096,0.5119088305071754,0.9190821783286343,0.4988270156436746,0.8764483846621045,0.5909590858994369,0.6010823365586953,0.5691545438304211,0.6152669007180115,0.5509380830829576,0.6507972213824714,0.5072258515070941,0.6981039081130169,0.7029376309744325,0.7112480746026136,0.7619198892151665,0.6196022211184693,0.6219086345983783,0.5768885663053486,0.7286619701784176,0.7403128302153573,0.6427640619058801,0.6423255645526327,0.6651656719443177,0.6200910294721996,0.6718670003935442,0.6766216609106325,0.5794752113269068,0.8509350525937209,0.8265027644288612,0.5418483118724058,0.6920008939404602,0.7756184006538643,0.8020053697128207,0.6370289043390364,0.5989803181349043,0.6071656691078952,0.6227202669183509,0.6438957915427402
Eastbrook	Barking and Dagenham	London,0.6856496232384638,0.6674189786918766,0.5823206717446625,0.520125490657124,0.5291878058614874,0.6068342769561454,0.6747771686580387,0.5025933346593574,0.9413276013860685,0.42309406354972573,0.49846403438580683,0.5191010789927615,0.8939260356249149,0.5024866382719736,0.884634127803887,0.5094383337678874,0.6184850513774883,0.5252062639221895,0.6239113158388371,0.5463038691506923,0.6682494670027092,0.5124059198222709,0.6624576784201532,0.662407448471478,0.7212410119824368,0.7230151200785235,0.6223048809275061,0.6246118823156872,0.5949606956957142,0.6937662013872474,0.7465701488516994,0.6455579618237312,0.6513501501694307,0.6680569448488608,0.6227863766127437,0.6037774612746586,0.6452447552258016,0.5808653669505961,0.8546338085050094,0.8031860152714019,0.5609284254746447,0.6950088113946506,0.7789897779823434,0.7610537759866542,0.6397978752709584,0.6030911166160013,0.6098140815818898,0.625427042554544,0.6429785473255094
Eastbury	Barking and Dagenham	London,0.7522298306995178,0.7193512461521208,0.5400435197721977,0.5631530606341721,0.56697498348928,0.6669029761417989,0.7053295899836893,0.5758833438601892,0.8675223159365474,0.45517924271439475,0.5441788032419731,0.5777290521393833,0.9342310038905832,0.5449055200013083,0.9658968698153548,0.5861748856062955,0.6655995732448586,0.5942573366139416,0.6755143614128598,0.5575360655677585,0.7202900475906417,0.5568938403366938,0.6924417992418541,0.7609729890034503,0.7808940938649872,0.7663001256704332,0.6707573096408149,0.6732541433318086,0.6412938415639469,0.7502474914338636,0.8083181768764879,0.6958314192604479,0.6960636128487279,0.7200825325858343,0.671286474587458,0.7273371305979404,0.7324843414825957,0.6260913303758809,0.9337494196246414,0.8411837932150785,0.5949065616076121,0.7491333020896203,0.8396543685582181,0.8011544357134195,0.6896227603357623,0.6484328380791076,0.6572939812609353,0.6741327849712455,0.7069466176919743
Gascoigne	Barking and Dagenham	London,0.7642575264374262,0.7269070765910624,0.5486784859433861,0.5721575342547954,0.5837442109685884,0.6780597510412839,0.7220508663029102,0.5862460060727948,0.8520843451580995,0.4967660774711723,0.55287989007115,0.5674911190781308,0.9452328962008882,0.5536182265877884,0.9897405853240755,0.6000713566643681,0.6722033237160334,0.6037408365158651,0.6863154236335721,0.5664507268665846,0.7278557388931368,0.5657982328461697,0.7088682943193827,0.7689543391162063,0.8897468279644007,0.7819487874904414,0.680955434155677,0.6812549799652977,0.6422379009859668,0.7771136760009791,0.8212426910264389,0.7031295418703534,0.7071932450540718,0.7276350093303425,0.6783271612571078,0.7349656960965812,0.7401668927241845,0.6326675891325262,0.9559003502326766,0.861138829802519,0.6044187543225005,0.7569904734367034,0.8484738236854298,0.8143718604871,0.697437248375597,0.6552338278384088,0.6653270905377001,0.6815133148679572,0.7182502625004173
Goresbrook	Barking and Dagenham	London,0.7287503785707113,0.701117087886986,0.5311898814635304,0.545575287474,0.5565308038034712,0.6467240333712851,0.6686853799264333,0.5579082186363352,0.8841512928511878,0.4727535445699693,0.5228460046142629,0.5444842364495233,0.9023844871716814,0.5278973098114843,0.9275113684566676,0.5557127297717637,0.6449708241090398,0.5377225833138597,0.6544294396724321,0.5575276104291781,0.7020320925306852,0.5418400946415407,0.6564671526309986,0.6947769696680828,0.7565199401870873,0.7530288001737815,0.6537549133748604,0.6561785059561013,0.6250288082206268,0.7288387976895753,0.7830880315615026,0.6781831580390397,0.684299203994785,0.7018191942480014,0.6542607428800439,0.6333107536887255,0.6768063872126869,0.6102211300146956,0.8978252759542572,0.8247873665931602,0.5892766157628644,0.7301331537218083,0.8183707595755423,0.7541716574446,0.6721319683396644,0.632581243670913,0.6406328542452495,0.6570448269554165,0.6848805966565087
Heath	Barking and Dagenham	London,0.6851403064090593,0.6645304668308013,0.5771598394318191,0.5155158647771522,0.5491696372547855,0.637695843978164,0.7110862986281941,0.5514897985372534,0.9597933226136106,0.4673147810762235,0.4940538761527096,0.5119088305071754,0.9190821783286343,0.4988270156436746,0.8764483846621045,0.5909590858994369,0.6010823365586953,0.5691545438304211,0.6152669007180115,0.5508461841831106,0.6507972213824714,0.5072258515070941,0.6981039081130169,0.7029376309744325,0.7112480746026136,0.7619198892151665,0.6196022211184693,0.6219086345983783,0.5768885663053486,0.7286619701784176,0.7403128302153573,0.6427640619058801,0.6423255645526327,0.6651656719443177,0.6200910294721996,0.6718670003935442,0.6766216609106325,0.5793521935561499,0.8509350525937209,0.8265027644288612,0.5418483118724058,0.6920008939404602,0.7756184006538643,0.8020053697128207,0.6370289043390364,0.5989803181349043,0.6071656691078952,0.6227202669183509,0.6438957915427402
Longbridge	Barking and Dagenham	London,0.7755948760363853,0.7250574412631051,0.6997043703348088,0.5805307214384835,0.5844883080138114,0.6880036217938387,0.722795858482,0.5948434113967901,0.8678381231103216,0.5040512432121576,0.5563620302478874,0.5640077471611429,0.9642138043674366,0.5617371395346097,0.9876414544355749,0.6077644744835311,0.6967817920960936,0.6145022581790801,0.7057147704182717,0.5747578307862642,0.7518990774569225,0.5798883906337404,0.7095889238723282,0.766404723362425,0.8791507378650302,0.7901022090859326,0.6911304065065814,0.6912457093367226,0.6516564377299471,0.7892160281844124,0.8334127458596152,0.7036415604473137,0.717564363845739,0.7252223957479501,0.6760780373123146,0.7364161023131288,0.7377127272762258,0.6305698582659405,0.9568721104983972,0.8620142563026427,0.6132826663364096,0.7601771189104202,0.8456605458124865,0.8306871978884419,0.7076652936846041,0.6668119582892721,0.675186620810927,0.6915078327681643,0.7289051190688179
