Ward name,Resulting origin sizes (21% of household budget) (10^8 £/a)
City of London,0.89
Barking and Dagenham - Abbey,0.36
Barking and Dagenham - Alibon,0.28
Barking and Dagenham - Becontree,0.36
Barking and Dagenham - Chadwell Heath,0.29
Barking and Dagenham - Eastbrook,0.32
Barking and Dagenham - Eastbury,0.3
Barking and Dagenham - Gascoigne,0.29
Barking and Dagenham - Goresbrook,0.3
Barking and Dagenham - Heath,0.29
Barking and Dagenham - Longbridge,0.33
Barking and Dagenham - Mayesbrook,0.27
Barking and Dagenham - Parsloes,0.25
Barking and Dagenham - River,0.28
Barking and Dagenham - Thames,0.31
Barking and Dagenham - Valence,0.3
Barking and Dagenham - Village,0.31
Barking and Dagenham - Whalebone,0.32
Barnet - Brunswick Park,0.51
Barnet - Burnt Oak,0.41
Barnet - Childs Hill,0.69
Barnet - Colindale,0.54
Barnet - Coppetts,0.56
Barnet - East Barnet,0.56
Barnet - East Finchley,0.59
Barnet - Edgware,0.5
Barnet - Finchley Church End,0.63
Barnet - Garden Suburb,0.74
Barnet - Golders Green,0.57
Barnet - Hale,0.51
Barnet - Hendon,0.6
Barnet - High Barnet,0.63
Barnet - Mill Hill,0.64
Barnet - Oakleigh,0.57
Barnet - Totteridge,0.6
Barnet - Underhill,0.51
Barnet - West Finchley,0.61
Barnet - West Hendon,0.5
Barnet - Woodhouse,0.56
Bexley - Barnehurst,0.36
Bexley - Belvedere,0.36
Bexley - Blackfen and Lamorbey,0.36
Bexley - Blendon and Penhill,0.37
Bexley - Brampton,0.36
Bexley - Christchurch,0.39
Bexley - Colyers,0.29
Bexley - Crayford,0.4
Bexley - Cray Meadows,0.36
Bexley - Danson Park,0.37
Bexley - East Wickham,0.33
Bexley - Erith,0.37
Bexley - Falconwood and Welling,0.35
Bexley - Lesnes Abbey,0.34
Bexley - Longlands,0.39
Bexley - North End,0.31
Bexley - Northumberland Heath,0.33
Bexley - St. Mary's,0.42
Bexley - St. Michael's,0.33
Bexley - Sidcup,0.42
Bexley - Thamesmead East,0.32
Brent - Alperton,0.31
Brent - Barnhill,0.42
Brent - Brondesbury Park,0.46
Brent - Dollis Hill,0.29
Brent - Dudden Hill,0.39
Brent - Fryent,0.34
Brent - Harlesden,0.39
Brent - Kensal Green,0.44
Brent - Kenton,0.35
Brent - Kilburn,0.56
Brent - Mapesbury,0.5
Brent - Northwick Park,0.35
Brent - Preston,0.39
Brent - Queens Park,0.56
Brent - Queensbury,0.35
Brent - Stonebridge,0.34
Brent - Sudbury,0.37
Brent - Tokyngton,0.4
Brent - Welsh Harp,0.33
Brent - Wembley Central,0.31
Brent - Willesden Green,0.41
Bromley - Bickley,0.63
Bromley - Biggin Hill,0.35
Bromley - Bromley Common and Keston,0.59
Bromley - Bromley Town,0.72
Bromley - Chelsfield and Pratts Bottom,0.56
Bromley - Chislehurst,0.65
Bromley - Clock House,0.64
Bromley - Copers Cope,0.78
Bromley - Cray Valley East,0.48
Bromley - Cray Valley West,0.46
Bromley - Crystal Palace,0.47
Bromley - Darwin,0.19
Bromley - Farnborough and Crofton,0.59
Bromley - Hayes and Coney Hall,0.6
Bromley - Kelsey and Eden Park,0.62
Bromley - Mottingham and Chislehurst North,0.31
Bromley - Orpington,0.53
Bromley - Penge and Cator,0.61
Bromley - Petts Wood and Knoll,0.57
Bromley - Plaistow and Sundridge,0.57
Bromley - Shortlands,0.44
Bromley - West Wickham,0.57
Camden - Belsize,0.72
Camden - Bloomsbury,0.47
Camden - Camden Town with Primrose Hill,0.62
