row: origin_zone/col: destination_zone,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.1422726,0.06488404,0.33888486,0.27984044,0.08799018,0.84963506,0.14356744,0.5851913,0.17495912,0.5231902,0.6687935,0.076728284,0.2591319,0.17819533,0.5454423,0.24835292,0.12476642,0.20924352,0.01352046,0.09148918,0.73623735,0.69607085,0.21343118,0.53228575,0.94280034,0.3545794,0.016473617,0.8767677,0.19305801,0.13614419,0.45282954,0.9834166,0.16805905,0.32243353,0.39079633,0.5040484,0.2342076,0.4400938,0.58880126,0.11902068,0.61453533,0.4008087,0.16620164,0.24077894,0.71017,0.042597566,0.1317567,0.3341278,0.012439611,0.6851676,0.6655159,0.3282066,0.47137794,0.69538504,0.14815348,0.4444236,0.17915688,0.40507275,0.16274562,0.37051097,0.6689902,0.42573386,0.020296521,0.25900018,0.78870016,0.084057614,0.81643337,0.12877859,0.28463984,0.025040198,0.8656535,0.3471929,0.48700932,0.10986528,0.39065436,0.47020692,0.91661394,0.09645959,0.15178475,0.5852968,0.082347035,0.1158108,0.10476352,0.52582514,0.16691819,0.77860713,0.2533469,0.6682924,0.16848895,0.2002761,0.39628243,0.009327346,0.57473385,0.12902808,0.7649031,0.22162776,0.45870718,0.2066538,0.23402232,0.28659818
1,0.4365102,0.26351598,0.54625666,0.28581816,0.3037767,0.4098027,0.1688693,0.53170687,0.44668597,0.021651708,0.4411838,0.5324226,0.09279547,0.15939555,0.28715494,0.37598857,0.61897355,0.083963655,0.64929307,0.7499304,0.10238647,0.36392793,0.19093035,0.0772711,0.62490624,0.20492356,0.7024961,0.48719397,0.18537763,0.3087224,0.12786181,0.581428,0.29508102,0.18622656,0.4896744,0.036731597,0.22107711,0.2349221,0.10494384,0.33389342,0.43350193,0.9040784,0.66947144,0.22438051,0.18672498,0.20947462,0.7868649,0.1135302,0.034892853,0.92179835,0.16765651,0.78518826,0.613186,0.10906573,0.2297888,0.16851549,0.89837414,0.36688152,0.12350221,0.31294855,0.075136214,0.82034445,0.2538937,0.2284375,0.58360475,0.17105174,0.10586337,0.06170539,0.03804993,0.12583171,0.28055042,0.14472458,0.06830003,0.6006044,0.45692718,0.106406584,0.28774536,0.68469554,0.07127121,0.556083,0.19747138,0.17608511,0.30190283,0.08595816,0.4488009,0.34841296,0.3619872,0.5417085,0.28632,0.6611824,0.07287949,0.5472737,0.24712615,0.43672264,0.056028005,0.14912952,0.2367321,0.08209557,0.42286804,0.3627154
2,0.5535495,0.3438995,0.5932342,0.062379282,0.31604046,0.15815052,0.5218417,0.6483454,0.2057883,0.53817594,0.9617336,0.1359636,0.32250965,0.36099008,0.31650165,0.23524944,0.010638692,0.10467354,0.3910376,0.16834381,0.73983926,0.21422653,0.04588842,0.32489273,0.029907273,0.5087431,0.76554006,0.5594608,0.90677816,0.26081744,0.35195664,0.010024759,0.33176446,0.2478151,0.38014022,0.1187013,0.2072612,0.6540759,0.08173787,0.7011612,0.10405879,0.10962613,0.1677494,0.81607187,0.4335277,0.45352498,0.7979143,0.14836895,0.4175076,0.4222841,0.38532636,0.22618042,0.022971474,0.35388234,0.23608737,0.23848848,0.24163678,0.23309247,0.47983116,0.09362458,0.07736338,0.08329917,0.045590926,0.983315,0.5304716,0.18303582,0.16613048,0.10063328,0.13464934,0.4337789,0.25443962,0.11890522,0.18877122,0.38203672,0.07230914,0.16976167,0.9881673,0.17448668,0.31279072,0.25892478,0.059778377,0.31743294,0.5073882,0.5372737,0.10771425,0.9222708,0.4955561,0.08199534,0.49295563,0.7664226,0.1503748,0.15564235,0.25831798,0.0846282,0.003540069,0.3558735,0.10727559,0.037299655,0.76248133,0.06652065
3,0.037151404,0.05421375,0.12800173,0.04874601,0.34760025,0.3309387,0.19814214,0.71116376,0.4618005,0.014718153,0.36465183,0.5071661,0.26041508,0.4487008,0.2626638,0.07385519,0.3353207,0.33868825,0.91307205,0.746409,0.7059715,0.37463862,0.030092336,0.5064668,0.026403833,0.18280797,0.8787527,0.2317872,0.07645722,0.06644704,0.17422825,0.1781334,0.08921309,0.77499646,0.13895372,0.92452717,0.90449286,0.18675897,0.08409163,0.9253676,0.1422745,0.39383224,0.62163436,0.052712202,0.17658985,0.296614,0.49103838,0.38387898,0.33117458,0.06955722,0.23305905,0.08328535,0.18395364,0.75903785,0.37569985,0.13950275,0.06651709,0.47925666,0.9145996,0.016354712,0.044019055,0.3069974,0.051463682,0.36291555,0.055505004,0.31699538,0.021631327,0.1481232,0.15986481,0.47420043,0.6007825,0.46215412,0.040649265,0.67183906,0.33103305,0.34029135,0.03696461,0.19304082,0.062017377,0.3984945,0.25610185,0.26424915,0.2749423,0.10491725,0.7356104,0.9055182,0.6325543,0.9706574,0.23817988,0.026762292,0.83423895,0.26023713,0.15965693,0.4109317,0.074840665,0.55474794,0.09386912,0.42854562,0.086937964,0.016537635
4,0.3261335,0.1659968,0.18581758,0.116299495,0.2163824,0.66807246,0.017467141,0.15417609,0.32773304,0.20696943,0.087075524,0.0825232,0.37505963,0.40540192,0.045102447,0.16704373,0.53783834,0.032764614,0.17087758,0.4941952,0.17488351,0.0636514,0.20394786,0.8326408,0.5283345,0.60119146,0.31407297,0.99334973,0.13238442,0.29697052,0.22370291,0.6789812,0.30888796,0.36768803,0.5131379,0.03471218,0.17599922,0.3674649,0.25765392,0.11985397,0.12729734,0.21079627,0.8762292,0.055266574,0.08831342,0.45125374,0.04650758,0.4655345,0.6659067,0.020585625,0.18728217,0.52543056,0.21302629,0.49589452,0.5624315,0.6004229,0.24448213,0.018395253,0.5395117,0.8933195,0.29924598,0.030028937,0.15781626,0.3026728,0.58111537,0.64069676,0.4381434,0.13863182,0.14716254,0.34144205,0.6326658,0.104462475,0.24286015,0.45461512,0.3412837,0.5533639,0.4123395,0.08849561,0.2945288,0.43983197,0.091886155,0.4415698,0.08582045,0.09305845,0.8766977,0.12288324,0.37426865,0.08373983,0.9878163,0.78253996,0.32942545,0.10469186,0.27868262,0.08790274,0.053586718,0.7271623,0.6281306,0.3360296,0.025533434,0.173091
5,0.20711154,0.066067256,0.26973233,0.06902239,0.07971682,0.21470751,0.6211937,0.6218787,0.07651295,0.11366841,0.4780928,0.4480268,0.05401164,0.24907713,0.3216632,0.112056464,0.22427282,0.111973725,0.19312787,0.057592675,0.016046781,0.043824185,0.31183612,0.14412728,0.2206135,0.10987822,0.75592214,0.20598246,0.28042865,0.037668508,0.27105385,0.7382609,0.06648473,0.074036956,0.22277083,0.8410412,0.025079489,0.6107857,0.97875667,0.16114353,0.1551519,0.11309336,0.77823234,0.29396257,0.17747192,0.74464375,0.23233008,0.14978337,0.12288251,0.37737957,0.67326444,0.114957206,0.9242175,0.8683455,0.68611586,0.10542094,0.76774967,0.8269018,0.4172136,0.1301387,0.8886235,0.13379736,0.90395206,0.014582627,0.3384742,0.2060146,0.29033542,0.035088055,0.43896133,0.089519046,0.9647361,0.33428067,0.50609964,0.64333546,0.4975737,0.078932546,0.18652286,0.068845235,0.40044236,0.7234121,0.29354128,0.630256,0.6442701,0.5667834,0.21603313,0.23872201,0.065675385,0.15413244,0.23660548,0.14744201,0.85436344,0.5489995,0.5701778,0.10510422,0.71287394,0.24259554,0.8599298,0.27018845,0.30758965,0.38594976
6,0.2820839,0.46914202,0.12971948,0.38925284,0.28267726,0.59947175,0.14818177,0.10021034,0.5059796,0.79901785,0.18965319,0.07844177,0.034110166,0.21401842,0.21176568,0.80711204,0.31766292,0.45224625,0.09995197,0.1342415,0.08885905,0.40795037,0.04342669,0.78210664,0.11642012,0.45961118,0.16515622,0.093216866,0.34478992,0.17213169,0.1054506,0.73707867,0.14982483,0.07103993,0.22127892,0.47525772,0.020028882,0.08876686,0.21854222,0.1505391,0.62128323,0.37601054,0.09443592,0.30960095,0.34511235,0.12959082,0.10717696,0.14513057,0.71603703,0.1605146,0.28528547,0.12790515,0.09470121,0.1600019,0.24550375,0.1833804,0.39672795,0.23571873,0.77151513,0.050600313,0.039605863,0.19709204,0.17213073,0.86521137,0.3001435,0.119108394,0.18049252,0.059682693,0.42791572,0.11018431,0.24458057,0.88386357,0.14329602,0.7196308,0.19234742,0.3336855,0.43075532,0.34093615,0.2647651,0.4671498,0.037395965,0.19610325,0.026706629,0.06514541,0.069756895,0.20756474,0.8739141,0.11975843,0.6707945,0.24706034,0.057660755,0.06482917,0.53788996,0.4393295,0.13556662,0.02745803,0.34341106,0.39281353,0.6858687,0.06500193
7,0.41396132,0.4332184,0.06253818,0.98319215,0.036372572,0.6355122,0.4560752,0.23369834,0.12861419,0.9800984,0.21411513,0.3213376,0.121868886,0.59565175,0.45417938,0.93371964,0.33161572,0.18488027,0.51024985,0.0059506367,0.21048008,0.1586341,0.44759396,0.2920847,0.22755262,0.039654266,0.07172532,0.2038402,0.15056446,0.3584422,0.34036377,0.2486945,0.3399638,0.8368216,0.9101315,0.5697058,0.43874657,0.26343676,0.9147257,0.8064861,0.11670918,0.17571601,0.17534004,0.41013438,0.95459646,0.15464666,0.44672212,0.16147745,0.6717562,0.16330731,0.8669904,0.5932287,0.9043547,0.3270221,0.015550671,0.13493435,0.07655017,0.9298437,0.43237907,0.083558425,0.6608032,0.058193687,0.074146,0.28558582,0.21520437,0.09186769,0.33381158,0.40928924,0.68903184,0.11488306,0.31976157,0.09074059,0.98969007,0.47248057,0.27969053,0.20308034,0.36947635,0.32001284,0.37539133,0.95624876,0.09641903,0.40590975,0.1492454,0.29822454,0.072877996,0.6936968,0.18890859,0.20410183,0.4066788,0.046866573,0.23275164,0.20146698,0.24880983,0.26732355,0.5530848,0.4057131,0.6994839,0.09408373,0.41378495,0.42768455
8,0.9423616,0.41141355,0.47675717,0.04243497,0.7886494,0.1806355,0.12054925,0.8196021,0.11163682,0.5413495,0.33627203,0.37014782,0.22285107,0.24651961,0.056736026,0.22203644,0.50839794,0.065512024,0.22710545,0.86994874,0.5107057,0.16011696,0.073308475,0.058429807,0.1923824,0.29127148,0.3284977,0.17057334,0.22714566,0.10287158,0.119891696,0.19787976,0.36652857,0.2748344,0.070348516,0.15687086,0.34629866,0.92700815,0.08082877,0.14626226,0.50465184,0.15528072,0.45555133,0.3630239,0.10619111,0.16736116,0.13966876,0.0869785,0.6330643,0.20222786,0.21551907,0.4988993,0.085774235,0.488332,0.1732573,0.66821915,0.20018154,0.7162171,0.060757343,0.24124005,0.9303512,0.05372334,0.09260875,0.054343965,0.102124944,0.24472919,0.24642543,0.15316145,0.27807182,0.57903475,0.14760458,0.8660889,0.16067687,0.20185106,0.01306767,0.059611846,0.65627354,0.93237174,0.041154478,0.15187423,0.038514607,0.97530276,0.41853723,0.35030434,0.81730795,0.44199157,0.30365703,0.99938077,0.100917995,0.04647388,0.32831872,0.33121747,0.051617816,0.15593918,0.110703155,0.017296907,0.44236428,0.06818942,0.7325828,0.45382518
9,0.31855363,0.3765307,0.43029618,0.12700343,0.545992,0.2647675,0.4157021,0.8571325,0.19681987,0.98675036,0.4912784,0.25343564,0.014779872,0.23439658,0.69881284,0.27302584,0.10034279,0.38108867,0.07055371,0.31915736,0.11242723,0.49974,0.9043197,0.89567685,0.072813496,0.086125985,0.40865248,0.84576684,0.35187688,0.057713374,0.26084933,0.011907937,0.07768502,0.041881897,0.74782974,0.86216116,0.26538086,0.35400203,0.6439661,0.7396611,0.10868337,0.5525354,0.82946396,0.9367279,0.3531819,0.40952712,0.34145808,0.28222945,0.5274505,0.6636767,0.4326225,0.30958438,0.39930555,0.24529287,0.066115126,0.56094897,0.7290027,0.22050963,0.047850277,0.25757542,0.28496903,0.2547434,0.32178596,0.95863694,0.06572587,0.8147965,0.23097628,0.21280168,0.36887562,0.478551,0.18819408,0.3720549,0.103764966,0.032408983,0.3472742,0.71282846,0.39451188,0.018957702,0.4797499,0.5703124,0.40935695,0.020923715,0.14590953,0.37942162,0.09063281,0.8620627,0.22005317,0.12145172,0.32222474,0.26918018,0.24678653,0.19994573,0.04706937,0.026766932,0.7617209,0.6889315,0.30962256,0.6031511,0.094847634,0.2678097
10,0.2871255,0.8680851,0.8751401,0.25349367,0.08236565,0.61216676,0.24844144,0.21464169,0.10828407,0.2796473,0.22723705,0.85985637,0.59933436,0.046382215,0.038997874,0.08364972,0.9839787,0.43044016,0.43519953,0.9621552,0.034537863,0.6253733,0.26084134,0.60731393,0.51510817,0.55512667,0.07930842,0.18349281,0.7655447,0.8783875,0.46803468,0.56217146,0.8918507,0.44760054,0.54603195,0.88752097,0.14326093,0.14476122,0.8796544,0.593907,0.16236638,0.19574876,0.04513093,0.14548427,0.29152504,0.056588084,0.1283587,0.18775463,0.019663857,0.11943872,0.72881347,0.100049384,0.15491684,0.14009944,0.5165746,0.35817114,0.019765178,0.56646025,0.28624675,0.6412082,0.25151575,0.28417495,0.8776221,0.3452319,0.12657787,0.50021565,0.0903664,0.27353108,0.19794998,0.42606023,0.015433526,0.94169945,0.23820399,0.26019025,0.11096963,0.2950779,0.3676019,0.7045415,0.6082811,0.12602298,0.23011863,0.692728,0.07708185,0.86969626,0.2996551,0.109405495,0.1106465,0.5014995,0.6939063,0.6274189,0.08423318,0.30888113,0.089055784,0.24797525,0.2749728,0.9503114,0.10058166,0.8931254,0.5882837,0.83820003
11,0.8240142,0.19385922,0.15601663,0.26926178,0.59076464,0.9222654,0.46058643,0.09119262,0.41068798,0.5342484,0.09621079,0.10735112,0.14866863,0.21272261,0.07221715,0.64229363,0.3276831,0.074055985,0.16729133,0.45012888,0.62964934,0.03925826,0.74474466,0.3447421,0.14275925,0.17507838,0.109369084,0.24197477,0.058679927,0.32224137,0.16135049,0.3553083,0.8674457,0.36806843,0.08252815,0.12159711,0.4548542,0.56793195,0.21297173,0.13151686,0.5096883,0.46966442,0.16117625,0.58124715,0.050940026,0.19444928,0.10912456,0.24245153,0.21526146,0.051332932,0.0036032354,0.3439211,0.62455654,0.5406809,0.13722602,0.07976596,0.70289975,0.1308103,0.09267868,0.25741535,0.89950997,0.9041756,0.9139804,0.28409147,0.15699527,0.7585944,0.22516625,0.39822394,0.21670313,0.043066513,0.9102513,0.6325244,0.4091188,0.5129371,0.06532265,0.40463912,0.16453569,0.42756897,0.77131134,0.1850484,0.32500035,0.83771825,0.48000646,0.17875203,0.5629141,0.55730057,0.09009916,0.48166347,0.10859385,0.39991856,0.47522375,0.057608318,0.18934098,0.023962827,0.37548128,0.016184641,0.102568634,0.78911716,0.8821785,0.5912873
