row: origin_zone/col: destination_zone,0,1,2,3,4,5,6,7,8,9
0,0.53329307,0.22815935,0.0100599835,0.14020656,0.23106393,0.19785367,0.5739005,0.60737556,0.2832512,0.4360385
1,0.115318045,0.9015897,0.30304292,0.0916411,0.817344,0.117353134,0.23695046,0.13693802,0.85483974,0.18904093
2,0.57167083,0.1621898,0.12964363,0.5542155,0.19798487,0.962539,0.3965828,0.2912702,0.33161122,0.9095029
3,0.015438751,0.2320992,0.13044754,0.52608955,0.16937567,0.4256419,0.13980487,0.77388334,0.33915362,0.75907445
4,0.20951426,0.33424106,0.5529579,0.75807846,0.036959462,0.13749653,0.43473622,0.86677617,0.26374358,0.4290133
5,0.5292578,0.33804226,0.5367786,0.23382536,0.5137643,0.21182656,0.39322802,0.6315656,0.12270284,0.04893887
6,0.34504038,0.044800628,0.5744931,0.4150912,0.59317386,0.35254568,0.13260531,0.4079399,0.9350555,0.28677517
7,0.08289388,0.5847233,0.22795784,0.14106578,0.17067635,0.21212664,0.3981688,0.03366226,0.082340516,0.7167719
8,0.74305046,0.3558269,0.45596796,0.017859258,0.2716509,0.29187924,0.15735486,0.49571022,0.18960285,0.101249084
9,0.057438944,0.9982819,0.76691765,0.14936174,0.4423501,0.7953711,0.35107854,0.46905574,0.13764334,0.07688746
10,0.1083969,0.4781474,0.25875267,0.36216366,0.055562466,0.9219817,0.19924188,0.24381876,0.4962872,0.7978599
11,0.7423331,0.74645865,0.77856123,0.20804752,0.15483963,0.19232363,0.88864654,0.31738856,0.4385386,0.052676626
12,0.451437,0.5915904,0.382078,0.93023163,0.1065441,0.22318752,0.47848442,0.958293,0.3474136,0.6083547
13,0.17335314,0.23294885,0.5433175,0.7324067,0.68348855,0.20828903,0.24678913,0.34273228,0.2434949,0.18352678
14,0.33841142,0.07996876,0.13006037,0.6137509,0.07386833,0.18182161,0.18211831,0.5554342,0.44444898,0.34928793
15,0.052301608,0.09961046,0.97364086,0.10127501,0.115196064,0.37992132,0.36282218,0.15502803,0.30326986,0.17564265
16,0.524834,0.04177991,0.09285646,0.08602151,0.7021352,0.26507086,0.13113452,0.14047475,0.12033368,0.34133163
17,0.33867222,0.08222905,0.12093309,0.55141807,0.40491098,0.12705447,0.40335333,0.18972717,0.38788775,0.94075483
18,0.45624462,0.13634191,0.8867438,0.69856524,0.16859148,0.048344642,0.5817473,0.44090414,0.46412322,0.24710031
19,0.06713136,0.045419876,0.09833334,0.078492336,0.23607676,0.9406725,0.052276213,0.045425855,0.33281898,0.116739094
20,0.7256374,0.022610854,0.55102074,0.16426307,0.5315725,0.123087496,0.32025674,0.9085715,0.033175904,0.7483402
21,0.1852247,0.26305252,0.37641928,0.16553861,0.13543281,0.30321187,0.12077623,0.29863882,0.36724785,0.7953857
22,0.74094856,0.036027912,0.44587335,0.065717205,0.026251841,0.41083425,0.32503963,0.21151784,0.16756931,0.51273453
23,0.24840316,0.32577455,0.0490624,0.20047711,0.12075538,0.105229564,0.7583516,0.7227101,0.05910134,0.8491424
24,0.6046257,0.65239424,0.89581245,0.07332246,0.58432406,0.44217294,0.53792506,0.14932927,0.2562748,0.39012223
25,0.33875394,0.052164234,0.10882528,0.16477945,0.21221343,0.64503545,0.33722228,0.45603886,0.10990361,0.20337597
26,0.049928024,0.25149927,0.14645797,0.04274865,0.22806263,0.77968496,0.8997125,0.31348357,0.24524346,0.06457892
27,0.042484395,0.16072011,0.4356212,0.13070297,0.14951392,0.33660612,0.10200573,0.09234981,0.10177878,0.7447142
28,0.31014886,0.8216346,0.18436567,0.22796814,0.5199571,0.25356406,0.65631974,0.1552497,0.12445779,0.66214806
