origin_zone,size
0,0.08959199
1,0.10916604
2,0.086958095
3,0.08890322
4,0.08781222
5,0.111675926
6,0.08942608
7,0.09881161
8,0.0909216
9,0.10345222
10,0.094286665
11,0.09764892
12,0.110076055
13,0.09247119
14,0.09775001
15,0.095673144
16,0.084928565
17,0.09541439
18,0.09152
19,0.10526604
20,0.100299165
21,0.099501625
22,0.11065078
23,0.108860366
24,0.104640186
25,0.09501368
26,0.10128864
27,0.12763067
28,0.101404764
29,0.11119102
30,0.10315232
31,0.11752777
32,0.092350364
33,0.11829885
34,0.09721599
35,0.09728055
36,0.08705589
37,0.099756874
38,0.09764641
39,0.092912905
40,0.11156631
41,0.10429601
42,0.08812641
43,0.09253224
44,0.09068019
45,0.09142136
46,0.09035267
47,0.099008545
48,0.08981018
49,0.10315679
50,0.08396437
51,0.11849332
52,0.100447275
53,0.11585252
54,0.09408777
55,0.11131218
56,0.107562125
57,0.08797707
58,0.09416653
59,0.09559313
60,0.08020853
61,0.10778713
62,0.0922515
63,0.09860249
64,0.11141387
65,0.09364629
66,0.08529754
67,0.09786614
68,0.091293424
69,0.11615911
70,0.097643524
71,0.109443866
72,0.121133864
73,0.09024597
74,0.10175694
75,0.09868112
76,0.097264975
77,0.103355266
78,0.10188547
79,0.12143238
80,0.108527005
81,0.10096476
82,0.09937509
83,0.108268544
84,0.10872998
85,0.090724014
86,0.10176627
87,0.11022444
88,0.097005405
89,0.08554198
90,0.10690453
91,0.08305852
92,0.10035192
93,0.095234856
94,0.099591255
95,0.11199289
96,0.1172397
97,0.10241403
98,0.11711079
99,0.11139567
