alpha,sigma,y,yerr
0,1e-06,79.5095,11.758231
0,5e-06,79.5098,11.758003
0,1e-05,79.51018,11.757722
0,5e-05,79.51329,11.755541
0,0.0001,79.44069,11.6003685
0,0.0005,79.35301,11.32578
0,0.001,79.20094,10.860465
0,0.005,80.55588,11.087026
0,0.01,82.859085,10.674399
0,0.02,87.7602,8.894704
0,0.04,92.88225,5.4875007
0,0.06,95.42827,4.2838387
0,0.08,96.685036,3.3835971
0,0.1,97.60107,2.865098
1,1e-06,83.890594,6.373894
1,5e-06,83.87703,6.350248
1,1e-05,83.93511,6.4495525
1,5e-05,83.88792,6.359845
1,0.0001,83.91832,6.401409
1,0.0005,82.72934,5.695759
1,0.001,82.84217,6.014875
1,0.005,83.47624,5.8713737
1,0.01,84.261406,5.734272
1,0.02,85.53334,4.4404936
1,0.04,89.54926,3.9907095
1,0.06,92.01033,2.666666
1,0.08,92.44578,3.015373
1,0.1,92.65056,2.1915698
