,T_in,T_out,heatPower,HGloHor
0,22.0,2.9,13114.9,0.0
1,21.9,2.8,12908.0,0.0
2,21.9,2.8,12662.1,0.0
3,22.0,2.7,12981.1,0.0
4,22.0,2.7,13818.6,0.0
5,21.9,2.6,13589.0,0.0
6,22.0,2.5,13657.6,0.0
7,22.0,2.6,13664.7,0.0
8,22.0,2.6,13416.4,0.0
9,22.0,2.7,13771.0,0.0
10,21.9,2.7,13705.8,0.0
11,21.9,2.4,13447.9,0.0
12,21.9,2.3,15749.1,0.0
13,21.9,2.2,16479.0,0.0
14,22.0,2.2,14836.0,0.0
15,21.9,2.3,16223.5,0.0
16,22.0,2.5,15051.0,0.0
17,22.0,2.6,14445.9,0.0
18,21.9,2.7,152609.7,0.0
19,21.9,2.6,91788.2,0.0
20,21.9,2.6,46339.2,0.0
21,22.0,2.5,51347.7,0.0
22,22.1,2.5,39856.8,0.0
23,22.1,2.6,36502.5,0.0
24,22.1,2.7,33802.7,0.0
25,22.1,2.6,31462.1,0.0
26,22.1,2.6,30757.6,0.0
27,22.2,2.7,31020.3,0.0
28,22.1,2.7,31713.8,0.0
29,22.1,2.8,32803.4,0.0
30,22.1,2.8,34133.2,0.0
31,22.2,2.9,34357.1,0.0
32,22.1,2.9,34620.6,0.0
33,22.2,3.0,33967.3,0.0
34,22.2,3.1,31959.6,0.0
35,22.2,3.2,33062.8,0.0
36,22.2,3.4,31424.8,0.0
37,22.1,3.5,28532.9,0.0
38,22.1,3.6,27549.4,0.0
39,22.2,3.5,27722.9,0.0
40,22.2,3.6,26984.0,0.0
41,22.2,3.7,28165.3,0.0
42,22.2,3.8,28878.7,0.0
43,22.2,3.8,30663.8,0.0
44,22.2,3.8,32152.5,0.0
45,22.2,3.9,32379.2,0.0
46,22.2,3.9,32567.6,0.0
47,22.2,4.0,28666.7,0.0
48,22.2,4.1,30444.5,0.0
49,22.2,4.2,35269.5,0.0
50,22.2,4.2,31313.4,0.0
51,22.2,4.1,31281.8,0.0
52,22.2,4.0,28382.7,0.0
53,22.3,3.9,29635.3,0.0
54,22.2,3.9,31826.0,0.0
55,22.2,3.9,30867.1,0.0
56,22.2,3.9,29419.7,0.0
57,22.2,3.9,29600.0,0.0
58,22.2,3.9,31180.7,0.0
59,22.2,4.0,29383.3,0.0
60,22.3,4.0,30076.6,0.1
61,22.2,3.9,28614.2,0.2
62,22.3,3.9,24591.1,0.4
63,22.3,4.0,28822.2,0.6
64,22.2,4.0,28386.9,0.7
65,22.2,3.9,32055.7,0.9
66,22.2,3.9,37420.3,1.1
67,22.3,4.0,38815.1,1.2
68,22.3,4.0,37570.1,1.4
69,22.3,4.0,29621.8,1.6
70,22.3,4.0,25910.0,1.7
71,22.3,4.0,28720.2,1.9
72,22.3,4.0,28895.0,3.8
73,22.3,4.1,27732.1,7.5
74,22.3,4.1,24587.3,11.2
75,22.3,4.2,25849.7,15.0
76,22.3,4.3,26436.6,18.7
77,22.3,4.4,27061.7,22.4
78,22.3,4.4,27805.6,26.1
79,22.3,4.5,28439.1,29.8
80,22.3,4.6,30116.8,33.6
81,22.2,4.7,30657.1,37.3
82,22.3,4.8,31779.6,41.0
83,22.3,4.9,32067.2,44.7
84,22.3,5.0,32602.0,53.8
85,22.3,5.2,32349.5,68.4
86,22.3,5.3,26576.3,83.0
87,22.4,5.4,28116.4,97.6
88,22.3,5.6,26874.1,112.2
89,22.4,5.8,29680.8,126.8
90,22.4,6.0,28383.1,141.4
91,22.4,6.1,30510.6,156.0
92,22.5,6.2,29646.8,170.6
93,22.5,6.3,30609.6,185.2
94,22.5,6.3,28202.6,199.8
95,22.5,6.2,25831.8,214.4
96,22.5,6.1,22622.2,226.9
97,22.6,6.1,24525.8,237.2
98,22.5,6.1,25338.8,247.6
99,22.6,6.2,26291.9,258.0
100,22.7,6.4,26780.1,268.4
101,22.6,6.7,28229.7,278.8
102,22.7,6.8,25753.1,289.1
103,22.7,6.7,26762.2,299.5
104,22.8,6.8,21799.4,309.9
105,22.7,7.1,21827.3,320.3
106,22.7,7.2,23674.6,330.6
107,22.8,7.3,24881.9,341.0
108,22.8,7.3,26148.9,351.0
109,22.8,7.3,26417.0,360.7
110,22.8,7.4,26445.3,370.3
111,22.8,7.5,25553.6,379.9
112,22.8,7.6,25266.3,389.6
113,22.8,7.7,25450.7,399.2
114,22.8,7.8,25578.1,408.9
115,22.9,7.9,26152.2,418.5
116,22.9,7.9,25553.3,428.1
117,22.9,7.8,28188.6,437.8
118,22.9,7.8,26745.6,447.4
119,22.9,7.9,25266.2,457.0
120,22.9,8.0,24745.2,465.1
121,22.8,8.1,24295.2,471.5
122,22.9,8.2,23559.1,478.0
123,22.9,8.2,19000.3,484.4
124,22.9,8.2,18185.0,490.9
125,22.9,8.3,21435.4,497.3
126,22.9,8.4,22397.9,503.8
127,22.9,8.5,23275.7,510.2
128,22.9,8.7,24787.5,516.7
129,22.9,8.8,26304.1,523.1
130,22.9,8.9,27469.8,529.5
131,22.9,9.0,25637.8,536.0
132,23.0,9.1,25385.1,541.6
133,23.0,9.3,24739.0,546.2
134,23.0,9.5,22442.2,550.9
135,23.0,9.6,14813.7,555.6
136,23.0,9.7,13309.9,560.3
137,22.9,9.7,14781.5,565.0
138,22.9,9.8,928.0,569.7
139,22.9,9.9,-922.4,574.4
140,22.9,10.0,-373.5,579.1
141,22.8,10.0,6750.8,583.8
142,22.9,10.0,12629.2,588.4
143,22.8,10.1,14636.3,593.1
144,22.8,10.1,19106.4,596.1
145,22.8,10.1,2016.9,597.4
146,22.8,10.2,17790.8,598.8
147,22.8,10.5,-1207.5,600.1
148,22.8,10.8,-1028.8,601.4
149,22.7,11.0,-1044.3,602.7
150,22.7,11.0,-1021.9,604.0
151,22.7,10.9,-820.6,605.3
152,22.7,10.8,-942.4,606.6
153,22.7,10.9,-824.8,607.9
154,22.7,10.9,-754.9,609.2
155,22.7,10.8,-899.0,610.5
156,22.6,10.9,-803.2,609.8
157,22.6,11.2,-682.6,607.0
158,22.7,11.3,-828.0,604.3
159,22.6,11.2,-898.2,601.5
160,22.6,11.3,-654.7,598.7
161,22.5,11.6,-525.8,595.9
162,22.6,11.7,-687.3,593.2
163,22.5,11.6,-895.8,590.4
164,22.5,11.5,-699.4,587.6
165,22.5,11.6,-625.1,584.9
166,22.5,11.7,-408.1,582.1
167,22.5,11.7,-549.0,579.3
168,22.5,11.8,-640.5,575.2
169,22.5,11.9,-430.5,569.6
170,22.5,12.0,-434.0,564.1
171,22.4,12.0,-579.8,558.6
172,22.4,12.0,-690.1,553.0
173,22.4,11.9,-617.0,547.5
174,22.4,11.9,-342.1,542.0
175,22.4,12.0,-452.6,536.4
176,22.4,12.1,-143.3,530.9
177,22.5,12.2,-477.1,525.3
178,22.4,12.2,-488.4,519.8
179,22.4,12.3,-483.8,514.3
180,22.4,12.3,-522.9,507.3
181,22.4,12.2,-394.2,498.9
182,22.5,12.2,-379.6,490.5
183,22.5,12.1,-340.9,482.0
184,22.5,12.1,-365.8,473.6
185,22.5,12.0,-153.1,465.2
186,22.5,11.9,-91.9,456.8
187,22.5,11.8,-362.6,448.3
188,22.5,11.7,-262.9,439.9
189,22.5,11.7,-296.2,431.5
190,22.5,11.7,-431.6,423.1
191,22.5,11.6,-234.5,414.7
192,22.5,11.5,-289.4,405.3
193,22.6,11.4,-201.4,395.0
194,22.6,11.4,-333.1,384.8
195,22.6,11.5,-166.7,374.5
196,22.6,11.6,-282.1,364.2
197,22.6,11.8,-383.7,354.0
198,22.7,11.9,-188.9,343.7
199,22.7,12.0,-260.8,333.4
200,22.7,12.0,-323.2,323.2
201,22.8,11.9,-258.4,312.9
202,22.6,11.8,-295.2,302.6
203,22.6,11.7,-263.8,292.3
204,22.7,11.5,-372.2,281.7
205,22.7,11.4,14.7,270.6
206,22.7,11.3,-312.1,259.5
207,22.7,11.2,-312.9,248.4
208,22.7,11.1,-287.3,237.3
209,22.7,11.0,86.2,226.2
210,22.7,10.8,-353.1,215.1
211,22.7,10.7,-282.6,204.1
212,22.7,10.6,-515.0,193.0
213,22.7,10.5,-203.3,181.9
214,22.6,10.5,-126.9,170.8
215,22.6,10.4,-165.4,159.7
216,22.6,10.4,-48.9,149.6
217,22.5,10.3,-128.1,140.4
218,22.5,10.3,-319.6,131.2
219,22.5,10.2,37.3,122.0
220,22.5,10.1,-409.2,112.8
221,22.4,10.0,-373.6,103.7
222,22.4,9.9,-238.2,94.5
223,22.4,9.8,-342.7,85.3
224,22.3,9.7,-25.1,76.1
225,22.4,9.6,-311.4,67.0
226,22.4,9.4,-99.7,57.8
227,22.3,9.3,-320.3,48.6
228,22.3,9.2,-148.1,42.2
229,22.3,9.1,-217.3,38.5
230,22.2,9.0,-211.6,34.8
231,22.3,8.9,-347.3,31.2
232,22.3,8.8,-37.8,27.5
233,22.2,8.7,-1.3,23.9
234,22.1,8.6,-423.6,20.2
235,22.1,8.5,-155.5,16.5
236,22.2,8.5,-408.4,12.9
237,22.2,8.6,-177.8,9.2
238,22.2,8.5,-11.7,5.6
239,22.1,8.4,-37.4,1.9
240,22.1,8.3,68.1,0.0
241,22.1,8.2,-62.6,0.0
242,22.0,8.2,-240.1,0.0
243,22.1,8.1,-116.9,0.0
244,22.1,8.0,362.6,0.0
245,22.1,7.9,-436.7,0.0
246,22.1,7.8,396.6,0.0
247,22.1,7.9,-24.5,0.0
248,22.0,7.9,-459.1,0.0
249,22.0,7.9,365.8,0.0
250,22.0,7.9,-113.1,0.0
251,22.0,7.8,122.2,0.0
252,22.0,7.7,120.4,0.0
253,21.9,7.7,265.6,0.0
254,21.9,7.7,12.9,0.0
255,22.0,7.6,786.5,0.0
256,22.0,7.6,47.8,0.0
257,22.0,7.7,52.3,0.0
258,22.0,7.7,170288.5,0.0
259,22.0,7.6,114497.8,0.0
260,21.9,7.6,58789.7,0.0
261,22.0,7.5,65305.3,0.0
262,22.1,7.5,42985.3,0.0
263,22.2,7.6,34755.0,0.0
264,22.2,7.6,31854.2,0.0
265,22.2,7.6,27650.9,0.0
266,22.2,7.6,26487.6,0.0
267,22.2,7.6,24785.6,0.0
268,22.3,7.6,24644.4,0.0
269,22.2,7.5,28020.9,0.0
270,22.3,7.5,26796.0,0.0
271,22.2,7.4,25966.1,0.0
272,22.3,7.4,25115.4,0.0
273,22.2,7.4,27826.9,0.0
274,22.3,7.4,24697.9,0.0
275,22.2,7.3,26579.6,0.0
276,22.3,7.3,26337.4,0.0
277,22.3,7.3,27509.0,0.0
278,22.3,7.3,22979.3,0.0
279,22.3,7.3,27329.2,0.0
280,22.3,7.3,23993.0,0.0
281,22.3,7.4,25964.6,0.0
282,22.3,7.4,25441.0,0.0
