,T_in,T_out,heatPower,Q_solar
0,290.0,264.75,4825.3335,0.0
1,287.96252,264.75,5236.6665,0.0
2,286.2165,264.75,5234.6665,0.0
3,284.66635,264.75,5239.3335,0.0
4,283.27002,264.75,596.0,0.0
5,281.7725,264.75,44.0,0.0
6,280.30118,264.75,46.0,0.0
7,278.92374,264.75,44.0,0.0
8,277.65652,264.75,4975.3335,0.0
9,276.74515,264.75,5276.6665,0.0
10,276.01743,264.75,5257.3335,0.0
11,275.3907,264.75,5218.6665,0.0
12,274.83118,264.75,5218.6665,0.0
13,274.326,264.75,5215.3335,0.0
14,273.86755,264.75,5211.3335,0.0
15,273.4507,264.75,5192.0,0.0
16,273.0706,264.75,444.66666,0.0
17,272.4871,264.75,38.0,0.0
18,271.8509,264.75,42.0,0.0
19,271.23456,264.75,40.0,0.0
20,270.6603,264.75,4751.3335,0.0
21,270.36856,264.75,5156.6665,0.0
22,270.2059,264.75,5157.3335,0.0
23,270.09473,264.75,5145.3335,0.0
24,270.00616,265.55,5140.0,0.0
25,270.002,265.55,5136.0,0.0
26,269.9995,265.55,5126.6665,0.0
27,269.99725,265.55,5120.0,0.0
28,269.99484,265.55,5116.0,0.0
29,269.99234,265.55,5137.3335,0.0
30,269.99103,265.55,5124.0,0.0
31,269.9895,265.55,5137.3335,0.0
32,269.98865,265.55,542.0,0.0
33,269.75836,265.55,42.666668,0.0
34,269.44174,265.55,48.0,0.0
35,269.11566,265.55,47.333332,0.0
36,268.80533,266.05,4872.6665,0.0
37,268.80444,266.05,5246.0,0.0
38,268.90686,266.05,5231.3335,0.0
39,269.03622,266.05,5234.6665,0.0
40,269.16702,266.05,5255.3335,0.0
41,269.29175,266.05,5263.3335,0.0
42,269.40768,266.05,5287.3335,0.0
43,269.51523,266.05,5284.6665,0.0
44,269.61368,266.05,498.66666,0.0
45,269.46423,266.05,42.666668,0.0
46,269.21994,266.05,44.0,0.0
47,268.95898,266.05,44.666668,0.0
48,268.70776,266.35,44.666668,0.0
49,268.50134,266.35,44.0,0.0
50,268.31174,266.35,41.333332,0.0
51,268.13846,266.35,40.666668,0.0
52,267.9805,266.35,4822.0,0.0
53,268.07568,266.35,5220.0,0.0
54,268.26767,266.35,5230.0,0.0
55,268.48053,266.35,5226.6665,0.0
56,268.68768,266.35,5218.0,0.0
57,268.88055,266.35,5226.0,0.0
58,269.05798,266.35,5235.3335,0.0
59,269.22058,266.35,5252.6665,0.0
60,269.3698,266.55,544.0,0.0
61,269.2887,266.55,44.0,0.0
62,269.10583,266.55,46.0,0.0
63,268.90057,266.55,42.0,0.0
64,268.6997,266.55,4837.3335,0.0
65,268.75162,266.55,5200.6665,0.0
66,268.90097,266.55,5202.0,0.0
67,269.07346,266.55,5197.3335,0.0
68,269.24326,266.55,436.66666,0.0
69,269.16434,266.55,40.0,0.0
70,268.9892,266.55,40.0,0.0
71,268.7929,266.55,42.0,0.0
72,268.6012,266.75,4746.6665,0.0
73,268.67532,266.75,5200.6665,0.0
74,268.8479,266.75,5214.0,0.0
75,269.0432,266.75,5230.0,0.0
76,269.2354,266.75,593.3333,0.0
77,269.18365,266.75,41.333332,0.0
78,269.0279,266.75,42.666668,0.0
79,268.84738,266.75,43.333332,0.0
80,268.66928,266.75,4888.0,0.0
81,268.74448,266.75,5233.3335,0.0
82,268.91504,266.75,5228.0,0.0
83,269.1065,266.75,5240.6665,0.0
84,269.2943,266.65,5250.0,0.0
85,269.4615,266.65,5254.6665,0.0
86,269.61572,266.65,5272.0,0.0
87,269.7577,266.65,5273.3335,0.0
88,269.8875,266.65,5268.0,0.0
89,270.00558,266.65,5278.0,0.0
90,270.1135,266.65,5283.3335,0.0
91,270.2121,266.65,5258.6665,0.0
92,270.30075,266.65,5099.3335,0.0
93,270.37305,266.65,5071.3335,0.0
94,270.43445,266.65,5214.6665,0.0
95,270.49588,266.65,5217.3335,0.0
96,270.55392,266.75,5227.3335,239.64185
97,270.63568,266.75,5230.6665,239.64185
98,270.71066,266.75,5238.0,239.64185
99,270.77948,266.75,5240.0,239.64185
100,270.8424,266.75,5238.6665,239.64185
101,270.8997,266.75,5241.3335,239.64185
102,270.95197,266.75,5244.0,239.64185
103,270.9997,266.75,5260.0,239.64185
