,T_in,T_out,heatPower,Q_solar
0,290.0,264.75,2.5,0.0
1,287.72143335835847,264.75,5.0,0.0
2,285.6493465567609,264.75,7.5,0.0
3,283.764623442872,264.75,10.0,0.0
4,282.050188302466,264.75,12.5,0.0
5,280.4906187410616,264.75,15.0,0.0
6,279.07192389064403,264.75,17.5,0.0
7,277.78138929222706,264.75,20.0,0.0
8,276.6074524667887,264.75,22.5,0.0
9,275.5395956830296,264.75,25.0,0.0
10,274.5682505343158,264.75,27.5,0.0
11,273.6847118870662,264.75,30.0,0.0
12,272.8810598642452,264.75,32.5,0.0
13,272.1500889635332,264.75,35.0,0.0
14,271.4852436037985,264.75,37.5,0.0
15,270.880559497571,264.75,40.0,0.0
16,270.33061031599044,264.75,42.5,0.0
17,269.83045916598616,264.75,45.0,0.0
18,269.375614444615,264.75,47.5,0.0
19,268.9619896753833,264.75,50.0,0.0
20,268.5858669672614,264.75,52.5,0.0
21,268.24386376958955,264.75,55.0,0.0
22,267.93290262558077,264.75,57.5,0.0
23,267.6501836539519,264.75,60.0,0.0
24,267.39315951261375,265.54998779296875,62.5,0.0
25,267.2317087919834,265.54998779296875,65.0,0.0
26,267.0849898592674,265.54998779296875,67.5,0.0
27,266.9516900697656,265.54998779296875,70.0,0.0
28,266.83060482859594,265.54998779296875,72.5,0.0
29,266.7206344895248,265.54998779296875,75.0,0.0
30,266.6207772661778,265.54998779296875,77.5,0.0
31,266.53012125591897,265.54998779296875,80.0,0.0
32,266.4478366369383,265.54998779296875,82.5,0.0
33,266.3731683737173,265.54998779296875,85.0,0.0
34,266.30542951052223,265.54998779296875,87.5,0.0
35,266.2439950447867,265.54998779296875,90.0,0.0
36,266.1882963441446,266.04998779296875,92.5,0.0
37,266.18293867097304,266.04998779296875,95.0,0.0
38,266.1782431620138,266.04998779296875,97.5,0.0
39,266.1741601609122,266.04998779296875,100.0,0.0
40,266.17063802384257,266.04998779296875,102.5,0.0
41,266.16762745163373,266.04998779296875,105.0,0.0
42,266.1650827640507,266.04998779296875,107.5,0.0
43,266.16296210493647,266.04998779296875,110.0,0.0
44,266.16122728746853,266.04998779296875,112.5,0.0
45,266.15984353123605,266.04998779296875,115.0,0.0
46,266.15877917933557,266.04998779296875,117.5,0.0
47,266.15800542535095,266.04998779296875,120.0,0.0
48,266.1574960593651,266.3500061035156,122.5,0.0
49,266.18430079916885,266.3500061035156,125.0,0.0
50,266.2088730404517,266.3500061035156,127.5,0.0
51,266.2314201876116,266.3500061035156,130.0,0.0
52,266.2521270581396,266.3500061035156,132.5,0.0
53,266.27116041159593,266.3500061035156,135.0,0.0
54,266.28867146982697,266.3500061035156,137.5,0.0
55,266.3047976373453,266.3500061035156,140.0,0.0
56,266.319663861708,266.3500061035156,142.5,0.0
57,266.333383797912,266.3500061035156,145.0,0.0
58,266.3460608415472,266.3500061035156,147.5,0.0
59,266.3577890593836,266.3500061035156,150.0,0.0
60,266.3686540326662,266.54998779296875,152.5,0.0
61,266.39678266600714,266.54998779296875,155.0,0.0
62,266.42256252587106,266.54998779296875,157.5,0.0
63,266.4462094905403,266.54998779296875,160.0,0.0
64,266.46791738033767,266.54998779296875,162.5,0.0
65,266.4878616083196,266.54998779296875,165.0,0.0
66,266.50620143484883,266.54998779296875,167.5,0.0
67,266.5230816371324,266.54998779296875,170.0,0.0
68,266.53863389161927,266.54998779296875,172.5,0.0
69,266.5529779828569,266.54998779296875,175.0,0.0
70,266.5662228858344,266.54998779296875,177.5,0.0
71,266.5784677444496,266.54998779296875,180.0,0.0
72,266.5898027594838,266.75,182.5,0.0
73,266.6183590385442,266.75,185.0,0.0
74,266.6445279720399,266.75,187.5,0.0
75,266.6685289173074,266.75,190.0,0.0
76,266.69055885993157,266.75,192.5,0.0
77,266.71079609273744,266.75,195.0,0.0
78,266.7294024961126,266.75,197.5,0.0
79,266.74652523097205,266.75,200.0,0.0
80,266.76229814247125,266.75,202.5,0.0
81,266.7768429882545,266.75,205.0,0.0
82,266.79027053844175,266.75,207.5,0.0
83,266.80268157014706,266.75,210.0,0.0
84,266.814167770058,266.6499938964844,212.5,0.0
85,266.81578803337567,266.6499938964844,215.0,0.0
86,266.81745988891544,266.6499938964844,217.5,0.0
87,266.819176669583,266.6499938964844,220.0,0.0
88,266.82093360287047,266.6499938964844,222.5,0.0
89,266.82272680941213,266.6499938964844,225.0,0.0
90,266.8245529252787,266.6499938964844,227.5,0.0
91,266.82640894917694,266.6499938964844,230.0,0.0
92,266.82829217170735,266.6499938964844,232.5,0.0
93,266.83020013542864,266.6499938964844,235.0,0.0
94,266.83213060726393,266.6499938964844,237.5,0.0
95,266.83408155652194,266.6499938964844,240.0,0.0
96,266.83605113601965,266.75,242.5,239.641845703125
97,266.8657258815995,266.75,245.0,239.641845703125
98,266.8929090510193,266.75,247.5,239.641845703125
99,266.9178315536425,266.75,250.0,239.641845703125
100,266.9406995038145,266.75,252.5,239.641845703125
101,266.9616990055498,266.75,255.0,239.641845703125
102,266.98099886907886,266.75,257.5,239.641845703125
103,266.9987524968577,266.75,260.0,239.641845703125
104,267.0150993899875,266.75,262.5,239.641845703125
105,267.0301664438158,266.75,265.0,239.641845703125
106,267.04406909986693,266.75,267.5,239.641845703125
107,267.05691238427914,266.75,270.0,239.641845703125
108,267.06879184914675,266.75,272.5,546.2411499023438
109,267.1036728800625,266.75,275.0,546.2411499023438
110,267.13559407024917,266.75,277.5,546.2411499023438
111,267.16482771479264,266.75,280.0,546.2411499023438
112,267.1916181268492,266.75,282.5,546.2411499023438
113,267.2161863591659,266.75,285.0,546.2411499023438
114,267.238733088334,266.75,287.5,546.2411499023438
115,267.25944073393975,266.75,290.0,546.2411499023438
116,267.2784752059182,266.75,292.5,546.2411499023438
117,267.2959874296692,266.75,295.0,546.2411499023438
118,267.31211471049016,266.75,297.5,546.2411499023438
119,267.32698196666854,266.75,300.0,546.2411499023438
120,267.34070284839424,267.3500061035156,302.5,654.8699951171875
121,267.41598807252166,267.3500061035156,305.0,654.8699951171875
122,267.4846556876415,267.3500061035156,307.5,654.8699951171875
123,267.54731654807813,267.3500061035156,310.0,654.8699951171875
124,267.60451743940524,267.3500061035156,312.5,654.8699951171875
125,267.6567526192554,267.3500061035156,315.0,654.8699951171875
126,267.7044706166228,267.3500061035156,317.5,654.8699951171875
127,267.7480790939497,267.3500061035156,320.0,654.8699951171875
128,267.787948797006,267.3500061035156,322.5,654.8699951171875
129,267.8244169790418,267.3500061035156,325.0,654.8699951171875
130,267.8577904554661,267.3500061035156,327.5,654.8699951171875
131,267.8883483613132,267.3500061035156,330.0,654.8699951171875
132,267.916344652236,267.95001220703125,332.5,710.0999755859375
133,268.0004589075886,267.95001220703125,335.0,710.0999755859375
134,268.07716065201134,267.95001220703125,337.5,710.0999755859375
135,268.14713150918516,267.95001220703125,340.0,710.0999755859375
136,268.2109832468461,267.95001220703125,342.5,710.0999755859375
137,268.26926945684284,267.95001220703125,345.0,710.0999755859375
138,268.32249272693315,267.95001220703125,347.5,710.0999755859375
139,268.3711099297079,267.95001220703125,350.0,710.0999755859375
140,268.41553659227134,267.95001220703125,352.5,710.0999755859375
141,268.4561507135861,267.95001220703125,355.0,710.0999755859375
142,268.4932961809072,267.95001220703125,357.5,710.0999755859375
143,268.5272858578152,267.95001220703125,360.0,710.0999755859375
144,268.55840438647596,268.04998779296875,362.5,964.3587036132812
145,268.61573733696315,268.04998779296875,365.0,964.3587036132812
146,268.66808364534245,268.04998779296875,367.5,964.3587036132812
147,268.71589952100607,268.04998779296875,370.0,964.3587036132812
148,268.7595958939003,268.04998779296875,372.5,964.3587036132812
149,268.7995451516324,268.04998779296875,375.0,964.3587036132812
150,268.83608556503094,268.04998779296875,377.5,964.3587036132812
151,268.86952470494276,268.04998779296875,380.0,964.3587036132812
152,268.90014233275366,268.04998779296875,382.5,964.3587036132812
153,268.92819295216765,268.04998779296875,385.0,964.3587036132812
154,268.9539081029096,268.04998779296875,387.5,964.3587036132812
155,268.97749843755713,268.04998779296875,390.0,964.3587036132812
156,268.99915560747615,266.8500061035156,392.5,865.8831787109375
157,268.90309028335287,266.8500061035156,395.0,865.8831787109375
158,268.81592459356295,266.8500061035156,397.5,865.8831787109375
159,268.73682994774595,266.8500061035156,400.0,865.8831787109375
160,268.6650691094455,266.8500061035156,402.5,865.8831787109375
161,268.5999772836748,266.8500061035156,405.0,865.8831787109375
162,268.5409517646298,266.8500061035156,407.5,865.8831787109375
163,268.4874449693944,266.8500061035156,410.0,865.8831787109375
164,268.43895897731704,266.8500061035156,412.5,865.8831787109375
165,268.3950408757993,266.8500061035156,415.0,865.8831787109375
166,268.35527863817424,266.8500061035156,417.5,865.8831787109375
167,268.31929741356214,266.8500061035156,420.0,865.8831787109375
168,268.28675616574117,266.75,422.5,585.2900390625
169,268.22646705217085,266.75,425.0,585.2900390625
170,268.17182112606,266.75,427.5,585.2900390625
171,268.12230250229663,266.75,430.0,585.2900390625
172,268.0774462516969,266.75,432.5,585.2900390625
173,268.0368309631179,266.75,435.0,585.2900390625
174,268.0000738015659,266.75,437.5,585.2900390625
175,267.96682666501687,266.75,440.0,585.2900390625
176,267.9367729214897,266.75,442.5,585.2900390625
177,267.90962452400277,266.75,445.0,585.2900390625
178,267.88511941565264,266.75,447.5,585.2900390625
179,267.86301917944314,266.75,450.0,585.2900390625
180,267.84310690391914,266.8500061035156,452.5,102.56999969482422
