,T_in,T_out,heatPower,HGloHor
0,21.4375,0.1,0.0,0.0
1,21.4375,0.1,0.0,0.0
2,21.4375,0.1,0.0,0.0
3,21.424999999999997,0.1,0.0,0.0
4,21.424999999999997,0.1,0.0,0.0
5,21.424999999999997,0.1,80.0,0.0
6,21.4125,0.1,7980.0,0.0
7,21.425,0.2,4620.0,0.0
8,21.4125,0.2,2380.0,0.0
9,21.4375,0.2,2460.0,0.0
10,21.45,0.2,2940.0,0.0
11,21.45,0.3,2840.0,0.0
12,21.4625,0.3,2580.0,0.0
13,21.487499999999997,0.3,2280.0,0.0
14,21.512499999999996,0.3,2060.0,0.0
15,21.512499999999996,0.3,2860.0,0.0
16,21.549999999999997,0.3,2700.0,0.0
17,21.549999999999997,0.3,1800.0,0.0
18,21.549999999999997,0.3,0.0,0.0
19,21.549999999999997,0.3,0.0,0.0
20,21.549999999999997,0.3,0.0,0.0
21,21.549999999999997,0.3,0.0,0.0
22,21.5625,0.3,0.0,0.0
23,21.550000000000004,0.3,0.0,0.0
24,21.550000000000004,0.3,0.0,0.0
25,21.5,0.3,0.0,0.0
26,21.5,0.3,0.0,0.0
27,21.5,0.3,0.0,0.0
28,21.474999999999998,0.3,0.0,0.0
29,21.424999999999997,0.3,40.0,0.0
30,21.4125,0.3,10000.0,0.0
31,21.4125,0.3,5440.0,0.0
32,21.387500000000003,0.3,2440.0,0.0
33,21.4,0.3,3400.0,0.0
34,21.45,0.3,1880.0,0.0
35,21.4625,0.3,2380.0,0.0
36,21.475,0.3,3020.0,0.0
37,21.475,0.3,2560.0,0.0
38,21.4875,0.3,2320.0,0.0
39,21.4875,0.3,2040.0,0.0
40,21.5,0.3,3000.0,0.0
41,21.5125,0.3,2660.0,0.0
42,21.525,0.4,2240.0,0.0
43,21.5375,0.3,1920.0,0.0
44,21.5875,0.3,3080.0,0.0
45,21.6,0.4,2560.0,0.0
46,21.6,0.4,2140.0,0.0
47,21.6,0.4,2580.0,0.0
48,21.612499999999997,0.4,2920.0,0.0
49,21.625,0.4,2280.0,0.0
50,21.637500000000003,0.4,1920.0,0.0
51,21.65,0.4,3040.0,0.0
52,21.65,0.4,2620.0,0.0
53,21.675,0.4,1780.0,0.0
54,21.712500000000002,0.4,0.0,0.0
55,21.712500000000002,0.4,0.0,0.0
56,21.712500000000002,0.3,0.0,0.0
57,21.7,0.3,0.0,0.0
58,21.674999999999997,0.3,0.0,0.0
59,21.6875,0.2,0.0,0.0
60,21.6875,0.2,0.0,0.0
61,21.6625,0.2,0.0,0.0
62,21.6375,0.2,0.0,0.0
63,21.625,0.2,0.0,0.0
64,21.612499999999997,0.2,0.0,0.0
65,21.612499999999997,0.2,0.0,0.0
66,21.575000000000003,0.3,0.0,0.0
67,21.5625,0.3,0.0,0.0
68,21.5375,0.3,0.0,0.0
69,21.525,0.2,0.0,0.0
70,21.4625,0.2,0.0,0.0
71,21.45,0.1,0.0,0.0
72,21.4375,0.0,0.0,0.0
73,21.400000000000002,-0.0,0.0,0.0
74,21.3625,-0.1,0.0,0.0
75,21.3375,-0.1,0.0,0.0
76,21.325000000000003,-0.1,0.0,0.0
77,21.275,-0.1,20.0,0.0
78,21.2375,0.0,12470.0,0.0
79,21.225,0.1,8300.0,0.0
80,21.225,0.0,2720.0,0.0
81,21.25,0.1,3720.0,0.0
82,21.275,0.0,2260.0,0.0
83,21.2875,0.0,1680.0,0.0
84,21.299999999999997,0.0,3080.0,0.0
85,21.3125,0.1,2980.0,0.0
86,21.3625,0.1,2540.0,0.0
87,21.3625,0.2,2440.0,0.0
88,21.3625,0.2,2060.0,0.0
89,21.3625,0.2,3040.0,0.0
90,21.375,0.2,0.0,0.0
91,21.3875,0.1,0.0,0.0
92,21.3875,0.1,0.0,0.0
93,21.3875,-0.2,0.0,0.0
94,21.3875,-0.3,0.0,0.0
95,21.3875,-0.3,0.0,0.0
96,21.375,-0.6,0.0,0.0
97,21.3625,-0.8,0.0,0.0
98,21.3375,-0.8,0.0,0.0
99,21.325000000000003,-0.9,0.0,0.0
100,21.3125,-0.9,0.0,0.0
101,21.299999999999997,-0.9,0.0,0.0
102,21.25,-0.9,0.0,0.0
103,21.25,-0.8,0.0,0.0
104,21.225,-0.6,0.0,0.0
105,21.225,-0.4,0.0,0.0
106,21.15,-0.3,0.0,0.0
107,21.1375,-0.2,0.0,0.0
108,21.125,-0.2,0.0,0.0
109,21.075,-0.2,0.0,0.0
110,21.0625,-0.2,0.0,0.0
111,21.05,-0.1,0.0,0.0
112,21.05,0.0,0.0,0.0
113,20.9875,0.1,0.0,0.0
114,20.9875,0.1,0.0,0.0
115,20.95,0.1,0.0,0.0
116,20.9,0.1,0.0,0.0
117,20.9,0.2,0.0,0.0
118,20.875,0.2,0.0,0.0
119,20.85,0.2,0.0,0.0
120,20.825,0.2,0.0,0.0
121,20.7875,0.2,5360.0,0.0
122,20.775,0.2,2920.0,0.0
123,20.775,0.2,0.0,0.0
124,20.7875,0.3,0.0,0.0
125,20.7875,0.3,0.0,0.0
126,20.7875,0.3,0.0,0.0
127,20.7875,0.2,0.0,0.0
128,20.7625,0.3,0.0,0.0
129,20.7375,0.3,0.0,0.0
130,20.725,0.3,0.0,0.0
131,20.7125,0.3,0.0,0.0
132,20.6875,0.3,0.0,0.0
133,20.674999999999997,0.3,4240.0,0.0
134,20.65,0.3,6580.0,0.0
135,20.6375,0.3,0.0,0.0
136,20.6375,0.3,0.0,0.0
137,20.674999999999997,0.3,0.0,0.0
138,20.674999999999997,0.3,0.0,0.0
139,20.674999999999997,0.3,0.0,0.0
140,20.65,0.3,0.0,0.0
141,20.65,0.3,0.0,0.0
142,20.625,0.3,0.0,0.0
143,20.6125,0.4,0.0,0.0
144,20.5875,0.4,2620.0,0.0
145,20.5875,0.5,8980.0,0.0
146,20.5875,0.5,2060.0,0.0
147,20.5875,0.5,0.0,0.0
148,20.599999999999998,0.5,0.0,0.0
149,20.599999999999998,0.5,0.0,0.0
150,20.625,0.5,8680.0,0.0
151,20.625,0.6,2440.0,0.0
152,20.637500000000003,0.6,4060.0,0.0
153,20.637500000000003,0.6,3760.0,1.0
154,20.6625,0.6,2180.0,2.0
155,20.6875,0.6,1740.0,2.0
156,20.7125,0.6,3140.0,3.0
157,20.737499999999997,0.6,2940.0,4.0
158,20.737499999999997,0.6,2720.0,4.0
159,20.75,0.7,2520.0,4.0
160,20.775,0.7,2360.0,5.0
161,20.8125,0.7,2220.0,6.0
162,20.8125,0.7,0.0,7.0
163,20.8125,0.7,0.0,7.0
164,20.8125,0.7,0.0,7.0
165,20.825,0.8,0.0,7.0
166,20.837500000000002,0.8,0.0,8.0
167,20.837500000000002,0.8,0.0,9.0
168,20.825,0.9,0.0,10.0
169,20.8125,0.9,0.0,13.0
170,20.8,0.9,0.0,15.0
171,20.775,0.9,0.0,16.0
172,20.762500000000003,1.0,0.0,15.0
173,20.75,1.0,0.0,17.0
174,20.737499999999997,1.1,0.0,18.0
175,20.725,1.1,0.0,18.0
176,20.725,1.1,0.0,19.0
177,20.6625,1.2,0.0,23.0
178,20.65,1.2,0.0,28.0
179,20.625,1.2,8020.0,33.0
180,20.612499999999997,1.2,9060.0,37.0
181,20.625,1.3,2520.0,43.0
182,20.637500000000003,1.3,3520.0,38.0
183,20.6625,1.3,2480.0,34.0
184,20.700000000000003,1.4,1740.0,29.0
185,20.700000000000003,1.5,2880.0,30.0
186,20.7125,1.5,3080.0,29.0
187,20.7625,1.5,2640.0,27.0
188,20.775,1.5,2500.0,26.0
189,20.775,1.5,2240.0,24.0
190,20.8,1.6,2380.0,22.0
191,20.8375,1.6,3080.0,22.0
192,20.849999999999998,1.7,2540.0,26.0
193,20.875,1.8,2300.0,29.0
194,20.8875,1.8,2300.0,29.0
195,20.9125,1.9,3100.0,31.0
196,20.924999999999997,1.9,2560.0,33.0
197,20.9375,1.9,2240.0,39.0
198,20.9375,2.0,2280.0,45.0
199,20.9375,2.1,3060.0,51.0
200,21.0125,2.2,2460.0,67.0
201,21.0375,2.4,2040.0,58.0
202,21.0375,2.4,2700.0,50.0
203,21.075000000000003,2.5,2860.0,62.0
204,21.0875,2.4,2400.0,53.0
205,21.1,2.5,1920.0,38.0
206,21.112499999999997,2.6,3000.0,34.0
207,21.150000000000002,2.6,2760.0,40.0
208,21.1875,2.5,2300.0,57.0
209,21.1875,2.6,2020.0,68.0
210,21.2,2.7,3060.0,60.0
211,21.2375,2.6,2660.0,48.0
212,21.2625,2.6,2240.0,47.0
213,21.275000000000002,2.6,2200.0,64.0
214,21.3,2.7,3060.0,85.0
215,21.3375,2.7,1960.0,86.0
216,21.362499999999997,2.8,0.0,79.0
217,21.362499999999997,2.8,0.0,69.0
218,21.375,2.9,0.0,61.0
219,21.375,2.8,0.0,60.0
220,21.375,2.8,0.0,64.0
221,21.375,2.8,0.0,69.0
222,21.387500000000003,2.9,0.0,74.0
223,21.375,2.9,0.0,63.0
224,21.375,2.8,0.0,61.0
225,21.375,2.7,0.0,62.0
226,21.375,2.7,0.0,60.0
227,21.337500000000002,2.7,0.0,60.0
228,21.325,2.7,0.0,52.0
229,21.3125,2.8,0.0,50.0
230,21.2875,2.9,0.0,48.0
231,21.2875,2.9,0.0,47.0
232,21.2875,2.9,0.0,46.0
233,21.2625,2.9,0.0,52.0
234,21.2625,2.9,0.0,59.0
235,21.225,2.9,0.0,64.0
236,21.2125,3.0,0.0,75.0
237,21.1875,2.9,0.0,77.0
238,21.1875,2.9,0.0,72.0
