index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,weaBus.HDirNor,T_out,T_in,roomTempUpperSetpoint,HGloHor,heatPower,u
0,0,1,0,0.0,0.0,279.75,293.15,21.0,0.0,7455.528845675435,1.0
1,300,1,300,0.0,0.0,279.741724537037,293.8321586710184,21.0,0.0,2369.6751965698218,0.31784132898155804
2,600,1,600,0.0,0.0,279.73379629629625,293.84379562879985,21.0,0.0,2282.915522154434,0.3062043712001241
3,900,1,900,0.0,0.0,279.7265625,293.84381068014795,21.0,0.0,2282.8033063945054,0.3061893198520238
4,1200,1,1200,0.0,0.0,279.72037037037035,293.84486406935116,21.0,0.0,2274.949732804271,0.3051359306488166
5,1500,1,1500,0.0,0.0,279.7155671296296,293.845760903423,21.0,0.0,2268.263360511791,0.30423909657696413
6,1800,1,1800,0.0,0.0,279.7125,293.8463900875022,21.0,0.0,2263.5724604602747,0.3036099124977909
7,2100,1,2100,0.0,0.0,279.7115162037037,293.846922960725,21.0,0.0,2259.5996087764256,0.3030770392749673
8,2400,1,2400,0.0,0.0,279.71296296296293,293.8473741722215,21.0,0.0,2256.235588448688,0.30262582777845637
9,2700,1,2700,0.0,0.0,279.71718749999997,293.84774050211126,21.0,0.0,2253.5044053886713,0.30225949788871276
10,3000,1,3000,0.0,0.0,279.724537037037,293.84802589810823,21.0,0.0,2251.3766273008328,0.30197410189174434
11,3300,1,3300,0.0,0.0,279.7353587962963,293.8482390829035,21.0,0.0,2249.7872219103356,0.30176091709648745
12,3600,1,3600,0.0,0.0,279.75,293.8483864059614,21.0,0.0,2248.688850602618,0.3016135940385994
13,3900,1,3900,0.0,0.0,279.76666666666665,293.8484609203199,21.0,0.0,2248.133306653282,0.301539079680083
14,4200,1,4200,0.0,0.0,279.7833333333333,293.8484461623466,21.0,0.0,2248.2433351489526,0.30155383765338684
15,4500,1,4500,0.0,0.0,279.79999999999995,293.84835172205226,21.0,0.0,2248.9474374875485,0.3016482779477201
16,4800,1,4800,0.0,0.0,279.81666666666666,293.84817813278113,21.0,0.0,2250.2416373057436,0.3018218672188482
17,5100,1,5100,0.0,0.0,279.8333333333333,293.84792700480114,21.0,0.0,2252.1139292045395,0.30207299519884145
18,5400,1,5400,0.0,0.0,279.84999999999997,293.84759893952685,21.0,0.0,2254.559829320264,0.3024010604731302
19,5700,1,5700,0.0,0.0,279.8666666666666,293.8471945301025,21.0,0.0,2257.5749154488494,0.30280546989746426
20,6000,1,6000,0.0,0.0,279.8833333333333,293.8467176039738,21.0,0.0,2261.1306519588265,0.30328239602619084
21,6300,1,6300,0.0,0.0,279.9,293.8461851031516,21.0,0.0,2265.100727199107,0.30381489684839386
22,6600,1,6600,0.0,0.0,279.91666666666663,293.84559347930565,21.0,0.0,2269.5115958482643,0.3044065206943288
23,6900,1,6900,0.0,0.0,279.93333333333334,293.8449465916678,21.0,0.0,2274.3344852922123,0.30505340833218497
24,7200,1,7200,0.0,0.0,279.95,293.8442483290376,21.0,0.0,2279.5404024733807,0.30575167096236555
25,7500,1,7500,0.0,0.0,279.96666666666664,293.8435025719283,21.0,0.0,2285.10041611374,0.3064974280716797
26,7800,1,7800,0.0,0.0,279.9833333333333,293.8427131754754,21.0,0.0,2290.9857841389166,0.30728682452456724
27,8100,1,8100,0.0,0.0,280.0,293.84188400788537,21.0,0.0,2297.167667024366,0.30811599211460816
28,8400,1,8400,0.0,0.0,280.01666666666665,293.8410146474831,21.0,0.0,2303.6492085806162,0.30898535251685644
29,8700,1,8700,0.0,0.0,280.0333333333333,293.840110067267,21.0,0.0,2310.3933324750915,0.3098899327329718
30,9000,1,9000,0.0,0.0,280.04999999999995,293.83917347248456,21.0,0.0,2317.3761418923186,0.31082652751541673
31,9300,1,9300,0.0,0.0,280.06666666666666,293.8382071619058,21.0,0.0,2324.5804982860463,0.31179283809416347
32,9600,1,9600,0.0,0.0,280.0833333333333,293.83721245624463,21.0,0.0,2331.9965550359675,0.31278754375534845
33,9900,1,9900,0.0,0.0,280.09999999999997,293.83619300591636,21.0,0.0,2339.597096365132,0.31380699408362034
34,10200,1,10200,0.0,0.0,280.1166666666666,293.835151536616,21.0,0.0,2347.3618007756477,0.314848463383953
35,10500,1,10500,0.0,0.0,280.1333333333333,293.8340876014806,21.0,0.0,2355.293999867911,0.31591239851940145
36,10800,1,10800,0.0,0.0,280.15,293.83300409680123,21.0,0.0,2363.3721002591783,0.3169959031987446
37,11100,1,11100,0.0,0.0,280.16666666666663,293.8319041651466,21.0,0.0,2371.572672438377,0.31809583485335224
38,11400,1,11400,0.0,0.0,280.18333333333334,293.83079026902783,21.0,0.0,2379.8773570831413,0.31920973097214755
39,11700,1,11700,0.0,0.0,280.2,293.829664870956,21.0,0.0,2388.2677948706814,0.32033512904399686
40,12000,1,12000,0.0,0.0,280.21666666666664,293.8285303108307,21.0,0.0,2396.726540612071,0.3214696891693052
41,12300,1,12300,0.0,0.0,280.2333333333333,293.8273820887501,21.0,0.0,2405.2871434551316,0.3226179112498926
42,12600,1,12600,0.0,0.0,280.25,293.8262263161685,21.0,0.0,2413.9040392760617,0.3237736838314618
43,12900,1,12900,0.0,0.0,280.26666666666665,293.8250649483784,21.0,0.0,2422.562650335831,0.3249350516215941
44,13200,1,13200,0.0,0.0,280.2833333333333,293.82389994067216,21.0,0.0,2431.2483988949884,0.32610005932781405
45,13500,1,13500,0.0,0.0,280.29999999999995,293.8227332483422,21.0,0.0,2439.9467072149278,0.32726675165775987
46,13800,1,13800,0.0,0.0,280.31666666666666,293.8215628388249,21.0,0.0,2448.672729132624,0.3284371611750885
47,14100,1,14100,0.0,0.0,280.3333333333333,293.8203788466916,21.0,0.0,2457.5000166354366,0.3296211533083806
48,14400,1,14400,0.0,0.0,280.34999999999997,293.81919023415145,21.0,0.0,2466.3617517148373,0.33080976584852806
49,14700,1,14700,0.0,0.0,280.3653356481481,293.8179977030187,21.0,0.0,2475.25270197438,0.3320022969812726
50,15000,1,15000,0.0,0.0,280.3782407407407,293.81680195510774,21.0,0.0,2484.167635016771,0.33319804489224225
51,15300,1,15300,0.0,0.0,280.38906249999997,293.81560369223297,21.0,0.0,2493.1013184442904,0.33439630776700824
52,15600,1,15600,0.0,0.0,280.39814814814815,293.81439510859377,21.0,0.0,2502.111948628739,0.33560489140620575
53,15900,1,15900,0.0,0.0,280.4058449074074,293.8131710620396,21.0,0.0,2511.2378630218095,0.3368289379603766
54,16200,1,16200,0.0,0.0,280.41249999999997,293.81193707659077,21.0,0.0,2520.4378771307393,0.3380629234092112
55,16500,1,16500,0.0,0.0,280.41846064814814,293.81069254314104,21.0,0.0,2529.716532164546,0.3393074568589327
56,16800,1,16800,0.0,0.0,280.42407407407404,293.80943685258404,21.0,0.0,2539.078369333519,0.34056314741593496
57,17100,1,17100,0.0,0.0,280.4296875,293.8081693958135,21.0,0.0,2548.527929847098,0.341830604186498
58,17400,1,17400,0.0,0.0,280.4356481481481,293.8069270601803,21.0,0.0,2557.790198996066,0.34307293981964904
59,17700,1,17700,0.0,0.0,280.4423032407407,293.80570474034323,21.0,0.0,2566.9032398001877,0.34429525965674657
60,18000,1,18000,0.0,0.0,280.45,293.80449650800335,21.0,0.0,2575.9112508624203,0.3455034919966238
61,18300,1,18300,0.0,0.0,280.4583333333333,293.8033054366809,21.0,0.0,2584.7913174643263,0.34669456331909027
62,18600,1,18600,0.0,0.0,280.46666666666664,293.8021345998961,21.0,0.0,2593.5205248870457,0.34786540010389905
63,18900,1,18900,0.0,0.0,280.47499999999997,293.80098676279044,21.0,0.0,2602.0782575382373,0.3490132372095331
64,19200,1,19200,0.0,0.0,280.4833333333333,293.79983138253294,21.0,0.0,2610.692228375759,0.350168617467034
65,19500,1,19500,0.0,0.0,280.4916666666666,293.7986890880535,21.0,0.0,2619.208637817557,0.35131091194648434
66,19800,1,19800,0.0,0.0,280.5,293.79756053283796,21.0,0.0,2627.6226137808785,0.3524394671620144
67,20100,1,20100,0.0,0.0,280.5083333333333,293.79644637037217,21.0,0.0,2635.929284183394,0.353553629627811
68,20400,1,20400,0.0,0.0,280.51666666666665,293.79534725414186,21.0,0.0,2644.1237769431987,0.35465274585811807
69,20700,1,20700,0.0,0.0,280.525,293.79425247300264,21.0,0.0,2652.285949306323,0.3557475269973338
70,21000,1,21000,0.0,0.0,280.5333333333333,293.79312685320826,21.0,0.0,2660.6780401525816,0.35687314679171317
71,21300,1,21300,0.0,0.0,280.54166666666663,293.7919921328208,21.0,0.0,2669.1379807332405,0.35800786717919664
72,21600,1,21600,0.0,0.0,280.54999999999995,293.79084524184015,21.0,0.0,2677.688659522212,0.359154758159832
73,21900,1,21900,0.0,0.0,280.54809751157404,293.789898137828,21.0,0.0,2684.749820804586,0.36010186217197315
74,22200,1,22200,0.0,0.0,280.52818287037036,293.7886501912998,21.0,0.0,2694.05392214362,0.3613498087001972
75,22500,1,22500,0.0,0.0,280.4939453125,293.78722719352874,21.0,0.0,2704.6631230729727,0.36277280647124144
76,22800,1,22800,0.0,0.0,280.4490740740741,293.78570129932416,21.0,0.0,2716.039471330639,0.3642987006758176
77,23100,1,23100,0.0,0.0,280.3972583912037,293.7841110052847,21.0,0.0,2727.8959544151485,0.36588899471530567
78,23400,1,23400,0.0,0.0,280.34218749999997,293.7824728411211,21.0,0.0,2740.109334590673,0.367527158878886
79,23700,1,23700,0.0,0.0,280.28755063657405,293.7808869677894,21.0,0.0,2751.932858960689,0.36911303221057784
80,24000,1,24000,0.0,0.0,280.237037037037,293.7793010952997,21.0,0.0,2763.756377053412,0.37069890470030487
81,24300,1,24300,0.0,0.0,280.1943359375,293.777764021262,21.0,0.0,2775.216076879313,0.3722359787379901
