index,seconds_of_day,day_of_year,timestamp,T_out,weaBus.HDirNor,T_in,HGloHor,heatPower,roomTempUpperSetpoint,weaBus.HDifHor,u
0,0,1,0,274.15,0.0,293.15,0.0,19175.94174657106,22.5,0.0,1.0
1,300,1,300,274.24548611111106,0.0,293.88892789038925,0.0,5006.303565549633,22.5,0.0,0.2610721096107227
2,600,1,600,274.3305555555555,0.0,293.88959042375467,0.0,4993.59886432929,22.5,0.0,0.26040957624530847
3,900,1,900,274.403125,0.0,293.8906834118053,0.0,4972.639789140719,22.5,0.0,0.25931658819467884
4,1200,1,1200,274.4611111111111,0.0,293.8900608173097,0.0,4984.578624920271,22.5,0.0,0.2599391826902888
5,1500,1,1500,274.5024305555555,0.0,293.8887085880132,0.0,5010.508895138248,22.5,0.0,0.2612914119868037
6,1800,1,1800,274.525,0.0,293.88695602574035,0.0,5044.115927189219,22.5,0.0,0.2630439742596309
7,2100,1,2100,274.52673611111106,0.0,293.88472527832835,0.0,5086.892609613042,22.5,0.0,0.2652747216716307
8,2400,1,2400,274.50555555555553,0.0,293.8820513877612,0.0,5138.16697936573,22.5,0.0,0.26794861223879707
9,2700,1,2700,274.45937499999997,0.0,293.878969235259,0.0,5197.270156202004,22.5,0.0,0.2710307647409991
10,3000,1,3000,274.38611111111106,0.0,293.8754993206801,0.0,5263.809036032307,22.5,0.0,0.2745006793198854
11,3300,1,3300,274.2836805555555,0.0,293.87165962452224,0.0,5337.438825879851,22.5,0.0,0.2783403754777396
12,3600,1,3600,274.15,0.0,293.86745799968986,0.0,5418.008938906443,22.5,0.0,0.2825420003101158
13,3900,1,3900,273.9883101851852,0.0,293.8629512631446,0.0,5504.429856365075,22.5,0.0,0.28704873685535404
14,4200,1,4200,273.8059764309764,0.0,293.85817154734,0.0,5596.085408199294,22.5,0.0,0.2918284526599564
15,4500,1,4500,273.6071022727273,0.0,293.8531673649287,0.0,5692.045318607834,22.5,0.0,0.29683263507126867
16,4800,1,4800,273.3957912457912,0.0,293.84801398177166,0.0,5790.866293825204,22.5,0.0,0.3019860182283196
17,5100,1,5100,273.17614688552186,0.0,293.8427620347182,0.0,5891.577324578547,22.5,0.0,0.3072379652817858
18,5400,1,5400,272.9522727272727,0.0,293.83742284532036,0.0,5993.961309445246,22.5,0.0,0.3125771546796159
19,5700,1,5700,272.7282723063973,0.0,293.83204522668734,0.0,6097.082211087307,22.5,0.0,0.31795477331263555
20,6000,1,6000,272.50824915824916,0.0,293.8266648935145,0.0,6200.255166587327,22.5,0.0,0.32333510648550146
21,6300,1,6300,272.2963068181818,0.0,293.82131575565097,0.0,6302.829922652266,22.5,0.0,0.3286842443490059
22,6600,1,6600,272.0965488215488,0.0,293.81602817848886,0.0,6404.224194293338,22.5,0.0,0.3339718215111134
23,6900,1,6900,271.91307870370366,0.0,293.8108455496426,0.0,6503.605983143795,22.5,0.0,0.3391544503573982
24,7200,1,7200,271.75,0.0,293.805798665544,0.0,6600.384738620052,22.5,0.0,0.3442013344559882
25,7500,1,7500,271.5981150793651,0.0,293.8008528412489,0.0,6695.225577191239,22.5,0.0,0.34914715875106594
26,7800,1,7800,271.44617604617605,0.0,293.7959357055627,0.0,6789.516284669505,22.5,0.0,0.35406429443725074
27,8100,1,8100,271.29521103896104,0.0,293.7910200440129,0.0,6883.778724194913,22.5,0.0,0.3589799559870812
28,8400,1,8400,271.14624819624817,0.0,293.7861463827388,0.0,6977.235768879102,22.5,0.0,0.3638536172611566
29,8700,1,8700,271.00031565656565,0.0,293.7812649152484,0.0,7070.842505112918,22.5,0.0,0.36873508475156314
