index,seconds_of_day,day_of_year,timestamp,thermalZone.TAir,totalHeatingPower.y,weaBus.HDirNor,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.TDryBul,u
0,0,1,0,293.15,3496.6646336147055,0.0,0.0,0.0,24.0,271.82,0.9126213592233009
1,300,1,300,293.9770315783451,3794.736211252217,0.0,0.0,0.0,24.0,271.8280908161068,0.9904173496406518
2,600,1,600,294.5615708311916,3793.286916709409,0.0,0.0,0.0,24.0,271.8357342807924,0.9900390871264669
3,900,1,900,294.8814836028382,3796.6686039759566,0.0,0.0,0.0,24.0,271.84298691860465,0.9909216996595638
4,1200,1,1200,295.06274479340783,431.8897737567766,0.0,0.0,0.0,24.0,271.84990525409125,0.11272222922708366
5,1500,1,1500,293.6514491611708,31.884479941775453,0.0,0.0,0.0,24.0,271.8565458118002,0.00832177531206658
6,1800,1,1800,292.7182509504031,33.33377448458343,0.0,0.0,0.0,24.0,271.86296511627904,0.008700037826251424
7,2100,1,2100,292.2151095619131,31.884479941775453,0.0,0.0,0.0,24.0,271.8692196920758,0.00832177531206658
8,2400,1,2400,291.9409626404299,3605.361724325304,0.0,0.0,0.0,24.0,271.8753660637381,0.9409910477871642
9,2700,1,2700,293.40041779171185,3823.7221021083765,0.0,0.0,0.0,24.0,271.8814607558139,0.9979825999243487
10,3000,1,3000,294.281710808352,3809.7122548612283,0.0,0.0,0.0,24.0,271.887560292851,0.9943260622872273
11,3300,1,3300,294.75323039554746,3781.692560366945,0.0,0.0,0.0,24.0,271.893721199397,0.9870129870129881
12,3600,1,3600,295.0015329629927,3781.692560366945,0.0,0.0,0.0,24.0,271.9,0.9870129870129881
13,3900,1,3900,295.1454233164052,3779.2770694622604,0.0,0.0,0.0,24.0,271.90602887294085,0.9863825494893456
14,4200,1,4200,295.2278490674364,3776.378480376645,0.0,0.0,0.0,24.0,271.911429869186,0.9856260244609759
15,4500,1,4500,295.2799289579653,3762.3686331295035,0.0,0.0,0.0,24.0,271.916244322311,0.9819694868238563
16,4800,1,4800,295.310434900406,322.22648668430674,0.0,0.0,0.0,24.0,271.92051356589144,0.08410036565376383
17,5100,1,5100,293.7847875177426,27.536596313351527,0.0,0.0,0.0,24.0,271.9242789335029,0.007186987769512046
18,5400,1,5400,292.8360792173851,30.435185398967477,0.0,0.0,0.0,24.0,271.9275817587209,0.007943512797881734
19,5700,1,5700,292.3260231042574,28.9858908561595,0.0,0.0,0.0,24.0,271.9304633751211,0.00756525028369689
20,6000,1,6000,292.0456961635931,3443.0407355308103,0.0,0.0,0.0,24.0,271.93296511627904,0.8986256461984616
21,6300,1,6300,293.42937140383185,3736.764429539898,0.0,0.0,0.0,24.0,271.9351283157703,0.975286849073258
22,6600,1,6600,294.30288055216903,3737.2475277208296,0.0,0.0,0.0,24.0,271.9369943071705,0.9754129365779851
23,6900,1,6900,294.7754883948062,3728.5517604639817,0.0,0.0,0.0,24.0,271.9386044240552,0.9731433614928761
24,7200,1,7200,295.0318876281968,3724.686975016496,0.0,0.0,0.0,24.0,271.94,0.9721346614550503
25,7500,1,7500,295.1733673072019,3721.78838593088,0.0,0.0,0.0,24.0,271.93760844713745,0.9713781364266807
26,7800,1,7800,295.25636716262454,3715.025011397778,0.0,0.0,0.0,24.0,271.9282494668635,0.9696129113604852
27,8100,1,8100,295.3057437450763,3710.194029588416,0.0,0.0,0.0,24.0,271.9125528266486,0.9683520363132019
28,8400,1,8400,295.33713726587985,3707.2954405028004,0.0,0.0,0.0,24.0,271.8911482939632,0.9675955112848322
29,8700,1,8700,295.35961455648294,3722.7545822927495,0.0,0.0,0.0,24.0,271.8646656362779,0.9716303114361367
30,9000,1,9000,295.3853533523673,3713.092618674032,0.0,0.0,0.0,24.0,271.83373462106294,0.9691085613415716
31,9300,1,9300,295.4014985191211,3722.7545822927495,0.0,0.0,0.0,24.0,271.798985015789,0.9716303114361367
32,9600,1,9600,295.42063648861955,392.75882110096126,0.0,0.0,0.0,24.0,271.7610465879265,0.10250914134409286
33,9900,1,9900,293.9367620395522,30.91828357990349,0.0,0.0,0.0,24.0,271.72054910494586,0.008069600302610022
34,10200,1,10200,292.9759948501058,34.783069027391406,0.0,0.0,0.0,24.0,271.67812233431755,0.009078300340436269
35,10500,1,10500,292.4582447138777,34.29997084645538,0.0,0.0,0.0,24.0,271.63439604351214,0.00895221283570798
36,10800,1,10800,292.17192835284277,3530.9646044611654,0.0,0.0,0.0,24.0,271.59,0.92157357205901
37,11100,1,11100,293.5865380878406,3801.4995857853187,0.0,0.0,0.0,24.0,271.535403277293,0.9921825747068471
38,11400,1,11400,294.4633682749835,3790.871425804725,0.0,0.0,0.0,24.0,271.46326913527696,0.9894086496028244
39,11700,1,11700,294.9296490123738,3793.286916709409,0.0,0.0,0.0,24.0,271.37751862098315,0.9900390871264669
40,12000,1,12000,295.1823810978474,3808.2629603184205,0.0,0.0,0.0,24.0,271.2820727814428,0.9939477997730426
41,12300,1,12300,295.32762699787423,3814.060138489652,0.0,0.0,0.0,24.0,271.1808526636873,0.9954608498297819
42,12600,1,12600,295.4113498204918,3831.451673003348,0.0,0.0,0.0,24.0,271.0777793147478,1.0
43,12900,1,12900,295.46780096687087,3829.519280279608,0.0,0.0,0.0,24.0,270.97677378165565,0.999495649981088
44,13200,1,13200,295.5011660583455,361.357439340122,0.0,0.0,0.0,24.0,270.88175711144214,0.09431345353675463
45,13500,1,13500,293.96029329063475,30.91828357990349,0.0,0.0,0.0,24.0,270.7966503511385,0.008069600302610022
46,13800,1,13800,292.98173875598474,31.884479941775453,0.0,0.0,0.0,24.0,270.7253745477761,0.00832177531206658
47,14100,1,14100,292.45106994315427,32.367578122711464,0.0,0.0,0.0,24.0,270.67185074838613,0.008447862816794867
48,14400,1,14400,292.1585203201309,32.367578122711464,0.0,0.0,0.0,24.0,270.64,0.008447862816794867
49,14700,1,14700,291.9923973874126,31.884479941775453,0.0,0.0,0.0,24.0,270.62191008756844,0.00832177531206658
50,15000,1,15000,291.89586302534053,29.952087218031462,0.0,0.0,0.0,24.0,270.6068870779176,0.007817425293153447
51,15300,1,15300,291.83321221475876,29.46898903709552,0.0,0.0,0.0,24.0,270.59467944089124,0.007691337788425178
52,15600,1,15600,291.79128120503253,3494.249142710028,0.0,0.0,0.0,24.0,270.5850356463333,0.9119909216996601
53,15900,1,15900,293.32052176949975,3782.658756728815,0.0,0.0,0.0,24.0,270.5777041640877,0.9872651620224442
54,16200,1,16200,294.27016071446815,3789.905229442855,0.0,0.0,0.0,24.0,270.5724334639983,0.9891564745933685
55,16500,1,16500,294.7854434927241,3787.489738538177,0.0,0.0,0.0,24.0,270.568972015909,0.9885260370697275
56,16800,1,16800,295.06568312967516,3781.209462186007,0.0,0.0,0.0,24.0,270.56706828966367,0.9868868995082593
57,17100,1,17100,295.21925647140694,3787.0066403572387,0.0,0.0,0.0,24.0,270.56647075510625,0.9883999495649987
58,17400,1,17400,295.3121500585967,3793.7700148903405,0.0,0.0,0.0,24.0,270.5669278820805,0.990165174631194
59,17700,1,17700,295.37104280404833,3806.3305675946804,0.0,0.0,0.0,24.0,270.5681881404305,0.9934434497541305
60,18000,1,18000,295.41665253908496,394.2081156437692,0.0,0.0,0.0,24.0,270.57,0.1028874038582777
61,18300,1,18300,293.9105725855853,31.884479941775453,0.0,0.0,0.0,24.0,270.5730275376131,0.00832177531206658
62,18600,1,18600,292.93906875921334,33.33377448458343,0.0,0.0,0.0,24.0,270.5778463007044,0.008700037826251424
63,18900,1,18900,292.4159915662631,30.435185398967477,0.0,0.0,0.0,24.0,270.5840719650332,0.007943512797881734
64,19200,1,19200,292.1271882675816,3505.3604008715533,0.0,0.0,0.0,24.0,270.59132020635917,0.91489093430841
65,19500,1,19500,293.5307770738675,3768.6489094816734,0.0,0.0,0.0,24.0,270.5992067004417,0.9836086243853246
66,19800,1,19800,294.4020706116744,3769.615105843543,0.0,0.0,0.0,24.0,270.60734712304026,0.9838607993947805
67,20100,1,20100,294.8727158255261,3766.233418576989,0.04161634460547504,0.0842527777777778,0.09394733061218336,24.0,270.6153571499144,0.982978186861682
68,20400,1,20400,295.13052192917837,316.42930851307483,0.1614331723027375,0.3445555555555556,0.38033183927552594,24.0,270.6228524568235,0.08258731559702445
69,20700,1,20700,293.7210822143672,28.9858908561595,0.35190217391304346,0.7922250000000003,0.8659673012302167,24.0,270.6294487195272,0.00756525028369689
70,21000,1,21000,292.8393761434969,28.9858908561595,0.6054750402576488,1.4385777777777782,1.5576674917164444,24.0,270.6347616137848,0.00756525028369689
71,21300,1,21300,292.3658264702277,30.435185398967477,0.9146034621578099,2.294930555555556,2.4622461859743976,24.0,270.63840681535595,0.007943512797881734
72,21600,1,21600,292.1118362209686,3439.659048264263,1.2717391304347825,3.3726000000000007,3.586517159244265,24.0,270.64,0.8977430336653649
73,21900,1,21900,293.51199444744265,3768.6489094816734,1.6693337359098226,4.682902777777779,4.937294186766235,24.0,270.63423414074344,0.9836086243853246
74,22200,1,22200,294.4167342578513,3778.310873100391,2.0998389694041864,6.237155555555556,6.5213910437805,24.0,270.61739236799076,0.9861303744798896
75,22500,1,22500,294.91776412749533,3789.905229442855,2.55570652173913,8.046675,8.345621505527243,24.0,270.5914755935684,0.9891564745933685
76,22800,1,22800,295.20724148315793,429.9573810330324,3.0293880837359097,10.12277777777778,10.416799347246656,24.0,270.55848472930285,0.11221787920817047
77,23100,1,23100,293.8747844519751,29.952087218031462,3.51333534621578,12.476780555555557,12.741738344178929,24.0,270.5204206870206,0.007817425293153447
78,23400,1,23400,293.0098465221971,30.91828357990349,4.0,15.12,15.327252271564248,24.0,270.479284378548,0.008069600302610022
79,23700,1,23700,292.5848008349251,31.40138176083944,4.956661092530658,18.30241543434834,18.531738566503876,24.0,270.4370767157117,0.008195687807338292
80,24000,1,24000,292.4150537082586,3542.075862622691,6.732720178372352,22.188439963286903,22.610562894475724,24.0,270.3957986103381,0.92447358466776
81,24300,1,24300,293.9918764665114,3792.3207203475326,9.143812709030101,26.66104092565598,27.41599137328496,24.0,270.35745097425365,0.9897869121170092
82,24600,1,24600,295.0744911269046,3788.4559349000465,12.005574136008919,31.603185660295864,32.80029012073675,24.0,270.32403471928484,0.9887782120791835
83,24900,1,24900,295.8243871736342,3797.6348003378325,15.133639910813825,36.897841506046866,38.61572525463626,24.0,270.2975507572581,0.9911738746690214
84,25200,1,25200,296.45807116721795,3804.3981748709343,18.343645484949835,42.42797580174928,44.71456289278865,24.0,270.28,0.9929390997352168
85,25500,1,25500,296.9962906200404,3807.7798621374886,21.451226309921964,48.07655588624339,50.94906915299909,24.0,270.2694717078659,0.9938217122683154
86,25800,1,25800,297.45398701170154,3820.340414841822,24.272017837235236,53.72654909836952,57.17151015307275,24.0,270.26349646702477,0.99709998739125
87,26100,1,26100,297.8669311739496,3821.3066112036922,26.621655518394654,59.260922776967945,63.234152010814796,24.0,270.26323717802336,0.9973521624007061
88,26400,1,26400,298.2389287331814,3817.441825756206,28.31577480490525,64.56264426087897,68.98926084403038,24.0,270.2698567414083,0.9963434623628803
89,26700,1,26700,298.5712811008975,3824.688298470246,29.17001114827203,69.51468088894289,74.28910277052469,24.0,270.2845180577263,0.9982347749338046
90,27000,1,27000,298.8553368524766,3828.5530839177322,29.0,74.0,78.98594390810288,24.0,270.308384027524,0.9992434749716304
91,27300,1,27300,299.0696290963093,3810.6784512231047,28.124149256093702,78.20568361273081,83.30118351320954,24.0,270.3426175513482,0.994578237296685
92,27600,1,27600,299.2246562961209,3695.2179859793982,27.01147515036404,82.36777210884354,87.52549366864017,24.0,270.3883815297455,0.9644433236666247
