index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,weaBus.TDryBul,totalHeatingPower.y,thermalZone.TAir,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,u
0,0,1,0,0.0,271.82,3074.284167475224,293.15,0.0,0.0,23.0,0.9126213592233009
1,300,1,300,0.0,271.8280908161068,3336.3501154349146,293.8905447567933,0.0,0.0,23.0,0.9904173496406518
2,600,1,600,0.0,271.8357342807924,3335.0758887835714,294.4136858895444,0.0,0.0,23.0,0.9900390871264669
3,900,1,900,0.0,271.84298691860465,3338.0490843033695,294.70148664294544,0.0,0.0,23.0,0.9909216996595638
4,1200,1,1200,0.0,271.84990525409125,379.7195421004217,294.8652207416111,0.0,0.0,23.0,0.11272222922708366
5,1500,1,1500,0.0,271.8565458118002,28.032986329561332,293.6234039448426,0.0,0.0,23.0,0.00832177531206658
6,1800,1,1800,0.0,271.86296511627904,29.307212980905028,292.8002780743116,0.0,0.0,23.0,0.008700037826251424
7,2100,1,2100,0.0,271.8692196920758,28.032986329561332,292.35681265840924,0.0,0.0,23.0,0.00832177531206658
8,2400,1,2400,0.0,271.8753660637381,3169.851166326001,292.11501778552343,0.0,0.0,23.0,0.9409910477871642
9,2700,1,2700,0.0,271.8814607558139,3361.8346484617887,293.400544116679,0.0,0.0,23.0,0.9979825999243486
10,3000,1,3000,0.0,271.887560292851,3349.5171241654625,294.17930274044033,0.0,0.0,23.0,0.9943260622872273
11,3300,1,3300,0.0,271.893721199397,3324.8820755728216,294.597506251989,0.0,0.0,23.0,0.9870129870129881
12,3600,1,3600,0.0,271.9,3324.8820755728216,294.81863119567987,0.0,0.0,23.0,0.9870129870129881
13,3900,1,3900,0.0,271.90602887294085,3322.7583644872448,294.94760401865676,0.0,0.0,23.0,0.9863825494893456
14,4200,1,4200,0.0,271.911429869186,3320.2099111845573,295.0219781391469,0.0,0.0,23.0,0.9856260244609759
15,4500,1,4500,0.0,271.916244322311,3307.892386888237,295.0696185808935,0.0,0.0,23.0,0.9819694868238563
16,4800,1,4800,0.0,271.92051356589144,283.3030588154155,295.098540040817,0.0,0.0,23.0,0.08410036565376383
17,5100,1,5100,0.0,271.9242789335029,24.21030637553024,293.7537453043728,0.0,0.0,23.0,0.007186987769512046
18,5400,1,5400,0.0,271.9275817587209,26.758759678217633,292.916257911966,0.0,0.0,23.0,0.007943512797881734
19,5700,1,5700,0.0,271.9304633751211,25.484533026873937,292.46477132182576,0.0,0.0,23.0,0.00756525028369689
20,6000,1,6000,0.0,271.93296511627904,3027.137781375507,292.2165674736903,0.0,0.0,23.0,0.8986256461984616
21,6300,1,6300,0.0,271.9351283157703,3285.381049381167,293.4356691726239,0.0,0.0,23.0,0.975286849073258
22,6600,1,6600,0.0,271.9369943071705,3285.8057915982777,294.2074374011547,0.0,0.0,23.0,0.9754129365779851
23,6900,1,6900,0.0,271.9386044240552,3278.1604316902153,294.62643635950866,0.0,0.0,23.0,0.973143361492876
24,7200,1,7200,0.0,271.94,3274.7624939533007,294.85437352603714,0.0,0.0,23.0,0.9721346614550503
25,7500,1,7500,0.0,271.93760844713745,3272.2140406506137,294.98190070341155,0.0,0.0,23.0,0.9713781364266807
26,7800,1,7800,0.0,271.9282494668635,3266.2676496110116,295.05627221932446,0.0,0.0,23.0,0.9696129113604853
27,8100,1,8100,0.0,271.9125528266486,3262.020227439864,295.10074762433766,0.0,0.0,23.0,0.9683520363132019
28,8400,1,8400,0.0,271.8911482939632,3259.4717741371765,295.129630698779,0.0,0.0,23.0,0.9675955112848322
29,8700,1,8700,0.0,271.8646656362779,3273.0635250848404,295.1507395512528,0.0,0.0,23.0,0.9716303114361365
30,9000,1,9000,0.0,271.83373462106294,3264.5686807425514,295.17462274587393,0.0,0.0,23.0,0.9691085613415716
31,9300,1,9300,0.0,271.798985015789,3273.0635250848404,295.1899369344818,0.0,0.0,23.0,0.9716303114361365
32,9600,1,9600,0.0,271.7610465879265,345.31542251414186,295.207792855844,0.0,0.0,23.0,0.10250914134409286
33,9900,1,9900,0.0,271.72054910494586,27.18350189533222,293.8986081509134,0.0,0.0,23.0,0.008069600302610022
34,10200,1,10200,0.0,271.67812233431755,30.581439632248728,293.0506589895809,0.0,0.0,23.0,0.009078300340436269
35,10500,1,10500,0.0,271.63439604351214,30.156697415134136,292.59086798989136,0.0,0.0,23.0,0.00895221283570798
36,10800,1,10800,0.0,271.59,3104.440864890362,292.3364683690265,0.0,0.0,23.0,0.92157357205901
37,11100,1,11100,0.0,271.535403277293,3342.2965064745167,293.582808971265,0.0,0.0,23.0,0.9921825747068471
38,11400,1,11400,0.0,271.46326913527696,3332.9521776979946,294.3568386662258,0.0,0.0,23.0,0.9894086496028244
39,11700,1,11700,0.0,271.37751862098315,3335.0758887835714,294.769159082341,0.0,0.0,23.0,0.9900390871264669
40,12000,1,12000,0.0,271.2820727814428,3348.242897514119,294.99446276518455,0.0,0.0,23.0,0.9939477997730425
41,12300,1,12300,0.0,271.1808526636873,3353.3398041194937,295.12406074186856,0.0,0.0,23.0,0.9954608498297819
42,12600,1,12600,0.0,271.0777793147478,3368.630523935618,295.1991741551303,0.0,0.0,23.0,1.0
43,12900,1,12900,0.0,270.97677378165565,3366.9315550671636,295.25125641490905,0.0,0.0,23.0,0.9994956499810881
44,13200,1,13200,0.0,270.88175711144214,317.70717840169533,295.28164808800756,0.0,0.0,23.0,0.09431345353675463
45,13500,1,13500,0.0,270.7966503511385,27.18350189533222,293.92194393092177,0.0,0.0,23.0,0.008069600302610022
46,13800,1,13800,0.0,270.7253745477761,28.032986329561332,293.05781798992524,0.0,0.0,23.0,0.00832177531206658
47,14100,1,14100,0.0,270.67185074838613,28.457728546675916,292.58634144963025,0.0,0.0,23.0,0.008447862816794867
48,14400,1,14400,0.0,270.64,28.457728546675916,292.32625647388454,0.0,0.0,23.0,0.008447862816794867
49,14700,1,14700,0.0,270.62191008756844,28.032986329561332,292.1755730774618,0.0,0.0,23.0,0.00832177531206658
50,15000,1,15000,0.0,270.6068870779176,26.33401746110305,292.0892541021833,0.0,0.0,23.0,0.007817425293153447
51,15300,1,15300,0.0,270.59467944089124,25.909275243988525,292.0330683427384,0.0,0.0,23.0,0.007691337788425178
52,15600,1,15600,0.0,270.5850356463333,3072.160456389653,291.9939659154541,0.0,0.0,23.0,0.9119909216996601
53,15900,1,15900,0.0,270.5777041640877,3325.7315600070488,293.3412259010943,0.0,0.0,23.0,0.9872651620224442
54,16200,1,16200,0.0,270.5724334639983,3332.1026932637674,294.1788289208114,0.0,0.0,23.0,0.9891564745933684
55,16500,1,16500,0.0,270.568972015909,3329.9789821781965,294.63443694144866,0.0,0.0,23.0,0.9885260370697275
56,16800,1,16800,0.0,270.56706828966367,3324.457333355705,294.88316064437754,0.0,0.0,23.0,0.9868868995082593
57,17100,1,17100,0.0,270.56647075510625,3329.55423996108,295.0203076848436,0.0,0.0,23.0,0.9883999495649987
58,17400,1,17400,0.0,270.5669278820805,3335.5006310006816,295.10285676914486,0.0,0.0,23.0,0.9901651746311939
59,17700,1,17700,0.0,270.5681881404305,3346.5439286456644,295.1551280287358,0.0,0.0,23.0,0.9934434497541306
60,18000,1,18000,0.0,270.57,346.5896491654855,295.19560045922964,0.0,0.0,23.0,0.1028874038582777
61,18300,1,18300,0.0,270.5730275376131,28.032986329561332,293.86607443570546,0.0,0.0,23.0,0.00832177531206658
62,18600,1,18600,0.0,270.5778463007044,29.307212980905028,293.00783438805934,0.0,0.0,23.0,0.008700037826251424
63,18900,1,18900,0.0,270.5840719650332,26.758759678217633,292.54318693023146,0.0,0.0,23.0,0.007943512797881734
64,19200,1,19200,0.0,270.59132020635917,3081.929527383286,292.28573314129375,0.0,0.0,23.0,0.91489093430841
65,19500,1,19500,0.0,270.5992067004417,3313.4140357107285,293.5226040851504,0.0,0.0,23.0,0.9836086243853246
66,19800,1,19800,0.0,270.60734712304026,3314.2635201449557,294.2902175766805,0.0,0.0,23.0,0.9838607993947807
67,20100,1,20100,0.0842527777777778,270.6153571499144,3311.2903246251517,294.70581400645125,0.09394733061218336,0.04161634460547504,23.0,0.982978186861682
68,20400,1,20400,0.3445555555555556,270.6228524568235,278.2061522100407,294.93370816472554,0.38033183927552594,0.1614331723027375,23.0,0.08258731559702445
69,20700,1,20700,0.7922250000000003,270.6294487195272,25.484533026873937,293.6903291412709,0.8659673012302167,0.35190217391304346,23.0,0.00756525028369689
70,21000,1,21000,1.4385777777777782,270.6347616137848,25.484533026873937,292.91008233910554,1.5576674917164444,0.6054750402576488,23.0,0.00756525028369689
71,21300,1,21300,2.294930555555556,270.63840681535595,26.758759678217633,292.48840795968175,2.4622461859743976,0.9146034621578099,23.0,0.007943512797881734
72,21600,1,21600,3.3726000000000007,270.64,3024.1645858557094,292.26033364360325,3.586517159244265,1.2717391304347825,23.0,0.897743033665365
73,21900,1,21900,4.682902777777779,270.63423414074344,3313.4140357107285,293.491104552536,4.937294186766235,1.6693337359098226,23.0,0.9836086243853246
