index,seconds_of_day,day_of_year,timestamp,weaBus.TDryBul,weaBus.HDirNor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,u
0,0,1,0,271.82,0.0,0.0,22.0,3314.023493180404,293.15,0.0,0.9126213592233009
1,300,1,300,271.8280908161068,0.0,0.0,22.0,3596.5259103249664,293.89489417003136,0.0,0.9904173496406518
2,600,1,600,271.8357342807924,0.0,0.0,22.0,3595.1523167245878,294.42808457723766,0.0,0.9900390871264669
3,900,1,900,271.84298691860465,0.0,0.0,22.0,3598.3573684588005,294.72044023910036,0.0,0.9909216996595638
4,1200,1,1200,271.84990525409125,0.0,0.0,22.0,409.33089291286035,294.886261439414,0.0,0.11272222922708366
5,1500,1,1500,271.8565458118002,0.0,0.0,22.0,30.219059208331974,293.5454831102373,0.0,0.00832177531206658
6,1800,1,1800,271.86296511627904,0.0,0.0,22.0,31.5926528087107,292.65890567417904,0.0,0.008700037826251424
7,2100,1,2100,271.8692196920758,0.0,0.0,22.0,30.219059208331974,292.1818493857554,0.0,0.00832177531206658
8,2400,1,2400,271.8753660637381,0.0,0.0,22.0,3417.0430132088086,291.91987304126314,0.0,0.9409910477871642
9,2700,1,2700,271.8814607558139,0.0,0.0,22.0,3623.9977823325407,293.29928641677975,0.0,0.9979825999243487
10,3000,1,3000,271.887560292851,0.0,0.0,22.0,3610.719710862209,294.1347544294056,0.0,0.9943260622872274
11,3300,1,3300,271.893721199397,0.0,0.0,22.0,3584.1635679215574,294.5817276389131,0.0,0.9870129870129881
12,3600,1,3600,271.9,0.0,0.0,22.0,3584.1635679215574,294.81690159226736,0.0,0.9870129870129881
13,3900,1,3900,271.90602887294085,0.0,0.0,22.0,3581.8742452542556,294.9531267882696,0.0,0.9863825494893456
14,4200,1,4200,271.911429869186,0.0,0.0,22.0,3579.1270580534983,295.03089401678864,0.0,0.9856260244609759
15,4500,1,4500,271.916244322311,0.0,0.0,22.0,3565.8489865831725,295.08019574878125,0.0,0.9819694868238563
16,4800,1,4800,271.92051356589144,0.0,0.0,22.0,305.395643817537,295.1095381035239,0.0,0.08410036565376383
17,5100,1,5100,271.9242789335029,0.0,0.0,22.0,26.098278407195796,293.662934908821,0.0,0.007186987769512046
18,5400,1,5400,271.9275817587209,0.0,0.0,22.0,28.845465607953244,292.7636585339906,0.0,0.007943512797881734
19,5700,1,5700,271.9304633751211,0.0,0.0,22.0,27.471872007574518,292.28132025936884,0.0,0.00756525028369689
20,6000,1,6000,271.93296511627904,0.0,0.0,22.0,3263.200529966391,292.0141943380757,0.0,0.8986256461984616
21,6300,1,6300,271.9351283157703,0.0,0.0,22.0,3541.5821663098172,293.32047958769596,0.0,0.975286849073258
22,6600,1,6600,271.9369943071705,0.0,0.0,22.0,3542.0400308432727,294.1491790112351,0.0,0.9754129365779851
23,6900,1,6900,271.9386044240552,0.0,0.0,22.0,3533.7984692410005,294.5973480422987,0.0,0.9731433614928761
24,7200,1,7200,271.94,0.0,0.0,22.0,3530.1355529733255,294.8401775079111,0.0,0.9721346614550503
25,7500,1,7500,271.93760844713745,0.0,0.0,22.0,3527.3883657725682,294.97515460993424,0.0,0.9713781364266807
26,7800,1,7800,271.9282494668635,0.0,0.0,22.0,3520.9782623041365,295.0531905891768,0.0,0.9696129113604853
27,8100,1,8100,271.9125528266486,0.0,0.0,22.0,3516.3996169695383,295.1000823695811,0.0,0.9683520363132019
28,8400,1,8400,271.8911482939632,0.0,0.0,22.0,3513.652429768781,295.12926984320455,0.0,0.9675955112848322
29,8700,1,8700,271.8646656362779,0.0,0.0,22.0,3528.304094839485,295.15023030877444,0.0,0.9716303114361365
30,9000,1,9000,271.83373462106294,0.0,0.0,22.0,3519.146804170296,295.1742914845988,0.0,0.9691085613415716
31,9300,1,9300,271.798985015789,0.0,0.0,22.0,3528.304094839485,295.1892542587782,0.0,0.9716303114361365
32,9600,1,9600,271.7610465879265,0.0,0.0,22.0,372.24386570263476,295.2070421929031,0.0,0.10250914134409286
33,9900,1,9900,271.72054910494586,0.0,0.0,22.0,29.303330141412843,293.7988921428398,0.0,0.008069600302610022
34,10200,1,10200,271.67812233431755,0.0,0.0,22.0,32.96624640908943,292.8882369898814,0.0,0.00907830034043627
35,10500,1,10500,271.63439604351214,0.0,0.0,22.0,32.50838187562982,292.3977903884744,0.0,0.00895221283570798
36,10800,1,10800,271.59,0.0,0.0,22.0,3346.531875056038,292.12424250631005,0.0,0.92157357205901
37,11100,1,11100,271.535403277293,0.0,0.0,22.0,3602.936013793398,293.4610664601375,0.0,0.9921825747068471
38,11400,1,11400,271.46326913527696,0.0,0.0,22.0,3592.8629940572855,294.29265765452436,0.0,0.9894086496028244
39,11700,1,11700,271.37751862098315,0.0,0.0,22.0,3595.1523167245878,294.73300307745546,0.0,0.9900390871264669
40,12000,1,12000,271.2820727814428,0.0,0.0,22.0,3609.34611726183,294.97192949976534,0.0,0.9939477997730424
41,12300,1,12300,271.1808526636873,0.0,0.0,22.0,3614.8404916633453,295.1084469906264,0.0,0.9954608498297819
42,12600,1,12600,271.0777793147478,0.0,0.0,22.0,3631.32361486789,295.18677892703084,0.0,1.0
43,12900,1,12900,270.97677378165565,0.0,0.0,22.0,3629.4921567340552,295.2393295456076,0.0,0.9994956499810879
