index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
0,0,1,0,0.0,4924.750904063733,293.15,277.22999999999996,0.0,0.0,23.0,0.9126213592233008
1,300,1,300,0.0,5344.559042749472,293.89265029329044,277.25013364438655,0.0,0.0,23.0,0.9904173496406518
2,600,1,600,0.0,5342.517836240465,294.45538771571586,277.2697410300926,0.0,0.0,23.0,0.9900390871264669
3,900,1,900,0.0,5347.280651428142,294.8077134902053,277.2888818359375,0.0,0.0,23.0,0.9909216996595639
4,1200,1,1200,0.0,608.2795396840261,295.03186076725444,277.30761574074074,0.0,0.0,23.0,0.11272222922708366
5,1500,1,1500,0.0,44.90654319814958,294.0426477401367,277.3260024233217,0.0,0.0,23.0,0.00832177531206658
6,1800,1,1800,0.0,46.947749707156376,293.3004147980876,277.3441015625,0.0,0.0,23.0,0.008700037826251424
7,2100,1,2100,0.0,44.90654319814958,292.8454148559911,277.36197283709487,0.0,0.0,23.0,0.00832177531206658
8,2400,1,2400,0.0,5077.841392239244,292.5646916011184,277.3796759259259,0.0,0.0,23.0,0.9409910477871642
9,2700,1,2700,0.0,5385.383172929608,293.59690557366997,277.3972705078125,0.0,0.0,23.0,0.9979825999243487
10,3000,1,3000,0.0,5365.651510009202,294.3055533046413,277.41481626157406,0.0,0.0,23.0,0.9943260622872272
11,3300,1,3300,0.0,5326.188184168411,294.7437202600687,277.43237286603005,0.0,0.0,23.0,0.9870129870129882
12,3600,1,3600,0.0,5326.188184168411,295.0105322432782,277.45,0.0,0.0,23.0,0.9870129870129882
13,3900,1,3900,0.0,5322.78617332006,295.1819485139901,277.46751139322913,0.0,0.0,23.0,0.9863825494893457
14,4200,1,4200,0.0,5318.703760302046,295.2927819376976,277.4846366003788,0.0,0.0,23.0,0.9856260244609759
15,4500,1,4500,0.0,5298.97209738165,295.36762041951994,277.50130903764205,0.0,0.0,23.0,0.9819694868238563
16,4800,1,4800,0.0,453.82824716917867,295.416872565309,277.5174621212121,0.0,0.0,23.0,0.08410036565376383
17,5100,1,5100,0.0,38.78292367112918,294.2940296397233,277.5330292672822,0.0,0.0,23.0,0.007186987769512046
18,5400,1,5400,0.0,42.86533668914278,293.5075191597008,277.54794389204545,0.0,0.0,23.0,0.007943512797881734
19,5700,1,5700,0.0,40.82413018013598,293.0222223062384,277.56213941169506,0.0,0.0,23.0,0.0075652502836968906
20,6000,1,6000,0.0,4849.226263230482,292.7224329235039,277.57554924242424,0.0,0.0,23.0,0.8986256461984616
21,6300,1,6300,0.0,5262.9107823892,293.6882562886419,277.5881068004261,0.0,0.0,23.0,0.975286849073258
22,6600,1,6600,0.0,5263.591184558863,294.3800512570119,277.5997455018939,0.0,0.0,23.0,0.9754129365779851
23,6900,1,6900,0.0,5251.343945504822,294.81302521276626,277.6103987630208,0.0,0.0,23.0,0.9731433614928761
24,7200,1,7200,0.0,5245.900728147473,295.0816735869977,277.62,0.0,0.0,23.0,0.9721346614550503
25,7500,1,7500,0.0,5241.81831512946,295.25021280947084,277.6254863457207,0.0,0.0,23.0,0.9713781364266807
26,7800,1,7800,0.0,5232.2926847540975,295.35932340467997,277.6246094389844,0.0,0.0,23.0,0.9696129113604852
27,8100,1,8100,0.0,5225.488663057406,295.43044579268053,277.61852445485255,0.0,0.0,23.0,0.968352036313202
28,8400,1,8400,0.0,5221.406250039392,295.478817306583,277.60838656838655,0.0,0.0,23.0,0.9675955112848322
29,8700,1,8700,0.0,5243.179119468795,295.51376153680366,277.5953509546478,0.0,0.0,23.0,0.9716303114361368
30,9000,1,9000,0.0,5229.571076075419,295.5464837899686,277.5805727886978,0.0,0.0,23.0,0.9691085613415716
31,9300,1,9300,0.0,5243.179119468795,295.5693924716515,277.56520724559783,0.0,0.0,23.0,0.9716303114361368
32,9600,1,9600,0.0,553.1669639408425,295.59246172043515,277.5504095004095,0.0,0.0,23.0,0.10250914134409285
33,9900,1,9900,0.0,43.545738858811745,294.4896675898914,277.5373347281941,0.0,0.0,23.0,0.008069600302610022
34,10200,1,10200,0.0,48.98895621616318,293.6899293143992,277.5271381040131,0.0,0.0,23.0,0.009078300340436269
35,10500,1,10500,0.0,48.3085540464942,293.19566646279424,277.5209748029279,0.0,0.0,23.0,0.00895221283570798
36,10800,1,10800,0.0,4973.059458110234,292.8900042610406,277.52,0.0,0.0,23.0,0.92157357205901
37,11100,1,11100,0.0,5354.084673124834,293.878734161733,277.5229166579774,0.0,0.0,23.0,0.9921825747068471
38,11400,1,11400,0.0,5339.115825392114,294.57630280458767,277.5274419558447,0.0,0.0,23.0,0.9894086496028244
39,11700,1,11700,0.0,5342.517836240465,295.0075880348875,277.533252393018,0.0,0.0,23.0,0.9900390871264669
40,12000,1,12000,0.0,5363.610303500195,295.2757010554756,277.5400244689133,0.0,0.0,23.0,0.9939477997730424
41,12300,1,12300,0.0,5371.775129536223,295.45281770028816,277.5474346829468,0.0,0.0,23.0,0.9954608498297819
