index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,totalHeatingPower.y,weaBus.HDifHor,roomTempUpperSetpoint,thermalZone.TAir,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,0.0,3115.5054622925372,0.0,23.5,293.15,0.0,271.82,0.9126213592233009
1,300,1,300,0.0,3381.0853006780753,0.0,23.5,293.9097243899426,0.0,271.8280908161068,0.9904173496406518
2,600,1,600,0.0,3379.7939886599934,0.0,23.5,294.4438614751315,0.0,271.8357342807924,0.9900390871264669
3,900,1,900,0.0,3382.8070500355143,0.0,23.5,294.73532717944846,0.0,271.84298691860465,0.9909216996595638
4,1200,1,1200,0.0,384.8109813884402,0.0,23.5,294.9028220596901,0.0,271.84990525409125,0.11272222922708366
5,1500,1,1500,0.0,28.40886439780431,0.0,23.5,293.64587975887764,0.0,271.8565458118002,0.00832177531206658
6,1800,1,1800,0.0,29.700176415886325,0.0,23.5,292.81170690635975,0.0,271.86296511627904,0.008700037826251424
7,2100,1,2100,0.0,28.40886439780431,0.0,23.5,292.3624918357181,0.0,271.8692196920758,0.00832177531206658
8,2400,1,2400,0.0,3212.3538636486883,0.0,23.5,292.11635573004907,0.0,271.8753660637381,0.9409910477871642
9,2700,1,2700,0.0,3406.9115410397158,0.0,23.5,293.4202102757125,0.0,271.8814607558139,0.9979825999243487
10,3000,1,3000,0.0,3394.4288581982523,0.0,23.5,294.2074597664842,0.0,271.887560292851,0.9943260622872273
11,3300,1,3300,0.0,3369.4634925153373,0.0,23.5,294.6323640158354,0.0,271.893721199397,0.9870129870129881
12,3600,1,3600,0.0,3369.4634925153373,0.0,23.5,294.8564355901693,0.0,271.9,0.9870129870129881
13,3900,1,3900,0.0,3367.31130581853,0.0,23.5,294.9876201110464,0.0,271.90602887294085,0.9863825494893456
14,4200,1,4200,0.0,3364.728681782366,0.0,23.5,295.0628871552659,0.0,271.911429869186,0.9856260244609759
15,4500,1,4500,0.0,3352.2459989409085,0.0,23.5,295.11068715730926,0.0,271.916244322311,0.9819694868238563
16,4800,1,4800,0.0,287.10170535356804,0.0,23.5,295.138996669106,0.0,271.92051356589144,0.08410036565376383
17,5100,1,5100,0.0,24.534928343558267,0.0,23.5,293.7778201040468,0.0,271.9242789335029,0.007186987769512046
