index,seconds_of_day,day_of_year,timestamp,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,3984.35312404245,293.15,0.0,0.0,22.0,0.0,271.82,0.9126213592233009
1,300,1,300,4323.99748402231,293.79051426807604,0.0,0.0,22.0,0.0,271.8280908161068,0.9904173496406518
2,600,1,600,4322.346052774435,294.278951902024,0.0,0.0,22.0,0.0,271.8357342807924,0.9900390871264669
3,900,1,900,4326.199392352807,294.57067575040645,0.0,0.0,22.0,0.0,271.84298691860465,0.9909216996595638
4,1200,1,1200,492.1265118670838,294.74999325570576,0.0,0.0,22.0,0.0,271.84990525409125,0.11272222922708366
5,1500,1,1500,36.33148745327465,293.6595244007335,0.0,0.0,22.0,0.0,271.8565458118002,0.00832177531206658
6,1800,1,1800,37.982918701150766,292.8789698493215,0.0,0.0,22.0,0.0,271.86296511627904,0.008700037826251424
7,2100,1,2100,36.33148745327465,292.41837610556996,0.0,0.0,22.0,0.0,271.8692196920758,0.00832177531206658
8,2400,1,2400,4108.210467633159,292.14412325515747,0.0,0.0,22.0,0.0,271.8753660637381,0.9409910477871642
9,2700,1,2700,4357.026108979833,293.25692693400435,0.0,0.0,22.0,0.0,271.8814607558139,0.9979825999243487
10,3000,1,3000,4341.062273583692,293.9894568194534,0.0,0.0,22.0,0.0,271.887560292851,0.9943260622872274
11,3300,1,3300,4309.134602791425,294.41906463569586,0.0,0.0,22.0,0.0,271.893721199397,0.9870129870129881
12,3600,1,3600,4309.134602791425,294.6678631137722,0.0,0.0,22.0,0.0,271.9,0.9870129870129881
13,3900,1,3900,4306.382217378294,294.82330613858596,0.0,0.0,22.0,0.0,271.90602887294085,0.9863825494893457
14,4200,1,4200,4303.079354882541,294.91795763977575,0.0,0.0,22.0,0.0,271.911429869186,0.9856260244609759
15,4500,1,4500,4287.115519486408,294.9802623654422,0.0,0.0,22.0,0.0,271.916244322311,0.9819694868238563
16,4800,1,4800,367.16821411112437,295.01730548259354,0.0,0.0,22.0,0.0,271.92051356589144,0.08410036565376383
17,5100,1,5100,31.377193709646285,293.8167470396745,0.0,0.0,22.0,0.0,271.9242789335029,0.007186987769512046
