index,seconds_of_day,day_of_year,timestamp,thermalZone.TAir,totalHeatingPower.y,weaBus.HDirNor,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.TDryBul,u
0,0,1,0,293.15,12268.049415760903,0.0,0.0,0.0,21.0,270.84,0.9126213592233009
1,300,1,300,295.12279792218874,13313.833677922355,0.0,0.0,0.0,21.0,270.82701932870367,0.9904173496406516
2,600,1,600,296.47128865434075,13308.748827377001,0.0,0.0,0.0,21.0,270.81392129629626,0.9900390871264669
3,900,1,900,297.2478639357853,13320.613478649482,0.0,0.0,0.0,21.0,270.80072187499997,0.9909216996595638
4,1200,1,1200,297.7034956276973,1515.2854625159237,0.0,0.0,0.0,21.0,270.787437037037,0.11272222922708366
5,1500,1,1500,295.4802299336251,111.86671199781986,0.0,0.0,0.0,21.0,270.7740827546296,0.00832177531206658
6,1800,1,1800,293.92949378217526,116.95156254317531,0.0,0.0,0.0,21.0,270.760675,0.008700037826251424
7,2100,1,2100,293.0524640296236,111.86671199781986,0.0,0.0,0.0,21.0,270.74722974537036,0.00832177531206658
8,2400,1,2400,292.54944067215285,12649.413206662563,0.0,0.0,0.0,21.0,270.73376296296294,0.9409910477871642
9,2700,1,2700,294.90905018636107,13415.530688829465,0.0,0.0,0.0,21.0,270.72029062499996,0.9979825999243487
10,3000,1,3000,296.41548763547763,13366.37713355768,0.0,0.0,0.0,21.0,270.7068287037037,0.9943260622872273
11,3300,1,3300,297.2661600887761,13268.070023014157,0.0,0.0,0.0,21.0,270.6933931712963,0.9870129870129881
12,3600,1,3600,297.7397473042453,13268.070023014157,0.0,0.0,0.0,21.0,270.67999999999995,0.9870129870129881
13,3900,1,3900,298.02343339280253,13259.595272105216,0.0,0.0,0.0,21.0,270.6665203883495,0.9863825494893456
14,4200,1,4200,298.1919123536136,13249.425571014504,0.0,0.0,0.0,21.0,270.6528317152103,0.9856260244609758
15,4500,1,4500,298.29842804267645,13200.272015742743,0.0,0.0,0.0,21.0,270.63895922330096,0.9819694868238563
16,4800,1,4800,298.3615065097347,1130.5317712506956,0.0,0.0,0.0,21.0,270.6249281553398,0.08410036565376383
17,5100,1,5100,295.85767552054426,96.61216036175352,0.0,0.0,0.0,21.0,270.6107637540453,0.007186987769512046
18,5400,1,5400,294.2212679018646,106.78186145246441,0.0,0.0,0.0,21.0,270.5964912621359,0.007943512797881734
19,5700,1,5700,293.29501128608047,101.69701090710896,0.0,0.0,0.0,21.0,270.58213592233005,0.00756525028369689
20,6000,1,6000,292.76268959594734,12079.90994558275,0.0,0.0,0.0,21.0,270.56772297734625,0.8986256461984616
21,6300,1,6300,294.9815318114044,13110.43965610814,0.0,0.0,0.0,21.0,270.5532776699029,0.975286849073258
22,6600,1,6600,296.46105487029786,13112.134606289908,0.0,0.0,0.0,21.0,270.5388252427184,0.9754129365779851
23,6900,1,6900,297.303584550325,13081.625503017776,0.0,0.0,0.0,21.0,270.5243909385113,0.9731433614928761
24,7200,1,7200,297.7834943848744,13068.065901563501,0.0,0.0,0.0,21.0,270.51,0.9721346614550503
25,7500,1,7500,298.06219711769023,13057.896200472791,0.0,0.0,0.0,21.0,270.49370276227603,0.9713781364266807
26,7800,1,7800,298.22684606233685,13034.166897927807,0.0,0.0,0.0,21.0,270.47363669953876,0.9696129113604853
27,8100,1,8100,298.3263281468087,13017.217396109947,0.0,0.0,0.0,21.0,270.44995776316796,0.9683520363132019
28,8400,1,8400,298.3887459987259,13007.047695019237,0.0,0.0,0.0,21.0,270.42282190454347,0.9675955112848322
29,8700,1,8700,298.43073308877547,13061.286100836354,0.0,0.0,0.0,21.0,270.3923850750452,0.9716303114361368
30,9000,1,9000,298.4753436024902,13027.387097200659,0.0,0.0,0.0,21.0,270.35880322605306,0.9691085613415716
31,9300,1,9300,298.5027292562733,13061.286100836354,0.0,0.0,0.0,21.0,270.3222323089468,0.9716303114361368
32,9600,1,9600,298.5343437881555,1377.9944977913265,0.0,0.0,0.0,21.0,270.28282827510634,0.10250914134409286
33,9900,1,9900,296.088897893719,108.47681163424964,0.0,0.0,0.0,21.0,270.2407470759116,0.008069600302610022
34,10200,1,10200,294.43279989351083,122.03641308853076,0.0,0.0,0.0,21.0,270.19614466274237,0.009078300340436269
35,10500,1,10500,293.4941661097975,120.34146290674552,0.0,0.0,0.0,21.0,270.14917698697855,0.00895221283570798
36,10800,1,10800,292.95154904536406,12388.390878667664,0.0,0.0,0.0,21.0,270.09999999999997,0.92157357205901
37,11100,1,11100,295.21872390076135,13337.56298046734,0.0,0.0,0.0,21.0,270.03340929133856,0.9921825747068471
38,11400,1,11400,296.70567447196646,13300.27407646806,0.0,0.0,0.0,21.0,269.93795695538057,0.9894086496028244
39,11700,1,11700,297.54030140336056,13308.748827377001,0.0,0.0,0.0,21.0,269.8194337007874,0.9900390871264669
40,12000,1,12000,298.01699864367964,13361.292283012324,0.0,0.0,0.0,21.0,269.68363023622044,0.9939477997730425
41,12300,1,12300,298.3010603347975,13381.631685193746,0.0,0.0,0.0,21.0,269.53633727034116,0.9954608498297818
42,12600,1,12600,298.47077568818344,13442.649891738012,0.0,0.0,0.0,21.0,269.383345511811,1.0
43,12900,1,12900,298.58420470828383,13435.870091010887,0.0,0.0,0.0,21.0,269.2304456692913,0.9994956499810881
44,13200,1,13200,298.6516251638418,1267.8227359752927,0.0,0.0,0.0,21.0,269.0834284514435,0.09431345353675463
45,13500,1,13500,296.1217297465314,108.47681163424964,0.0,0.0,0.0,21.0,268.9480845669291,0.008069600302610022
46,13800,1,13800,294.43628471632144,111.86671199781986,0.0,0.0,0.0,21.0,268.83020472440944,0.00832177531206658
47,14100,1,14100,293.47433492850143,113.5616621796051,0.0,0.0,0.0,21.0,268.7355796325459,0.008447862816794867
48,14400,1,14400,292.91790063762676,113.5616621796051,0.0,0.0,0.0,21.0,268.66999999999996,0.008447862816794867
49,14700,1,14700,292.58471208374675,111.86671199781986,0.0,0.0,0.0,21.0,268.6222788100137,0.00832177531206658
50,15000,1,15000,292.3830092367094,105.08691127067918,0.0,0.0,0.0,21.0,268.5773360768175,0.007817425293153447
51,15300,1,15300,292.2517383243075,103.3919610888942,0.0,0.0,0.0,21.0,268.5351230555555,0.007691337788425178
52,15600,1,15600,292.1610225261354,12259.574664851985,0.0,0.0,0.0,21.0,268.49559100137174,0.91199092169966
53,15900,1,15900,294.6641899096172,13271.45992337772,0.0,0.0,0.0,21.0,268.45869116941014,0.9872651620224442
54,16200,1,16200,296.29575108390725,13296.884176104499,0.0,0.0,0.0,21.0,268.42437481481477,0.9891564745933685
55,16500,1,16500,297.22490687013953,13288.40942519558,0.0,0.0,0.0,21.0,268.39259319272975,0.9885260370697275
56,16800,1,16800,297.7546827688927,13266.375072832363,0.0,0.0,0.0,21.0,268.363297558299,0.9868868995082591
57,17100,1,17100,298.05549078939043,13286.714475013787,0.0,0.0,0.0,21.0,268.33643916666665,0.9883999495649988
58,17400,1,17400,298.23737756999424,13310.44377755877,0.0,0.0,0.0,21.0,268.3119692729767,0.990165174631194
59,17700,1,17700,298.3533202480906,13354.5124822852,0.0,0.0,0.0,21.0,268.2898391323731,0.9934434497541305
60,18000,1,18000,298.4360135348527,1383.079348336682,0.0,0.0,0.0,21.0,268.27,0.1028874038582777
61,18300,1,18300,295.95820963606906,111.86671199781986,0.0,0.0,0.0,21.0,268.25040019393595,0.00832177531206658
62,18600,1,18600,294.28135561036675,116.95156254317531,0.0,0.0,0.0,21.0,268.22948181259164,0.008700037826251424
63,18900,1,18900,293.3269199336554,106.78186145246441,0.0,0.0,0.0,21.0,268.2079367816092,0.007943512797881734
64,19200,1,19200,292.77328850478426,12298.558519033037,0.0,0.0,0.0,21.0,268.1864570266307,0.91489093430841
65,19500,1,19500,295.02022011215115,13222.30636810596,0.0,0.0,0.0,21.0,268.1657344732983,0.9836086243853246
66,19800,1,19800,296.48841753674634,13225.69626846952,0.0,0.0,0.0,21.0,268.14646104725415,0.9838607993947805
67,20100,1,20100,297.3219171190382,13213.831617197018,0.0,0.0,0.0,21.0,268.12932867414025,0.982978186861682
68,20400,1,20400,297.79476825130786,1110.1923690692738,0.0,0.0,0.0,21.0,268.11502927959884,0.08258731559702445
69,20700,1,20700,295.5086644612138,101.69701090710896,0.0,0.0,0.0,21.0,268.10425478927203,0.00756525028369689
70,21000,1,21000,293.9966612735,101.69701090710896,0.0,0.0,0.0,21.0,268.0976971288018,0.00756525028369689
71,21300,1,21300,293.129952133262,106.78186145246441,0.0,0.0,0.0,21.0,268.09604822383045,0.007943512797881734
72,21600,1,21600,292.6294679275015,12068.045294310272,0.0,0.0,0.0,21.0,268.09999999999997,0.8977430336653649
73,21900,1,21900,294.8607933556322,13222.30636810596,0.0,0.0,0.0,21.0,268.10772019382466,0.9836086243853246
