index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,weaBus.TDryBul,totalHeatingPower.y,thermalZone.TAir,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,u
0,0,1,0,0.0,270.84,7453.0151855503545,293.15,0.0,0.0,21.0,0.9126213592233009
1,300,1,300,0.0,270.82701932870367,8088.3440567143,295.4155030409839,0.0,0.0,21.0,0.9904173496406518
2,600,1,600,0.0,270.81392129629626,8085.254937405562,296.7781205731108,0.0,0.0,21.0,0.9900390871264669
3,900,1,900,0.0,270.80072187499997,8092.462882459276,297.4549324454596,0.0,0.0,21.0,0.9909216996595638
4,1200,1,1200,0.0,270.787437037037,920.5575540041477,297.803909864206,0.0,0.0,21.0,0.11272222922708366
5,1500,1,1500,0.0,270.7740827546296,67.96062479225252,295.1479128882194,0.0,0.0,21.0,0.00832177531206658
6,1800,1,1800,0.0,270.760675,71.04974410099126,293.5283658250298,0.0,0.0,21.0,0.008700037826251424
7,2100,1,2100,0.0,270.74722974537036,67.96062479225252,292.74470906052534,0.0,0.0,21.0,0.00832177531206658
8,2400,1,2400,0.0,270.73376296296294,7684.699133705761,292.3562051002697,0.0,0.0,21.0,0.9409910477871642
9,2700,1,2700,0.0,270.72029062499996,8150.126442889075,295.18107960530983,0.0,0.0,21.0,0.9979825999243487
10,3000,1,3000,0.0,270.7068287037037,8120.264956237925,296.7439512233103,0.0,0.0,21.0,0.9943260622872273
11,3300,1,3300,0.0,270.6933931712963,8060.5419829356515,297.5025440012518,0.0,0.0,21.0,0.9870129870129881
12,3600,1,3600,0.0,270.67999999999995,8060.5419829356515,297.86171626379326,0.0,0.0,21.0,0.9870129870129881
13,3900,1,3900,0.0,270.6665203883495,8055.393450754411,298.0537828133788,0.0,0.0,21.0,0.9863825494893456
14,4200,1,4200,0.0,270.6528317152103,8049.215212136934,298.161227869286,0.0,0.0,21.0,0.9856260244609759
15,4500,1,4500,0.0,270.63895922330096,8019.3537254857965,298.22815908832905,0.0,0.0,21.0,0.9819694868238563
16,4800,1,4800,0.0,270.6249281553398,686.8141929762495,298.2657861608634,0.0,0.0,21.0,0.08410036565376383
17,5100,1,5100,0.0,270.6107637540453,58.69326686603627,295.39223124463376,0.0,0.0,21.0,0.007186987769512046
18,5400,1,5400,0.0,270.5964912621359,64.87150548351376,293.75343223492683,0.0,0.0,21.0,0.007943512797881734
19,5700,1,5700,0.0,270.58213592233005,61.78238617477501,292.9563484249582,0.0,0.0,21.0,0.00756525028369689
20,6000,1,6000,0.0,270.56772297734625,7338.717771127021,292.5571011221237,0.0,0.0,21.0,0.8986256461984616
21,6300,1,6300,0.0,270.5532776699029,7964.77928436475,295.2390779883018,0.0,0.0,21.0,0.975286849073258
22,6600,1,6600,0.0,270.5388252427184,7965.808990800987,296.79128844264017,0.0,0.0,21.0,0.9754129365779851
23,6900,1,6900,0.0,270.5243909385113,7947.274274948554,297.55245013017316,0.0,0.0,21.0,0.9731433614928761
24,7200,1,7200,0.0,270.51,7939.036623458589,297.9257173891476,0.0,0.0,21.0,0.9721346614550503
25,7500,1,7500,0.0,270.49370276227603,7932.858384841112,298.11826496531233,0.0,0.0,21.0,0.9713781364266807
26,7800,1,7800,0.0,270.47363669953876,7918.442494733669,298.2228147611658,0.0,0.0,21.0,0.9696129113604853
27,8100,1,8100,0.0,270.44995776316796,7908.145430371202,298.2797267739701,0.0,0.0,21.0,0.9683520363132019
28,8400,1,8400,0.0,270.42282190454347,7901.967191753724,298.31659192450303,0.0,0.0,21.0,0.9675955112848322
29,8700,1,8700,0.0,270.3923850750452,7934.9177977136,298.3450560581552,0.0,0.0,21.0,0.9716303114361367
30,9000,1,9000,0.0,270.35880322605306,7914.32366898868,298.38471286724484,0.0,0.0,21.0,0.9691085613415716
31,9300,1,9300,0.0,270.3222323089468,7934.9177977136,298.40799753040176,0.0,0.0,21.0,0.9716303114361367
32,9600,1,9600,0.0,270.28282827510634,837.1513326682015,298.43939783488537,0.0,0.0,21.0,0.10250914134409286
33,9900,1,9900,0.0,270.2407470759116,65.90121191976006,295.6507725629312,0.0,0.0,21.0,0.008069600302610022
34,10200,1,10200,0.0,270.19614466274237,74.13886340973002,293.9906756763416,0.0,0.0,21.0,0.009078300340436269
