index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,weaBus.TDryBul,totalHeatingPower.y,thermalZone.TAir,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,u
0,0,1,0,0.0,277.22999999999996,5933.786500110775,293.15,0.0,0.0,21.5,0.9126213592233009
1,300,1,300,0.0,277.25013364438655,6439.609416740839,295.01473587488647,0.0,0.0,21.5,0.9904173496406518
2,600,1,600,0.0,277.2697410300926,6437.149986027889,296.13763916779186,0.0,0.0,21.5,0.9900390871264669
3,900,1,900,0.0,277.2888818359375,6442.888657691432,296.7043116211623,0.0,0.0,21.5,0.9909216996595638
4,1200,1,1200,0.0,277.30761574074074,732.9103524591097,297.0064834032973,0.0,0.0,21.5,0.11272222922708366
5,1500,1,1500,0.0,277.3260024233217,54.10747568490072,294.9065387411125,0.0,0.0,21.5,0.00832177531206658
6,1800,1,1800,0.0,277.3441015625,56.56690639785075,293.62688575344873,0.0,0.0,21.5,0.008700037826251424
7,2100,1,2100,0.0,277.36197283709487,54.10747568490072,293.00317708016877,0.0,0.0,21.5,0.00832177531206658
8,2400,1,2400,0.0,277.3796759259259,6118.243803582027,292.6881559922263,0.0,0.0,21.5,0.9409910477871642
9,2700,1,2700,0.0,277.3972705078125,6488.79803099984,294.9338651367398,0.0,0.0,21.5,0.9979825999243488
10,3000,1,3000,0.0,277.41481626157406,6465.0235341079815,296.18162911838874,0.0,0.0,21.5,0.9943260622872273
11,3300,1,3300,0.0,277.43237286603005,6417.474540324289,296.79191087250797,0.0,0.0,21.5,0.9870129870129881
12,3600,1,3600,0.0,277.45,6417.474540324289,297.0869900314976,0.0,0.0,21.5,0.9870129870129881
13,3900,1,3900,0.0,277.46751139322913,6413.375489136031,297.2507325978688,0.0,0.0,21.5,0.9863825494893457
14,4200,1,4200,0.0,277.4846366003788,6408.456627710131,297.34340523617027,0.0,0.0,21.5,0.9856260244609759
15,4500,1,4500,0.0,277.50130903764205,6384.682130818284,297.4038083666483,0.0,0.0,21.5,0.9819694868238563
16,4800,1,4800,0.0,277.5174621212121,546.8134285125577,297.4390774380644,0.0,0.0,21.5,0.08410036565376383
17,5100,1,5100,0.0,277.5330292672822,46.72918354605062,295.1496402454099,0.0,0.0,21.5,0.007186987769512046
18,5400,1,5400,0.0,277.54794389204545,51.64804497195068,293.8391813429485,0.0,0.0,21.5,0.007943512797881734
