index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,totalHeatingPower.y,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,weaDat.weaBus.HGloHor,thermalZone.TAir,u
0,0,1,0,0.0,7850.553365700144,21.5,0.0,277.22999999999996,0.0,293.15,0.9126213592233009
1,300,1,300,0.0,8519.77019723331,21.5,0.0,277.25013364438655,0.0,294.8551549590375,0.9904173496406516
2,600,1,600,0.0,8516.516306642388,21.5,0.0,277.2697410300926,0.0,295.96675976535215,0.9900390871264669
3,900,1,900,0.0,8524.1087180212,21.5,0.0,277.2888818359375,0.0,296.57544790071245,0.9909216996595639
4,1200,1,1200,0.0,969.6593960950447,21.5,0.0,277.30761574074074,0.0,296.918083589912,0.11272222922708366
5,1500,1,1500,0.0,71.58559300030531,21.5,0.0,277.3260024233217,0.0,295.02724391583183,0.00832177531206658
6,1800,1,1800,0.0,74.83948359122829,21.5,0.0,277.3441015625,0.0,293.7700863577974,0.008700037826251424
7,2100,1,2100,0.0,71.58559300030531,21.5,0.0,277.36197283709487,0.0,293.09682170344183,0.00832177531206658
8,2400,1,2400,0.0,8094.595160019367,21.5,0.0,277.3796759259259,0.0,292.7323995176908,0.9409910477871642
9,2700,1,2700,0.0,8584.848009051771,21.5,0.0,277.3972705078125,0.0,294.74913521901743,0.9979825999243488
10,3000,1,3000,0.0,8553.393733339504,21.5,0.0,277.41481626157406,0.0,295.97320806184166,0.9943260622872272
11,3300,1,3300,0.0,8490.485181915004,21.5,0.0,277.43237286603005,0.0,296.6308703235912,0.9870129870129881
12,3600,1,3600,0.0,8490.485181915004,21.5,0.0,277.45,0.0,296.9776333452679,0.9870129870129881
13,3900,1,3900,0.0,8485.062030930123,21.5,0.0,277.46751139322913,0.0,297.1773662272693,0.9863825494893456
14,4200,1,4200,0.0,8478.554249748277,21.5,0.0,277.4846366003788,0.0,297.29399947211357,0.9856260244609758
15,4500,1,4500,0.0,8447.099974036026,21.5,0.0,277.50130903764205,0.0,297.3675934249905,0.9819694868238562
16,4800,1,4800,0.0,723.448341381874,21.5,0.0,277.5174621212121,0.0,297.41077881756195,0.08410036565376383
17,5100,1,5100,0.0,61.82392122753641,21.5,0.0,277.5330292672822,0.0,295.31059214971833,0.007186987769512046
18,5400,1,5400,0.0,68.33170240938234,21.5,0.0,277.54794389204545,0.0,294.0038924328065,0.007943512797881734
19,5700,1,5700,0.0,65.07781181845937,21.5,0.0,277.56213941169506,0.0,293.3019384114748,0.00756525028369689
20,6000,1,6000,0.0,7730.159413835994,21.5,0.0,277.57554924242424,0.0,292.9196509886493,0.8986256461984616
21,6300,1,6300,0.0,8389.614573596393,21.5,0.0,277.5881068004261,0.0,294.8252724689205,0.975286849073258
22,6600,1,6600,0.0,8390.699203793358,21.5,0.0,277.5997455018939,0.0,296.0332551233606,0.9754129365779852
23,6900,1,6900,0.0,8371.175860247818,21.5,0.0,277.6103987630208,0.0,296.6887161085042,0.973143361492876
24,7200,1,7200,0.0,8362.49881867203,21.5,0.0,277.62,0.0,297.04358936648913,0.9721346614550503
25,7500,1,7500,0.0,8355.991037490183,21.5,0.0,277.6254863457207,0.0,297.2414865901443,0.9713781364266806
26,7800,1,7800,0.0,8340.806214732547,21.5,0.0,277.6246094389844,0.0,297.35532802891805,0.9696129113604852
27,8100,1,8100,0.0,8329.959912762799,21.5,0.0,277.61852445485255,0.0,297.4218480716831,0.9683520363132019
28,8400,1,8400,0.0,8323.452131580954,21.5,0.0,277.60838656838655,0.0,297.464036103772,0.9675955112848323
29,8700,1,8700,0.0,8358.160297884127,21.5,0.0,277.5953509546478,0.0,297.4941279406768,0.9716303114361367
30,9000,1,9000,0.0,8336.467693944645,21.5,0.0,277.5805727886978,0.0,297.52875084067915,0.9691085613415715
31,9300,1,9300,0.0,8358.160297884127,21.5,0.0,277.56520724559783,0.0,297.5503135781248,0.9716303114361367
32,9600,1,9600,0.0,881.8043501401245,21.5,0.0,277.5504095004095,0.0,297.5763940014112,0.10250914134409286
33,9900,1,9900,0.0,69.41633260635672,21.5,0.0,277.5373347281941,0.0,295.5326793772895,0.008069600302610022
34,10200,1,10200,0.0,78.09337418215125,21.5,0.0,277.5271381040131,0.0,294.21159604353295,0.009078300340436269
35,10500,1,10500,0.0,77.00874398517686,21.5,0.0,277.5209748029279,0.0,293.4989915314093,0.00895221283570798
36,10800,1,10800,0.0,7927.562109685331,21.5,0.0,277.52,0.0,293.10831507365833,0.92157357205901
37,11100,1,11100,0.0,8534.955019990946,21.5,0.0,277.5229166579774,0.0,295.05927761160575,0.9921825747068471
38,11400,1,11400,0.0,8511.093155657507,21.5,0.0,277.5274419558447,0.0,296.27532281775746,0.9894086496028244
39,11700,1,11700,0.0,8516.516306642388,21.5,0.0,277.533252393018,0.0,296.92710076052475,0.9900390871264669
40,12000,1,12000,0.0,8550.139842748582,21.5,0.0,277.5400244689133,0.0,297.2857165765747,0.9939477997730425
41,12300,1,12300,0.0,8563.155405112275,21.5,0.0,277.5474346829468,0.0,297.49464258075415,0.9954608498297819
42,12600,1,12600,0.0,8602.20209220335,21.5,0.0,277.55515953453454,0.0,297.61858699666203,1.0
43,12900,1,12900,0.0,8597.863571415463,21.5,0.0,277.5628755230925,0.0,297.7046600090648,0.9994956499810881
44,13200,1,13200,0.0,811.3033873367941,21.5,0.0,277.5702591480369,0.0,297.75954741813365,0.09431345353675463
45,13500,1,13500,0.0,69.41633260635672,21.5,0.0,277.57698690878374,0.0,295.6448225041291,0.008069600302610022
46,13800,1,13800,0.0,71.58559300030531,21.5,0.0,277.5827353047492,0.0,294.30478786876887,0.00832177531206658
47,14100,1,14100,0.0,72.67022319727968,21.5,0.0,277.5871808353492,0.0,293.5809658040185,0.008447862816794867
48,14400,1,14400,0.0,72.67022319727968,21.5,0.0,277.59,0.0,293.1848812883791,0.008447862816794867
49,14700,1,14700,0.0,71.58559300030531,21.5,0.0,277.59077860037956,0.0,292.96184965624957,0.00832177531206658
50,15000,1,15000,0.0,67.24707221240797,21.5,0.0,277.58959193628493,0.0,292.83347458928625,0.007817425293153447
51,15300,1,15300,0.0,66.16244201543375,21.5,0.0,277.5868507543103,0.0,292.75385208156365,0.007691337788425178
52,15600,1,15600,0.0,7845.130214715277,21.5,0.0,277.5829658010501,0.0,292.6999025521496,0.9119909216996601
53,15900,1,15900,0.0,8492.654442308949,21.5,0.0,277.57834782309845,0.0,294.8103953990601,0.9872651620224442
54,16200,1,16200,0.0,8508.923895263564,21.5,0.0,277.5734075670498,0.0,296.1220958274832,0.9891564745933685
55,16500,1,16500,0.0,8503.500744278695,21.5,0.0,277.56855577949835,0.0,296.8347766015761,0.9885260370697274
56,16800,1,16800,0.0,8489.400551718025,21.5,0.0,277.5642032070384,0.0,297.2224068647673,0.9868868995082593
57,17100,1,17100,0.0,8502.416114081718,21.5,0.0,277.56076059626434,0.0,297.43543241255065,0.9883999495649988
58,17400,1,17400,0.0,8517.600936839352,21.5,0.0,277.5586386937704,0.0,297.560268837994,0.9901651746311939
59,17700,1,17700,0.0,8545.801321960695,21.5,0.0,277.5582482461508,0.0,297.6398024087562,0.9934434497541305
60,18000,1,18000,0.0,885.0582407310475,21.5,0.0,277.56,0.0,297.6996095916545,0.1028874038582777
61,18300,1,18300,0.0,71.58559300030531,21.5,0.0,277.56520589776335,0.0,295.62301614156496,0.00832177531206658
62,18600,1,18600,0.0,74.83948359122829,21.5,0.0,277.5744016275338,0.0,294.28307622928,0.008700037826251424
63,18900,1,18900,0.0,68.33170240938234,21.5,0.0,277.58683355437665,0.0,293.5601802924407,0.007943512797881734
64,19200,1,19200,0.0,7870.076709245682,21.5,0.0,277.6017480433572,0.0,293.1613025776453,0.91489093430841
65,19500,1,19500,0.0,8461.200166596698,21.5,0.0,277.6183914595409,0.0,295.09680089466474,0.9836086243853246
66,19800,1,19800,0.0,8463.369426990641,21.5,0.0,277.6360101679929,0.0,296.2982791451455,0.9838607993947804
67,20100,1,20100,0.0,8455.777015611817,21.5,0.0,277.65385053377867,0.0,296.94817440705214,0.982978186861682
68,20400,1,20400,0.0,710.432779018182,21.5,0.0,277.6711589219635,0.0,297.3018280611978,0.08258731559702445
69,20700,1,20700,0.0,65.07781181845937,21.5,0.0,277.6871816976127,0.0,295.3600404254598,0.00756525028369689
70,21000,1,21000,0.0,65.07781181845937,21.5,0.0,277.7011652257916,0.0,294.1376569558816,0.00756525028369689
71,21300,1,21300,0.0,68.33170240938234,21.5,0.0,277.7123558715656,0.0,293.47803076856303,0.007943512797881734
72,21600,1,21600,0.0,7722.567002457185,21.5,0.0,277.71999999999997,0.0,293.11482679810234,0.8977430336653649
73,21900,1,21900,0.0,8461.200166596698,21.5,0.0,277.72327103720215,0.0,295.023074354122,0.9836086243853246
74,22200,1,22200,0.0,8482.892770536178,21.5,0.0,277.72245282629336,0.0,296.2550779772148,0.9861303744798895
75,22500,1,22500,0.0,8508.923895263564,21.5,0.0,277.7184573578595,0.0,296.92624380234525,0.9891564745933685
76,22800,1,22800,0.0,965.3208753071468,21.5,0.0,277.71219662248643,0.0,297.3010097950078,0.11221787920817047
77,23100,1,23100,0.0,67.24707221240797,21.5,0.0,277.7045826107601,0.0,295.42484728424256,0.007817425293153447
78,23400,1,23400,0.0,69.41633260635672,21.5,0.0,277.6965273132664,0.0,294.17053306890125,0.008069600302610022
79,23700,1,23700,0.012419871794871789,70.50096280333094,21.5,0.0,277.6889427205912,0.01375111437158501,293.49204409678856,0.008195687807338292
80,24000,1,24000,0.05021367521367518,7952.508604215735,21.5,0.0,277.6827408233205,0.055054557310814184,293.1182907428818,0.92447358466776
81,24300,1,24300,0.11418269230769225,8514.34704624843,21.5,0.0,277.67883361204014,0.12398547855439872,295.0816505541352,0.9897869121170092
82,24600,1,24600,0.20512820512820504,8505.67000467264,21.5,0.0,277.67813307733593,0.22061902783904985,296.2958578204163,0.9887782120791835
83,24900,1,24900,0.32385149572649563,8526.277978415157,21.5,0.0,277.68155120979395,0.3450303549014787,296.94973131886695,0.9911738746690214
84,25200,1,25200,0.471153846153846,8541.462801172793,21.5,0.0,277.69,0.49729460947839665,297.31479137843775,0.9929390997352168
85,25500,1,25500,0.6478365384615382,8549.055212551619,21.5,0.0,277.7015352099591,0.6774869413065147,297.5223720267332,0.9938217122683155
86,25800,1,25800,0.8547008547008544,8577.255597672945,21.5,0.0,277.7135953177257,0.8856825001225441,297.6446120658512,0.9970999873912502
87,26100,1,26100,1.0925480769230766,8579.42485806689,21.5,0.0,277.72616638795984,1.1219564356631961,297.7272656143383,0.9973521624007062
88,26400,1,26400,1.3621794871794868,8570.747816491099,21.5,0.0,277.73923448532145,1.3863838976651819,297.78173932530535,0.9963434623628804
89,26700,1,26700,1.664396367521367,8587.017269445714,21.5,0.0,277.75278567447043,1.6790400358652129,297.8182966638712,0.9982347749338046
90,27000,1,27000,2.0,8595.694311021503,21.5,0.0,277.7668060200669,2.0,297.85194261411357,0.9992434749716302
91,27300,1,27300,2.6579415954415957,8555.562993733463,21.5,0.0,277.7812815867707,2.6163510591699173,297.88256036748635,0.994578237296685
92,27600,1,27600,3.883190883190883,8296.33637665659,21.5,0.0,277.7961984392419,3.760997862058524,297.8989468966451,0.9644433236666247
93,27900,1,27900,5.610576923076923,8250.78190838367,21.5,0.0,277.81154264214047,5.382741627777309,297.848320294126,0.9591476484680368
94,28200,1,28200,7.774928774928775,8483.977400733158,21.5,0.0,277.8273002601263,7.43038357543776,297.82123661197267,0.9862564619846184
95,28500,1,28500,10.3110754985755,8488.315921521047,21.5,0.0,277.8434573578595,9.852724924151367,297.88671501836393,0.9867608120035306
96,28800,1,28800,13.153846153846155,8504.58537447566,21.5,0.0,277.85999999999996,12.598566893029616,297.9456799070003,0.9886521245744546
97,29100,1,29100,16.238069800569804,8510.008525460542,21.5,0.0,277.87678088115587,15.616710701184,298.009937605031,0.9892825620980972
98,29400,1,29400,19.4985754985755,8521.939457627255,21.5,0.0,277.8936670736671,18.855957567726005,298.08037543151636,0.9906695246501078
99,29700,1,29700,22.87019230769231,8525.193348218178,21.5,0.0,277.9106662087912,22.265108711767116,298.1490604164404,0.9910477871642925
100,30000,1,30000,26.287749287749293,8523.024087824235,21.5,0.0,277.9277859177859,25.792965352418822,298.20574094749895,0.9907956121548367
101,30300,1,30300,29.686075498575505,8527.362608612122,21.5,0.0,277.9450338319088,29.38832870879263,298.2526008419258,0.9912999621737486
102,30600,1,30600,33.0,8531.701129400024,21.5,0.0,277.9624175824176,33.0,298.29522418969907,0.9918043121926623
103,30900,1,30900,36.73987268518518,8557.732254127408,21.5,0.11260661999194657,277.9799448005698,36.91933597958039,298.33711344298524,0.9948304123061411
104,31200,1,31200,41.32175925925926,936.0358599888401,21.5,0.44230690098081576,277.9976231176231,41.39321314677098,298.3903163819978,0.10881351658050688
