index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
0,0,1,0,0.0,0.0,21.5,0.0,270.84,293.15,9974.606020006111,0.9126213592233009
1,300,1,300,0.0,0.0,21.5,0.0,270.82701932870367,295.25705562322906,10824.886748707944,0.9904173496406518
2,600,1,600,0.0,0.0,21.5,0.0,270.81392129629626,296.63618846846595,10820.752482604046,0.9900390871264669
3,900,1,900,0.0,0.0,21.5,0.0,270.80072187499997,297.38889275477726,10830.39910351313,0.9909216996595637
4,1200,1,1200,0.0,0.0,21.5,0.0,270.787437037037,297.81122477585825,1232.0112989617946,0.11272222922708366
5,1500,1,1500,0.0,0.0,21.5,0.0,270.7740827546296,295.404756515951,90.95385428577008,0.00832177531206658
6,1800,1,1800,0.0,0.0,21.5,0.0,270.760675,293.8012191248458,95.08812038966872,0.008700037826251424
7,2100,1,2100,0.0,0.0,21.5,0.0,270.74722974537036,292.941005842394,90.95385428577008,0.00832177531206658
8,2400,1,2400,0.0,0.0,21.5,0.0,270.73376296296294,292.47114769665734,10284.67597779851,0.9409910477871644
9,2700,1,2700,0.0,0.0,21.5,0.0,270.72029062499996,295.02411890024104,10907.572070785916,0.9979825999243486
10,3000,1,3000,0.0,0.0,21.5,0.0,270.7068287037037,296.5775617665956,10867.607498448217,0.9943260622872272
11,3300,1,3300,0.0,0.0,21.5,0.0,270.6933931712963,297.4102015272269,10787.678353772855,0.987012987012988
12,3600,1,3600,0.0,0.0,21.5,0.0,270.67999999999995,297.84918564140764,10787.678353772855,0.987012987012988
13,3900,1,3900,0.0,0.0,21.5,0.0,270.6665203883495,298.0988353240682,10780.787910266346,0.9863825494893457
14,4200,1,4200,0.0,0.0,21.5,0.0,270.6528317152103,298.24373680395934,10772.519378058549,0.9856260244609759
15,4500,1,4500,0.0,0.0,21.5,0.0,270.63895922330096,298.3332255599165,10732.554805720869,0.9819694868238564
16,4800,1,4800,0.0,0.0,21.5,0.0,270.6249281553398,298.38403494230397,919.1851637667983,0.08410036565376383
17,5100,1,5100,0.0,0.0,21.5,0.0,270.6107637540453,295.7165372213395,78.55105597407416,0.007186987769512047
18,5400,1,5400,0.0,0.0,21.5,0.0,270.5964912621359,294.05338804566327,86.81958818187142,0.007943512797881734
19,5700,1,5700,0.0,0.0,21.5,0.0,270.58213592233005,293.15904698021893,82.68532207797278,0.00756525028369689
20,6000,1,6000,0.0,0.0,21.5,0.0,270.56772297734625,292.6668333417374,9821.63817416186,0.8986256461984616
21,6300,1,6300,0.0,0.0,21.5,0.0,270.5532776699029,295.07770514376784,10659.516104552,0.9752868490732581
22,6600,1,6600,0.0,0.0,21.5,0.0,270.5388252427184,296.61064516600266,10660.894193253285,0.9754129365779851
23,6900,1,6900,0.0,0.0,21.5,0.0,270.5243909385113,297.44027699486094,10636.088596629894,0.9731433614928761
24,7200,1,7200,0.0,0.0,21.5,0.0,270.51,297.88823033469544,10625.063887019503,0.9721346614550503
25,7500,1,7500,0.0,0.0,21.5,0.0,270.49370276227603,298.13751676723723,10616.795354811706,0.9713781364266806
26,7800,1,7800,0.0,0.0,21.5,0.0,270.47363669953876,298.2788503883204,10597.50211299352,0.9696129113604853
27,8100,1,8100,0.0,0.0,21.5,0.0,270.44995776316796,298.3610426448935,10583.721225980516,0.9683520363132019
28,8400,1,8400,0.0,0.0,21.5,0.0,270.42282190454347,298.41127874151414,10575.45269377272,0.9675955112848322
29,8700,1,8700,0.0,0.0,21.5,0.0,270.3923850750452,298.44626008166955,10619.551532214298,0.9716303114361365
30,9000,1,9000,0.0,0.0,21.5,0.0,270.35880322605306,298.48720544600667,10591.989758188314,0.9691085613415716
31,9300,1,9300,0.0,0.0,21.5,0.0,270.3222323089468,298.51151917107404,10619.551532214298,0.9716303114361365
32,9600,1,9600,0.0,0.0,21.5,0.0,270.28282827510634,298.54191352727366,1120.3861141565314,0.10250914134409288
33,9900,1,9900,0.0,0.0,21.5,0.0,270.2407470759116,295.945838312142,88.19767688317104,0.008069600302610022
34,10200,1,10200,0.0,0.0,21.5,0.0,270.19614466274237,294.26359292387417,99.22238649356736,0.009078300340436269
35,10500,1,10500,0.0,0.0,21.5,0.0,270.14917698697855,293.3567578368255,97.84429779226772,0.00895221283570798
36,10800,1,10800,0.0,0.0,21.5,0.0,270.09999999999997,292.85457499932454,10072.450317798392,0.92157357205901
37,11100,1,11100,0.0,0.0,21.5,0.0,270.03340929133856,295.3209729316546,10844.179990526132,0.9921825747068472
38,11400,1,11400,0.0,0.0,21.5,0.0,269.93795695538057,296.8614735555329,10813.862039097536,0.9894086496028244
39,11700,1,11700,0.0,0.0,21.5,0.0,269.8194337007874,297.6821603913917,10820.752482604046,0.9900390871264669
40,12000,1,12000,0.0,0.0,21.5,0.0,269.68363023622044,298.12788544108315,10863.473232344319,0.9939477997730425
41,12300,1,12300,0.0,0.0,21.5,0.0,269.53633727034116,298.38506399653767,10880.010296759914,0.9954608498297819
42,12600,1,12600,0.0,0.0,21.5,0.0,269.383345511811,298.531941842,10929.621490006697,1.0
43,12900,1,12900,0.0,0.0,21.5,0.0,269.2304456692913,298.6297310706523,10924.10913520151,0.9994956499810879
44,13200,1,13200,0.0,0.0,21.5,0.0,269.0834284514435,298.6861527475869,1030.8103485720615,0.09431345353675462
45,13500,1,13500,0.0,0.0,21.5,0.0,268.9480845669291,295.99202365035006,88.19767688317104,0.008069600302610022
46,13800,1,13800,0.0,0.0,21.5,0.0,268.83020472440944,294.2777664282347,90.95385428577008,0.00832177531206658
47,14100,1,14100,0.0,0.0,21.5,0.0,268.7355796325459,293.34649521653785,92.33194298706968,0.008447862816794867
48,14400,1,14400,0.0,0.0,21.5,0.0,268.66999999999996,292.83275744818866,92.33194298706968,0.008447862816794867
49,14700,1,14700,0.0,0.0,21.5,0.0,268.6222788100137,292.5399538314542,90.95385428577008,0.00832177531206658
50,15000,1,15000,0.0,0.0,21.5,0.0,268.5773360768175,292.37005726980516,85.44149948057182,0.007817425293153447
51,15300,1,15300,0.0,0.0,21.5,0.0,268.5351230555555,292.26199657011006,84.0634107792724,0.007691337788425177
52,15600,1,15600,0.0,0.0,21.5,0.0,268.49559100137174,292.1882779951462,9967.71557649962,0.9119909216996601
53,15900,1,15900,0.0,0.0,21.5,0.0,268.45869116941014,294.859860130765,10790.43453117545,0.9872651620224442
54,16200,1,16200,0.0,0.0,21.5,0.0,268.42437481481477,296.5241930869172,10811.105861694943,0.9891564745933684
55,16500,1,16500,0.0,0.0,21.5,0.0,268.39259319272975,297.42519389859706,10804.21541818845,0.9885260370697275
56,16800,1,16800,0.0,0.0,21.5,0.0,268.363297558299,297.91336377617483,10786.30026507155,0.9868868995082593
57,17100,1,17100,0.0,0.0,21.5,0.0,268.33643916666665,298.178463344056,10802.837329487145,0.9883999495649987
58,17400,1,17400,0.0,0.0,21.5,0.0,268.3119692729767,298.3337718328628,10822.130571305332,0.990165174631194
