index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
0,0,1,0,0.0,0.0,21.0,0.0,271.82,293.15,15194.495416752332,0.9126213592233009
1,300,1,300,0.0,0.0,21.0,0.0,271.8280908161068,295.44896903533845,16489.743229979238,0.9904173496406519
2,600,1,600,0.0,0.0,21.0,0.0,271.8357342807924,296.9306109938118,16483.445428618328,0.9900390871264669
3,900,1,900,0.0,0.0,21.0,0.0,271.84298691860465,297.7338185863079,16498.140298460432,0.9909216996595639
4,1200,1,1200,0.0,0.0,21.0,0.0,271.84990525409125,298.1807554761636,1876.7448055507869,0.11272222922708366
5,1500,1,1500,0.0,0.0,21.0,0.0,271.8565458118002,295.6442356897068,138.55162993999096,0.00832177531206658
6,1800,1,1800,0.0,0.0,21.0,0.0,271.86296511627904,293.96867074115863,144.84943130089965,0.008700037826251424
7,2100,1,2100,0.0,0.0,21.0,0.0,271.8692196920758,293.0748879971767,138.55162993999096,0.00832177531206658
8,2400,1,2400,0.0,0.0,21.0,0.0,271.8753660637381,292.58986609231016,15666.830518820483,0.9409910477871642
9,2700,1,2700,0.0,0.0,21.0,0.0,271.8814607558139,295.28399566025604,16615.69925719741,0.9979825999243487
10,3000,1,3000,0.0,0.0,21.0,0.0,271.887560292851,296.9018775551891,16554.820510708607,0.9943260622872273
11,3300,1,3300,0.0,0.0,21.0,0.0,271.893721199397,297.75689484296515,16433.06301773106,0.9870129870129882
12,3600,1,3600,0.0,0.0,21.0,0.0,271.9,298.1985789459186,16433.06301773106,0.9870129870129882
13,3900,1,3900,0.0,0.0,21.0,0.0,271.90602887294085,298.4466683268409,16422.566682129524,0.9863825494893455
14,4200,1,4200,0.0,0.0,21.0,0.0,271.911429869186,298.5882738942491,16409.971079407707,0.9856260244609759
15,4500,1,4500,0.0,0.0,21.0,0.0,271.916244322311,298.67179755582555,16349.092332918934,0.9819694868238563
16,4800,1,4800,0.0,0.0,21.0,0.0,271.92051356589144,298.71492360879853,1400.211169242031,0.08410036565376383
17,5100,1,5100,0.0,0.0,21.0,0.0,271.9242789335029,295.89522140515044,119.65822585726492,0.007186987769512046
18,5400,1,5400,0.0,0.0,21.0,0.0,271.9275817587209,294.1465057360456,132.2538285790823,0.007943512797881734
19,5700,1,5700,0.0,0.0,21.0,0.0,271.9304633751211,293.20950758810363,125.9560272181736,0.00756525028369689
20,6000,1,6000,0.0,0.0,21.0,0.0,271.93296511627904,292.6958728996282,14961.476766398711,0.8986256461984616
21,6300,1,6300,0.0,0.0,21.0,0.0,271.9351283157703,295.2347190590409,16237.831175542891,0.975286849073258
22,6600,1,6600,0.0,0.0,21.0,0.0,271.9369943071705,296.82705933284325,16239.930442663173,0.9754129365779851
23,6900,1,6900,0.0,0.0,21.0,0.0,271.9386044240552,297.6745299366771,16202.143634497721,0.9731433614928761
24,7200,1,7200,0.0,0.0,21.0,0.0,271.94,298.12253306877324,16185.349497535308,0.9721346614550503
25,7500,1,7500,0.0,0.0,21.0,0.0,271.93760844713745,298.36449700081204,16172.753894813492,0.9713781364266807
26,7800,1,7800,0.0,0.0,21.0,0.0,271.9282494668635,298.4972282128579,16143.36415512926,0.9696129113604853
27,8100,1,8100,0.0,0.0,21.0,0.0,271.9125528266486,298.5686180439558,16122.371483926221,0.9683520363132019
28,8400,1,8400,0.0,0.0,21.0,0.0,271.8911482939632,298.61010065885057,16109.775881204403,0.9675955112848322
29,8700,1,8700,0.0,0.0,21.0,0.0,271.8646656362779,298.6351522935467,16176.952429054087,0.9716303114361367
30,9000,1,9000,0.0,0.0,21.0,0.0,271.83373462106294,298.6668830034089,16134.96708664804,0.9691085613415716
31,9300,1,9300,0.0,0.0,21.0,0.0,271.798985015789,298.6812514497401,16176.952429054087,0.9716303114361367
32,9600,1,9600,0.0,0.0,21.0,0.0,271.7610465879265,298.7022352313711,1706.7041688062525,0.10250914134409286
33,9900,1,9900,0.0,0.0,21.0,0.0,271.72054910494586,295.9558230150359,134.35309569938528,0.008069600302610022
34,10200,1,10200,0.0,0.0,21.0,0.0,271.67812233431755,294.18518724825606,151.14723266180835,0.009078300340436269
35,10500,1,10500,0.0,0.0,21.0,0.0,271.63439604351214,293.2320133887342,149.0479655415053,0.00895221283570798
36,10800,1,10800,0.0,0.0,21.0,0.0,271.59,292.7062955360592,15343.543382293858,0.92157357205901
37,11100,1,11100,0.0,0.0,21.0,0.0,271.535403277293,295.30237614441535,16519.132969663468,0.9921825747068471
38,11400,1,11400,0.0,0.0,21.0,0.0,271.46326913527696,296.90161668010313,16472.949093016796,0.9894086496028244
39,11700,1,11700,0.0,0.0,21.0,0.0,271.37751862098315,297.73914266954273,16483.445428618328,0.9900390871264669
40,12000,1,12000,0.0,0.0,21.0,0.0,271.2820727814428,298.1855163117251,16548.5227093477,0.9939477997730426
41,12300,1,12300,0.0,0.0,21.0,0.0,271.1808526636873,298.4376080669838,16573.713914791333,0.9954608498297818
42,12600,1,12600,0.0,0.0,21.0,0.0,271.0777793147478,298.5780380025582,16649.287531122238,1.0
43,12900,1,12900,0.0,0.0,21.0,0.0,270.97677378165565,298.6695176465132,16640.890462641044,0.999495649981088
44,13200,1,13200,0.0,0.0,21.0,0.0,270.88175711144214,298.71933132339205,1570.2518059865654,0.09431345353675463
45,13500,1,13500,0.0,0.0,21.0,0.0,270.7966503511385,295.87244711777083,134.35309569938528,0.008069600302610022
46,13800,1,13800,0.0,0.0,21.0,0.0,270.7253745477761,294.0732850769997,138.55162993999096,0.00832177531206658
47,14100,1,14100,0.0,0.0,21.0,0.0,270.67185074838613,293.1003233905974,140.65089706029397,0.008447862816794867
48,14400,1,14400,0.0,0.0,21.0,0.0,270.64,292.56353468082716,140.65089706029397,0.008447862816794867
49,14700,1,14700,0.0,0.0,21.0,0.0,270.62191008756844,292.25491579699707,138.55162993999096,0.00832177531206658
50,15000,1,15000,0.0,0.0,21.0,0.0,270.6068870779176,292.06900735138316,130.15456145877928,0.007817425293153447
51,15300,1,15300,0.0,0.0,21.0,0.0,270.59467944089124,291.94606558487504,128.0552943384766,0.007691337788425179
52,15600,1,15600,0.0,0.0,21.0,0.0,270.5850356463333,291.85652922050787,15183.999081150829,0.9119909216996601
53,15900,1,15900,0.0,0.0,21.0,0.0,270.5777041640877,294.65871779063616,16437.261551971656,0.9872651620224442
54,16200,1,16200,0.0,0.0,21.0,0.0,270.5724334639983,296.3830041790621,16468.7505587762,0.9891564745933684
55,16500,1,16500,0.0,0.0,21.0,0.0,270.568972015909,297.3029730821106,16458.254223174692,0.9885260370697274
56,16800,1,16800,0.0,0.0,21.0,0.0,270.56706828966367,297.7925133996745,16430.963750610747,0.9868868995082593
57,17100,1,17100,0.0,0.0,21.0,0.0,270.56647075510625,298.05267775860625,16456.154956054383,0.9883999495649988
58,17400,1,17400,0.0,0.0,21.0,0.0,270.5669278820805,298.2026529299111,16485.544695738612,0.990165174631194
59,17700,1,17700,0.0,0.0,21.0,0.0,270.5681881404305,298.2914977178307,16540.125640866507,0.9934434497541306
60,18000,1,18000,0.0,0.0,21.0,0.0,270.57,298.35645184455905,1713.001970167161,0.1028874038582777
61,18300,1,18300,0.0,0.0,21.0,0.0,270.5730275376131,295.5656323360571,138.55162993999096,0.00832177531206658
62,18600,1,18600,0.0,0.0,21.0,0.0,270.5778463007044,293.7739998823114,144.84943130089965,0.008700037826251424
63,18900,1,18900,0.0,0.0,21.0,0.0,270.5840719650332,292.8100179933804,132.2538285790823,0.007943512797881734
64,19200,1,19200,0.0,0.0,21.0,0.0,270.59132020635917,292.27426182682274,15232.282224917784,0.91489093430841
65,19500,1,19500,0.0,0.0,21.0,0.0,270.5992067004417,294.84906715288935,16376.382805482881,0.9836086243853246
66,19800,1,19800,0.0,0.0,21.0,0.0,270.60734712304026,296.4327371471105,16380.581339723478,0.9838607993947805
67,20100,1,20100,0.09394733061218336,0.04161634460547504,21.0,0.0842527777777778,270.6153571499144,297.2751705536713,16365.886469881349,0.982978186861682
68,20400,1,20400,0.38033183927552594,0.1614331723027375,21.0,0.3445555555555556,270.6228524568235,297.721567723413,1375.0199637983962,0.08258731559702445
69,20700,1,20700,0.8659673012302167,0.35190217391304346,21.0,0.7922250000000003,270.6294487195272,295.10269097042425,125.9560272181736,0.00756525028369689
70,21000,1,21000,1.5576674917164444,0.6054750402576488,21.0,1.4385777777777782,270.6347616137848,293.4653126024107,125.9560272181736,0.00756525028369689
71,21300,1,21300,2.4622461859743976,0.9146034621578099,21.0,2.294930555555556,270.63840681535595,292.5801153434212,132.2538285790823,0.007943512797881734
72,21600,1,21600,3.586517159244265,1.2717391304347825,21.0,3.3726000000000007,270.64,292.09455129450623,14946.781896556611,0.8977430336653649
73,21900,1,21900,4.937294186766235,1.6693337359098226,21.0,4.682902777777779,270.63423414074344,294.64434022043633,16376.382805482881,0.9836086243853246
74,22200,1,22200,6.5213910437805,2.0998389694041864,21.0,6.237155555555556,270.61739236799076,296.271772908549,16418.36814788893,0.9861303744798897
