index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
0,0,1,0,0.0,12133.552048197476,293.15,270.84,0.0,0.0,22.5,0.9126213592233009
1,300,1,300,0.0,13167.871143767794,296.67374946287526,270.82701932870367,0.0,0.0,22.5,0.9904173496406518
2,600,1,600,0.0,13162.842039575395,298.6712507726989,270.81392129629626,0.0,0.0,22.5,0.9900390871264669
3,900,1,900,0.0,13174.576616024313,299.6230164001432,270.80072187499997,0.0,0.0,22.5,0.9909216996595638
4,1200,1,1200,0.0,1498.6730493352516,300.1088910234065,270.787437037037,0.0,0.0,22.5,0.11272222922708366
5,1500,1,1500,0.0,110.64029223280382,296.186462105406,270.7740827546296,0.0,0.0,22.5,0.00832177531206658
6,1800,1,1800,0.0,115.66939642520398,293.91525182440745,270.760675,0.0,0.0,22.5,0.008700037826251424
7,2100,1,2100,0.0,110.64029223280382,292.8615383790902,270.74722974537036,0.0,0.0,22.5,0.00832177531206658
8,2400,1,2400,0.0,12510.734862627489,292.33996138971054,270.73376296296294,0.0,0.0,22.5,0.9409910477871642
9,2700,1,2700,0.0,13268.453227615799,296.50607502473224,270.72029062499996,0.0,0.0,22.5,0.9979825999243488
10,3000,1,3000,0.0,13219.838553755913,298.6551804184252,270.7068287037037,0.0,0.0,22.5,0.9943260622872273
11,3300,1,3300,0.0,13122.609206036192,299.6231821902024,270.6933931712963,0.0,0.0,22.5,0.9870129870129881
12,3600,1,3600,0.0,13122.609206036192,300.0469554470927,270.67999999999995,0.0,0.0,22.5,0.9870129870129881
13,3900,1,3900,0.0,13114.22736571551,300.26065469103617,270.6665203883495,0.0,0.0,22.5,0.9863825494893456
14,4200,1,4200,0.0,13104.16915733071,300.37352737648416,270.6528317152103,0.0,0.0,22.5,0.9856260244609759
15,4500,1,4500,0.0,13055.554483470849,300.4375588153972,270.63895922330096,0.0,0.0,22.5,0.9819694868238563
16,4800,1,4800,0.0,1118.1374987769727,300.46294179852765,270.6249281553398,0.0,0.0,22.5,0.08410036565376383
17,5100,1,5100,0.0,95.5529796556033,296.2027135704317,270.6107637540453,0.0,0.0,22.5,0.007186987769512046
18,5400,1,5400,0.0,105.61118804040363,293.8755351764569,270.5964912621359,0.0,0.0,22.5,0.007943512797881734
19,5700,1,5700,0.0,100.58208384800346,292.7690297249602,270.58213592233005,0.0,0.0,22.5,0.0075652502836968906
20,6000,1,6000,0.0,11947.47519307867,292.1985974905318,270.56772297734625,0.0,0.0,22.5,0.8986256461984616
21,6300,1,6300,0.0,12966.706976071788,296.1236156162056,270.5532776699029,0.0,0.0,22.5,0.975286849073258
22,6600,1,6600,0.0,12968.383344135906,298.238086666302,270.5388252427184,0.0,0.0,22.5,0.9754129365779851
23,6900,1,6900,0.0,12938.208718981505,299.19416099325446,270.5243909385113,0.0,0.0,22.5,0.9731433614928761
24,7200,1,7200,0.0,12924.797774468445,299.62422636322833,270.51,0.0,0.0,22.5,0.9721346614550503
25,7500,1,7500,0.0,12914.739566083645,299.82623633890074,270.49370276227603,0.0,0.0,22.5,0.9713781364266807
26,7800,1,7800,0.0,12891.270413185784,299.9258183749165,270.47363669953876,0.0,0.0,22.5,0.9696129113604853
27,8100,1,8100,0.0,12874.506732544443,299.9739005532232,270.44995776316796,0.0,0.0,22.5,0.968352036313202
28,8400,1,8400,0.0,12864.448524159643,299.9979910253737,270.42282190454347,0.0,0.0,22.5,0.9675955112848322
29,8700,1,8700,0.0,12918.092302211904,300.01304451886557,270.3923850750452,0.0,0.0,22.5,0.9716303114361367
30,9000,1,9000,0.0,12884.564940929244,300.04629914506165,270.35880322605306,0.0,0.0,22.5,0.9691085613415716
31,9300,1,9300,0.0,12918.092302211904,300.05469464438613,270.3222323089468,0.0,0.0,22.5,0.9716303114361367
32,9600,1,9600,0.0,1362.887236140447,300.0752981194938,270.28282827510634,0.0,0.0,22.5,0.10250914134409286
33,9900,1,9900,0.0,107.2875561045371,295.9425221779962,270.2407470759116,0.0,0.0,22.5,0.008069600302610022
34,10200,1,10200,0.0,120.69850061760417,293.58580039197324,270.19614466274237,0.0,0.0,22.5,0.009078300340436269
35,10500,1,10500,0.0,119.02213255347067,292.46248258379376,270.14917698697855,0.0,0.0,22.5,0.00895221283570798
36,10800,1,10800,0.0,12252.574180750962,291.8849815561736,270.09999999999997,0.0,0.0,22.5,0.92157357205901
37,11100,1,11100,0.0,13191.340296665654,295.9076088089418,270.03340929133856,0.0,0.0,22.5,0.9921825747068471
38,11400,1,11400,0.0,13154.460199254712,298.03676770422186,269.93795695538057,0.0,0.0,22.5,0.9894086496028244
39,11700,1,11700,0.0,13162.842039575395,298.9843894728026,269.8194337007874,0.0,0.0,22.5,0.9900390871264669
40,12000,1,12000,0.0,13214.809449563514,299.4237211588659,269.68363023622044,0.0,0.0,22.5,0.9939477997730425
41,12300,1,12300,0.0,13234.925866333115,299.651394242582,269.53633727034116,0.0,0.0,22.5,0.9954608498297819
42,12600,1,12600,0.0,13295.275116641917,299.77109100059806,269.383345511811,0.0,0.0,22.5,1.0
43,12900,1,12900,0.0,13288.569644385398,299.85640544364037,269.2304456692913,0.0,0.0,22.5,0.999495649981088
44,13200,1,13200,0.0,1253.9233119717774,299.9012485087068,269.0834284514435,0.0,0.0,22.5,0.09431345353675463
45,13500,1,13500,0.0,107.2875561045371,295.611434632226,268.9480845669291,0.0,0.0,22.5,0.008069600302610022
46,13800,1,13800,0.0,110.64029223280382,293.2267846405596,268.83020472440944,0.0,0.0,22.5,0.00832177531206658
47,14100,1,14100,0.0,112.31666029693729,292.086553375565,268.7355796325459,0.0,0.0,22.5,0.008447862816794867
48,14400,1,14400,0.0,112.31666029693729,291.50437922877876,268.66999999999996,0.0,0.0,22.5,0.008447862816794867
49,14700,1,14700,0.0,110.64029223280382,291.17321583792375,268.6222788100137,0.0,0.0,22.5,0.00832177531206658
50,15000,1,15000,0.0,103.93481997627016,290.95502552969236,268.5773360768175,0.0,0.0,22.5,0.007817425293153447
51,15300,1,15300,0.0,102.25845191213693,290.7912111654673,268.5351230555555,0.0,0.0,22.5,0.007691337788425178
