index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,totalHeatingPower.y,weaBus.HDifHor,roomTempUpperSetpoint,thermalZone.TAir,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,0.0,9030.72349089405,0.0,21.5,293.15,0.0,277.22999999999996,0.9126213592233009
1,300,1,300,0.0,9800.543385047367,0.0,21.5,295.86994063900056,0.0,277.25013364438655,0.9904173496406518
2,600,1,600,0.0,9796.800338560399,0.0,21.5,297.3753293358647,0.0,277.2697410300926,0.9900390871264669
3,900,1,900,0.0,9805.534113696649,0.0,21.5,298.0675080712277,0.0,277.2888818359375,0.9909216996595638
4,1200,1,1200,0.0,1115.4278531167845,0.0,21.5,298.4009956075598,0.0,277.30761574074074,0.11272222922708366
5,1500,1,1500,0.0,82.34702271331966,0.0,21.5,295.47274415596564,0.0,277.3260024233217,0.00832177531206658
6,1800,1,1800,0.0,86.09006920028874,0.0,21.5,293.8008067212896,0.0,277.3441015625,0.008700037826251424
7,2100,1,2100,0.0,82.34702271331966,0.0,21.5,293.05255259789817,0.0,277.36197283709487,0.00832177531206658
8,2400,1,2400,0.0,9311.451977416731,0.0,21.5,292.7096949726991,0.0,277.3796759259259,0.9409910477871644
9,2700,1,2700,0.0,9875.404314786749,0.0,21.5,295.8391000322604,0.0,277.3972705078125,0.9979825999243486
10,3000,1,3000,0.0,9839.22153207937,0.0,21.5,297.4482830490835,0.0,277.41481626157406,0.9943260622872272
11,3300,1,3300,0.0,9766.855966664645,0.0,21.5,298.1670222218189,0.0,277.43237286603005,0.987012987012988
12,3600,1,3600,0.0,9766.855966664645,0.0,21.5,298.48149139398856,0.0,277.45,0.987012987012988
13,3900,1,3900,0.0,9760.61755585302,0.0,21.5,298.63900654528726,0.0,277.46751139322913,0.9863825494893456
14,4200,1,4200,0.0,9753.131462879082,0.0,21.5,298.72366694402984,0.0,277.4846366003788,0.985626024460976
15,4500,1,4500,0.0,9716.94868017172,0.0,21.5,298.7762795945257,0.0,277.50130903764205,0.9819694868238563
16,4800,1,4800,0.0,832.2040022694584,0.0,21.5,298.80359452208353,0.0,277.5174621212121,0.08410036565376383
17,5100,1,5100,0.0,71.11788325241244,0.0,21.5,295.66352254357923,0.0,277.5330292672822,0.007186987769512047
18,5400,1,5400,0.0,78.60397622635058,0.0,21.5,293.9892199041818,0.0,277.54794389204545,0.007943512797881734
19,5700,1,5700,0.0,74.8609297393815,0.0,21.5,293.2343551299313,0.0,277.56213941169506,0.00756525028369689
20,6000,1,6000,0.0,8892.230770876195,0.0,21.5,292.88171294959733,0.0,277.57554924242424,0.8986256461984617
21,6300,1,6300,0.0,9650.821525568605,0.0,21.5,295.8562395734226,0.0,277.5881068004261,0.9752868490732579
22,6600,1,6600,0.0,9652.069207730916,0.0,21.5,297.4605843851559,0.0,277.5997455018939,0.975412936577985
23,6900,1,6900,0.0,9629.610928809103,0.0,21.5,298.1875378792845,0.0,277.6103987630208,0.9731433614928762
24,7200,1,7200,0.0,9619.629471510523,0.0,21.5,298.5158748171101,0.0,277.62,0.9721346614550503
25,7500,1,7500,0.0,9612.143378536586,0.0,21.5,298.67232098495225,0.0,277.6254863457207,0.9713781364266808
26,7800,1,7800,0.0,9594.67582826407,0.0,21.5,298.7529123890079,0.0,277.6246094389844,0.9696129113604854
27,8100,1,8100,0.0,9582.199006640833,0.0,21.5,298.7959457833371,0.0,277.61852445485255,0.9683520363132019
28,8400,1,8400,0.0,9574.712913666895,0.0,21.5,298.82373885448584,0.0,277.60838656838655,0.9675955112848323
29,8700,1,8700,0.0,9614.638742861225,0.0,21.5,298.84620838257223,0.0,277.5953509546478,0.9716303114361367
30,9000,1,9000,0.0,9589.685099614771,0.0,21.5,298.88281500926246,0.0,277.5805727886978,0.9691085613415716
31,9300,1,9300,0.0,9614.638742861225,0.0,21.5,298.9022825724445,0.0,277.56520724559783,0.9716303114361367
32,9600,1,9600,0.0,1014.3655979686195,0.0,21.5,298.93137598021457,0.0,277.5504095004095,0.10250914134409286
33,9900,1,9900,0.0,79.85165838867367,0.0,21.5,295.88944846308755,0.0,277.5373347281941,0.008069600302610022
34,10200,1,10200,0.0,89.83311568725782,0.0,21.5,294.19160815030517,0.0,277.5271381040131,0.009078300340436269
35,10500,1,10500,0.0,88.58543352493471,0.0,21.5,293.42591269185834,0.0,277.5209748029279,0.00895221283570798
36,10800,1,10800,0.0,9119.308924418996,0.0,21.5,293.0651389746576,0.0,277.52,0.92157357205901
37,11100,1,11100,0.0,9818.010935319884,0.0,21.5,296.1102625372531,0.0,277.5229166579774,0.9921825747068471
38,11400,1,11400,0.0,9790.561927748773,0.0,21.5,297.721664693754,0.0,277.5274419558447,0.9894086496028245
39,11700,1,11700,0.0,9796.800338560399,0.0,21.5,298.43993720284953,0.0,277.533252393018,0.9900390871264669
40,12000,1,12000,0.0,9835.4784855924,0.0,21.5,298.77402064848525,0.0,277.5400244689133,0.9939477997730425
41,12300,1,12300,0.0,9850.450671540277,0.0,21.5,298.94825433332636,0.0,277.5474346829468,0.9954608498297818
42,12600,1,12600,0.0,9895.367229383906,0.0,21.5,299.0430756211108,0.0,277.55515953453454,1.0
43,12900,1,12900,0.0,9890.376500734625,0.0,21.5,299.1149066343444,0.0,277.5628755230925,0.999495649981088
44,13200,1,13200,0.0,933.2662574176235,0.0,21.5,299.1567013913385,0.0,277.5702591480369,0.09431345353675463
45,13500,1,13500,0.0,79.85165838867367,0.0,21.5,295.9942421295942,0.0,277.57698690878374,0.008069600302610022
46,13800,1,13800,0.0,82.34702271331966,0.0,21.5,294.27311237961027,0.0,277.5827353047492,0.00832177531206658
47,14100,1,14100,0.0,83.59470487564275,0.0,21.5,293.4926774573122,0.0,277.5871808353492,0.008447862816794867
48,14400,1,14400,0.0,83.59470487564275,0.0,21.5,293.12603839653787,0.0,277.59,0.008447862816794867
49,14700,1,14700,0.0,82.34702271331966,0.0,21.5,292.9441791905013,0.0,277.59077860037956,0.00832177531206658
50,15000,1,15000,0.0,77.3562940640275,0.0,21.5,292.8483955385016,0.0,277.58959193628493,0.007817425293153447
51,15300,1,15300,0.0,76.10861190170459,0.0,21.5,292.7874043796296,0.0,277.5868507543103,0.007691337788425178
52,15600,1,15600,0.0,9024.48508008244,0.0,21.5,292.7428580419751,0.0,277.5829658010501,0.9119909216996601
53,15900,1,15900,0.0,9769.351330989286,0.0,21.5,295.8972764559619,0.0,277.57834782309845,0.9872651620224441
54,16200,1,16200,0.0,9788.066563424132,0.0,21.5,297.5740287826533,0.0,277.5734075670498,0.9891564745933684
55,16500,1,16500,0.0,9781.828152612523,0.0,21.5,298.33790217060897,0.0,277.56855577949835,0.9885260370697276
56,16800,1,16800,0.0,9765.608284502317,0.0,21.5,298.68786080034477,0.0,277.5642032070384,0.9868868995082594
57,17100,1,17100,0.0,9780.580470450193,0.0,21.5,298.8498444518822,0.0,277.56076059626434,0.9883999495649987
58,17400,1,17400,0.0,9798.04802072271,0.0,21.5,298.94034059320666,0.0,277.5586386937704,0.990165174631194
59,17700,1,17700,0.0,9830.48775694312,0.0,21.5,298.9996753818339,0.0,277.5582482461508,0.9934434497541303
60,18000,1,18000,0.0,1018.1086444555884,0.0,21.5,299.0507232185557,0.0,277.56,0.1028874038582777
61,18300,1,18300,0.0,82.34702271331966,0.0,21.5,295.9443167463473,0.0,277.56520589776335,0.00832177531206658
62,18600,1,18600,0.0,86.09006920028874,0.0,21.5,294.2183896577164,0.0,277.5744016275338,0.008700037826251424
63,18900,1,18900,0.0,78.60397622635058,0.0,21.5,293.43898777486066,0.0,277.58683355437665,0.007943512797881734
64,19200,1,19200,0.0,9053.181769815865,0.0,21.5,293.07041135927767,0.0,277.6017480433572,0.9148909343084101
65,19500,1,19500,0.0,9733.168548281925,0.0,21.5,296.09306489299684,0.0,277.6183914595409,0.9836086243853246
66,19800,1,19800,0.0,9735.663912606566,0.0,21.5,297.68817873627734,0.0,277.6360101679929,0.9838607993947807
67,20100,1,20100,0.0,9726.930137470299,0.0,21.5,298.41034584703095,0.0,277.65385053377867,0.9829781868616821
68,20400,1,20400,0.0,817.2318163215821,0.0,21.5,298.74143728209305,0.0,277.6711589219635,0.08258731559702445
69,20700,1,20700,0.0,74.8609297393815,0.0,21.5,295.7222971196123,0.0,277.6871816976127,0.00756525028369689
70,21000,1,21000,0.0,74.8609297393815,0.0,21.5,294.1047720852822,0.0,277.7011652257916,0.00756525028369689
71,21300,1,21300,0.0,78.60397622635058,0.0,21.5,293.37087784002114,0.0,277.7123558715656,0.007943512797881734
72,21600,1,21600,0.0,8883.496995739944,0.0,21.5,293.0282677564265,0.0,277.71999999999997,0.8977430336653649
73,21900,1,21900,0.0,9733.168548281925,0.0,21.5,296.0020501617383,0.0,277.72327103720215,0.9836086243853246
74,22200,1,22200,0.0,9758.122191528379,0.0,21.5,297.6351491304053,0.0,277.72245282629336,0.9861303744798895
75,22500,1,22500,0.0,9788.066563424132,0.0,21.5,298.3817483453173,0.0,277.7184573578595,0.9891564745933684
76,22800,1,22800,0.0,1110.4371244674917,0.0,21.5,298.7365479308869,0.0,277.71219662248643,0.11221787920817047
77,23100,1,23100,0.0,77.3562940640275,0.0,21.5,295.812019652123,0.0,277.7045826107601,0.007817425293153447
78,23400,1,23400,0.0,79.85165838867367,0.0,21.5,294.1324063582657,0.0,277.6965273132664,0.008069600302610022
79,23700,1,23700,0.01375111437158501,81.09934055099657,0.012419871794871789,21.5,293.37318749994165,0.0,277.6889427205912,0.008195687807338292
80,24000,1,24000,0.055054557310814184,9148.00561415242,0.05021367521367518,21.5,293.016572823166,0.0,277.6827408233205,0.92447358466776
81,24300,1,24300,0.12398547855439872,9794.304974235742,0.11418269230769225,21.5,296.07721260170496,0.0,277.67883361204014,0.9897869121170092
82,24600,1,24600,0.22061902783904985,9784.323516937162,0.20512820512820504,21.5,297.6780948177024,0.0,277.67813307733593,0.9887782120791835
83,24900,1,24900,0.3450303549014787,9808.029478021306,0.32385149572649563,21.5,298.39890841864985,0.0,277.68155120979395,0.9911738746690215
84,25200,1,25200,0.49729460947839665,9825.497028293823,0.471153846153846,21.5,298.74075017707037,0.0,277.69,0.9929390997352169
85,25500,1,25500,0.6774869413065147,9834.23080343009,0.6478365384615382,21.5,298.91210303999566,0.0,277.7015352099591,0.9938217122683154
86,25800,1,25800,0.8856825001225441,9866.670539650482,0.8547008547008544,21.5,299.00646485217874,0.0,277.7135953177257,0.99709998739125
87,26100,1,26100,1.1219564356631961,9869.165903975123,1.0925480769230766,21.5,299.073364736367,0.0,277.72616638795984,0.9973521624007061
88,26400,1,26400,1.3863838976651819,9859.184446676543,1.3621794871794868,21.5,299.1182706768037,0.0,277.73923448532145,0.9963434623628803
89,26700,1,26700,1.6790400358652129,9877.89967911139,1.664396367521367,21.5,299.14897043460104,0.0,277.75278567447043,0.9982347749338046
90,27000,1,27000,2.0,9887.88113640997,2.0,21.5,299.18348384262146,0.0,277.7668060200669,0.9992434749716305
91,27300,1,27300,2.6163510591699173,9841.716896404028,2.6579415954415957,21.5,299.2167854183439,0.0,277.7812815867707,0.9945782372966852
92,27600,1,27600,3.760997862058524,9543.520859608814,3.883190883190883,21.5,299.2304466998129,0.0,277.7961984392419,0.9644433236666247
93,27900,1,27900,5.382741627777309,9491.118208791246,5.610576923076923,21.5,299.14522653590507,0.0,277.81154264214047,0.9591476484680368
94,28200,1,28200,7.43038357543776,9759.369873690708,7.774928774928775,21.5,299.10504293458126,0.0,277.8273002601263,0.9862564619846185
95,28500,1,28500,9.852724924151367,9764.36060233999,10.3110754985755,21.5,299.20443022481413,0.0,277.8434573578595,0.9867608120035306
96,28800,1,28800,12.598566893029616,9783.075834774834,13.153846153846155,21.5,299.27808593459133,0.0,277.85999999999996,0.9886521245744547
97,29100,1,29100,15.616710701184,9789.31424558646,16.238069800569804,21.5,299.35074179029965,0.0,277.87678088115587,0.9892825620980972
98,29400,1,29400,18.855957567726005,9803.038749372008,19.4985754985755,21.5,299.42516672273604,0.0,277.8936670736671,0.9906695246501077
99,29700,1,29700,22.265108711767116,9806.781795858977,22.87019230769231,21.5,299.4977775556423,0.0,277.9106662087912,0.9910477871642925
100,30000,1,30000,25.792965352418822,9804.286431534336,26.287749287749293,21.5,299.5528731980282,0.0,277.9277859177859,0.9907956121548365
101,30300,1,30300,29.38832870879263,9809.277160183618,29.686075498575505,21.5,299.5974463925208,0.0,277.9450338319088,0.9912999621737486
102,30600,1,30600,33.0,9814.267888832916,33.0,21.5,299.6392503949263,0.0,277.9624175824176,0.9918043121926623
103,30900,1,30900,36.91933597958039,9844.212260728667,36.73987268518518,21.5,299.68145688489653,0.11260661999194657,277.9799448005698,0.994830412306141
104,31200,1,31200,41.39321314677098,1076.7497060847702,41.32175925925926,21.5,299.73786774374076,0.44230690098081576,277.9976231176231,0.10881351658050689
105,31500,1,31500,46.30371233922988,81.09934055099657,46.5390625,21.5,296.66925640255505,0.976921474486152,278.01546016483513,0.008195687807338292
106,31800,1,31800,51.532914394615204,77.3562940640275,52.18518518518518,21.5,294.96254283969597,1.7042709720274993,278.03346357346356,0.007817425293153447
107,32100,1,32100,56.96290015058506,79.85165838867367,58.05353009259259,21.5,294.2089059402844,2.612176025124403,278.051640974766,0.008069600302610022
108,32400,1,32400,62.47575044479753,78.60397622635058,63.9375,21.5,293.8715557611305,3.688457265296406,278.07,0.007943512797881734
109,32700,1,32700,67.95354611491075,77.3562940640275,69.63049768518519,21.5,293.7216033590956,4.920935324063053,278.0895046916336,0.007817425293153447
110,33000,1,33000,73.27836799858284,72.36556541473551,74.92592592592592,21.5,293.65240169218447,6.297430832943889,278.1108540013227,0.007313075274240333
111,33300,1,33300,78.33229693347187,74.8609297393815,79.6171875,21.5,293.6170559283478,7.805764423458457,278.1336579241071,0.00756525028369689
112,33600,1,33600,82.99741375723596,76.10861190170459,83.49768518518518,21.5,293.59593168742333,9.433756727126303,278.1575264550264,0.007691337788425178
113,33900,1,33900,87.15579930753324,79.85165838867367,86.36082175925927,21.5,293.57689550228713,11.16922837546697,278.1820695891204,0.008069600302610022
114,34200,1,34200,90.6895344220218,71.11788325241244,88.0,21.5,293.5572724662073,13.0,278.2068973214285,0.007186987769512047
115,34500,1,34500,93.75224591961148,74.8609297393815,88.71610725308642,21.5,293.53114403749225,16.35747547901862,278.23161964699074,0.00756525028369689
116,34800,1,34800,96.5822999292825,74.8609297393815,88.99922839506173,21.5,293.51725651415416,22.350242137669785,278.2558465608465,0.00756525028369689
117,35100,1,35100,99.18888625379844,71.11788325241244,88.9265625,21.5,293.5263536819477,30.481895777753614,278.2791880580357,0.007186987769512047
118,35400,1,35400,101.58119469592293,83.59470487564275,88.57530864197531,21.5,293.5241630607037,40.256032201070255,278.30125413359787,0.008447862816794867
119,35700,1,35700,103.76841505841959,73.61324757705842,88.02266589506172,21.5,293.5238646650014,51.17624720941983,278.32165478257275,0.007439162778968602
120,36000,1,36000,105.75973714405201,79.85165838867367,87.34583333333333,21.5,293.51720523943004,62.746136604602455,278.34,0.008069600302610022
121,36300,1,36300,107.5643507555838,73.61324757705842,86.62201003086419,21.5,293.52924840133954,74.46929618841828,278.3555568576389,0.007439162778968602
122,36600,1,36600,109.1914456957786,77.3562940640275,85.9283950617284,21.5,293.5528500782293,85.84932176266744,278.3681770833333,0.007817425293153447
123,36900,1,36900,110.65021176740001,86.09006920028874,85.3421875,21.5,293.56201082799475,96.38980912915008,278.37834765624996,0.008700037826251424
124,37200,1,37200,111.94983877321162,8806.140701675906,84.94058641975309,21.5,293.56568468505566,105.5943540896663,278.38655555555556,0.8899256083722102
125,37500,1,37500,113.09951651597706,9568.474502855284,84.80079089506172,21.5,296.6747655959281,112.96655244601622,278.3932877604166,0.9669650737611913
126,37800,1,37800,114.10843479845995,9588.437417452442,85.0,21.5,298.3441392483133,118.01,278.39903124999995,0.9689824738368428
127,38100,1,38100,114.9990307537589,9610.895696374257,85.39974989357174,21.5,299.11126058633994,121.34194559342943,278.4042730034722,0.9712520489219518
128,38400,1,38400,115.78574216763936,970.6967222873141,85.80885483184333,21.5,299.47877335658205,123.91662362952994,278.4095,0.09809607867860307
129,38700,1,38700,116.46575982186515,81.09934055099657,86.22543103448275,21.5,296.57718680700447,125.74310825222227,278.41519921875,0.008195687807338292
130,39000,1,39000,117.03627449820011,84.84238703796565,86.64759472115794,21.5,294.96115443963845,126.8304736054271,278.42185763888887,0.008573950321523137
131,39300,1,39300,117.49447697840809,77.3562940640275,87.07346211153683,21.5,294.23510788721757,127.18779383306513,278.4299622395833,0.007817425293153447
132,39600,1,39600,117.83755804425289,84.84238703796565,87.50114942528735,21.5,293.8924770893052,126.82414307905708,278.44,0.008573950321523137
133,39900,1,39900,118.06270847749838,79.85165838867367,87.92877288207748,21.5,293.7293314172274,125.74859548732363,278.4525453042328,0.008069600302610022
134,40200,1,40200,118.16711905990837,76.10861190170459,88.35444870157514,21.5,293.63905341923424,123.97022520178548,278.4675132275132,0.007691337788425178
135,40500,1,40500,118.14798057324671,74.8609297393815,88.77629310344828,21.5,293.5821666616626,121.49810636636334,278.4844017857143,0.00756525028369689
136,40800,1,40800,118.00248379927723,76.10861190170459,89.19242230736484,21.5,293.5402721183996,118.34131312497792,278.502708994709,0.007691337788425178
137,41100,1,41100,117.72781951976376,81.09934055099657,89.60095253299276,21.5,293.50541378847146,114.50891962154991,278.52193287037034,0.008195687807338292
138,41400,1,41400,117.32117851647014,82.34702271331966,90.0,21.5,293.4746184885615,110.01,278.5415714285714,0.00832177531206658
139,41700,1,41700,116.81080087060968,83.59470487564275,90.47682524478502,21.5,293.44410488501273,104.42731283148416,278.5611226851852,0.008447862816794867
140,42000,1,42000,116.20490662067496,78.60397622635058,91.08535547041294,21.5,293.41323808887165,97.53566852241865,278.58008465608464,0.007943512797881734
141,42300,1,42300,115.4706564843487,82.34702271331966,91.77370689655173,21.5,293.37962385442546,89.63221896961468,278.59795535714284,0.00832177531206658
142,42600,1,42600,114.57521117931361,66.12715460312026,92.48999574286931,21.5,293.34751813994274,81.0141160698835,278.61423280423276,0.006682637750598913
143,42900,1,42900,113.48573142325242,74.8609297393815,93.18233822903363,21.5,293.3086886792914,71.9785117200363,278.6284150132275,0.00756525028369689
144,43200,1,43200,112.16937793384784,8803.645337351265,93.79885057471265,21.5,293.26752216116944,62.82255781688431,278.64,0.8896734333627543
145,43500,1,43500,110.59331142878261,9552.25463474508,94.28764899957429,21.5,296.32657395484296,53.84340625723875,278.64769333913165,0.9653259361997232
146,43800,1,43800,108.72469262573944,9522.310262849327,94.59684972328651,21.5,297.958649485269,45.33820893791085,278.65078241646734,0.9622998360862444
147,44100,1,44100,106.53068224240106,9537.282448797203,94.67456896551724,21.5,298.6820554559345,37.6041177557118,278.6496379647749,0.9638128861429837
148,44400,1,44400,103.97844099645017,9501.099666089842,94.46892294593444,21.5,299.01793752678793,30.93828460745283,278.64463071682246,0.9601563485058642
149,44700,1,44700,101.03512960556952,9502.347348252153,93.92802788420605,21.5,299.1650704421608,25.637861389945172,278.63613140537797,0.9602824360105913
150,45000,1,45000,97.66790878744182,9503.59503041448,93.0,21.5,299.2418386880583,22.0,278.62451076320934,0.96040852351532
151,45300,1,45300,93.94449734372212,9521.062580686998,91.40329218106996,21.5,299.28647475750125,19.347409144372673,278.6101395230847,0.9621737485815154
152,45600,1,45600,89.98200189601948,822.2225449708728,88.97325102880659,21.5,299.3154665890358,16.8162597597635,278.59338841777196,0.08309166561593744
153,45900,1,45900,85.82166489194759,88.58543352493471,85.83333333333333,21.5,296.2266921838368,14.423897087901256,278.5746281800391,0.00895221283570798
154,46200,1,46200,81.50472877912016,81.09934055099657,82.10699588477367,21.5,294.5708881954384,12.187666370514709,278.5542295426542,0.008195687807338292
155,46500,1,46500,77.07243600515085,78.60397622635058,77.91769547325103,21.5,293.80741558880374,10.12491284933263,278.53256323838514,0.007943512797881734
156,46800,1,46800,72.56602901765336,81.09934055099657,73.38888888888889,21.5,293.4438241833603,8.25298176608379,278.51,0.008195687807338292
157,47100,1,47100,68.02675026424141,83.59470487564275,68.6440329218107,21.5,293.25476126538206,6.589218362496963,278.48647556232027,0.008447862816794867
158,47400,1,47400,63.49584219252867,86.09006920028874,63.80658436213992,21.5,293.1442776188676,5.150967880300918,278.4614671063758,0.008700037826251424
159,47700,1,47700,59.01454725012883,88.58543352493471,59.00000000000001,21.5,293.0701125167029,3.955575561224432,278.4346575342465,0.00895221283570798
160,48000,1,48000,54.624107884655594,78.60397622635058,54.347736625514415,21.5,293.01176706269996,3.020386646996265,278.40572974801285,0.007943512797881734
161,48300,1,48300,50.36576654372264,78.60397622635058,49.9732510288066,21.5,292.9566877041813,2.3627463793452,278.37436664975473,0.007943512797881734
162,48600,1,48600,46.28076567494368,86.09006920028874,46.0,21.5,292.9069661401066,2.0,278.34025114155247,0.008700037826251424
163,48900,1,48900,42.16937915670576,76.10861190170459,42.146678424456205,21.5,292.86401642401296,1.7845950909129384,278.30306612548617,0.007691337788425178
164,49200,1,49200,37.8619462991122,9036.961901705676,38.09847148736038,21.5,292.81750525911076,1.5608550630333233,278.26249450363605,0.9132517967469435
165,49500,1,49500,33.44480769735111,9736.911594768893,33.92857142857143,21.5,295.96778002846344,1.333938901585488,278.21821917808217,0.9839868868995094
166,49800,1,49800,29.004303946610598,9691.995036925266,29.710170487948265,21.5,297.61864774704725,1.109005591793765,278.16992305090474,0.9794477367292914
167,50100,1,50100,24.62677564207877,9700.728812061514,25.516460905349792,21.5,298.33976642316225,0.8912141188824878,278.117289024184,0.980330349262388
168,50400,1,50400,20.39856337894373,914.551024982778,21.42063492063492,21.5,298.66670945775564,0.6857234680759892,278.06,0.0924221409658304
