index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
0,0,1,0,0.0,12574.58797687346,293.15,271.82,0.0,0.0,22.0,0.9126213592233009
1,300,1,300,0.0,13646.502978494216,295.65218563067424,271.8280908161068,0.0,0.0,22.0,0.9904173496406518
2,600,1,600,0.0,13641.291074110324,297.1863841145121,271.8357342807924,0.0,0.0,22.0,0.9900390871264669
3,900,1,900,0.0,13653.452184339392,297.97152928468523,271.84298691860465,0.0,0.0,22.0,0.9909216996595638
4,1200,1,1200,0.0,1553.147506400232,298.3856398847558,271.84990525409125,0.0,0.0,22.0,0.11272222922708366
5,1500,1,1500,0.0,114.66189644565472,295.60007838223555,271.8565458118002,0.0,0.0,22.0,0.00832177531206658
6,1800,1,1800,0.0,119.87380082954812,293.8470435935287,271.86296511627904,0.0,0.0,22.0,0.008700037826251424
7,2100,1,2100,0.0,114.66189644565472,292.9672216133224,271.8692196920758,0.0,0.0,22.0,0.00832177531206658
8,2400,1,2400,0.0,12965.480805665464,292.517453177609,271.8753660637381,0.0,0.0,22.0,0.9409910477871642
9,2700,1,2700,0.0,13750.741066172086,295.4772845301489,271.8814607558139,0.0,0.0,22.0,0.9979825999243487
10,3000,1,3000,0.0,13700.359323794433,297.159738634159,271.887560292851,0.0,0.0,22.0,0.9943260622872274
11,3300,1,3300,0.0,13599.595839039175,297.9987175564579,271.893721199397,0.0,0.0,22.0,0.9870129870129881
12,3600,1,3600,0.0,13599.595839039175,298.40533689000677,271.9,0.0,0.0,22.0,0.9870129870129881
13,3900,1,3900,0.0,13590.909331732671,298.62263341895977,271.90602887294085,0.0,0.0,22.0,0.9863825494893456
14,4200,1,4200,0.0,13580.485522964886,298.740693216723,271.911429869186,0.0,0.0,22.0,0.985626024460976
15,4500,1,4500,0.0,13530.103780587257,298.809205125229,271.916244322311,0.0,0.0,22.0,0.9819694868238563
16,4800,1,4800,0.0,1158.7800746856328,298.8428061024037,271.92051356589144,0.0,0.0,22.0,0.08410036565376384
17,5100,1,5100,0.0,99.02618329397453,295.79339782241703,271.9242789335029,0.0,0.0,22.0,0.007186987769512046
18,5400,1,5400,0.0,109.44999206176132,293.9953075286082,271.9275817587209,0.0,0.0,22.0,0.007943512797881734
19,5700,1,5700,0.0,104.23808767786792,293.08840024046583,271.9304633751211,0.0,0.0,22.0,0.00756525028369689
20,6000,1,6000,0.0,12381.747514669403,292.61722428863277,271.93296511627904,0.0,0.0,22.0,0.8986256461984616
21,6300,1,6300,0.0,13438.026803138482,295.4197591980973,271.9351283157703,0.0,0.0,22.0,0.975286849073258
22,6600,1,6600,0.0,13439.764104599763,297.08506203902607,271.9369943071705,0.0,0.0,22.0,0.9754129365779851
23,6900,1,6900,0.0,13408.492678296403,297.9238946836638,271.9386044240552,0.0,0.0,22.0,0.9731433614928761
24,7200,1,7200,0.0,13394.594266606027,298.3426362112763,271.94,0.0,0.0,22.0,0.9721346614550503
25,7500,1,7500,0.0,13384.170457838241,298.558293401507,271.93760844713745,0.0,0.0,22.0,0.9713781364266807
26,7800,1,7800,0.0,13359.84823738008,298.67144294164007,271.9282494668635,0.0,0.0,22.0,0.9696129113604853
27,8100,1,8100,0.0,13342.475222767094,298.72944772212765,271.9125528266486,0.0,0.0,22.0,0.9683520363132019
