index,seconds_of_day,day_of_year,timestamp,weaBus.TDryBul,weaBus.HDirNor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,u
0,0,1,0,277.22999999999996,0.0,0.0,21.0,19575.248026387027,293.15,0.0,0.912621359223301
1,300,1,300,277.25013364438655,0.0,0.0,21.0,21243.931092466188,296.12425080755503,0.0,0.9904173496406516
2,600,1,600,277.2697410300926,0.0,0.0,21.0,21235.81756054036,297.9391637978812,0.0,0.9900390871264669
3,900,1,900,277.2888818359375,0.0,0.0,21.0,21254.74913503394,298.8795122191151,0.0,0.9909216996595638
4,1200,1,1200,277.30761574074074,0.0,0.0,21.0,2417.8325138974874,299.38298717261785,0.0,0.11272222922708366
5,1500,1,1500,277.3260024233217,0.0,0.0,21.0,178.49770236827086,296.36169723436745,0.0,0.00832177531206658
6,1800,1,1800,277.3441015625,0.0,0.0,21.0,186.61123429410137,294.44523804500477,0.0,0.008700037826251424
7,2100,1,2100,277.36197283709487,0.0,0.0,21.0,178.49770236827086,293.47172828628584,0.0,0.00832177531206658
8,2400,1,2400,277.3796759259259,0.0,0.0,21.0,20183.762920824312,292.96710154424176,0.0,0.9409910477871642
9,2700,1,2700,277.3972705078125,0.0,0.0,21.0,21406.2017309828,296.20191504363686,0.0,0.9979825999243487
10,3000,1,3000,277.41481626157406,0.0,0.0,21.0,21327.770922366413,298.0561521782533,0.0,0.9943260622872273
11,3300,1,3300,277.43237286603005,0.0,0.0,21.0,21170.909305133715,298.9904634056639,0.0,0.9870129870129881
12,3600,1,3600,277.45,0.0,0.0,21.0,21170.909305133715,299.4502688609026,0.0,0.9870129870129881
13,3900,1,3900,277.46751139322913,0.0,0.0,21.0,21157.386751923972,299.7005404306657,0.0,0.9863825494893456
14,4200,1,4200,277.4846366003788,0.0,0.0,21.0,21141.159688072312,299.83986061639797,0.0,0.9856260244609759
15,4500,1,4500,277.50130903764205,0.0,0.0,21.0,21062.72887945596,299.9236351596174,0.0,0.9819694868238562
16,4800,1,4800,277.5174621212121,0.0,0.0,21.0,1803.9085981763146,299.9674954667238,0.0,0.08410036565376383
17,5100,1,5100,277.5330292672822,0.0,0.0,21.0,154.1571065907794,296.62943577702134,0.0,0.007186987769512046
18,5400,1,5400,277.54794389204545,0.0,0.0,21.0,170.38417044244036,294.64487164675063,0.0,0.007943512797881734
19,5700,1,5700,277.56213941169506,0.0,0.0,21.0,162.27063851660986,293.6289719172863,0.0,0.00756525028369689
20,6000,1,6000,277.57554924242424,0.0,0.0,21.0,19275.047345131297,293.09280786426035,0.0,0.8986256461984616
21,6300,1,6300,277.5881068004261,0.0,0.0,21.0,20919.38981543297,296.14672463865617,0.0,0.9752868490732579
22,6600,1,6600,277.5997455018939,0.0,0.0,21.0,20922.09432607489,297.9750316448702,0.0,0.9754129365779852
23,6900,1,6900,277.6103987630208,0.0,0.0,21.0,20873.413134519906,298.9025783511091,0.0,0.9731433614928761
24,7200,1,7200,277.62,0.0,0.0,21.0,20851.777049384367,299.37194178735115,0.0,0.9721346614550502
25,7500,1,7500,277.6254863457207,0.0,0.0,21.0,20835.54998553271,299.61560819335705,0.0,0.9713781364266808
26,7800,1,7800,277.6246094389844,0.0,0.0,21.0,20797.686836545512,299.74572175599934,0.0,0.9696129113604853
