index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
0,0,1,0,0.0,0.0,20.0,0.0,277.22999999999996,293.15,11598.991759721037,0.9126213592233009
1,300,1,300,0.0,0.0,20.0,0.0,277.25013364438655,296.42766653511,12587.742507959223,0.9904173496406518
2,600,1,600,0.0,0.0,20.0,0.0,277.2697410300926,298.15020053402935,12582.934967854337,0.9900390871264669
3,900,1,900,0.0,0.0,20.0,0.0,277.2888818359375,298.9029679777584,12594.15256143239,0.9909216996595638
4,1200,1,1200,0.0,0.0,20.0,0.0,277.30761574074074,299.2543370148842,1432.6469512559565,0.11272222922708366
5,1500,1,1500,0.0,0.0,20.0,0.0,277.3260024233217,295.788301618236,105.76588230748672,0.00832177531206658
6,1800,1,1800,0.0,0.0,20.0,0.0,277.3441015625,293.9040231823146,110.5734224123725,0.008700037826251424
7,2100,1,2100,0.0,0.0,20.0,0.0,277.36197283709487,293.1061079587318,105.76588230748672,0.00832177531206658
8,2400,1,2400,0.0,0.0,20.0,0.0,277.3796759259259,292.75467024860166,11959.557267587468,0.9409910477871642
9,2700,1,2700,0.0,0.0,20.0,0.0,277.3972705078125,296.4616293796612,12683.893310056937,0.9979825999243487
10,3000,1,3000,0.0,0.0,20.0,0.0,277.41481626157406,298.2637642352204,12637.42042237636,0.9943260622872273
11,3300,1,3300,0.0,0.0,20.0,0.0,277.43237286603005,299.02350006306443,12544.47464701525,0.9870129870129881
12,3600,1,3600,0.0,0.0,20.0,0.0,277.45,299.3342618401964,12544.47464701525,0.9870129870129881
13,3900,1,3900,0.0,0.0,20.0,0.0,277.46751139322913,299.4872150777754,12536.46208017376,0.9863825494893457
14,4200,1,4200,0.0,0.0,20.0,0.0,277.4846366003788,299.57011508668603,12526.846999963987,0.9856260244609758
15,4500,1,4500,0.0,0.0,20.0,0.0,277.50130903764205,299.6232936993294,12480.374112283433,0.9819694868238563
16,4800,1,4800,0.0,0.0,20.0,0.0,277.5174621212121,299.6508484524429,1068.876416652935,0.08410036565376383
17,5100,1,5100,0.0,0.0,20.0,0.0,277.5330292672822,295.95488795562824,91.34326199282944,0.007186987769512045
18,5400,1,5400,0.0,0.0,20.0,0.0,277.54794389204545,294.0750938564951,100.95834220260096,0.007943512797881734
