index,seconds_of_day,day_of_year,timestamp,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,15530.913682113096,293.15,0.0,0.0,20.5,0.0,277.22999999999996,0.9126213592233009
1,300,1,300,16854.8393165237,296.2205464485873,0.0,0.0,20.5,0.0,277.25013364438655,0.9904173496406519
2,600,1,600,16848.402076810195,298.00092159771475,0.0,0.0,20.5,0.0,277.2697410300926,0.9900390871264669
3,900,1,900,16863.42230280835,298.87216549587936,0.0,0.0,20.5,0.0,277.2888818359375,0.9909216996595638
4,1200,1,1200,1918.2974346240837,299.3167381003986,0.0,0.0,20.5,0.0,277.30761574074074,0.11272222922708366
5,1500,1,1500,141.61927369708002,296.1438937429835,0.0,0.0,20.5,0.0,277.3260024233217,0.00832177531206658
6,1800,1,1800,148.05651341058365,294.23464680957903,0.0,0.0,20.5,0.0,277.3441015625,0.008700037826251424
7,2100,1,2100,141.61927369708002,293.32532467212127,0.0,0.0,20.5,0.0,277.36197283709487,0.00832177531206658
8,2400,1,2400,16013.70666062587,292.8764196483742,0.0,0.0,20.5,0.0,277.3796759259259,0.9409910477871642
9,2700,1,2700,16983.58411079377,296.27288347700943,0.0,0.0,20.5,0.0,277.3972705078125,0.9979825999243486
10,3000,1,3000,16921.357460229883,298.1117952508932,0.0,0.0,20.5,0.0,277.41481626157406,0.9943260622872273
11,3300,1,3300,16796.904159102163,298.98360788670783,0.0,0.0,20.5,0.0,277.43237286603005,0.987012987012988
12,3600,1,3600,16796.904159102163,299.38637973955383,0.0,0.0,20.5,0.0,277.45,0.987012987012988
13,3900,1,3900,16786.175426246307,299.59664747674816,0.0,0.0,20.5,0.0,277.46751139322913,0.9863825494893457
14,4200,1,4200,16773.300946819298,299.7118450250729,0.0,0.0,20.5,0.0,277.4846366003788,0.9856260244609758
15,4500,1,4500,16711.07429625544,299.78175205147267,0.0,0.0,20.5,0.0,277.50130903764205,0.9819694868238563
