index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,totalHeatingPower.y,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,weaDat.weaBus.HGloHor,thermalZone.TAir,u
0,0,1,0,0.0,20091.172982368396,21.0,0.0,270.84,0.0,293.15,0.9126213592233009
1,300,1,300,0.0,21803.83583538325,21.0,0.0,270.82701932870367,0.0,297.06971310766266,0.9904173496406518
2,600,1,600,0.0,21795.50846332645,21.0,0.0,270.81392129629626,0.0,299.3469190191729,0.9900390871264668
3,900,1,900,0.0,21814.93899812562,21.0,0.0,270.80072187499997,0.0,300.4595919305154,0.9909216996595638
4,1200,1,1200,0.0,2481.556872925858,21.0,0.0,270.787437037037,0.0,301.02584409211914,0.11272222922708368
5,1500,1,1500,0.0,183.20218524955996,21.0,0.0,270.7740827546296,0.0,296.9162103702953,0.00832177531206658
6,1800,1,1800,0.0,191.52955730635816,21.0,0.0,270.760675,0.0,294.4382037711298,0.008700037826251424
7,2100,1,2100,0.0,183.20218524955996,21.0,0.0,270.74722974537036,0.0,293.25363048410816,0.00832177531206658
8,2400,1,2400,0.0,20715.72588662826,21.0,0.0,270.73376296296294,0.0,292.67120109688494,0.9409910477871642
9,2700,1,2700,0.0,21970.383276519213,21.0,0.0,270.72029062499996,0.0,297.0564499577388,0.9979825999243487
10,3000,1,3000,0.0,21889.885346636802,21.0,0.0,270.7068287037037,0.0,299.431939827459,0.9943260622872273
11,3300,1,3300,0.0,21728.889486872064,21.0,0.0,270.6933931712963,0.0,300.5571501126791,0.9870129870129881
12,3600,1,3600,0.0,21728.889486872064,21.0,0.0,270.67999999999995,0.0,301.0739851168335,0.9870129870129881
13,3900,1,3900,0.0,21715.01053344404,21.0,0.0,270.6665203883495,0.0,301.3407209518251,0.9863825494893456
14,4200,1,4200,0.0,21698.355789330446,21.0,0.0,270.6528317152103,0.0,301.48414668434884,0.9856260244609759
15,4500,1,4500,0.0,21617.857859448075,21.0,0.0,270.63895922330096,0.0,301.56829266259643,0.9819694868238563
16,4800,1,4800,0.0,1851.4523872947968,21.0,0.0,270.6249281553398,0.0,301.60867221105593,0.08410036565376383
17,5100,1,5100,0.0,158.22006907916543,21.0,0.0,270.6107637540453,0.0,297.135164282786,0.007186987769512046
18,5400,1,5400,0.0,174.8748131927618,21.0,0.0,270.5964912621359,0.0,294.60809594284814,0.007943512797881734
19,5700,1,5700,0.0,166.5474411359636,21.0,0.0,270.58213592233005,0.0,293.3854314863235,0.00756525028369689
20,6000,1,6000,0.0,19783.060216266862,21.0,0.0,270.56772297734625,0.0,292.7702179488299,0.8986256461984616
21,6300,1,6300,0.0,21470.740953111323,21.0,0.0,270.5532776699029,0.0,296.920049799004,0.975286849073258
22,6600,1,6600,0.0,21473.516743796896,21.0,0.0,270.5388252427184,0.0,299.26990325393115,0.9754129365779851
23,6900,1,6900,0.0,21423.552511456106,21.0,0.0,270.5243909385113,0.0,300.39089918536354,0.9731433614928761
24,7200,1,7200,0.0,21401.34618597132,21.0,0.0,270.51,0.0,300.92188669751204,0.9721346614550502
25,7500,1,7500,0.0,21384.691441857725,21.0,0.0,270.49370276227603,0.0,301.18083639270037,0.9713781364266806
26,7800,1,7800,0.0,21345.83037225935,21.0,0.0,270.47363669953876,0.0,301.31196818710816,0.9696129113604853
27,8100,1,8100,0.0,21318.07246540334,21.0,0.0,270.44995776316796,0.0,301.3769395778538,0.9683520363132019
28,8400,1,8400,0.0,21301.417721289745,21.0,0.0,270.42282190454347,0.0,301.4134000201726,0.9675955112848322
29,8700,1,8700,0.0,21390.24302322891,21.0,0.0,270.3923850750452,0.0,301.4378990061176,0.9716303114361367
30,9000,1,9000,0.0,21334.72720951694,21.0,0.0,270.35880322605306,0.0,301.48040090948956,0.9691085613415716
31,9300,1,9300,0.0,21390.24302322891,21.0,0.0,270.3222323089468,0.0,301.49787137035725,0.9716303114361367
32,9600,1,9600,0.0,2256.717827392307,21.0,0.0,270.28282827510634,0.0,301.52793568589425,0.10250914134409286
33,9900,1,9900,0.0,177.6506038783613,21.0,0.0,270.2407470759116,0.0,297.18498879524867,0.008069600302610022
34,10200,1,10200,0.0,199.85692936315633,21.0,0.0,270.19614466274237,0.0,294.62258593544897,0.009078300340436269
35,10500,1,10500,0.0,197.08113867755677,21.0,0.0,270.14917698697855,0.0,293.3794398051198,0.00895221283570798
36,10800,1,10800,0.0,20288.25412104598,21.0,0.0,270.09999999999997,0.0,292.7502264363338,0.92157357205901
37,11100,1,11100,0.0,21842.696904981625,21.0,0.0,270.03340929133856,0.0,296.9945378455705,0.9921825747068471
38,11400,1,11400,0.0,21781.629509898426,21.0,0.0,269.93795695538057,0.0,299.3528810559592,0.9894086496028244
39,11700,1,11700,0.0,21795.50846332645,21.0,0.0,269.8194337007874,0.0,300.4570003697207,0.9900390871264668
40,12000,1,12000,0.0,21881.557974580006,21.0,0.0,269.68363023622044,0.0,300.987110261526,0.9939477997730425
41,12300,1,12300,0.0,21914.8674628072,21.0,0.0,269.53633727034116,0.0,301.26330821578273,0.995460849829782
42,12600,1,12600,0.0,22014.795927488776,21.0,0.0,269.383345511811,0.0,301.40920415999415,1.0
43,12900,1,12900,0.0,22003.692764746404,21.0,0.0,269.2304456692913,0.0,301.5081833958235,0.999495649981088
44,13200,1,13200,0.0,2076.2914328283478,21.0,0.0,269.0834284514435,0.0,301.55709855754935,0.09431345353675463
45,13500,1,13500,0.0,177.6506038783613,21.0,0.0,268.9480845669291,0.0,297.0396218768975,0.008069600302610022
46,13800,1,13800,0.0,183.20218524955996,21.0,0.0,268.83020472440944,0.0,294.4320822419187,0.00832177531206658
47,14100,1,14100,0.0,185.9779759351595,21.0,0.0,268.7355796325459,0.0,293.160833465295,0.008447862816794867
48,14400,1,14400,0.0,185.9779759351595,21.0,0.0,268.66999999999996,0.0,292.5193282711722,0.008447862816794867
49,14700,1,14700,0.0,183.20218524955996,21.0,0.0,268.6222788100137,0.0,292.1667418998935,0.00832177531206658
50,15000,1,15000,0.0,172.09902250716226,21.0,0.0,268.5773360768175,0.0,291.95804989959873,0.007817425293153447
51,15300,1,15300,0.0,169.32323182156313,21.0,0.0,268.5351230555555,0.0,291.81289694677383,0.007691337788425177
52,15600,1,15600,0.0,20077.294028940414,21.0,0.0,268.49559100137174,0.0,291.7000393521203,0.9119909216996601
53,15900,1,15900,0.0,21734.44106824325,21.0,0.0,268.45869116941014,0.0,296.1470747530192,0.9872651620224442
54,16200,1,16200,0.0,21776.077928527244,21.0,0.0,268.42437481481477,0.0,298.62946964728116,0.9891564745933685
55,16500,1,16500,0.0,21762.198975099258,21.0,0.0,268.39259319272975,0.0,299.816527149315,0.9885260370697276
56,16800,1,16800,0.0,21726.11369618645,21.0,0.0,268.363297558299,0.0,300.38489314280844,0.9868868995082593
57,17100,1,17100,0.0,21759.423184413645,21.0,0.0,268.33643916666665,0.0,300.6564365215365,0.9883999495649987
58,17400,1,17400,0.0,21798.284254012022,21.0,0.0,268.3119692729767,0.0,300.80335678884126,0.9901651746311939
59,17700,1,17700,0.0,21870.454811837633,21.0,0.0,268.2898391323731,0.0,300.8933232483263,0.9934434497541306
60,18000,1,18000,0.0,2265.045199449105,21.0,0.0,268.27,0.0,300.9639073613768,0.1028874038582777
61,18300,1,18300,0.0,183.20218524955996,21.0,0.0,268.25040019393595,0.0,296.5356450219089,0.00832177531206658
62,18600,1,18600,0.0,191.52955730635816,21.0,0.0,268.22948181259164,0.0,293.93252678989825,0.008700037826251424
63,18900,1,18900,0.0,174.8748131927618,21.0,0.0,268.2079367816092,0.0,292.6691227027878,0.007943512797881734
64,19200,1,19200,0.0,20141.137214709186,21.0,0.0,268.1864570266307,0.0,292.02776601305004,0.91489093430841
65,19500,1,19500,0.0,21653.943138360883,21.0,0.0,268.1657344732983,0.0,296.2400339413199,0.9836086243853247
66,19800,1,19800,0.0,21659.494719732065,21.0,0.0,268.14646104725415,0.0,298.5763338136237,0.9838607993947804
67,20100,1,20100,0.0,21640.06418493286,21.0,0.0,268.12932867414025,0.0,299.6882550579516,0.9829781868616821
68,20400,1,20400,0.0,1818.1428990676043,21.0,0.0,268.11502927959884,0.0,300.21746674229666,0.08258731559702445
69,20700,1,20700,0.0,166.5474411359636,21.0,0.0,268.10425478927203,0.0,295.9552863696539,0.00756525028369689
70,21000,1,21000,0.0,166.5474411359636,21.0,0.0,268.0976971288018,0.0,293.5327816883235,0.00756525028369689
71,21300,1,21300,0.0,174.8748131927618,21.0,0.0,268.09604822383045,0.0,292.3576676559106,0.007943512797881734
72,21600,1,21600,0.0,19763.629681467693,21.0,0.0,268.09999999999997,0.0,291.7594989828963,0.8977430336653649
73,21900,1,21900,0.0,21653.943138360883,21.0,0.0,268.10772019382466,0.0,295.9063050705512,0.9836086243853247
74,22200,1,22200,0.0,21709.458952072855,21.0,0.0,268.11681428893394,0.0,298.3003794539984,0.9861303744798896
75,22500,1,22500,0.0,21776.077928527244,21.0,0.0,268.127130831643,0.0,299.4528617804321,0.9891564745933685
76,22800,1,22800,0.0,2470.453710183459,21.0,0.0,268.13851836826683,0.0,300.0237937075176,0.11221787920817049
77,23100,1,23100,0.0,172.09902250716226,21.0,0.0,268.1508254451206,0.0,295.90082027576227,0.007817425293153447
78,23400,1,23400,0.0,177.6506038783613,21.0,0.0,268.16390060851927,0.0,293.4007143091793,0.008069600302610022
79,23700,1,23700,0.6767618312757203,180.42639456396046,21.0,0.03935185185185185,268.17759240477795,0.682568026834529,292.1875604893611,0.008195687807338292
80,24000,1,24000,2.5745884773662553,20352.097306814754,21.0,0.14814814814814814,268.19174938021183,2.596363760679194,291.57782180174956,0.9244735846677601
81,24300,1,24300,5.494791666666667,21789.956881955226,21.0,0.31249999999999994,268.2062200811359,5.540524681545613,295.859849397935,0.9897869121170092
82,24600,1,24600,9.238683127572019,21767.75055647044,21.0,0.5185185185185184,268.2208530538652,9.314188269445403,298.22223102207295,0.9887782120791834
83,24900,1,24900,13.60757458847737,21820.490579496844,21.0,0.7523148148148147,268.2354968447149,13.716492004390181,299.35638816600414,0.9911738746690214
84,25200,1,25200,18.402777777777782,21859.35164909522,21.0,0.9999999999999998,268.25,18.546573366391563,299.9408314523727,0.9929390997352167
85,25500,1,25500,23.425604423868315,21878.782183894433,21.0,1.247685185185185,268.26463641822187,23.60356983546117,300.2736583119608,0.9938217122683154
86,25800,1,25800,28.477366255144037,21950.95274172,21.0,1.481481481481481,268.2797830537837,28.686618891610614,300.4918185770584,0.99709998739125
87,26100,1,26100,33.35937500000001,21956.50432309119,21.0,1.6874999999999998,268.29544303685327,33.59485801485152,300.67700159502704,0.9973521624007061
88,26400,1,26400,37.872942386831284,21934.297997606405,21.0,1.8518518518518512,268.3116194975982,38.12742468519549,300.83718125689217,0.9963434623628804
89,26700,1,26700,41.819380144032934,21975.9348578904,21.0,1.9606481481481475,268.3283155661863,42.08345638265416,300.9796693250831,0.9982347749338047
90,27000,1,27000,45.0,21998.14118337518,21.0,2.0,268.3455343727852,45.26209058723914,301.10804357200186,0.9992434749716304
91,27300,1,27300,47.72737911522634,21895.43692800803,21.0,1.9606481481481481,268.3632790475628,47.97924529423292,301.2138601508156,0.994578237296685
92,27600,1,27600,50.42335390946502,21232.022954149747,21.0,1.8518518518518519,268.38155272068667,50.66176997992469,301.28026914954614,0.9644433236666246
93,27900,1,27900,53.053125,21115.43974535457,21.0,1.6875,268.40035852232455,53.27519934583613,301.198455897808,0.9591476484680368
94,28200,1,28200,55.58189300411523,21712.23474275847,21.0,1.4814814814814816,268.4196995826443,55.78506809348891,301.17005917338037,0.9862564619846185
95,28500,1,28500,57.974858539094654,21723.33790550084,21.0,1.2476851851851853,268.4395790318135,58.1569109244047,301.32971707926856,0.9867608120035305
96,28800,1,28800,60.19722222222222,21764.97476578483,21.0,1.0000000000000002,268.46,60.35626254010517,301.4409426767601,0.9886521245744547
97,29100,1,29100,62.21418467078189,21778.853719212853,21.0,0.7523148148148151,268.4841809082736,62.348657642112,301.5368673442155,0.9892825620980973
98,29400,1,29400,63.99094650205762,21809.387416754435,21.0,0.518518518518519,268.5153113106019,64.09963093194685,301.6184625944338,0.9906695246501078
99,29700,1,29700,65.49270833333334,21817.71478881123,21.0,0.3125000000000002,268.5533510364989,65.5747171111314,301.693813069564,0.9910477871642925
100,30000,1,30000,66.684670781893,21812.163207440044,21.0,0.1481481481481488,268.5982599154789,66.73945088118734,301.7601659097035,0.9907956121548365
101,30300,1,30300,67.53203446502059,21823.26637018242,21.0,0.039351851851852526,268.6499977770559,67.5593669436363,301.7957699476841,0.9912999621737487
102,30600,1,30600,68.0,21834.36953292483,21.0,0.0,268.7085244507441,68.0,301.771786808804,0.9918043121926623
103,30900,1,30900,67.96327570921986,21900.988509379215,21.0,0.0,268.77379976605766,67.94060116789407,301.72662080791775,0.9948304123061411
