index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,totalHeatingPower.y,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,weaDat.weaBus.HGloHor,thermalZone.TAir,u
0,0,1,0,0.0,12613.813691132013,22.0,0.0,277.22999999999996,0.0,293.15,0.9126213592233009
1,300,1,300,0.0,13689.072470826482,22.0,0.0,277.25013364438655,0.0,296.678860930345,0.9904173496406518
2,600,1,600,0.0,13683.84430820236,22.0,0.0,277.2697410300926,0.0,298.54077624357586,0.9900390871264669
3,900,1,900,0.0,13696.043354325297,22.0,0.0,277.2888818359375,0.0,299.35562483298213,0.9909216996595638
4,1200,1,1200,0.0,1557.9924619883984,22.0,0.0,277.30761574074074,0.0,299.7361494631199,0.11272222922708366
5,1500,1,1500,0.0,115.01957773068712,22.0,0.0,277.3260024233217,0.0,295.9526497696069,0.00832177531206658
6,1800,1,1800,0.0,120.24774035480927,22.0,0.0,277.3441015625,0.0,293.89198893672614,0.008700037826251424
7,2100,1,2100,0.0,115.01957773068712,22.0,0.0,277.36197283709487,0.0,293.01730815964066,0.00832177531206658
8,2400,1,2400,0.0,13005.925887941174,22.0,0.0,277.3796759259259,0.0,292.6325457095792,0.9409910477871642
9,2700,1,2700,0.0,13793.635723308926,22.0,0.0,277.3972705078125,0.0,296.6764873073474,0.9979825999243487
10,3000,1,3000,0.0,13743.096817942394,22.0,0.0,277.41481626157406,0.0,298.64612795925825,0.9943260622872272
11,3300,1,3300,0.0,13642.019007209383,22.0,0.0,277.43237286603005,0.0,299.4786460223155,0.9870129870129881
12,3600,1,3600,0.0,13642.019007209383,22.0,0.0,277.45,0.0,299.81925839975816,0.9870129870129881
13,3900,1,3900,0.0,13633.30540283583,22.0,0.0,277.46751139322913,0.0,299.9883948355118,0.9863825494893455
14,4200,1,4200,0.0,13622.849077587587,22.0,0.0,277.4846366003788,0.0,300.0802439022601,0.9856260244609759
15,4500,1,4500,0.0,13572.31017222108,22.0,0.0,277.50130903764205,0.0,300.1384930910973,0.9819694868238563
16,4800,1,4800,0.0,1162.3948234298239,22.0,0.0,277.5174621212121,0.0,300.1687943930506,0.08410036565376383
17,5100,1,5100,0.0,99.3350898583207,22.0,0.0,277.5330292672822,0.0,296.13804107348307,0.007186987769512046
18,5400,1,5400,0.0,109.79141510656498,22.0,0.0,277.54794389204545,0.0,294.08298342289146,0.007943512797881734
19,5700,1,5700,0.0,104.56325248244283,22.0,0.0,277.56213941169506,0.0,293.20069518120005,0.00756525028369689
20,6000,1,6000,0.0,12420.371674039494,22.0,0.0,277.57554924242424,0.0,292.8008311858187,0.8986256461984616
21,6300,1,6300,0.0,13479.945965861598,22.0,0.0,277.5881068004261,0.0,296.64155363027356,0.975286849073258
