index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
0,0,1,0,0.0,0.0,23.5,0.0,270.84,293.15,16519.723917460775,0.9126213592233008
1,300,1,300,0.0,0.0,23.5,0.0,270.82701932870367,297.7162552638054,17927.940228192118,0.9904173496406516
2,600,1,600,0.0,0.0,23.5,0.0,270.81392129629626,300.1281660553271,17921.09314726474,0.9900390871264669
3,900,1,900,0.0,0.0,23.5,0.0,270.80072187499997,301.1822018743249,17937.069669428605,0.9909216996595637
4,1200,1,1200,0.0,0.0,23.5,0.0,270.787437037037,301.6731962572067,2040.4301163594837,0.11272222922708366
5,1500,1,1500,0.0,0.0,23.5,0.0,270.7740827546296,296.70784437951494,150.635780402378,0.00832177531206658
6,1800,1,1800,0.0,0.0,23.5,0.0,270.760675,294.0082686448059,157.48286132975883,0.008700037826251424
7,2100,1,2100,0.0,0.0,23.5,0.0,270.74722974537036,292.8584174730821,150.635780402378,0.00832177531206658
8,2400,1,2400,0.0,0.0,23.5,0.0,270.73376296296294,292.34937520852316,17033.254987014338,0.9409910477871642
9,2700,1,2700,0.0,0.0,23.5,0.0,270.72029062499996,297.64124720503145,18064.881846739736,0.9979825999243487
10,3000,1,3000,0.0,0.0,23.5,0.0,270.7068287037037,300.21862954339633,17998.693397775034,0.9943260622872274
11,3300,1,3300,0.0,0.0,23.5,0.0,270.6933931712963,301.30085575646524,17866.316499845692,0.9870129870129882
12,3600,1,3600,0.0,0.0,23.5,0.0,270.67999999999995,301.7410473945195,17866.316499845692,0.9870129870129882
13,3900,1,3900,0.0,0.0,23.5,0.0,270.6665203883495,301.9553157876146,17854.904698300033,0.9863825494893455
14,4200,1,4200,0.0,0.0,23.5,0.0,270.6528317152103,302.0702253224979,17841.210536445273,0.9856260244609758
15,4500,1,4500,0.0,0.0,23.5,0.0,270.63895922330096,302.1414248102948,17775.022087480604,0.9819694868238563
16,4800,1,4800,0.0,0.0,23.5,0.0,270.6249281553398,302.1756251530125,1522.3343261876698,0.08410036565376383
17,5100,1,5100,0.0,0.0,23.5,0.0,270.6107637540453,296.88975645858403,130.09453762023554,0.007186987769512046
18,5400,1,5400,0.0,0.0,23.5,0.0,270.5964912621359,294.19351981485744,143.78869947499717,0.007943512797881734
