index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,weaBus.TDryBul,totalHeatingPower.y,thermalZone.TAir,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,u
0,0,1,0,0.0,270.84,21022.225076751867,293.15,0.0,0.0,22.0,0.9126213592233009
1,300,1,300,0.0,270.82701932870367,22814.255039774263,297.18749723945245,0.0,0.0,22.0,0.9904173496406518
2,600,1,600,0.0,270.81392129629626,22805.541766048063,299.5468057480077,0.0,0.0,22.0,0.990039087126467
3,900,1,900,0.0,270.80072187499997,22825.872738075843,300.697160850632,0.0,0.0,22.0,0.9909216996595638
4,1200,1,1200,0.0,270.787437037037,2596.5555704084254,301.28277954823835,0.0,0.0,22.0,0.11272222922708366
5,1500,1,1500,0.0,270.7740827546296,191.69202197646092,296.96512911065946,0.0,0.0,22.0,0.00832177531206658
6,1800,1,1800,0.0,270.760675,200.4052957026637,294.3618613556895,0.0,0.0,22.0,0.008700037826251424
7,2100,1,2100,0.0,270.74722974537036,191.69202197646092,293.11059494336786,0.0,0.0,22.0,0.00832177531206658
8,2400,1,2400,0.0,270.73376296296294,21675.720606217077,292.4917777170835,0.0,0.0,22.0,0.9409910477871644
9,2700,1,2700,0.0,270.72029062499996,22988.52051429832,297.0912392150174,0.0,0.0,22.0,0.9979825999243487
10,3000,1,3000,0.0,270.7068287037037,22904.292201611664,299.58924462152095,0.0,0.0,22.0,0.9943260622872272
11,3300,1,3300,0.0,270.6933931712963,22735.835576238438,300.77105152565997,0.0,0.0,22.0,0.9870129870129881
12,3600,1,3600,0.0,270.67999999999995,22735.835576238438,301.31518907864165,0.0,0.0,22.0,0.9870129870129881
13,3900,1,3900,0.0,270.6665203883495,22721.313453361407,301.59725617483014,0.0,0.0,22.0,0.9863825494893456
14,4200,1,4200,0.0,270.6528317152103,22703.886905909003,301.74635146856383,0.0,0.0,22.0,0.9856260244609759
15,4500,1,4500,0.0,270.63895922330096,22619.65859322239,301.83348472840777,0.0,0.0,22.0,0.9819694868238563
16,4800,1,4800,0.0,270.6249281553398,1937.2511917924173,301.87492125403844,0.0,0.0,22.0,0.08410036565376383
17,5100,1,5100,0.0,270.6107637540453,165.55220079785263,297.17931027925187,0.0,0.0,22.0,0.007186987769512046
18,5400,1,5400,0.0,270.5964912621359,182.97874825025815,294.5203392397953,0.0,0.0,22.0,0.007943512797881734
19,5700,1,5700,0.0,270.58213592233005,174.26547452405538,293.2344800838493,0.0,0.0,22.0,0.00756525028369689
20,6000,1,6000,0.0,270.56772297734625,20699.833948882366,292.58714468184996,0.0,0.0,22.0,0.8986256461984616
21,6300,1,6300,0.0,270.5532776699029,22465.724090726155,296.93923938384603,0.0,0.0,22.0,0.975286849073258
22,6600,1,6600,0.0,270.5388252427184,22468.628515301527,299.4126090233951,0.0,0.0,22.0,0.9754129365779851
23,6900,1,6900,0.0,270.5243909385113,22416.348872944312,300.59162204152636,0.0,0.0,22.0,0.9731433614928761
24,7200,1,7200,0.0,270.51,22393.113476341117,301.1511110123771,0.0,0.0,22.0,0.9721346614550503
25,7500,1,7500,0.0,270.49370276227603,22375.686928888714,301.4241484438304,0.0,0.0,22.0,0.9713781364266808
26,7800,1,7800,0.0,270.47363669953876,22335.02498483311,301.56254977098365,0.0,0.0,22.0,0.9696129113604853
27,8100,1,8100,0.0,270.44995776316796,22305.98073907909,301.6326615903233,0.0,0.0,22.0,0.9683520363132019
28,8400,1,8400,0.0,270.42282190454347,22288.554191626685,301.6708339405225,0.0,0.0,22.0,0.9675955112848322
29,8700,1,8700,0.0,270.3923850750452,22381.4957780395,301.69704595713165,0.0,0.0,22.0,0.9716303114361368
30,9000,1,9000,0.0,270.35880322605306,22323.407286531496,301.74143874642436,0.0,0.0,22.0,0.9691085613415716
31,9300,1,9300,0.0,270.3222323089468,22381.4957780395,301.7599305922108,0.0,0.0,22.0,0.9716303114361368
32,9600,1,9600,0.0,270.28282827510634,2361.2971798009507,301.79155542551405,0.0,0.0,22.0,0.10250914134409288
33,9900,1,9900,0.0,270.2407470759116,185.88317282565922,297.2339941251081,0.0,0.0,22.0,0.008069600302610022
34,10200,1,10200,0.0,270.19614466274237,209.1185694288665,294.5410819022087,0.0,0.0,22.0,0.009078300340436269
35,10500,1,10500,0.0,270.14917698697855,206.21414485346537,293.23351115851517,0.0,0.0,22.0,0.00895221283570798
36,10800,1,10800,0.0,270.09999999999997,21228.43922160536,292.5714593532578,0.0,0.0,22.0,0.92157357205901
37,11100,1,11100,0.0,270.03340929133856,22854.916983829862,297.02498340495293,0.0,0.0,22.0,0.992182574706847
38,11400,1,11400,0.0,269.93795695538057,22791.019643171032,299.50653428354497,0.0,0.0,22.0,0.9894086496028244
39,11700,1,11700,0.0,269.8194337007874,22805.541766048063,300.6678146596557,0.0,0.0,22.0,0.990039087126467
40,12000,1,12000,0.0,269.68363023622044,22895.578927885465,301.2271391453861,0.0,0.0,22.0,0.9939477997730425
41,12300,1,12300,0.0,269.53633727034116,22930.432022790275,301.5181111274634,0.0,0.0,22.0,0.9954608498297819
42,12600,1,12600,0.0,269.383345511811,23034.991307504708,301.6708373299923,0.0,0.0,22.0,1.0
43,12900,1,12900,0.0,269.2304456692913,23023.37360920313,301.7735098489502,0.0,0.0,22.0,0.999495649981088
44,13200,1,13200,0.0,269.0834284514435,2172.509582399892,301.8259331958424,0.0,0.0,22.0,0.09431345353675463
45,13500,1,13500,0.0,268.9480845669291,185.88317282565922,297.0850628144017,0.0,0.0,22.0,0.008069600302610022
46,13800,1,13800,0.0,268.83020472440944,191.69202197646092,294.3447117143819,0.0,0.0,22.0,0.00832177531206658
47,14100,1,14100,0.0,268.7355796325459,194.596446551862,293.008926279346,0.0,0.0,22.0,0.008447862816794867
48,14400,1,14400,0.0,268.66999999999996,194.596446551862,292.3306165647309,0.0,0.0,22.0,0.008447862816794867
49,14700,1,14700,0.0,268.6222788100137,191.69202197646092,291.9653463519075,0.0,0.0,22.0,0.00832177531206658
50,15000,1,15000,0.0,268.5773360768175,180.07432367485708,291.7451599240721,0.0,0.0,22.0,0.007817425293153447
51,15300,1,15300,0.0,268.5351230555555,177.16989909945644,291.59298540262205,0.0,0.0,22.0,0.007691337788425177
52,15600,1,15600,0.0,268.49559100137174,21007.70295387488,291.47557889936036,0.0,0.0,22.0,0.9119909216996602
53,15900,1,15900,0.0,268.45869116941014,22741.64442538923,296.14361377494834,0.0,0.0,22.0,0.9872651620224442
54,16200,1,16200,0.0,268.42437481481477,22785.210794020244,298.75479681784157,0.0,0.0,22.0,0.9891564745933684
55,16500,1,16500,0.0,268.39259319272975,22770.68867114325,300.0056941425256,0.0,0.0,22.0,0.9885260370697274
56,16800,1,16800,0.0,268.363297558299,22732.931151663022,300.6056503591854,0.0,0.0,22.0,0.9868868995082591
57,17100,1,17100,0.0,268.33643916666665,22767.784246567837,300.89374880287386,0.0,0.0,22.0,0.9883999495649987
58,17400,1,17400,0.0,268.3119692729767,22808.446190623436,301.04990201228316,0.0,0.0,22.0,0.990165174631194
59,17700,1,17700,0.0,268.2898391323731,22883.961229583885,301.145640889477,0.0,0.0,22.0,0.9934434497541305
60,18000,1,18000,0.0,268.27,2370.010453527153,301.22081510957526,0.0,0.0,22.0,0.10288740385827769
61,18300,1,18300,0.0,268.25040019393595,191.69202197646092,296.5737656936474,0.0,0.0,22.0,0.00832177531206658
62,18600,1,18600,0.0,268.22948181259164,200.4052957026637,293.8396776560165,0.0,0.0,22.0,0.008700037826251424
63,18900,1,18900,0.0,268.2079367816092,182.97874825025815,292.5110173566562,0.0,0.0,22.0,0.007943512797881734
64,19200,1,19200,0.0,268.1864570266307,21074.504719109085,291.84018628792114,0.0,0.0,22.0,0.91489093430841
65,19500,1,19500,0.0,268.1657344732983,22657.416112702616,296.2578383418327,0.0,0.0,22.0,0.9836086243853246
66,19800,1,19800,0.0,268.14646104725415,22663.224961853404,298.71653772894325,0.0,0.0,22.0,0.9838607993947805
67,20100,1,20100,0.0,268.12932867414025,22642.893989825585,299.8866974220137,0.0,0.0,22.0,0.982978186861682
68,20400,1,20400,0.0,268.11502927959884,1902.3980968876062,300.4464295750744,0.0,0.0,22.0,0.08258731559702445
69,20700,1,20700,0.0,268.10425478927203,174.26547452405538,295.97586989616934,0.0,0.0,22.0,0.00756525028369689
70,21000,1,21000,0.0,268.0976971288018,174.26547452405538,293.4305143736506,0.0,0.0,22.0,0.00756525028369689
71,21300,1,21300,0.0,268.09604822383045,182.97874825025815,292.19364640393724,0.0,0.0,22.0,0.007943512797881734
72,21600,1,21600,0.0,268.09999999999997,20679.502976854586,291.566797604577,0.0,0.0,22.0,0.8977430336653649
73,21900,1,21900,0.0,268.10772019382466,22657.416112702616,295.91938613313215,0.0,0.0,22.0,0.9836086243853246
74,22200,1,22200,0.0,268.11681428893394,22715.50460421062,298.4395045566262,0.0,0.0,22.0,0.9861303744798896
75,22500,1,22500,0.0,268.127130831643,22785.210794020244,299.65256068862925,0.0,0.0,22.0,0.9891564745933684
76,22800,1,22800,0.0,268.13851836826683,2584.93787210682,300.2558601911852,0.0,0.0,22.0,0.11221787920817047
77,23100,1,23100,0.0,268.1508254451206,180.07432367485708,295.9314523713147,0.0,0.0,22.0,0.007817425293153447
78,23400,1,23400,0.0,268.16390060851927,185.88317282565922,293.3086970491499,0.0,0.0,22.0,0.008069600302610022
79,23700,1,23700,0.6767618312757203,268.17759240477795,188.78759740105988,292.0306190620871,0.682568026834529,0.03935185185185185,22.0,0.008195687807338292
80,24000,1,24000,2.5745884773662553,268.19174938021183,21295.24098683957,291.39192960739103,2.596363760679194,0.14814814814814814,22.0,0.92447358466776
81,24300,1,24300,5.494791666666667,268.2062200811359,22799.732916897232,295.8869991675622,5.540524681545613,0.31249999999999994,22.0,0.9897869121170092
82,24600,1,24600,9.238683127572019,268.2208530538652,22776.497520294037,298.37386912505997,9.314188269445403,0.5185185185185184,22.0,0.9887782120791834
83,24900,1,24900,13.60757458847737,268.2354968447149,22831.68158722667,299.5755845533891,13.716492004390181,0.7523148148148147,22.0,0.9911738746690215
84,25200,1,25200,18.402777777777782,268.25,22872.34353128227,300.2014306807276,18.546573366391563,0.9999999999999998,22.0,0.9929390997352168
85,25500,1,25500,23.425604423868315,268.26463641822187,22892.67450331009,300.56699358757675,23.60356983546117,1.247685185185185,22.0,0.9938217122683153
