index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,totalHeatingPower.y,weaBus.HDifHor,roomTempUpperSetpoint,thermalZone.TAir,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,0.0,20729.789343189565,0.0,23.0,293.15,0.0,277.22999999999996,0.9126213592233009
1,300,1,300,0.0,22496.89075583783,0.0,23.0,296.345320815881,0.0,277.25013364438655,0.9904173496406516
2,600,1,600,0.0,22488.298690622363,0.0,23.0,298.3266778602494,0.0,277.2697410300926,0.9900390871264669
3,900,1,900,0.0,22508.346842791765,0.0,23.0,299.3823538833175,0.0,277.2888818359375,0.9909216996595637
4,1200,1,1200,0.0,2560.4354342099314,0.0,23.0,299.96965691677076,0.0,277.30761574074074,0.11272222922708366
5,1500,1,1500,0.0,189.0254347403305,0.0,23.0,296.7943963992931,0.0,277.3260024233217,0.00832177531206658
6,1800,1,1800,0.0,197.61749995580007,0.0,23.0,294.74459613897125,0.0,277.3441015625,0.008700037826251424
7,2100,1,2100,0.0,189.0254347403305,0.0,23.0,293.66439932612684,0.0,277.36197283709487,0.00832177531206658
8,2400,1,2400,0.0,21374.194234349783,0.0,23.0,293.06067137102076,0.0,277.3796759259259,0.9409910477871642
9,2700,1,2700,0.0,22668.732060147224,0.0,23.0,296.42964580165915,0.0,277.3972705078125,0.9979825999243487
10,3000,1,3000,0.0,22585.67542973099,0.0,23.0,298.3694289684755,0.0,277.41481626157406,0.9943260622872272
11,3300,1,3300,0.0,22419.562168898607,0.0,23.0,299.353105087478,0.0,277.43237286603005,0.9870129870129882
12,3600,1,3600,0.0,22419.562168898607,0.0,23.0,299.8394950746941,0.0,277.45,0.9870129870129882
13,3900,1,3900,0.0,22405.24206020613,0.0,23.0,300.1038702323553,0.0,277.46751139322913,0.9863825494893456
14,4200,1,4200,0.0,22388.05792977519,0.0,23.0,300.2493587203743,0.0,277.4846366003788,0.9856260244609759
15,4500,1,4500,0.0,22305.001299359,0.0,23.0,300.332724444071,0.0,277.50130903764205,0.9819694868238563
16,4800,1,4800,0.0,1910.3024995727355,0.0,23.0,300.36827791318814,0.0,277.5174621212121,0.08410036565376383
17,5100,1,5100,0.0,163.2492390939218,0.0,23.0,296.8028793890911,0.0,277.5330292672822,0.007186987769512046
18,5400,1,5400,0.0,180.43336952486092,0.0,23.0,294.6345258131992,0.0,277.54794389204545,0.007943512797881734
19,5700,1,5700,0.0,171.84130430939135,0.0,23.0,293.47559679926894,0.0,277.56213941169506,0.00756525028369689
20,6000,1,6000,0.0,20411.88293021719,0.0,23.0,292.8163246958186,0.0,277.57554924242424,0.8986256461984616
21,6300,1,6300,0.0,22153.20814721905,0.0,23.0,295.98080679591635,0.0,277.5881068004261,0.975286849073258
22,6600,1,6600,0.0,22156.072168957515,0.0,23.0,297.8858150579571,0.0,277.5997455018939,0.9754129365779852
23,6900,1,6900,0.0,22104.519777664696,0.0,23.0,298.86056972109185,0.0,277.6103987630208,0.9731433614928761
