index,seconds_of_day,day_of_year,timestamp,weaBus.TDryBul,weaBus.HDirNor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,u
0,0,1,0,271.82,0.0,0.0,21.5,12614.035705877117,293.15,0.0,0.9126213592233009
1,300,1,300,271.8280908161068,0.0,0.0,21.5,13689.313411117004,296.6105232545577,0.0,0.9904173496406518
2,600,1,600,271.8357342807924,0.0,0.0,21.5,13684.085156472402,298.48218066797824,0.0,0.9900390871264669
3,900,1,900,271.84298691860465,0.0,0.0,21.5,13696.284417309791,299.33627869026964,0.0,0.9909216996595638
4,1200,1,1200,271.84990525409125,0.0,0.0,21.5,1558.0198840914825,299.75567683519876,0.0,0.11272222922708366
5,1500,1,1500,271.8565458118002,0.0,0.0,21.5,115.02160218125039,295.98224606112154,0.0,0.00832177531206658
6,1800,1,1800,271.86296511627904,0.0,0.0,21.5,120.24985682585267,293.8711371316046,0.0,0.008700037826251424
7,2100,1,2100,271.8692196920758,0.0,0.0,21.5,115.02160218125039,292.9028192603122,0.0,0.00832177531206658
8,2400,1,2400,271.8753660637381,0.0,0.0,21.5,13006.154804222288,292.4018736083021,0.0,0.9409910477871641
9,2700,1,2700,271.8814607558139,0.0,0.0,21.5,13793.87850400905,296.339830464156,0.0,0.9979825999243487
10,3000,1,3000,271.887560292851,0.0,0.0,21.5,13743.33870911121,298.2441794333262,0.0,0.9943260622872273
11,3300,1,3300,271.893721199397,0.0,0.0,21.5,13642.259119315582,299.03656076007826,0.0,0.9870129870129881
12,3600,1,3600,271.9,0.0,0.0,21.5,13642.259119315582,299.34474303129144,0.0,0.9870129870129881
13,3900,1,3900,271.90602887294085,0.0,0.0,21.5,13633.545361574563,299.4801760444744,0.0,0.9863825494893456
14,4200,1,4200,271.911429869186,0.0,0.0,21.5,13623.088852285358,299.53398825646156,0.0,0.9856260244609759
15,4500,1,4500,271.916244322311,0.0,0.0,21.5,13572.549057387545,299.5488839793669,0.0,0.9819694868238563
16,4800,1,4800,271.92051356589144,0.0,0.0,21.5,1162.41528264991,299.5318108555971,0.0,0.08410036565376383
