index,seconds_of_day,day_of_year,timestamp,thermalZone.TAir,totalHeatingPower.y,weaBus.HDirNor,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.TDryBul,u
0,0,1,0,293.15,16172.41804850987,0.0,0.0,0.0,20.5,271.82,0.9126213592233009
1,300,1,300,296.2238758230039,17551.02842926847,0.0,0.0,0.0,20.5,271.8280908161068,0.9904173496406519
2,600,1,600,298.0534898828002,17544.325299378233,0.0,0.0,0.0,20.5,271.8357342807924,0.9900390871264669
3,900,1,900,298.9768835909629,17559.965935788765,0.0,0.0,0.0,20.5,271.84298691860465,0.9909216996595638
4,1200,1,1200,299.46382571127344,1997.5327072903885,0.0,0.0,0.0,20.5,271.84990525409125,0.11272222922708366
5,1500,1,1500,296.1549623624744,147.46885758519647,0.0,0.0,0.0,20.5,271.8565458118002,0.00832177531206658
6,1800,1,1800,294.1142020742958,154.17198747543267,0.0,0.0,0.0,20.5,271.86296511627904,0.008700037826251424
7,2100,1,2100,293.0790710725694,147.46885758519647,0.0,0.0,0.0,20.5,271.8692196920758,0.00832177531206658
8,2400,1,2400,292.508607724465,16675.152790277585,0.0,0.0,0.0,20.5,271.8753660637381,0.9409910477871642
9,2700,1,2700,295.95458107073966,17685.091027073195,0.0,0.0,0.0,20.5,271.8814607558139,0.9979825999243488
10,3000,1,3000,297.8140492096534,17620.29410480089,0.0,0.0,0.0,20.5,271.887560292851,0.9943260622872274
11,3300,1,3300,298.6847923360909,17490.70026025634,0.0,0.0,0.0,20.5,271.893721199397,0.987012987012988
12,3600,1,3600,299.07213882975475,17490.70026025634,0.0,0.0,0.0,20.5,271.9,0.987012987012988
13,3900,1,3900,299.25768715973584,17479.52837710593,0.0,0.0,0.0,20.5,271.90602887294085,0.9863825494893457
14,4200,1,4200,299.34049294832624,17466.122117325456,0.0,0.0,0.0,20.5,271.911429869186,0.9856260244609759
15,4500,1,4500,299.37170790912927,17401.325195053185,0.0,0.0,0.0,20.5,271.916244322311,0.9819694868238564
16,4800,1,4800,299.3642696596613,1490.329212262517,0.0,0.0,0.0,20.5,271.92051356589144,0.08410036565376383
17,5100,1,5100,295.69825959915045,127.35946791448787,0.0,0.0,0.0,20.5,271.9242789335029,0.007186987769512046
18,5400,1,5400,293.5650919632893,140.76572769496028,0.0,0.0,0.0,20.5,271.9275817587209,0.007943512797881734
19,5700,1,5700,292.4638608303649,134.06259780472405,0.0,0.0,0.0,20.5,271.9304633751211,0.007565250283696889
20,6000,1,6000,291.84771542602647,15924.40224257113,0.0,0.0,0.0,20.5,271.93296511627904,0.8986256461984616
21,6300,1,6300,295.09163063797877,17282.90323365902,0.0,0.0,0.0,20.5,271.9351283157703,0.975286849073258
22,6600,1,6600,296.92825721129446,17285.13761028908,0.0,0.0,0.0,20.5,271.9369943071705,0.9754129365779851
23,6900,1,6900,297.80116335937385,17244.918830947663,0.0,0.0,0.0,20.5,271.9386044240552,0.9731433614928761
24,7200,1,7200,298.21105953189993,17227.04381790704,0.0,0.0,0.0,20.5,271.94,0.9721346614550502
25,7500,1,7500,298.40656272429464,17213.63755812657,0.0,0.0,0.0,20.5,271.93760844713745,0.9713781364266807
26,7800,1,7800,298.4996480448733,17182.35628530548,0.0,0.0,0.0,20.5,271.9282494668635,0.9696129113604854
27,8100,1,8100,298.5378572013399,17160.01251900468,0.0,0.0,0.0,20.5,271.9125528266486,0.9683520363132018
28,8400,1,8400,298.5507088869035,17146.60625922421,0.0,0.0,0.0,20.5,271.8911482939632,0.9675955112848322
29,8700,1,8700,298.5521522209033,17218.106311386717,0.0,0.0,0.0,20.5,271.8646656362779,0.9716303114361367
30,9000,1,9000,298.56680071623276,17173.41877878515,0.0,0.0,0.0,20.5,271.83373462106294,0.9691085613415715
31,9300,1,9300,298.56046563533374,17218.106311386717,0.0,0.0,0.0,20.5,271.798985015789,0.9716303114361367
32,9600,1,9600,298.56408121825876,1816.5482002540111,0.0,0.0,0.0,20.5,271.7610465879265,0.10250914134409286
33,9900,1,9900,295.0253772684028,143.0001043250391,0.0,0.0,0.0,20.5,271.72054910494586,0.008069600302610022
34,10200,1,10200,292.89036694675934,160.8751173656689,0.0,0.0,0.0,20.5,271.67812233431755,0.009078300340436269
35,10500,1,10500,291.7978047589961,158.64074073559001,0.0,0.0,0.0,20.5,271.63439604351214,0.00895221283570798
36,10800,1,10800,291.19699671903186,16331.058789245479,0.0,0.0,0.0,20.5,271.59,0.92157357205901
37,11100,1,11100,294.5432869751302,17582.309702089562,0.0,0.0,0.0,20.5,271.535403277293,0.9921825747068472
