index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
0,0,1,0,0.0,20873.41179107631,293.15,277.22999999999996,0.0,0.0,22.5,0.9126213592233009
1,300,1,300,0.0,22652.756233614895,296.31057248222373,277.25013364438655,0.0,0.0,22.5,0.9904173496406518
2,600,1,600,0.0,22644.104639891044,298.2764354549977,277.2697410300926,0.0,0.0,22.5,0.9900390871264669
3,900,1,900,0.0,22664.291691913335,299.32287188212075,277.2888818359375,0.0,0.0,22.5,0.9909216996595638
4,1200,1,1200,0.0,2578.17492970741,299.9036687529954,277.30761574074074,0.0,0.0,22.5,0.11272222922708366
5,1500,1,1500,0.0,190.3350619247081,296.69029580699697,277.3260024233217,0.0,0.0,22.5,0.00832177531206658
6,1800,1,1800,0.0,198.98665564855847,294.6159638127752,277.3441015625,0.0,0.0,22.5,0.008700037826251424
7,2100,1,2100,0.0,190.3350619247081,293.5217528011446,277.36197283709487,0.0,0.0,22.5,0.00832177531206658
8,2400,1,2400,0.0,21522.281320365088,292.91034305756943,277.3796759259259,0.0,0.0,22.5,0.9409910477871644
9,2700,1,2700,0.0,22825.788108091903,296.3112033672518,277.3972705078125,0.0,0.0,22.5,0.9979825999243488
10,3000,1,3000,0.0,22742.156035427986,298.2711755830131,277.41481626157406,0.0,0.0,22.5,0.9943260622872273
11,3300,1,3300,0.0,22574.89189010024,299.26554891526075,277.43237286603005,0.0,0.0,22.5,0.9870129870129881
12,3600,1,3600,0.0,22574.89189010024,299.75700161043954,277.45,0.0,0.0,22.5,0.9870129870129881
13,3900,1,3900,0.0,22560.47256722713,300.02363512077756,277.46751139322913,0.0,0.0,22.5,0.9863825494893456
14,4200,1,4200,0.0,22543.16937977943,300.16957039119393,277.4846366003788,0.0,0.0,22.5,0.9856260244609759
15,4500,1,4500,0.0,22459.537307115555,300.2526217215226,277.50130903764205,0.0,0.0,22.5,0.9819694868238563
16,4800,1,4800,0.0,1923.5376712694,300.2883474245959,277.5174621212121,0.0,0.0,22.5,0.08410036565376383
17,5100,1,5100,0.0,164.380280753157,296.68908802184734,277.5330292672822,0.0,0.0,22.5,0.007186987769512046
18,5400,1,5400,0.0,181.68346820085773,294.5012669897497,277.54794389204545,0.0,0.0,22.5,0.007943512797881734
19,5700,1,5700,0.0,173.03187447700736,293.3317639252934,277.56213941169506,0.0,0.0,22.5,0.00756525028369689
20,6000,1,6000,0.0,20553.302823293845,292.6679871026865,277.57554924242424,0.0,0.0,22.5,0.8986256461984616
21,6300,1,6300,0.0,22306.69248466088,295.86414382532087,277.5881068004261,0.0,0.0,22.5,0.9752868490732581
22,6600,1,6600,0.0,22309.57634923547,297.7905388788693,277.5997455018939,0.0,0.0,22.5,0.9754129365779851
23,6900,1,6900,0.0,22257.66678689237,298.7770644585388,277.6103987630208,0.0,0.0,22.5,0.9731433614928761
24,7200,1,7200,0.0,22234.595870295445,299.28410039979764,277.62,0.0,0.0,22.5,0.9721346614550503
25,7500,1,7500,0.0,22217.292682847747,299.5533826468865,277.6254863457207,0.0,0.0,22.5,0.9713781364266807
26,7800,1,7800,0.0,22176.918578803125,299.70241658719334,277.6246094389844,0.0,0.0,22.5,0.9696129113604853
27,8100,1,8100,0.0,22148.079933056943,299.7828706197151,277.61852445485255,0.0,0.0,22.5,0.9683520363132019
28,8400,1,8400,0.0,22130.77674560924,299.83106667182045,277.60838656838655,0.0,0.0,22.5,0.9675955112848321
29,8700,1,8700,0.0,22223.060411996965,299.86201808545326,277.5953509546478,0.0,0.0,22.5,0.9716303114361367
30,9000,1,9000,0.0,22165.383120504644,299.9028466115791,277.5805727886978,0.0,0.0,22.5,0.9691085613415716
31,9300,1,9300,0.0,22223.060411996965,299.92163494538784,277.56520724559783,0.0,0.0,22.5,0.9716303114361367
32,9600,1,9600,0.0,2344.58189916345,299.94918187595874,277.5504095004095,0.0,0.0,22.5,0.10250914134409288
33,9900,1,9900,0.0,184.56733277547465,296.45927238252193,277.5373347281941,0.0,0.0,22.5,0.008069600302610022
34,10200,1,10200,0.0,207.63824937240886,294.2607155644584,277.5271381040131,0.0,0.0,22.5,0.009078300340436269
35,10500,1,10500,0.0,204.7543847977919,293.0875317233974,277.5209748029279,0.0,0.0,22.5,0.00895221283570798
36,10800,1,10800,0.0,21078.166175874125,292.4290357462671,277.52,0.0,0.0,22.5,0.9215735720590099
37,11100,1,11100,0.0,22693.130337659517,295.7186861478698,277.5229166579774,0.0,0.0,22.5,0.9921825747068471
38,11400,1,11400,0.0,22629.685317017935,297.67396069472323,277.5274419558447,0.0,0.0,22.5,0.9894086496028244
39,11700,1,11700,0.0,22644.104639891044,298.669702264997,277.533252393018,0.0,0.0,22.5,0.9900390871264669
40,12000,1,12000,0.0,22733.50444170414,299.1976796663664,277.5400244689133,0.0,0.0,22.5,0.9939477997730426
41,12300,1,12300,0.0,22768.11081659954,299.50377131254123,277.5474346829468,0.0,0.0,22.5,0.9954608498297819
42,12600,1,12600,0.0,22871.929941285744,299.68569431022155,277.55515953453454,0.0,0.0,22.5,1.0
