index,seconds_of_day,day_of_year,timestamp,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,26656.18981057528,293.15,0.0,0.0,23.0,0.0,270.84,0.9126213592233009
1,300,1,300,28928.48452087166,297.1200578048869,0.0,0.0,23.0,0.0,270.82701932870367,0.9904173496406518
2,600,1,600,28917.43608629972,299.5923193208865,0.0,0.0,23.0,0.0,270.81392129629626,0.9900390871264669
3,900,1,900,28943.215766967554,300.90808996538635,0.0,0.0,23.0,0.0,270.80072187499997,0.9909216996595638
4,1200,1,1200,3292.4335024391153,301.6346317888254,0.0,0.0,23.0,0.0,270.787437037037,0.11272222922708366
5,1500,1,1500,243.06556058275348,297.5195342444355,0.0,0.0,23.0,0.0,270.7740827546296,0.00832177531206658
6,1800,1,1800,254.11399515469682,294.85933347197874,0.0,0.0,23.0,0.0,270.760675,0.008700037826251424
7,2100,1,2100,243.06556058275348,293.447924987337,0.0,0.0,23.0,0.0,270.74722974537036,0.00832177531206658
8,2400,1,2400,27484.822403471033,292.65572293169333,0.0,0.0,23.0,0.0,270.73376296296294,0.9409910477871642
9,2700,1,2700,29149.45321231053,296.9866766119384,0.0,0.0,23.0,0.0,270.72029062499996,0.9979825999243487
10,3000,1,3000,29042.651678115042,299.4740836546331,0.0,0.0,23.0,0.0,270.7068287037037,0.9943260622872273
11,3300,1,3300,28829.04860972417,300.73090586828073,0.0,0.0,23.0,0.0,270.6933931712963,0.9870129870129881
12,3600,1,3600,28829.04860972417,301.3453593008517,0.0,0.0,23.0,0.0,270.67999999999995,0.9870129870129881
13,3900,1,3900,28810.63455210423,301.67257436852475,0.0,0.0,23.0,0.0,270.6665203883495,0.9863825494893456
14,4200,1,4200,28788.53768296035,301.8441224607769,0.0,0.0,23.0,0.0,270.6528317152103,0.985626024460976
15,4500,1,4500,28681.73614876491,301.93447190392897,0.0,0.0,23.0,0.0,270.63895922330096,0.9819694868238563
16,4800,1,4800,2456.435286495405,301.96593170522397,0.0,0.0,23.0,0.0,270.6249281553398,0.08410036565376383
17,5100,1,5100,209.92025686692347,297.353224161997,0.0,0.0,23.0,0.0,270.6107637540453,0.007186987769512046
18,5400,1,5400,232.01712601081013,294.5465307060247,0.0,0.0,23.0,0.0,270.5964912621359,0.007943512797881734
19,5700,1,5700,220.96869143886678,293.0343880526879,0.0,0.0,23.0,0.0,270.58213592233005,0.00756525028369689
20,6000,1,6000,26247.397731413377,292.173309319551,0.0,0.0,23.0,0.0,270.56772297734625,0.8986256461984616
21,6300,1,6300,28486.54713799393,296.2404895689087,0.0,0.0,23.0,0.0,270.5532776699029,0.975286849073258
22,6600,1,6600,28490.229949517878,298.68778167513136,0.0,0.0,23.0,0.0,270.5388252427184,0.9754129365779851
23,6900,1,6900,28423.939342086218,299.93532892925873,0.0,0.0,23.0,0.0,270.5243909385113,0.9731433614928761
24,7200,1,7200,28394.476849894385,300.5690810139941,0.0,0.0,23.0,0.0,270.51,0.9721346614550503
25,7500,1,7500,28372.3799807505,300.8987426521964,0.0,0.0,23.0,0.0,270.49370276227603,0.9713781364266807
26,7800,1,7800,28320.82061941478,301.0750968276765,0.0,0.0,23.0,0.0,270.47363669953876,0.9696129113604853
27,8100,1,8100,28283.99250417495,301.16745704776565,0.0,0.0,23.0,0.0,270.44995776316796,0.9683520363132019
28,8400,1,8400,28261.895635031065,301.2150745974625,0.0,0.0,23.0,0.0,270.42282190454347,0.9675955112848322
29,8700,1,8700,28379.74560379844,301.2429527183534,0.0,0.0,23.0,0.0,270.3923850750452,0.9716303114361367
30,9000,1,9000,28306.08937331884,301.28307672880874,0.0,0.0,23.0,0.0,270.35880322605306,0.9691085613415716
