index,seconds_of_day,day_of_year,timestamp,weaBus.TDryBul,weaBus.HDirNor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,u
0,0,1,0,270.84,0.0,0.0,21.5,15797.07632702067,293.15,0.0,0.9126213592233009
1,300,1,300,270.82701932870367,0.0,0.0,21.5,17143.69087437794,297.50649909426704,0.0,0.9904173496406518
2,600,1,600,270.81392129629626,0.0,0.0,21.5,17137.143315800837,299.86269861779675,0.0,0.9900390871264669
3,900,1,900,270.80072187499997,0.0,0.0,21.5,17152.42095248072,300.93886805226094,0.0,0.9909216996595637
4,1200,1,1200,270.787437037037,0.0,0.0,21.5,1951.172455976304,301.47003149141455,0.0,0.11272222922708366
5,1500,1,1500,270.7740827546296,0.0,0.0,21.5,144.0462886962372,296.7372378520359,0.0,0.00832177531206658
6,1800,1,1800,270.760675,0.0,0.0,21.5,150.5938472733389,294.0924789576852,0.0,0.008700037826251424
7,2100,1,2100,270.74722974537036,0.0,0.0,21.5,144.0462886962372,292.8902481687536,0.0,0.00832177531206658
8,2400,1,2400,270.73376296296294,0.0,0.0,21.5,16288.143220303296,292.2814586398539,0.0,0.9409910477871642
9,2700,1,2700,270.72029062499996,0.0,0.0,21.5,17274.642045919973,297.2488532935598,0.0,0.9979825999243487
10,3000,1,3000,270.7068287037037,0.0,0.0,21.5,17211.348979674636,299.6696038118787,0.0,0.9943260622872274
11,3300,1,3300,270.6933931712963,0.0,0.0,21.5,17084.76284718402,300.6911719388573,0.0,0.9870129870129881
12,3600,1,3600,270.67999999999995,0.0,0.0,21.5,17084.76284718402,301.1023955261274,0.0,0.9870129870129881
13,3900,1,3900,270.6665203883495,0.0,0.0,21.5,17073.8502495555,301.29371657094026,0.0,0.9863825494893457
14,4200,1,4200,270.6528317152103,0.0,0.0,21.5,17060.755132401297,301.3833359752556,0.0,0.9856260244609759
15,4500,1,4500,270.63895922330096,0.0,0.0,21.5,16997.46206615599,301.42452478144696,0.0,0.9819694868238563
16,4800,1,4800,270.6249281553398,0.0,0.0,21.5,1455.7405236422771,301.42526409812547,0.0,0.08410036565376383
17,5100,1,5100,270.6107637540453,0.0,0.0,21.5,124.40361296493214,296.30135892994883,0.0,0.007186987769512046
18,5400,1,5400,270.5964912621359,0.0,0.0,21.5,137.4987301191355,293.60223824342216,0.0,0.007943512797881734
19,5700,1,5700,270.58213592233005,0.0,0.0,21.5,130.95117154203382,292.3475485464523,0.0,0.00756525028369689
20,6000,1,6000,270.56772297734625,0.0,0.0,21.5,15554.816659667908,291.69619685489647,0.0,0.8986256461984616
21,6300,1,6300,270.5532776699029,0.0,0.0,21.5,16881.78853129387,296.3933757991441,0.0,0.975286849073258
22,6600,1,6600,270.5388252427184,0.0,0.0,21.5,16883.97105081955,298.8000395160373,0.0,0.975412936577985
23,6900,1,6900,270.5243909385113,0.0,0.0,21.5,16844.68569935694,299.831354872261,0.0,0.9731433614928761
24,7200,1,7200,270.51,0.0,0.0,21.5,16827.225543151344,300.27400757782544,0.0,0.9721346614550502
25,7500,1,7500,270.49370276227603,0.0,0.0,21.5,16814.130425997144,300.4759865348108,0.0,0.9713781364266807
26,7800,1,7800,270.47363669953876,0.0,0.0,21.5,16783.575152637346,300.57267712246943,0.0,0.9696129113604853
27,8100,1,8100,270.44995776316796,0.0,0.0,21.5,16761.74995738033,300.61764002949906,0.0,0.9683520363132019
28,8400,1,8400,270.42282190454347,0.0,0.0,21.5,16748.654840226125,300.6388761261179,0.0,0.9675955112848322
29,8700,1,8700,270.3923850750452,0.0,0.0,21.5,16818.495465048534,300.65210044517977,0.0,0.9716303114361367
30,9000,1,9000,270.35880322605306,0.0,0.0,21.5,16774.845074534533,300.68775947398285,0.0,0.9691085613415716
31,9300,1,9300,270.3222323089468,0.0,0.0,21.5,16818.495465048534,300.69395746714014,0.0,0.9716303114361367
32,9600,1,9600,270.28282827510634,0.0,0.0,21.5,1774.3883743945585,300.7153512066923,0.0,0.10250914134409286
33,9900,1,9900,270.2407470759116,0.0,0.0,21.5,139.68124964483619,295.768262339258,0.0,0.008069600302610022
34,10200,1,10200,270.19614466274237,0.0,0.0,21.5,157.1414058504406,293.0506522632146,0.0,0.009078300340436269
35,10500,1,10500,270.14917698697855,0.0,0.0,21.5,154.9588863247399,291.797107410019,0.0,0.00895221283570798
36,10800,1,10800,270.09999999999997,0.0,0.0,21.5,15952.035213345429,291.15695273883773,0.0,0.92157357205901
37,11100,1,11100,270.03340929133856,0.0,0.0,21.5,17174.246147737736,295.9878811043243,0.0,0.9921825747068471
38,11400,1,11400,269.93795695538057,0.0,0.0,21.5,17126.230718172315,298.42587450042504,0.0,0.9894086496028245
39,11700,1,11700,269.8194337007874,0.0,0.0,21.5,17137.143315800837,299.4619152181408,0.0,0.9900390871264669
40,12000,1,12000,269.68363023622044,0.0,0.0,21.5,17204.801421097534,299.92963918790343,0.0,0.9939477997730425
41,12300,1,12300,269.53633727034116,0.0,0.0,21.5,17230.991655405942,300.1751896095561,0.0,0.9954608498297819
42,12600,1,12600,269.383345511811,0.0,0.0,21.5,17309.56235833116,300.3088821213341,0.0,1.0
