index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,totalHeatingPower.y,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,weaDat.weaBus.HGloHor,thermalZone.TAir,u
0,0,1,0,0.0,17727.697266216128,23.0,0.0,271.82,0.0,293.15,0.9126213592233009
1,300,1,300,0.0,19238.88671264546,23.0,0.0,271.8280908161068,0.0,296.4877515585184,0.9904173496406518
2,600,1,600,0.0,19231.538951965904,23.0,0.0,271.8357342807924,0.0,298.47798394064336,0.9900390871264669
3,900,1,900,0.0,19248.68372688485,23.0,0.0,271.84298691860465,0.0,299.4819445380726,0.9909216996595637
4,1200,1,1200,0.0,2189.6326825085976,23.0,0.0,271.84990525409125,0.0,300.0118299215577,0.11272222922708366
5,1500,1,1500,0.0,161.65073495029915,23.0,0.0,271.8565458118002,0.0,296.37409636124704,0.00832177531206658
6,1800,1,1800,0.0,168.99849562985818,23.0,0.0,271.86296511627904,0.0,294.13284246929317,0.008700037826251424
7,2100,1,2100,0.0,161.65073495029915,23.0,0.0,271.8692196920758,0.0,292.99924098936424,0.00832177531206658
8,2400,1,2400,0.0,18278.779317183056,23.0,0.0,271.8753660637381,0.0,292.38040498511293,0.9409910477871642
9,2700,1,2700,0.0,19385.841926236644,23.0,0.0,271.8814607558139,0.0,296.1770754702822,0.9979825999243488
10,3000,1,3000,0.0,19314.813573000883,23.0,0.0,271.887560292851,0.0,298.23489523410313,0.9943260622872274
11,3300,1,3300,0.0,19172.756866529427,23.0,0.0,271.893721199397,0.0,299.20564829748383,0.987012987012988
12,3600,1,3600,0.0,19172.756866529427,23.0,0.0,271.9,0.0,299.64300435069526,0.987012987012988
13,3900,1,3900,0.0,19160.510598730143,23.0,0.0,271.90602887294085,0.0,299.85809752864265,0.9863825494893457
14,4200,1,4200,0.0,19145.815077371026,23.0,0.0,271.911429869186,0.0,299.9598842205104,0.985626024460976
15,4500,1,4500,0.0,19074.786724135298,23.0,0.0,271.916244322311,0.0,300.0046889744923,0.9819694868238563
16,4800,1,4800,0.0,1633.652124421964,23.0,0.0,271.92051356589144,0.0,300.00698617883864,0.08410036565376383
17,5100,1,5100,0.0,139.60745291162198,23.0,0.0,271.9242789335029,0.0,295.98844295740565,0.007186987769512045
18,5400,1,5400,0.0,154.3029742707401,23.0,0.0,271.9275817587209,0.0,293.657135055754,0.007943512797881734
19,5700,1,5700,0.0,146.95521359118104,23.0,0.0,271.9304633751211,0.0,292.4561764761778,0.00756525028369689
20,6000,1,6000,0.0,17455.830121072442,23.0,0.0,271.93296511627904,0.0,291.7905657875198,0.8986256461984616
21,6300,1,6300,0.0,18944.9762854631,23.0,0.0,271.9351283157703,0.0,295.36779583757817,0.975286849073258
22,6600,1,6600,0.0,18947.42553902293,23.0,0.0,271.9369943071705,0.0,297.40054976094757,0.9754129365779851
23,6900,1,6900,0.0,18903.338974945575,23.0,0.0,271.9386044240552,0.0,298.37387264808785,0.973143361492876
24,7200,1,7200,0.0,18883.744946466762,23.0,0.0,271.94,0.0,298.83622409998515,0.9721346614550503
25,7500,1,7500,0.0,18869.049425107645,23.0,0.0,271.93760844713745,0.0,299.06011864473265,0.9713781364266807
26,7800,1,7800,0.0,18834.759875269716,23.0,0.0,271.9282494668635,0.0,299.1712271169631,0.9696129113604854
27,8100,1,8100,0.0,18810.267339671173,23.0,0.0,271.9125528266486,0.0,299.2206742312878,0.9683520363132019
28,8400,1,8400,0.0,18795.571818312055,23.0,0.0,271.8911482939632,0.0,299.24210244845403,0.9675955112848322
29,8700,1,8700,0.0,18873.94793222734,23.0,0.0,271.8646656362779,0.0,299.25084379186853,0.9716303114361367
30,9000,1,9000,0.0,18824.96286103029,23.0,0.0,271.83373462106294,0.0,299.27384270633405,0.9691085613415715
31,9300,1,9300,0.0,18873.94793222734,23.0,0.0,271.798985015789,0.0,299.2736966081507,0.9716303114361367
32,9600,1,9600,0.0,1991.243144160503,23.0,0.0,271.7610465879265,0.0,299.28431309968926,0.10250914134409286
33,9900,1,9900,0.0,156.75222783059323,23.0,0.0,271.72054910494586,0.0,295.3974539074288,0.008069600302610022
34,10200,1,10200,0.0,176.34625630941724,23.0,0.0,271.67812233431755,0.0,293.06102471622955,0.009078300340436269
35,10500,1,10500,0.0,173.89700274956408,23.0,0.0,271.63439604351214,0.0,291.8665180630921,0.00895221283570798
36,10800,1,10800,0.0,17901.594268965713,23.0,0.0,271.59,0.0,291.2127575087875,0.92157357205901
37,11100,1,11100,0.0,19273.176262483394,23.0,0.0,271.535403277293,0.0,294.90122634317686,0.9921825747068472
38,11400,1,11400,0.0,19219.292684166616,23.0,0.0,271.46326913527696,0.0,296.96658298097236,0.9894086496028244
39,11700,1,11700,0.0,19231.538951965904,23.0,0.0,271.37751862098315,0.0,297.94876078746853,0.9900390871264669
40,12000,1,12000,0.0,19307.465812321323,23.0,0.0,271.2820727814428,0.0,298.43517947542557,0.9939477997730425
41,12300,1,12300,0.0,19336.85685503956,23.0,0.0,271.1808526636873,0.0,298.6997869439956,0.9954608498297819
42,12600,1,12600,0.0,19425.02998319427,23.0,0.0,271.0777793147478,0.0,298.8453826940281,1.0
43,12900,1,12900,0.0,19415.23296895488,23.0,0.0,270.97677378165565,0.0,298.94648230526883,0.999495649981088
44,13200,1,13200,0.0,1832.0416627700583,23.0,0.0,270.88175711144214,0.0,299.0022256971477,0.09431345353675463
45,13500,1,13500,0.0,156.75222783059323,23.0,0.0,270.7966503511385,0.0,294.99007382689314,0.008069600302610022
46,13800,1,13800,0.0,161.65073495029915,23.0,0.0,270.7253745477761,0.0,292.63024506891725,0.00832177531206658
47,14100,1,14100,0.0,164.09998851015226,23.0,0.0,270.67185074838613,0.0,291.42850077060933,0.008447862816794867
48,14400,1,14400,0.0,164.09998851015226,23.0,0.0,270.64,0.0,290.77777872254296,0.008447862816794867
49,14700,1,14700,0.0,161.65073495029915,23.0,0.0,270.62191008756844,0.0,290.39211012096195,0.00832177531206658
50,15000,1,15000,0.0,151.85372071088696,23.0,0.0,270.6068870779176,0.0,290.1370959021538,0.007817425293153447
51,15300,1,15300,0.0,149.40446715103417,23.0,0.0,270.59467944089124,0.0,289.9457476080572,0.007691337788425178
52,15600,1,15600,0.0,17715.450998416873,23.0,0.0,270.5850356463333,0.0,289.7911019296379,0.91199092169966
53,15900,1,15900,0.0,19177.655373649126,23.0,0.0,270.5777041640877,0.0,293.70345009012476,0.9872651620224442
54,16200,1,16200,0.0,19214.39417704692,23.0,0.0,270.5724334639983,0.0,295.9149109590854,0.9891564745933684
55,16500,1,16500,0.0,19202.147909247666,23.0,0.0,270.568972015909,0.0,297.01034819898035,0.9885260370697275
56,16800,1,16800,0.0,19170.307612969566,23.0,0.0,270.56706828966367,0.0,297.56348170974894,0.9868868995082593
57,17100,1,17100,0.0,19199.6986556878,23.0,0.0,270.56647075510625,0.0,297.85278110314283,0.9883999495649985
58,17400,1,17400,0.0,19233.988205525733,23.0,0.0,270.5669278820805,0.0,298.0266927268156,0.990165174631194
59,17700,1,17700,0.0,19297.668798081933,23.0,0.0,270.5681881404305,0.0,298.14431259647984,0.9934434497541305
60,18000,1,18000,0.0,1998.590904840062,23.0,0.0,270.57,0.0,298.23965362168593,0.1028874038582777
61,18300,1,18300,0.0,161.65073495029915,23.0,0.0,270.5730275376131,0.0,294.3233054061622,0.00832177531206658
62,18600,1,18600,0.0,168.99849562985818,23.0,0.0,270.5778463007044,0.0,291.98511709450406,0.008700037826251424
63,18900,1,18900,0.0,154.3029742707401,23.0,0.0,270.5840719650332,0.0,290.80622316094696,0.007943512797881734
64,19200,1,19200,0.0,17771.78383029348,23.0,0.0,270.59132020635917,0.0,290.1744088316146,0.9148909343084098
65,19500,1,19500,0.0,19106.627020413398,23.0,0.0,270.5992067004417,0.0,293.86350382914384,0.9836086243853245
66,19800,1,19800,0.0,19111.525527533093,23.0,0.0,270.60734712304026,0.0,295.9352489741094,0.9838607993947805
67,20100,1,20100,0.0842527777777778,19094.380752614114,23.0,0.04161634460547504,270.6153571499144,0.09394733061218336,296.9515158456491,0.9829781868616821
68,20400,1,20400,0.3445555555555556,1604.2610817037275,23.0,0.1614331723027375,270.6228524568235,0.38033183927552594,297.4616565860306,0.08258731559702445
69,20700,1,20700,0.7922250000000003,146.95521359118104,23.0,0.35190217391304346,270.6294487195272,0.8659673012302167,293.7106815264223,0.00756525028369689
70,21000,1,21000,1.4385777777777782,146.95521359118104,23.0,0.6054750402576488,270.6347616137848,1.5576674917164444,291.5465752061495,0.00756525028369689
71,21300,1,21300,2.294930555555556,154.3029742707401,23.0,0.9146034621578099,270.63840681535595,2.4622461859743976,290.4628491402604,0.007943512797881734
72,21600,1,21600,3.3726000000000007,17438.685346153496,23.0,1.2717391304347825,270.64,3.586517159244265,289.8886493119971,0.8977430336653649
