index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,weaBus.TDryBul,totalHeatingPower.y,thermalZone.TAir,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,u
0,0,1,0,0.0,277.22999999999996,12127.660481677327,293.15,0.0,0.0,21.5,0.9126213592233009
1,300,1,300,0.0,277.25013364438655,13161.4773533539,296.5984276551089,0.0,0.0,21.5,0.9904173496406518
2,600,1,600,0.0,277.2697410300926,13156.450691092912,298.4019679201041,0.0,0.0,21.5,0.9900390871264669
3,900,1,900,0.0,277.2888818359375,13168.17956970187,299.18360494379647,0.0,0.0,21.5,0.9909216996595639
4,1200,1,1200,0.0,277.30761574074074,1497.9453537744596,299.5422377119339,0.0,0.0,21.5,0.11272222922708366
5,1500,1,1500,0.0,277.3260024233217,110.58656974173861,295.9113965480416,0.0,0.0,21.5,0.00832177531206658
6,1800,1,1800,0.0,277.3441015625,115.61323200272675,293.94070370530426,0.0,0.0,21.5,0.008700037826251424
7,2100,1,2100,0.0,277.36197283709487,110.58656974173861,293.10791718431346,0.0,0.0,21.5,0.00832177531206658
8,2400,1,2400,0.0,277.3796759259259,12504.660151251437,292.74238988342404,0.0,0.0,21.5,0.9409910477871644
9,2700,1,2700,0.0,277.3972705078125,13262.010598573663,296.6225229303037,0.0,0.0,21.5,0.9979825999243487
10,3000,1,3000,0.0,277.41481626157406,13213.419530050762,298.5029472600603,0.0,0.0,21.5,0.9943260622872274
11,3300,1,3300,0.0,277.43237286603005,13116.237393005005,299.29172320469473,0.0,0.0,21.5,0.9870129870129881
12,3600,1,3600,0.0,277.45,13116.237393005005,299.61036148756864,0.0,0.0,21.5,0.9870129870129881
13,3900,1,3900,0.0,277.46751139322913,13107.85962257001,299.7636936670945,0.0,0.0,21.5,0.9863825494893455
14,4200,1,4200,0.0,277.4846366003788,13097.806298048035,299.8442489454627,0.0,0.0,21.5,0.985626024460976
15,4500,1,4500,0.0,277.50130903764205,13049.215229525156,299.8942803800451,0.0,0.0,21.5,0.9819694868238562
16,4800,1,4800,0.0,277.5174621212121,1117.5945760263594,299.91811023717094,0.0,0.0,21.5,0.08410036565376383
17,5100,1,5100,0.0,277.5330292672822,95.50658295877426,296.0524538512058,0.0,0.0,21.5,0.007186987769512045
18,5400,1,5400,0.0,277.54794389204545,105.5599074807505,294.09106201028624,0.0,0.0,21.5,0.007943512797881734
19,5700,1,5700,0.0,277.56213941169506,100.53324521976238,293.2590559970814,0.0,0.0,21.5,0.00756525028369689
20,6000,1,6000,0.0,277.57554924242424,11941.673978020766,292.88539440345056,0.0,0.0,21.5,0.8986256461984616
21,6300,1,6300,0.0,277.5881068004261,12960.410862914376,296.5740732965762,0.0,0.0,21.5,0.975286849073258
22,6600,1,6600,0.0,277.5997455018939,12962.086417001356,298.45300376664926,0.0,0.0,21.5,0.9754129365779851
23,6900,1,6900,0.0,277.6103987630208,12931.926443435426,299.2518666760737,0.0,0.0,21.5,0.9731433614928761
24,7200,1,7200,0.0,277.62,12918.522010739465,299.59045107761267,0.0,0.0,21.5,0.9721346614550503
25,7500,1,7500,0.0,277.6254863457207,12908.46868621749,299.74332800639564,0.0,0.0,21.5,0.9713781364266807
26,7800,1,7800,0.0,277.6246094389844,12885.010928999553,299.82038765556035,0.0,0.0,21.5,0.9696129113604853
27,8100,1,8100,0.0,277.61852445485255,12868.255388129584,299.8592444468421,0.0,0.0,21.5,0.9683520363132019
28,8400,1,8400,0.0,277.60838656838655,12858.202063607609,299.8850074387284,0.0,0.0,21.5,0.9675955112848322
29,8700,1,8700,0.0,277.5953509546478,12911.819794391475,299.90718287015676,0.0,0.0,21.5,0.9716303114361368
30,9000,1,9000,0.0,277.5805727886978,12878.308712651562,299.9478875007067,0.0,0.0,21.5,0.9691085613415716
31,9300,1,9300,0.0,277.56520724559783,12911.819794391475,299.9678244140008,0.0,0.0,21.5,0.9716303114361368
32,9600,1,9600,0.0,277.5504095004095,1362.2254727277802,300.00033196950227,0.0,0.0,21.5,0.10250914134409286
33,9900,1,9900,0.0,277.5373347281941,107.23546156774661,296.2583355707009,0.0,0.0,21.5,0.008069600302610022
34,10200,1,10200,0.0,277.5271381040131,120.63989426371487,294.27027722477743,0.0,0.0,21.5,0.009078300340436269
35,10500,1,10500,0.0,277.5209748029279,118.96434017671872,293.4232773841196,0.0,0.0,21.5,0.00895221283570798
36,10800,1,10800,0.0,277.52,12246.62482185406,293.04206575525916,0.0,0.0,21.5,0.9215735720590099
37,11100,1,11100,0.0,277.5229166579774,13184.935110571836,296.82078435770916,0.0,0.0,21.5,0.9921825747068471
38,11400,1,11400,0.0,277.5274419558447,13148.072920657916,298.70782873604566,0.0,0.0,21.5,0.9894086496028244
39,11700,1,11700,0.0,277.533252393018,13156.450691092912,299.49584842707924,0.0,0.0,21.5,0.9900390871264669
