index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
0,0,1,0,0.0,0.0,24.0,0.0,271.82,293.15,13495.150242470938,0.912621359223301
1,300,1,300,0.0,0.0,24.0,0.0,271.8280908161068,296.8716079223432,14645.538153441468,0.9904173496406519
2,600,1,600,0.0,0.0,24.0,0.0,271.8357342807924,298.8284005097694,14639.944695203361,0.9900390871264669
3,900,1,900,0.0,0.0,24.0,0.0,271.84298691860465,299.675150372357,14652.996097758925,0.9909216996595638
4,1200,1,1200,0.0,0.0,24.0,0.0,271.84990525409125,300.06211101604475,1666.8505549556544,0.11272222922708366
5,1500,1,1500,0.0,0.0,24.0,0.0,271.8565458118002,296.0144624478716,123.0560812383369,0.00832177531206658
6,1800,1,1800,0.0,0.0,24.0,0.0,271.86296511627904,293.81332201941285,128.64953947644312,0.008700037826251424
7,2100,1,2100,0.0,0.0,24.0,0.0,271.8692196920758,292.88114667714206,123.0560812383369,0.00832177531206658
8,2400,1,2400,0.0,0.0,24.0,0.0,271.8753660637381,292.4728855875494,13914.659610328903,0.9409910477871642
9,2700,1,2700,0.0,0.0,24.0,0.0,271.8814607558139,296.7806431945659,14757.407318203592,0.9979825999243487
10,3000,1,3000,0.0,0.0,24.0,0.0,271.887560292851,298.868172317892,14703.33722190188,0.9943260622872273
11,3300,1,3300,0.0,0.0,24.0,0.0,271.893721199397,299.7390991308672,14595.197029298512,0.9870129870129881
12,3600,1,3600,0.0,0.0,24.0,0.0,271.9,300.0860316775475,14595.197029298512,0.9870129870129881
13,3900,1,3900,0.0,0.0,24.0,0.0,271.90602887294085,300.2509722041752,14585.87459890165,0.9863825494893456
14,4200,1,4200,0.0,0.0,24.0,0.0,271.911429869186,300.3355744245891,14574.687682425438,0.9856260244609759
15,4500,1,4500,0.0,0.0,24.0,0.0,271.916244322311,300.3834095754723,14520.617586123753,0.9819694868238563
16,4800,1,4800,0.0,0.0,24.0,0.0,271.92051356589144,300.4021285799311,1243.6122149389512,0.08410036565376383
17,5100,1,5100,0.0,0.0,24.0,0.0,271.9242789335029,296.09393264625214,106.27570652401823,0.007186987769512046
18,5400,1,5400,0.0,0.0,24.0,0.0,271.9275817587209,293.9043461411682,117.46262300023066,0.007943512797881734
19,5700,1,5700,0.0,0.0,24.0,0.0,271.9304633751211,292.9686018406028,111.86916476212444,0.00756525028369689
20,6000,1,6000,0.0,0.0,24.0,0.0,271.93296511627904,292.5500982200647,13288.192287661006,0.8986256461984616
21,6300,1,6300,0.0,0.0,24.0,0.0,271.9351283157703,296.6445209772252,14421.79982391722,0.975286849073258
22,6600,1,6600,0.0,0.0,24.0,0.0,271.9369943071705,298.72947359012113,14423.66430999657,0.9754129365779851
23,6900,1,6900,0.0,0.0,24.0,0.0,271.9386044240552,299.61150978174555,14390.103560567934,0.9731433614928761
24,7200,1,7200,0.0,0.0,24.0,0.0,271.94,299.9814137168428,14375.18767193299,0.9721346614550502
25,7500,1,7500,0.0,0.0,24.0,0.0,271.93760844713745,300.144769685284,14364.00075545678,0.9713781364266807
26,7800,1,7800,0.0,0.0,24.0,0.0,271.9282494668635,300.2240322582861,14337.897950345625,0.9696129113604853
27,8100,1,8100,0.0,0.0,24.0,0.0,271.9125528266486,300.2604258943283,14319.253089551928,0.9683520363132019
28,8400,1,8400,0.0,0.0,24.0,0.0,271.8911482939632,300.2823946171407,14308.066173075717,0.9675955112848322
29,8700,1,8700,0.0,0.0,24.0,0.0,271.8646656362779,300.30034031492175,14367.729727615508,0.9716303114361367
30,9000,1,9000,0.0,0.0,24.0,0.0,271.83373462106294,300.3392517233925,14330.440006028142,0.9691085613415716
31,9300,1,9300,0.0,0.0,24.0,0.0,271.798985015789,300.35444733135733,14367.729727615508,0.9716303114361367
