index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,totalHeatingPower.y,weaBus.HDifHor,roomTempUpperSetpoint,thermalZone.TAir,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,0.0,15939.988930250169,0.0,20.0,293.15,0.0,271.82,0.9126213592233009
1,300,1,300,0.0,17298.785997114566,0.0,20.0,296.1503068574123,0.0,271.8280908161068,0.9904173496406518
2,600,1,600,0.0,17292.179204244887,0.0,20.0,297.9001913515857,0.0,271.8357342807924,0.9900390871264669
3,900,1,900,0.0,17307.595054274123,0.0,20.0,298.74952708547806,0.0,271.84298691860465,0.9909216996595638
4,1200,1,1200,0.0,1968.824275164916,0.0,20.0,299.1760056793142,0.0,271.84990525409125,0.11272222922708366
5,1500,1,1500,0.0,145.34944313298035,0.0,20.0,295.8983362386365,0.0,271.8565458118002,0.00832177531206658
6,1800,1,1800,0.0,151.95623600266129,0.0,20.0,293.92474571337124,0.0,271.86296511627904,0.008700037826251424
7,2100,1,2100,0.0,145.34944313298035,0.0,20.0,292.9787268142469,0.0,271.8692196920758,0.00832177531206658
8,2400,1,2400,0.0,16435.49839547624,0.0,20.0,292.5125809968492,0.0,271.8753660637381,0.9409910477871642
9,2700,1,2700,0.0,17430.921854508186,0.0,20.0,295.9876232020152,0.0,271.8814607558139,0.9979825999243487
10,3000,1,3000,0.0,17367.056190101248,0.0,20.0,297.8639916840993,0.0,271.887560292851,0.9943260622872272
11,3300,1,3300,0.0,17239.324861287438,0.0,20.0,298.74565308265414,0.0,271.893721199397,0.9870129870129881
12,3600,1,3600,0.0,17239.324861287438,0.0,20.0,299.14407130691785,0.0,271.9,0.9870129870129881
13,3900,1,3900,0.0,17228.31353983795,0.0,20.0,299.3437887613071,0.0,271.90602887294085,0.9863825494893456
14,4200,1,4200,0.0,17215.099954098587,0.0,20.0,299.44579285252286,0.0,271.911429869186,0.9856260244609758
15,4500,1,4500,0.0,17151.23428969168,0.0,20.0,299.5009479438814,0.0,271.916244322311,0.9819694868238562
16,4800,1,4800,0.0,1468.9102813590603,0.0,20.0,299.5219397049322,0.0,271.92051356589144,0.08410036565376383
17,5100,1,5100,0.0,125.52906452393759,0.0,20.0,295.96378809293896,0.0,271.9242789335029,0.007186987769512046
18,5400,1,5400,0.0,138.74265026329942,0.0,20.0,293.95597807388634,0.0,271.9275817587209,0.007943512797881734
19,5700,1,5700,0.0,132.1358573936185,0.0,20.0,292.9861786763531,0.0,271.9304633751211,0.007565250283696889
20,6000,1,6000,0.0,15695.537594071975,0.0,20.0,292.500700249896,0.0,271.93296511627904,0.8986256461984616
21,6300,1,6300,0.0,17034.51428232733,0.0,20.0,295.7938553145069,0.0,271.9351283157703,0.975286849073258
22,6600,1,6600,0.0,17036.716546617205,0.0,20.0,297.6559298135112,0.0,271.9369943071705,0.9754129365779852
23,6900,1,6900,0.0,16997.075789399118,0.0,20.0,298.540026012849,0.0,271.9386044240552,0.9731433614928761
24,7200,1,7200,0.0,16979.45767507998,0.0,20.0,298.9549763298401,0.0,271.94,0.9721346614550503
25,7500,1,7500,0.0,16966.244089340616,0.0,20.0,299.1539392446217,0.0,271.93760844713745,0.9713781364266807
26,7800,1,7800,0.0,16935.412389282115,0.0,20.0,299.2527193314022,0.0,271.9282494668635,0.9696129113604853
27,8100,1,8100,0.0,16913.389746383167,0.0,20.0,299.297956142716,0.0,271.9125528266486,0.9683520363132018
28,8400,1,8400,0.0,16900.17616064381,0.0,20.0,299.3207001496968,0.0,271.8911482939632,0.9675955112848322
29,8700,1,8700,0.0,16970.648617920393,0.0,20.0,299.33454415587823,0.0,271.8646656362779,0.9716303114361367
30,9000,1,9000,0.0,16926.603332122533,0.0,20.0,299.36303203922586,0.0,271.83373462106294,0.9691085613415718
31,9300,1,9300,0.0,16970.648617920393,0.0,20.0,299.37192170498633,0.0,271.798985015789,0.9716303114361367
32,9600,1,9600,0.0,1790.440867683531,0.0,20.0,299.39107404858356,0.0,271.7610465879265,0.10250914134409286
33,9900,1,9900,0.0,140.94491455319317,0.0,20.0,295.94286876317045,0.0,271.72054910494586,0.008069600302610022
34,10200,1,10200,0.0,158.56302887234222,0.0,20.0,293.9146974763495,0.0,271.67812233431755,0.009078300340436269
35,10500,1,10500,0.0,156.36076458244844,0.0,20.0,292.9338882146437,0.0,271.63439604351214,0.00895221283570798
36,10800,1,10800,0.0,16096.349694832637,0.0,20.0,292.4416363598069,0.0,271.59,0.92157357205901
37,11100,1,11100,0.0,17329.617697173067,0.0,20.0,295.81508697104954,0.0,271.535403277293,0.9921825747068471
38,11400,1,11400,0.0,17281.1678827954,0.0,20.0,297.68901271107444,0.0,271.46326913527696,0.9894086496028244
39,11700,1,11700,0.0,17292.179204244887,0.0,20.0,298.5650055422541,0.0,271.37751862098315,0.9900390871264669
40,12000,1,12000,0.0,17360.44939723157,0.0,20.0,298.9852077317276,0.0,271.2820727814428,0.9939477997730425
41,12300,1,12300,0.0,17386.876568710293,0.0,20.0,299.203532916124,0.0,271.1808526636873,0.9954608498297819
42,12600,1,12600,0.0,17466.158083146463,0.0,20.0,299.3169362545774,0.0,271.0777793147478,1.0
43,12900,1,12900,0.0,17457.349025986907,0.0,20.0,299.3930580648421,0.0,270.97677378165565,0.9994956499810879
44,13200,1,13200,0.0,1647.2936888404454,0.0,20.0,299.43183364897914,0.0,270.88175711144214,0.09431345353675463
45,13500,1,13500,0.0,140.94491455319317,0.0,20.0,295.8492864189171,0.0,270.7966503511385,0.008069600302610022
46,13800,1,13800,0.0,145.34944313298035,0.0,20.0,293.7894131194496,0.0,270.7253745477761,0.00832177531206658
47,14100,1,14100,0.0,147.5517074228741,0.0,20.0,292.7903495661021,0.0,270.67185074838613,0.008447862816794867
48,14400,1,14400,0.0,147.5517074228741,0.0,20.0,292.2899751997271,0.0,270.64,0.008447862816794867
49,14700,1,14700,0.0,145.34944313298035,0.0,20.0,292.0253356286456,0.0,270.62191008756844,0.00832177531206658
50,15000,1,15000,0.0,136.5403859734057,0.0,20.0,291.8716052182514,0.0,270.6068870779176,0.007817425293153447
51,15300,1,15300,0.0,134.33812168351227,0.0,20.0,291.7692958356355,0.0,270.59467944089124,0.007691337788425178
52,15600,1,15600,0.0,15928.977608800713,0.0,20.0,291.69269195697376,0.0,270.5850356463333,0.9119909216996601
53,15900,1,15900,0.0,17243.729389867218,0.0,20.0,295.2314015626166,0.0,270.5777041640877,0.9872651620224443
54,16200,1,16200,0.0,17276.76335421562,0.0,20.0,297.2049770901538,0.0,270.5724334639983,0.9891564745933684
55,16500,1,16500,0.0,17265.752032766162,0.0,20.0,298.15121978783196,0.0,270.568972015909,0.9885260370697275
56,16800,1,16800,0.0,17237.122596997535,0.0,20.0,298.6030022090071,0.0,270.56706828966367,0.9868868995082593
57,17100,1,17100,0.0,17263.54976847626,0.0,20.0,298.8190377628129,0.0,270.56647075510625,0.9883999495649988
58,17400,1,17400,0.0,17294.38146853476,0.0,20.0,298.9363123334427,0.0,270.5669278820805,0.9901651746311941
59,17700,1,17700,0.0,17351.640340072012,0.0,20.0,299.0079372619763,0.0,270.5681881404305,0.9934434497541303
60,18000,1,18000,0.0,1797.0476605532117,0.0,20.0,299.0635791179249,0.0,270.57,0.1028874038582777
61,18300,1,18300,0.0,145.34944313298035,0.0,20.0,295.5516083020775,0.0,270.5730275376131,0.00832177531206658
62,18600,1,18600,0.0,151.95623600266129,0.0,20.0,293.4962959903064,0.0,270.5778463007044,0.008700037826251424
63,18900,1,18900,0.0,138.74265026329942,0.0,20.0,292.50228519736686,0.0,270.5840719650332,0.007943512797881734
64,19200,1,19200,0.0,15979.629687468254,0.0,20.0,292.0060183332949,0.0,270.59132020635917,0.91489093430841
65,19500,1,19500,0.0,17179.86372546031,0.0,20.0,295.3584918437367,0.0,270.5992067004417,0.9836086243853245
66,19800,1,19800,0.0,17184.26825404009,0.0,20.0,297.21886696171345,0.0,270.60734712304026,0.9838607993947807
67,20100,1,20100,0.09394733061218336,17168.852404010824,0.0842527777777778,20.0,298.1054128812285,0.04161634460547504,270.6153571499144,0.9829781868616821
68,20400,1,20400,0.38033183927552594,1442.4831098803365,0.3445555555555556,20.0,298.5281815650814,0.1614331723027375,270.6228524568235,0.08258731559702445
