index,seconds_of_day,day_of_year,timestamp,thermalZone.TAir,totalHeatingPower.y,weaBus.HDirNor,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.TDryBul,u
0,0,1,0,293.15,20578.67285022519,0.0,0.0,0.0,22.0,277.22999999999996,0.9126213592233009
1,300,1,300,296.24036701626676,22332.892406537587,0.0,0.0,0.0,22.0,277.25013364438655,0.9904173496406516
2,600,1,600,298.1274524130278,22324.362975955843,0.0,0.0,0.0,22.0,277.2697410300926,0.9900390871264669
3,900,1,900,299.10156982727386,22344.264980646556,0.0,0.0,0.0,22.0,277.2888818359375,0.9909216996595637
4,1200,1,1200,299.61870324070503,2541.770313360228,0.0,0.0,0.0,22.0,277.30761574074074,0.11272222922708366
5,1500,1,1500,296.424055625796,187.6474727984061,0.0,0.0,0.0,22.0,277.3260024233217,0.00832177531206658
6,1800,1,1800,294.39525626419623,196.17690338015186,0.0,0.0,0.0,22.0,277.3441015625,0.008700037826251424
7,2100,1,2100,293.36767835344006,187.6474727984061,0.0,0.0,0.0,22.0,277.36197283709487,0.00832177531206658
8,2400,1,2400,292.83199603975436,21218.38014385612,0.0,0.0,0.0,22.0,277.3796759259259,0.9409910477871642
9,2700,1,2700,296.23989154145136,22503.481018172504,0.0,0.0,0.0,22.0,277.3972705078125,0.9979825999243487
10,3000,1,3000,298.19392693511907,22421.02985588227,0.0,0.0,0.0,22.0,277.41481626157406,0.9943260622872273
11,3300,1,3300,299.1774590412259,22256.127531301874,0.0,0.0,0.0,22.0,277.43237286603005,0.987012987012988
12,3600,1,3600,299.6577000183894,22256.127531301874,0.0,0.0,0.0,22.0,277.45,0.987012987012988
13,3900,1,3900,299.9155843433478,22241.911813665607,0.0,0.0,0.0,22.0,277.46751139322913,0.9863825494893456
14,4200,1,4200,300.0569274589492,22224.852952502115,0.0,0.0,0.0,22.0,277.4846366003788,0.9856260244609758
15,4500,1,4500,300.13973392810163,22142.40179021192,0.0,0.0,0.0,22.0,277.50130903764205,0.9819694868238563
16,4800,1,4800,300.180629252837,1896.3767326748027,0.0,0.0,0.0,22.0,277.5174621212121,0.08410036565376383
17,5100,1,5100,296.6590857038459,162.0591810531689,0.0,0.0,0.0,22.0,277.5330292672822,0.007186987769512046
18,5400,1,5400,294.56557360403406,179.11804221666037,0.0,0.0,0.0,22.0,277.54794389204545,0.007943512797881734
19,5700,1,5700,293.4980480426147,170.58861163491463,0.0,0.0,0.0,22.0,277.56213941169506,0.00756525028369689
20,6000,1,6000,292.9360159028015,20263.0839187006,0.0,0.0,0.0,22.0,277.57554924242424,0.8986256461984617
21,6300,1,6300,296.15996957006297,21991.71518326776,0.0,0.0,0.0,22.0,277.5881068004261,0.975286849073258
22,6600,1,6600,298.09309873909547,21994.55832679498,0.0,0.0,0.0,22.0,277.5997455018939,0.9754129365779851
23,6900,1,6900,299.07581911698287,21943.381743304508,0.0,0.0,0.0,22.0,277.6103987630208,0.9731433614928761
24,7200,1,7200,299.5710935605265,21920.63659508653,0.0,0.0,0.0,22.0,277.62,0.9721346614550502
25,7500,1,7500,299.82815207694176,21903.57773392304,0.0,0.0,0.0,22.0,277.6254863457207,0.9713781364266807
26,7800,1,7800,299.9655377038197,21863.773724541574,0.0,0.0,0.0,22.0,277.6246094389844,0.9696129113604853
27,8100,1,8100,300.0383432389117,21835.342289269072,0.0,0.0,0.0,22.0,277.61852445485255,0.9683520363132019
28,8400,1,8400,300.0807196702585,21818.283428105584,0.0,0.0,0.0,22.0,277.60838656838655,0.9675955112848322
29,8700,1,8700,300.10944494119815,21909.264020977524,0.0,0.0,0.0,22.0,277.5953509546478,0.9716303114361367
30,9000,1,9000,300.1498341551352,21852.401150432568,0.0,0.0,0.0,22.0,277.5805727886978,0.9691085613415718
31,9300,1,9300,300.17022352872334,21909.264020977524,0.0,0.0,0.0,22.0,277.56520724559783,0.9716303114361367
32,9600,1,9600,300.20021315275216,2311.4756876530937,0.0,0.0,0.0,22.0,277.5504095004095,0.10250914134409288
33,9900,1,9900,296.78525371988684,181.96118574390908,0.0,0.0,0.0,22.0,277.5373347281941,0.008069600302610022
34,10200,1,10200,294.67189310391467,204.7063339618976,0.0,0.0,0.0,22.0,277.5271381040131,0.009078300340436269
35,10500,1,10500,293.5930343330534,201.86319043464883,0.0,0.0,0.0,22.0,277.5209748029279,0.00895221283570798
36,10800,1,10800,293.0244631910663,20780.536040659863,0.0,0.0,0.0,22.0,277.52,0.9215735720590099
37,11100,1,11100,296.32917337420565,22372.696415919054,0.0,0.0,0.0,22.0,277.5229166579774,0.992182574706847
38,11400,1,11400,298.2782583673113,22310.147258319575,0.0,0.0,0.0,22.0,277.5274419558447,0.9894086496028245
39,11700,1,11700,299.2559435467395,22324.362975955843,0.0,0.0,0.0,22.0,277.533252393018,0.9900390871264669
40,12000,1,12000,299.7609800794103,22412.50042530052,0.0,0.0,0.0,22.0,277.5400244689133,0.9939477997730424
41,12300,1,12300,300.04276354881773,22446.618147627505,0.0,0.0,0.0,22.0,277.5474346829468,0.9954608498297819
42,12600,1,12600,300.2019170357179,22548.971314608454,0.0,0.0,0.0,22.0,277.55515953453454,1.0
43,12900,1,12900,300.3131076344572,22537.598740499485,0.0,0.0,0.0,22.0,277.5628755230925,0.999495649981088
44,13200,1,13200,300.3770229781067,2126.6713583819374,0.0,0.0,0.0,22.0,277.5702591480369,0.09431345353675463
45,13500,1,13500,296.8372526313005,181.96118574390908,0.0,0.0,0.0,22.0,277.57698690878374,0.008069600302610022
46,13800,1,13800,294.6963139533816,187.6474727984061,0.0,0.0,0.0,22.0,277.5827353047492,0.00832177531206658
47,14100,1,14100,293.6002742903724,190.49061632565483,0.0,0.0,0.0,22.0,277.5871808353492,0.008447862816794867
48,14400,1,14400,293.02625787342765,190.49061632565483,0.0,0.0,0.0,22.0,277.59,0.008447862816794867
49,14700,1,14700,292.7152876324007,187.6474727984061,0.0,0.0,0.0,22.0,277.59077860037956,0.00832177531206658
50,15000,1,15000,292.5357445021505,176.27489868941166,0.0,0.0,0.0,22.0,277.58959193628493,0.007817425293153447
51,15300,1,15300,292.42093202241387,173.43175516216337,0.0,0.0,0.0,22.0,277.5868507543103,0.007691337788425178
52,15600,1,15600,292.33941831168505,20564.45713258896,0.0,0.0,0.0,22.0,277.5829658010501,0.91199092169966
53,15900,1,15900,295.8567556836609,22261.81381835636,0.0,0.0,0.0,22.0,277.57834782309845,0.9872651620224442
54,16200,1,16200,297.93356593314655,22304.46097126509,0.0,0.0,0.0,22.0,277.5734075670498,0.9891564745933683
55,16500,1,16500,298.9970682368652,22290.24525362886,0.0,0.0,0.0,22.0,277.56855577949835,0.9885260370697275
56,16800,1,16800,299.5408949736139,22253.284387774613,0.0,0.0,0.0,22.0,277.5642032070384,0.9868868995082591
57,17100,1,17100,299.82200625238715,22287.402110101597,0.0,0.0,0.0,22.0,277.56076059626434,0.9883999495649987
58,17400,1,17400,299.98258084422037,22327.206119483064,0.0,0.0,0.0,22.0,277.5586386937704,0.990165174631194
59,17700,1,17700,300.08497901999215,22401.12785119155,0.0,0.0,0.0,22.0,277.5582482461508,0.9934434497541305
60,18000,1,18000,300.16092170333735,2320.005118234839,0.0,0.0,0.0,22.0,277.56,0.10288740385827769
61,18300,1,18300,296.68843314786693,187.6474727984061,0.0,0.0,0.0,22.0,277.56520589776335,0.00832177531206658
62,18600,1,18600,294.5487849470547,196.17690338015186,0.0,0.0,0.0,22.0,277.5744016275338,0.008700037826251424
63,18900,1,18900,293.4576969896886,179.11804221666037,0.0,0.0,0.0,22.0,277.58683355437665,0.007943512797881734
64,19200,1,19200,292.8837888309444,20629.849433715663,0.0,0.0,0.0,22.0,277.6017480433572,0.91489093430841
65,19500,1,19500,296.16506270228035,22179.362656066165,0.0,0.0,0.0,22.0,277.6183914595409,0.9836086243853246
66,19800,1,19800,298.09718019184066,22185.048943120648,0.0,0.0,0.0,22.0,277.6360101679929,0.9838607993947804
67,20100,1,20100,299.0813999221427,22165.146938429898,0.0,0.0,0.0,22.0,277.65385053377867,0.982978186861682
68,20400,1,20400,299.5849635720776,1862.2590103478196,0.0,0.0,0.0,22.0,277.6711589219635,0.08258731559702445
69,20700,1,20700,296.286423283771,170.58861163491463,0.0,0.0,0.0,22.0,277.6871816976127,0.00756525028369689
70,21000,1,21000,294.3138077807318,170.58861163491463,0.0,0.0,0.0,22.0,277.7011652257916,0.00756525028369689
71,21300,1,21300,293.3070267756986,179.11804221666037,0.0,0.0,0.0,22.0,277.7123558715656,0.007943512797881734
72,21600,1,21600,292.7790973770901,20243.181914009885,0.0,0.0,0.0,22.0,277.71999999999997,0.8977430336653649
73,21900,1,21900,296.0158527984519,22179.362656066165,0.0,0.0,0.0,22.0,277.72327103720215,0.9836086243853246
74,22200,1,22200,297.99322303702644,22236.225526611124,0.0,0.0,0.0,22.0,277.72245282629336,0.9861303744798896
75,22500,1,22500,299.0097539777027,22304.46097126509,0.0,0.0,0.0,22.0,277.7184573578595,0.9891564745933683
76,22800,1,22800,299.54445813644713,2530.3977392512325,0.0,0.0,0.0,22.0,277.71219662248643,0.11221787920817047
77,23100,1,23100,296.35438449409594,176.27489868941166,0.0,0.0,0.0,22.0,277.7045826107601,0.007817425293153447
78,23400,1,23400,294.322361260206,181.96118574390908,0.0,0.0,0.0,22.0,277.6965273132664,0.008069600302610022
79,23700,1,23700,293.2828966792471,184.8043292711574,0.0,0.012419871794871789,0.01375111437158501,22.0,277.6889427205912,0.008195687807338292
80,24000,1,24000,292.7396359991605,20845.92834178657,0.0,0.05021367521367518,0.055054557310814184,22.0,277.6827408233205,0.92447358466776
81,24300,1,24300,296.0739652212066,22318.67668890132,0.0,0.11418269230769225,0.12398547855439872,22.0,277.67883361204014,0.9897869121170092
82,24600,1,24600,298.02038128373465,22295.93154068334,0.0,0.20512820512820504,0.22061902783904985,22.0,277.67813307733593,0.9887782120791834
83,24900,1,24900,299.0077280937032,22349.95126770108,0.0,0.32385149572649563,0.3450303549014787,22.0,277.68155120979395,0.9911738746690214
84,25200,1,25200,299.52801514688844,22389.755277082546,0.0,0.471153846153846,0.49729460947839665,22.0,277.69,0.9929390997352168
85,25500,1,25500,299.8111916481645,22409.6572817733,0.0,0.6478365384615382,0.6774869413065147,22.0,277.7015352099591,0.9938217122683154
86,25800,1,25800,299.9714692460219,22483.579013481747,0.0,0.8547008547008544,0.8856825001225441,22.0,277.7135953177257,0.9970999873912499
87,26100,1,26100,300.0799040004248,22489.265300536234,0.0,1.0925480769230766,1.1219564356631961,22.0,277.72616638795984,0.9973521624007061
88,26400,1,26400,300.1503872090452,22466.52015231826,0.0,1.3621794871794868,1.3863838976651819,22.0,277.73923448532145,0.9963434623628804
89,26700,1,26700,300.196632798701,22509.167305226987,0.0,1.664396367521367,1.6790400358652129,22.0,277.75278567447043,0.9982347749338046
90,27000,1,27000,300.2420694414273,22531.912453444962,0.0,2.0,2.0,22.0,277.7668060200669,0.9992434749716302
91,27300,1,27300,300.2836757305985,22426.71614293679,0.0,2.6579415954415957,2.6163510591699173,22.0,277.7812815867707,0.994578237296685
92,27600,1,27600,300.30208795717135,21747.204839924358,0.0,3.883190883190883,3.760997862058524,22.0,277.7961984392419,0.9644433236666248
93,27900,1,27900,300.20783761113194,21627.792811779917,0.0,5.610576923076923,5.382741627777309,22.0,277.81154264214047,0.9591476484680369
94,28200,1,28200,300.1557330399937,22239.068670138386,0.0,7.774928774928775,7.43038357543776,22.0,277.8273002601263,0.9862564619846185
95,28500,1,28500,300.25550274594076,22250.441244247355,0.0,10.3110754985755,9.852724924151367,22.0,277.8434573578595,0.9867608120035305
96,28800,1,28800,300.33271715087204,22293.08839715608,0.0,13.153846153846155,12.598566893029616,22.0,277.85999999999996,0.9886521245744545
97,29100,1,29100,300.40870791759573,22307.30411479235,0.0,16.238069800569804,15.616710701184,22.0,277.87678088115587,0.9892825620980972
98,29400,1,29400,300.48455208043526,22338.578693592073,0.0,19.4985754985755,18.855957567726005,22.0,277.8936670736671,0.9906695246501078
99,29700,1,29700,300.55917845391383,22347.108124173817,0.0,22.87019230769231,22.265108711767116,22.0,277.9106662087912,0.9910477871642925
100,30000,1,30000,300.618827613839,22341.421837119335,0.0,26.287749287749293,25.792965352418822,22.0,277.9277859177859,0.9907956121548366
101,30300,1,30300,300.66786560346253,22352.794411228304,0.0,29.686075498575505,29.38832870879263,22.0,277.9450338319088,0.9912999621737486
102,30600,1,30600,300.7138763530897,22364.16698533731,0.0,33.0,33.0,22.0,277.9624175824176,0.9918043121926623
103,30900,1,30900,300.7598735765986,22432.402429991274,0.11260661999194657,36.73987268518518,36.91933597958039,22.0,277.9799448005698,0.994830412306141
104,31200,1,31200,300.8198184526447,2453.632864015521,0.44230690098081576,41.32175925925926,41.39321314677098,22.0,277.9976231176231,0.10881351658050688
