index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,weaBus.TDryBul,totalHeatingPower.y,thermalZone.TAir,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,u
0,0,1,0,0.0,271.82,12389.792938095581,293.15,0.0,0.0,20.0,0.9126213592233008
1,300,1,300,0.0,271.8280908161068,13445.955171144089,296.3980909544357,0.0,0.0,20.0,0.9904173496406518
2,600,1,600,0.0,271.8357342807924,13440.819860448553,298.12744299657334,0.0,0.0,20.0,0.9900390871264669
3,900,1,900,0.0,271.84298691860465,13452.802252071455,298.87610010577487,0.0,0.0,20.0,0.9909216996595638
4,1200,1,1200,0.0,271.84990525409125,1530.3225872696128,299.2175249792235,0.0,0.0,20.0,0.11272222922708366
5,1500,1,1500,0.0,271.8565458118002,112.9768353017835,295.47906474031373,0.0,0.0,20.0,0.00832177531206658
6,1800,1,1800,0.0,271.86296511627904,118.11214599731912,293.440994492627,0.0,0.0,20.0,0.008700037826251424
7,2100,1,2100,0.0,271.8692196920758,112.9768353017835,292.571072557671,0.0,0.0,20.0,0.00832177531206658
8,2400,1,2400,0.0,271.8753660637381,12774.941240260752,292.18565344078553,0.0,0.0,20.0,0.9409910477871641
9,2700,1,2700,0.0,271.8814607558139,13548.661385054802,296.14987211598003,0.0,0.0,20.0,0.9979825999243487
10,3000,1,3000,0.0,271.887560292851,13499.020048331275,298.0715262638944,0.0,0.0,20.0,0.9943260622872273
11,3300,1,3300,0.0,271.893721199397,13399.737374884267,298.87298157503494,0.0,0.0,20.0,0.9870129870129881
12,3600,1,3600,0.0,271.9,13399.737374884267,299.1907872269894,0.0,0.0,20.0,0.9870129870129881
13,3900,1,3900,0.0,271.90602887294085,13391.178523725026,299.3376616254987,0.0,0.0,20.0,0.9863825494893456
14,4200,1,4200,0.0,271.911429869186,13380.907902333956,299.409168221291,0.0,0.0,20.0,0.9856260244609759
