index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
0,0,1,0,0.0,17252.29642775498,293.15,271.82,0.0,0.0,22.0,0.9126213592233009
1,300,1,300,0.0,18722.96054711461,296.35752578125295,271.8280908161068,0.0,0.0,22.0,0.9904173496406518
2,600,1,600,0.0,18715.809830164726,298.23554902853846,271.8357342807924,0.0,0.0,22.0,0.990039087126467
3,900,1,900,0.0,18732.4948363811,299.1485088045275,271.84298691860465,0.0,0.0,22.0,0.9909216996595638
4,1200,1,1200,0.0,2130.913651065621,299.6079875415452,271.84990525409125,0.0,0.0,22.0,0.11272222922708366
5,1500,1,1500,0.0,157.31577289746193,296.04852510333876,271.8565458118002,0.0,0.0,22.0,0.00832177531206658
6,1800,1,1800,0.0,164.46648984734657,293.9030726663788,271.86296511627904,0.0,0.0,22.0,0.008700037826251424
7,2100,1,2100,0.0,157.31577289746193,292.87568560945635,271.8692196920758,0.0,0.0,22.0,0.00832177531206658
8,2400,1,2400,0.0,17788.60019899633,292.3651329830343,271.8753660637381,0.0,0.0,22.0,0.9409910477871644
9,2700,1,2700,0.0,18865.9748861123,296.13458625934874,271.8814607558139,0.0,0.0,22.0,0.9979825999243486
10,3000,1,3000,0.0,18796.851288930062,298.1749903699054,271.887560292851,0.0,0.0,22.0,0.9943260622872273
11,3300,1,3300,0.0,18658.604094565646,299.1366922874797,271.893721199397,0.0,0.0,22.0,0.9870129870129881
12,3600,1,3600,0.0,18658.604094565646,299.5720497214483,271.9,0.0,0.0,22.0,0.9870129870129881
13,3900,1,3900,0.0,18646.686232982483,299.79114504640324,271.90602887294085,0.0,0.0,22.0,0.9863825494893456
14,4200,1,4200,0.0,18632.384799082716,299.90361511544825,271.911429869186,0.0,0.0,22.0,0.985626024460976
15,4500,1,4500,0.0,18563.261201900506,299.9650042379115,271.916244322311,0.0,0.0,22.0,0.9819694868238562
16,4800,1,4800,0.0,1589.8427351910182,299.9891724671362,271.92051356589144,0.0,0.0,22.0,0.08410036565376383
17,5100,1,5100,0.0,135.86362204780804,296.12812584457726,271.9242789335029,0.0,0.0,22.0,0.007186987769512046
18,5400,1,5400,0.0,150.1650559475773,293.9472244474328,271.9275817587209,0.0,0.0,22.0,0.007943512797881734
19,5700,1,5700,0.0,143.01433899769265,292.8952398162502,271.9304633751211,0.0,0.0,22.0,0.007565250283696889
20,6000,1,6000,0.0,16987.71990060925,292.36533788940795,271.93296511627904,0.0,0.0,22.0,0.8986256461984616
21,6300,1,6300,0.0,18436.931869119224,295.9400957538482,271.9351283157703,0.0,0.0,22.0,0.975286849073258
22,6600,1,6600,0.0,18439.31544143583,297.9647370221616,271.9369943071705,0.0,0.0,22.0,0.975412936577985
23,6900,1,6900,0.0,18396.411139736523,298.92942705559614,271.9386044240552,0.0,0.0,22.0,0.9731433614928761
24,7200,1,7200,0.0,18377.342561203506,299.3829704530619,271.94,0.0,0.0,22.0,0.9721346614550503
25,7500,1,7500,0.0,18363.04112730374,299.60183218120534,271.93760844713745,0.0,0.0,22.0,0.9713781364266807
26,7800,1,7800,0.0,18329.671114870955,299.71170539217263,271.9282494668635,0.0,0.0,22.0,0.9696129113604853
27,8100,1,8100,0.0,18305.83539170466,299.762301220548,271.9125528266486,0.0,0.0,22.0,0.9683520363132018
28,8400,1,8400,0.0,18291.53395780489,299.7884578318996,271.8911482939632,0.0,0.0,22.0,0.9675955112848322
29,8700,1,8700,0.0,18367.808271936985,299.8048570310068,271.8646656362779,0.0,0.0,22.0,0.9716303114361368
30,9000,1,9000,0.0,18320.13682560443,299.83706393450876,271.83373462106294,0.0,0.0,22.0,0.9691085613415715
31,9300,1,9300,0.0,18367.808271936985,299.8480144058061,271.798985015789,0.0,0.0,22.0,0.9716303114361368
32,9600,1,9600,0.0,1937.8442934187356,299.87005297344547,271.7610465879265,0.0,0.0,22.0,0.10250914134409286
33,9900,1,9900,0.0,152.5486282642056,296.12800887733,271.72054910494586,0.0,0.0,22.0,0.008069600302610022
34,10200,1,10200,0.0,171.6172067972312,293.9251346048025,271.67812233431755,0.0,0.0,22.0,0.009078300340436269
35,10500,1,10500,0.0,169.23363448060286,292.861157126118,271.63439604351214,0.0,0.0,22.0,0.00895221283570798
36,10800,1,10800,0.0,17421.530062235604,292.32346052156123,271.59,0.0,0.0,22.0,0.92157357205901
37,11100,1,11100,0.0,18756.330559547394,295.9860563472123,271.535403277293,0.0,0.0,22.0,0.9921825747068472
38,11400,1,11400,0.0,18703.891968581564,298.02313161837037,271.46326913527696,0.0,0.0,22.0,0.9894086496028245
39,11700,1,11700,0.0,18715.809830164726,298.97833325526034,271.37751862098315,0.0,0.0,22.0,0.990039087126467
40,12000,1,12000,0.0,18789.70057198018,299.4368335928858,271.2820727814428,0.0,0.0,22.0,0.9939477997730426
41,12300,1,12300,0.0,18818.303439779716,299.67635124773574,271.1808526636873,0.0,0.0,22.0,0.9954608498297819
42,12600,1,12600,0.0,18904.11204317833,299.8011751611694,271.0777793147478,0.0,0.0,22.0,1.0
43,12900,1,12900,0.0,18894.57775391184,299.8851446845863,270.97677378165565,0.0,0.0,22.0,0.999495649981088
44,13200,1,13200,0.0,1782.9120928379032,299.9283307501483,270.88175711144214,0.0,0.0,22.0,0.09431345353675463
45,13500,1,13500,0.0,152.5486282642056,296.04048767516474,270.7966503511385,0.0,0.0,22.0,0.008069600302610022
46,13800,1,13800,0.0,157.31577289746193,293.80270604477704,270.7253745477761,0.0,0.0,22.0,0.00832177531206658
