index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,totalHeatingPower.y,weaBus.HDifHor,roomTempUpperSetpoint,thermalZone.TAir,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,0.0,21973.02675367416,0.0,24.0,293.15,0.0,270.84,0.9126213592233008
1,300,1,300,0.0,23846.10737083597,0.0,24.0,297.40347706789873,0.0,270.82701932870367,0.9904173496406518
2,600,1,600,0.0,23837.00000965042,0.0,24.0,299.87815146616094,0.0,270.81392129629626,0.9900390871264669
3,900,1,900,0.0,23858.250519083344,0.0,24.0,301.0786339523804,0.0,270.80072187499997,0.9909216996595637
4,1200,1,1200,0.0,2713.993633294379,0.0,24.0,301.6835635109096,0.0,270.787437037037,0.11272222922708366
5,1500,1,1500,0.0,200.36194608213535,0.0,24.0,297.1577969258583,0.0,270.7740827546296,0.00832177531206658
6,1800,1,1800,0.0,209.46930726768696,0.0,24.0,294.4392354975652,0.0,270.760675,0.008700037826251424
7,2100,1,2100,0.0,200.36194608213535,0.0,24.0,293.1378881920914,0.0,270.74722974537036,0.00832177531206658
8,2400,1,2400,0.0,22656.07884259053,0.0,24.0,292.49430104437073,0.0,270.73376296296294,0.9409910477871641
9,2700,1,2700,0.0,24028.254594547,0.0,24.0,297.30341722178633,0.0,270.72029062499996,0.9979825999243486
10,3000,1,3000,0.0,23940.216769753308,0.0,24.0,299.90784202030653,0.0,270.7068287037037,0.9943260622872273
11,3300,1,3300,0.0,23764.141120166005,0.0,24.0,301.1410957931939,0.0,270.6933931712963,0.9870129870129881
12,3600,1,3600,0.0,23764.141120166005,0.0,24.0,301.7047031296694,0.0,270.67999999999995,0.9870129870129881
13,3900,1,3900,0.0,23748.962184856722,0.0,24.0,301.9908271071465,0.0,270.6665203883495,0.9863825494893455
14,4200,1,4200,0.0,23730.747462485622,0.0,24.0,302.1428053124009,0.0,270.6528317152103,0.9856260244609759
15,4500,1,4500,0.0,23642.70963769197,0.0,24.0,302.2290576732624,0.0,270.63895922330096,0.9819694868238563
16,4800,1,4800,0.0,2024.8699702543088,0.0,24.0,302.2678724339243,0.0,270.6249281553398,0.08410036565376383
17,5100,1,5100,0.0,173.03986252548052,0.0,24.0,297.3529735615623,0.0,270.6107637540453,0.007186987769512045
18,5400,1,5400,0.0,191.25458489658374,0.0,24.0,294.5874161451807,0.0,270.5964912621359,0.007943512797881734
19,5700,1,5700,0.0,182.14722371103213,0.0,24.0,293.2557046214204,0.0,270.58213592233005,0.00756525028369689
20,6000,1,6000,0.0,21636.054389808753,0.0,24.0,292.5897778861537,0.0,270.56772297734625,0.8986256461984617
21,6300,1,6300,0.0,23481.812923413905,0.0,24.0,297.14942722203955,0.0,270.5532776699029,0.9752868490732579
22,6600,1,6600,0.0,23484.84871047573,0.0,24.0,299.7352437439694,0.0,270.5388252427184,0.9754129365779851
23,6900,1,6900,0.0,23430.20454336242,0.0,24.0,300.9726499134856,0.0,270.5243909385113,0.9731433614928761
24,7200,1,7200,0.0,23405.918246867626,0.0,24.0,301.5585059660388,0.0,270.51,0.9721346614550502
25,7500,1,7500,0.0,23387.703524496526,0.0,24.0,301.84615012920625,0.0,270.49370276227603,0.9713781364266807
26,7800,1,7800,0.0,23345.20250563063,0.0,24.0,301.99196430622163,0.0,270.47363669953876,0.9696129113604852
27,8100,1,8100,0.0,23314.844635012112,0.0,24.0,302.0660914793434,0.0,270.44995776316796,0.9683520363132019
28,8400,1,8400,0.0,23296.62991264101,0.0,24.0,302.10762452166114,0.0,270.42282190454347,0.9675955112848322
29,8700,1,8700,0.0,23393.77509862021,0.0,24.0,302.1370027340039,0.0,270.3923850750452,0.9716303114361367
30,9000,1,9000,0.0,23333.059357383216,0.0,24.0,302.18585804921327,0.0,270.35880322605306,0.9691085613415716
31,9300,1,9300,0.0,23393.77509862021,0.0,24.0,302.2081625090562,0.0,270.3222323089468,0.9716303114361367
32,9600,1,9600,0.0,2468.0948812844854,0.0,24.0,302.24478885572677,0.0,270.28282827510634,0.10250914134409286
33,9900,1,9900,0.0,194.2903719584344,0.0,24.0,297.4875918586208,0.0,270.2407470759116,0.008069600302610022
34,10200,1,10200,0.0,218.57666845323857,0.0,24.0,294.69028827663305,0.0,270.19614466274237,0.009078300340436269
35,10500,1,10500,0.0,215.54088139138784,0.0,24.0,293.3414945984322,0.0,270.14917698697855,0.00895221283570798
36,10800,1,10800,0.0,22188.567635065578,0.0,24.0,292.66366506813534,0.0,270.09999999999997,0.92157357205901
37,11100,1,11100,0.0,23888.60838970186,0.0,24.0,297.33404239141305,0.0,270.03340929133856,0.992182574706847
38,11400,1,11400,0.0,23821.821074341136,0.0,24.0,299.9364802025356,0.0,269.93795695538057,0.9894086496028243
39,11700,1,11700,0.0,23837.00000965042,0.0,24.0,301.16152457144074,0.0,269.8194337007874,0.9900390871264669
40,12000,1,12000,0.0,23931.109408567758,0.0,24.0,301.7544831959451,0.0,269.68363023622044,0.9939477997730425
41,12300,1,12300,0.0,23967.538853309965,0.0,24.0,302.06482756022706,0.0,269.53633727034116,0.9954608498297819
42,12600,1,12600,0.0,24076.827187536583,0.0,24.0,302.23018291511283,0.0,269.383345511811,1.0
43,12900,1,12900,0.0,24064.684039289208,0.0,24.0,302.3429046704094,0.0,269.2304456692913,0.999495649981088
44,13200,1,13200,0.0,2270.768722264202,0.0,24.0,302.4030724655947,0.0,269.0834284514435,0.09431345353675463
45,13500,1,13500,0.0,194.2903719584344,0.0,24.0,297.45139896228534,0.0,268.9480845669291,0.008069600302610022
46,13800,1,13800,0.0,200.36194608213535,0.0,24.0,294.6093996080704,0.0,268.83020472440944,0.00832177531206658
47,14100,1,14100,0.0,203.39773314398602,0.0,24.0,293.23129792715645,0.0,268.7355796325459,0.008447862816794867
48,14400,1,14400,0.0,203.39773314398602,0.0,24.0,292.5425560998956,0.0,268.66999999999996,0.008447862816794867
49,14700,1,14700,0.0,200.36194608213535,0.0,24.0,292.1801337834804,0.0,268.6222788100137,0.00832177531206658
50,15000,1,15000,0.0,188.21879783473307,0.0,24.0,291.97131726342207,0.0,268.5773360768175,0.007817425293153447
51,15300,1,15300,0.0,185.18301077288282,0.0,24.0,291.8350584443788,0.0,268.5351230555555,0.007691337788425178
52,15600,1,15600,0.0,21957.847818364924,0.0,24.0,291.73470119441083,0.0,268.49559100137174,0.9119909216996601
