index,seconds_of_day,day_of_year,timestamp,weaBus.TDryBul,weaBus.HDirNor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,u
0,0,1,0,270.84,0.0,0.0,24.0,20860.2355016155,293.15,0.0,0.912621359223301
1,300,1,300,270.82701932870367,0.0,0.0,24.0,22638.45673738463,298.6305386864496,0.0,0.9904173496406518
2,600,1,600,270.81392129629626,0.0,0.0,24.0,22629.81060495788,301.40207465265956,0.0,0.990039087126467
3,900,1,900,270.80072187499997,0.0,0.0,24.0,22649.98491395361,302.56210655030907,0.0,0.9909216996595637
4,1200,1,1200,270.787437037037,0.0,0.0,24.0,2576.547463172737,303.08703792064387,0.0,0.11272222922708366
5,1500,1,1500,270.7740827546296,0.0,0.0,24.0,190.21491338859133,297.2368663309643,0.0,0.00832177531206658
6,1800,1,1800,270.760675,0.0,0.0,24.0,198.86104581534548,294.174454800752,0.0,0.008700037826251424
7,2100,1,2100,270.74722974537036,0.0,0.0,24.0,190.21491338859133,292.9280333622964,0.0,0.00832177531206658
8,2400,1,2400,270.73376296296294,0.0,0.0,24.0,21508.695433622062,292.3888550321412,0.0,0.9409910477871642
9,2700,1,2700,270.72029062499996,0.0,0.0,24.0,22811.379385919714,298.61566451952825,0.0,0.9979825999243487
10,3000,1,3000,270.7068287037037,0.0,0.0,24.0,22727.800105794395,301.50816574716384,0.0,0.9943260622872272
11,3300,1,3300,270.6933931712963,0.0,0.0,24.0,22560.641545543844,302.6675021916712,0.0,0.9870129870129882
12,3600,1,3600,270.67999999999995,0.0,0.0,24.0,22560.641545543844,303.1114702506518,0.0,0.9870129870129882
13,3900,1,3900,270.6665203883495,0.0,0.0,24.0,22546.23132483256,303.32171203329887,0.0,0.9863825494893456
14,4200,1,4200,270.6528317152103,0.0,0.0,24.0,22528.939059979053,303.43320742915165,0.0,0.985626024460976
15,4500,1,4500,270.63895922330096,0.0,0.0,24.0,22445.359779853774,303.5020059874103,0.0,0.9819694868238563
16,4800,1,4800,270.6249281553398,0.0,0.0,24.0,1922.3234428816743,303.53136074491965,0.0,0.08410036565376383
17,5100,1,5100,270.6107637540453,0.0,0.0,24.0,164.27651610832888,297.3188467278719,0.0,0.007186987769512047
18,5400,1,5400,270.5964912621359,0.0,0.0,24.0,181.56878096183715,294.2759857722831,0.0,0.007943512797881734
19,5700,1,5700,270.58213592233005,0.0,0.0,24.0,172.922648535083,293.01520246869705,0.0,0.00756525028369689
20,6000,1,6000,270.56772297734625,0.0,0.0,24.0,20540.328601825597,292.4500478740882,0.0,0.8986256461984616
21,6300,1,6300,270.5532776699029,0.0,0.0,24.0,22292.611440314464,298.3565648845771,0.0,0.9752868490732579
22,6600,1,6600,270.5388252427184,0.0,0.0,24.0,22295.49348445669,301.24022420032276,0.0,0.9754129365779851
23,6900,1,6900,270.5243909385113,0.0,0.0,24.0,22243.616689896164,302.40526432717746,0.0,0.9731433614928761
24,7200,1,7200,270.51,0.0,0.0,24.0,22220.560336758164,302.8723048116834,0.0,0.9721346614550502
25,7500,1,7500,270.49370276227603,0.0,0.0,24.0,22203.26807190466,303.0724468192765,0.0,0.9713781364266807
26,7800,1,7800,270.47363669953876,0.0,0.0,24.0,22162.919453913153,303.1668726810596,0.0,0.9696129113604853
27,8100,1,8100,270.44995776316796,0.0,0.0,24.0,22134.099012490624,303.2114681224168,0.0,0.9683520363132019
28,8400,1,8400,270.42282190454347,0.0,0.0,24.0,22116.806747637118,303.2384213154359,0.0,0.9675955112848322
29,8700,1,8700,270.3923850750452,0.0,0.0,24.0,22209.03216018915,303.2604016304099,0.0,0.9716303114361367
30,9000,1,9000,270.35880322605306,0.0,0.0,24.0,22151.391277344133,303.3125037342377,0.0,0.9691085613415716
31,9300,1,9300,270.3222323089468,0.0,0.0,24.0,22209.03216018915,303.3304092834358,0.0,0.9716303114361367
32,9600,1,9600,270.28282827510634,0.0,0.0,24.0,2343.101887650375,303.36835011278237,0.0,0.10250914134409286
