index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,totalHeatingPower.y,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,weaDat.weaBus.HGloHor,thermalZone.TAir,u
0,0,1,0,0.0,27359.218606256076,23.5,0.0,271.82,0.0,293.15,0.9126213592233009
1,300,1,300,0.0,29691.44268473912,23.5,0.0,271.8280908161068,0.0,297.01924699796535,0.9904173496406518
2,600,1,600,0.0,29680.102859398034,23.5,0.0,271.8357342807924,0.0,299.35583246571065,0.9900390871264669
3,900,1,900,0.0,29706.562451860533,23.5,0.0,271.84298691860465,0.0,300.55500528350683,0.9909216996595639
4,1200,1,1200,0.0,3379.2679516431263,23.5,0.0,271.84990525409125,0.0,301.18916622692257,0.11272222922708366
5,1500,1,1500,0.0,249.47615750385495,23.5,0.0,271.8565458118002,0.0,297.2040069941304,0.00832177531206658
6,1800,1,1800,0.0,260.8159828449393,23.5,0.0,271.86296511627904,0.0,294.67240479368724,0.008700037826251424
7,2100,1,2100,0.0,249.47615750385495,23.5,0.0,271.8692196920758,0.0,293.33873402758064,0.00832177531206658
8,2400,1,2400,0.0,28209.7055068374,23.5,0.0,271.8753660637381,0.0,292.5716918430984,0.9409910477871642
9,2700,1,2700,0.0,29918.239191560806,23.5,0.0,271.8814607558139,0.0,296.6727850329423,0.9979825999243487
10,3000,1,3000,0.0,29808.620879930288,23.5,0.0,271.887560292851,0.0,298.9314381557232,0.9943260622872273
11,3300,1,3300,0.0,29589.384256669357,23.5,0.0,271.893721199397,0.0,300.0120766748179,0.987012987012988
12,3600,1,3600,0.0,29589.384256669357,23.5,0.0,271.9,0.0,300.5033239981544,0.987012987012988
13,3900,1,3900,0.0,29570.484547767515,23.5,0.0,271.90602887294085,0.0,300.7416330861236,0.9863825494893456
14,4200,1,4200,0.0,29547.80489708535,23.5,0.0,271.911429869186,0.0,300.84928137366086,0.9856260244609759
15,4500,1,4500,0.0,29438.186585454885,23.5,0.0,271.916244322311,0.0,300.890795734461,0.9819694868238563
16,4800,1,4800,0.0,2521.2211675010817,23.5,0.0,271.92051356589144,0.0,300.8834967011301,0.08410036565376383
17,5100,1,5100,0.0,215.45668148060201,23.5,0.0,271.9242789335029,0.0,296.4496678403004,0.007186987769512046
18,5400,1,5400,0.0,238.13633216277063,23.5,0.0,271.9275817587209,0.0,293.808311825732,0.007943512797881734
19,5700,1,5700,0.0,226.7965068216863,23.5,0.0,271.9304633751211,0.0,292.4116894785617,0.00756525028369689
20,6000,1,6000,0.0,26939.645068635957,23.5,0.0,271.93296511627904,0.0,291.6085136863137,0.8986256461984616
21,6300,1,6300,0.0,29237.849671095748,23.5,0.0,271.9351283157703,0.0,295.49274714177585,0.975286849073258
22,6600,1,6600,0.0,29241.629612876073,23.5,0.0,271.9369943071705,0.0,297.7475381054145,0.9754129365779851
23,6900,1,6900,0.0,29173.590660829566,23.5,0.0,271.9386044240552,0.0,298.8551399480265,0.9731433614928761
24,7200,1,7200,0.0,29143.35112658669,23.5,0.0,271.94,0.0,299.3981416936058,0.9721346614550503
25,7500,1,7500,0.0,29120.671475904524,23.5,0.0,271.93760844713745,0.0,299.6711749696714,0.9713781364266807
26,7800,1,7800,0.0,29067.752290979482,23.5,0.0,271.9282494668635,0.0,299.8111714052599,0.9696129113604853
27,8100,1,8100,0.0,29029.952873175847,23.5,0.0,271.9125528266486,0.0,299.87866158566527,0.9683520363132019
28,8400,1,8400,0.0,29007.27322249368,23.5,0.0,271.8911482939632,0.0,299.9115503673096,0.9675955112848322
29,8700,1,8700,0.0,29128.23135946523,23.5,0.0,271.8646656362779,0.0,299.9278554870589,0.9716303114361367
30,9000,1,9000,0.0,29052.632523858018,23.5,0.0,271.83373462106294,0.0,299.9583702354541,0.9691085613415716
31,9300,1,9300,0.0,29128.23135946523,23.5,0.0,271.798985015789,0.0,299.9628419504538,0.9716303114361367
32,9600,1,9600,0.0,3073.09266743385,23.5,0.0,271.7610465879265,0.0,299.97840599150305,0.10250914134409286
33,9900,1,9900,0.0,241.91627394313224,23.5,0.0,271.72054910494586,0.0,295.70936517226096,0.008069600302610022
34,10200,1,10200,0.0,272.1558081860236,23.5,0.0,271.67812233431755,0.0,293.0794873670586,0.009078300340436269
35,10500,1,10500,0.0,268.37586640566195,23.5,0.0,271.63439604351214,0.0,291.7012402334325,0.00895221283570798
36,10800,1,10800,0.0,27627.59447266177,23.5,0.0,271.59,0.0,290.92493740083154,0.92157357205901
37,11100,1,11100,0.0,29744.36186966416,23.5,0.0,271.535403277293,0.0,294.9412314990821,0.9921825747068471
38,11400,1,11400,0.0,29661.203150496192,23.5,0.0,271.46326913527696,0.0,297.2450465100187,0.9894086496028244
39,11700,1,11700,0.0,29680.102859398034,23.5,0.0,271.37751862098315,0.0,298.3750726286768,0.9900390871264669
40,12000,1,12000,0.0,29797.281054589203,23.5,0.0,271.2820727814428,0.0,298.95379137849403,0.9939477997730425
41,12300,1,12300,0.0,29842.640355953543,23.5,0.0,271.1808526636873,0.0,299.2785367643866,0.9954608498297819
42,12600,1,12600,0.0,29978.718260046553,23.5,0.0,271.0777793147478,0.0,299.46561260595655,1.0
43,12900,1,12900,0.0,29963.59849292514,23.5,0.0,270.97677378165565,0.0,299.59710755852893,0.999495649981088
44,13200,1,13200,0.0,2827.396451710358,23.5,0.0,270.88175711144214,0.0,299.6741467045174,0.09431345353675463
45,13500,1,13500,0.0,241.91627394313224,23.5,0.0,270.7966503511385,0.0,295.2704752164986,0.008069600302610022
46,13800,1,13800,0.0,249.47615750385495,23.5,0.0,270.7253745477761,0.0,292.62307087253635,0.00832177531206658
47,14100,1,14100,0.0,253.25609928421656,23.5,0.0,270.67185074838613,0.0,291.23657201816206,0.008447862816794867
48,14400,1,14400,0.0,253.25609928421656,23.5,0.0,270.64,0.0,290.4655969735711,0.008447862816794867
49,14700,1,14700,0.0,249.47615750385495,23.5,0.0,270.62191008756844,0.0,289.9994810282591,0.00832177531206658
50,15000,1,15000,0.0,234.35639038240902,23.5,0.0,270.6068870779176,0.0,289.6874809981318,0.007817425293153447
51,15300,1,15300,0.0,230.57644860204795,23.5,0.0,270.59467944089124,0.0,289.452867649894,0.007691337788425178
52,15600,1,15600,0.0,27340.318897354286,23.5,0.0,270.5850356463333,0.0,289.26775012670856,0.9119909216996601
53,15900,1,15900,0.0,29596.944140230065,23.5,0.0,270.5777041640877,0.0,293.56009496746225,0.9872651620224442
54,16200,1,16200,0.0,29653.643266935487,23.5,0.0,270.5724334639983,0.0,296.04803040168207,0.9891564745933684
55,16500,1,16500,0.0,29634.743558033697,23.5,0.0,270.568972015909,0.0,297.3154316616158,0.9885260370697275
56,16800,1,16800,0.0,29585.60431488898,23.5,0.0,270.56706828966367,0.0,297.9773562936016,0.9868868995082593
57,17100,1,17100,0.0,29630.963616253317,23.5,0.0,270.56647075510625,0.0,298.33647876648126,0.9883999495649987
58,17400,1,17400,0.0,29683.88280117836,23.5,0.0,270.5669278820805,0.0,298.5581534673423,0.990165174631194
59,17700,1,17700,0.0,29782.161287467792,23.5,0.0,270.5681881404305,0.0,298.71155702056035,0.9934434497541305
60,18000,1,18000,0.0,3084.432492774934,23.5,0.0,270.57,0.0,298.8323291282168,0.1028874038582777
61,18300,1,18300,0.0,249.47615750385495,23.5,0.0,270.5730275376131,0.0,294.53718448564075,0.00832177531206658
62,18600,1,18600,0.0,260.8159828449393,23.5,0.0,270.5778463007044,0.0,291.9197715844093,0.008700037826251424
63,18900,1,18900,0.0,238.13633216277063,23.5,0.0,270.5840719650332,0.0,290.56090709871904,0.007943512797881734
64,19200,1,19200,0.0,27427.25755830258,23.5,0.0,270.59132020635917,0.0,289.813379704737,0.9148909343084098
65,19500,1,19500,0.0,29487.3258285996,23.5,0.0,270.5992067004417,0.0,293.8338953848735,0.9836086243853246
66,19800,1,19800,0.0,29494.885712160307,23.5,0.0,270.60734712304026,0.0,296.14727561712857,0.9838607993947805
67,20100,1,20100,0.0842527777777778,29468.42611969776,23.5,0.04161634460547504,270.6153571499144,0.09394733061218336,297.3155427589195,0.982978186861682
68,20400,1,20400,0.3445555555555556,2475.8618661367445,23.5,0.1614331723027375,270.6228524568235,0.38033183927552594,297.9220847491179,0.08258731559702445
