index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,totalHeatingPower.y,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,weaDat.weaBus.HGloHor,thermalZone.TAir,u
0,0,1,0,0.0,33658.49727864104,23.5,0.0,270.84,0.0,293.15,0.9126213592233008
1,300,1,300,0.0,36527.70048683693,23.5,0.0,270.82701932870367,0.0,297.9379712777734,0.9904173496406516
2,600,1,600,0.0,36513.74974190244,23.5,0.0,270.81392129629626,0.0,300.82736719895644,0.9900390871264669
3,900,1,900,0.0,36546.3014800829,23.5,0.0,270.80072187499997,0.0,302.31546043616925,0.9909216996595638
4,1200,1,1200,0.0,4157.321990481502,23.5,0.0,270.787437037037,0.0,303.1091590136095,0.11272222922708366
5,1500,1,1500,0.0,306.9163885590371,23.5,0.0,270.7740827546296,0.0,298.2008209380763,0.00832177531206658
6,1800,1,1800,0.0,320.8671334935388,23.5,0.0,270.760675,0.0,295.1000703366455,0.008700037826251424
7,2100,1,2100,0.0,306.9163885590371,23.5,0.0,270.74722974537036,0.0,293.47660209939147,0.00832177531206658
8,2400,1,2400,0.0,34704.80314872867,23.5,0.0,270.73376296296294,0.0,292.5593245091433,0.9409910477871642
9,2700,1,2700,0.0,36806.71538552697,23.5,0.0,270.72029062499996,0.0,297.65092794698256,0.9979825999243487
10,3000,1,3000,0.0,36671.85818449341,23.5,0.0,270.7068287037037,0.0,300.47121239818114,0.9943260622872273
11,3300,1,3300,0.0,36402.14378242642,23.5,0.0,270.6933931712963,0.0,301.83787879749565,0.9870129870129882
12,3600,1,3600,0.0,36402.14378242642,23.5,0.0,270.67999999999995,0.0,302.4750370297798,0.9870129870129882
13,3900,1,3900,0.0,36378.892540868874,23.5,0.0,270.6665203883495,0.0,302.7970266222057,0.9863825494893456
14,4200,1,4200,0.0,36350.99105099987,23.5,0.0,270.6528317152103,0.0,302.95799934682236,0.9856260244609759
15,4500,1,4500,0.0,36216.133849966376,23.5,0.0,270.63895922330096,0.0,303.0349132318921,0.9819694868238563
16,4800,1,4800,0.0,3101.7156237708773,23.5,0.0,270.6249281553398,0.0,303.05042583199213,0.08410036565376383
17,5100,1,5100,0.0,265.06415375553206,23.5,0.0,270.6107637540453,0.0,297.5983254404792,0.007186987769512047
18,5400,1,5400,0.0,292.9656436245354,23.5,0.0,270.5964912621359,0.0,294.36677616503556,0.007943512797881734
19,5700,1,5700,0.0,279.0148986900337,23.5,0.0,270.58213592233005,0.0,292.66516738183896,0.00756525028369689
20,6000,1,6000,0.0,33142.319716064485,23.5,0.0,270.56772297734625,0.0,291.7005882980446,0.8986256461984617
21,6300,1,6300,0.0,35969.67068945687,23.5,0.0,270.5532776699029,0.0,296.5185570480725,0.975286849073258
22,6600,1,6600,0.0,35974.32093776832,23.5,0.0,270.5388252427184,0.0,299.3268785825135,0.975412936577985
23,6900,1,6900,0.0,35890.616468161315,23.5,0.0,270.5243909385113,0.0,300.7159134558968,0.9731433614928761
24,7200,1,7200,0.0,35853.41448166933,23.5,0.0,270.51,0.0,301.4039274548849,0.9721346614550502
25,7500,1,7500,0.0,35825.51299180033,23.5,0.0,270.49370276227603,0.0,301.75666735705283,0.9713781364266807
26,7800,1,7800,0.0,35760.40951543934,23.5,0.0,270.47363669953876,0.0,301.944834979053,0.9696129113604853
27,8100,1,8100,0.0,35713.907032324314,23.5,0.0,270.44995776316796,0.0,302.04384688556127,0.9683520363132019
28,8400,1,8400,0.0,35686.005542455314,23.5,0.0,270.42282190454347,0.0,302.0970295271636,0.9675955112848322
29,8700,1,8700,0.0,35834.81348842331,23.5,0.0,270.3923850750452,0.0,302.1301945210648,0.9716303114361367
30,9000,1,9000,0.0,35741.80852219332,23.5,0.0,270.35880322605306,0.0,302.1798351715819,0.9691085613415716
31,9300,1,9300,0.0,35834.81348842331,23.5,0.0,270.3222323089468,0.0,302.1974191211303,0.9716303114361367
32,9600,1,9600,0.0,3780.651877249957,23.5,0.0,270.28282827510634,0.0,302.22805991935746,0.10250914134409286
33,9900,1,9900,0.0,297.6158919360362,23.5,0.0,270.2407470759116,0.0,296.966037281926,0.008069600302610022
34,10200,1,10200,0.0,334.8178784280405,23.5,0.0,270.19614466274237,0.0,293.73494889223497,0.009078300340436269
35,10500,1,10500,0.0,330.16763011653967,23.5,0.0,270.14917698697855,0.0,292.0469049794046,0.00895221283570798
36,10800,1,10800,0.0,33988.66490875763,23.5,0.0,270.09999999999997,0.0,291.10205267265087,0.9215735720590101
37,11100,1,11100,0.0,36592.80396319792,23.5,0.0,270.03340929133856,0.0,296.07267694998774,0.992182574706847
38,11400,1,11400,0.0,36490.49850034489,23.5,0.0,269.93795695538057,0.0,298.92988080133506,0.9894086496028244
39,11700,1,11700,0.0,36513.74974190244,23.5,0.0,269.8194337007874,0.0,300.3372556825918,0.9900390871264669
40,12000,1,12000,0.0,36657.90743955891,23.5,0.0,269.68363023622044,0.0,301.06147862400593,0.9939477997730426
41,12300,1,12300,0.0,36713.71041929692,23.5,0.0,269.53633727034116,0.0,301.46946752604333,0.995460849829782
42,12600,1,12600,0.0,36881.119358510936,23.5,0.0,269.383345511811,0.0,301.7062828073742,1.0
43,12900,1,12900,0.0,36862.51836526497,23.5,0.0,269.2304456692913,0.0,301.87281937320586,0.9994956499810879
44,13200,1,13200,0.0,3478.385737002423,23.5,0.0,269.0834284514435,0.0,301.9715061701187,0.09431345353675463
45,13500,1,13500,0.0,297.6158919360362,23.5,0.0,268.9480845669291,0.0,296.53553008236486,0.008069600302610022
46,13800,1,13800,0.0,306.9163885590371,23.5,0.0,268.83020472440944,0.0,293.27546203754537,0.00832177531206658
47,14100,1,14100,0.0,311.5666368705379,23.5,0.0,268.7355796325459,0.0,291.5709887865112,0.008447862816794867
48,14400,1,14400,0.0,311.5666368705379,23.5,0.0,268.66999999999996,0.0,290.6248779787072,0.008447862816794867
49,14700,1,14700,0.0,306.9163885590371,23.5,0.0,268.6222788100137,0.0,290.05631181546437,0.00832177531206658
50,15000,1,15000,0.0,288.3153953130346,23.5,0.0,268.5773360768175,0.0,289.6797856890735,0.007817425293153447
51,15300,1,15300,0.0,283.66514700153454,23.5,0.0,268.5351230555555,0.0,289.4008480618146,0.007691337788425179
52,15600,1,15600,0.0,33635.24603708357,23.5,0.0,268.49559100137174,0.0,289.1773774239636,0.9119909216996602
53,15900,1,15900,0.0,36411.4442790494,23.5,0.0,268.45869116941014,0.0,294.4802592377334,0.9872651620224441
54,16200,1,16200,0.0,36481.19800372191,23.5,0.0,268.42437481481477,0.0,297.55614626196655,0.9891564745933684
55,16500,1,16500,0.0,36457.94676216443,23.5,0.0,268.39259319272975,0.0,299.12545930826553,0.9885260370697276
56,16800,1,16800,0.0,36397.493534114896,23.5,0.0,268.363297558299,0.0,299.94444365591335,0.9868868995082593
57,17100,1,17100,0.0,36453.2965138529,23.5,0.0,268.33643916666665,0.0,300.3874683821165,0.9883999495649987
58,17400,1,17400,0.0,36518.39999021389,23.5,0.0,268.3119692729767,0.0,300.66095788368176,0.990165174631194
59,17700,1,17700,0.0,36639.30644631295,23.5,0.0,268.2898391323731,0.0,300.84718755619775,0.9934434497541305
60,18000,1,18000,0.0,3794.6026221844586,23.5,0.0,268.27,0.0,300.99581199959846,0.1028874038582777
61,18300,1,18300,0.0,306.9163885590371,23.5,0.0,268.25040019393595,0.0,295.68791013847823,0.00832177531206658
62,18600,1,18600,0.0,320.8671334935388,23.5,0.0,268.22948181259164,0.0,292.45763110871104,0.008700037826251424
63,18900,1,18900,0.0,292.9656436245354,23.5,0.0,268.2079367816092,0.0,290.782628758528,0.007943512797881734
64,19200,1,19200,0.0,33742.20174824806,23.5,0.0,268.1864570266307,0.0,289.86172029048396,0.9148909343084101
65,19500,1,19500,0.0,36276.58707801591,23.5,0.0,268.1657344732983,0.0,294.8261634451285,0.9836086243853247
66,19800,1,19800,0.0,36285.88757463889,23.5,0.0,268.14646104725415,0.0,297.68586001178926,0.9838607993947807
67,20100,1,20100,0.0,36253.33583645836,23.5,0.0,268.12932867414025,0.0,299.12776895908974,0.982978186861682
68,20400,1,20400,0.0,3045.9126440328705,23.5,0.0,268.11502927959884,0.0,299.87560798603687,0.08258731559702445
69,20700,1,20700,0.0,279.0148986900337,23.5,0.0,268.10425478927203,0.0,294.81937005632875,0.00756525028369689
70,21000,1,21000,0.0,279.0148986900337,23.5,0.0,268.0976971288018,0.0,291.836867082231,0.00756525028369689
71,21300,1,21300,0.0,292.9656436245354,23.5,0.0,268.09604822383045,0.0,290.29353286804076,0.007943512797881734
72,21600,1,21600,0.0,33109.767977884025,23.5,0.0,268.09999999999997,0.0,289.4531518659961,0.8977430336653649
73,21900,1,21900,0.0,36276.58707801591,23.5,0.0,268.10772019382466,0.0,294.36551091606844,0.9836086243853247
74,22200,1,22200,0.0,36369.592044245896,23.5,0.0,268.11681428893394,0.0,297.30727880328334,0.9861303744798896
75,22500,1,22500,0.0,36481.19800372191,23.5,0.0,268.127130831643,0.0,298.8139454452185,0.9891564745933684
76,22800,1,22800,0.0,4138.720997235498,23.5,0.0,268.13851836826683,0.0,299.6249964233384,0.11221787920817046
77,23100,1,23100,0.0,288.3153953130346,23.5,0.0,268.1508254451206,0.0,294.7503679556314,0.007817425293153447
78,23400,1,23400,0.0,297.6158919360362,23.5,0.0,268.16390060851927,0.0,291.68534521292827,0.008069600302610022
79,23700,1,23700,0.6767618312757203,302.2661402475363,23.5,0.03935185185185185,268.17759240477795,0.682568026834529,290.1111260536762,0.008195687807338292
80,24000,1,24000,2.5745884773662553,34095.62061992212,23.5,0.14814814814814814,268.19174938021183,2.596363760679194,289.2639687618332,0.92447358466776
