index,seconds_of_day,day_of_year,timestamp,weaBus.TDryBul,weaBus.HDirNor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,u
0,0,1,0,277.22999999999996,0.0,0.0,22.0,15755.751219415775,293.15,0.0,0.9126213592233009
1,300,1,300,277.25013364438655,0.0,0.0,22.0,17098.843026873594,297.3632956585094,0.0,0.9904173496406519
2,600,1,600,277.2697410300926,0.0,0.0,22.0,17092.312596691463,299.5543170541597,0.0,0.9900390871264669
3,900,1,900,277.2888818359375,0.0,0.0,22.0,17107.55026711641,300.52236686693175,0.0,0.9909216996595637
4,1200,1,1200,277.30761574074074,0.0,0.0,22.0,1946.0681942743454,300.98565788599444,0.0,0.11272222922708366
5,1500,1,1500,277.3260024233217,0.0,0.0,22.0,143.66946400683088,296.56533216233083,0.0,0.00832177531206658
6,1800,1,1800,277.3441015625,0.0,0.0,22.0,150.19989418895955,294.159809777753,0.0,0.008700037826251424
7,2100,1,2100,277.36197283709487,0.0,0.0,22.0,143.66946400683088,293.082965316144,0.0,0.00832177531206658
8,2400,1,2400,277.3796759259259,0.0,0.0,22.0,16245.533483075425,292.5302662554602,0.0,0.9409910477871642
9,2700,1,2700,277.3972705078125,0.0,0.0,22.0,17229.451630516167,297.1388823370605,0.0,0.9979825999243487
10,3000,1,3000,277.41481626157406,0.0,0.0,22.0,17166.324138755568,299.2973844145558,0.0,0.9943260622872273
11,3300,1,3300,277.43237286603005,0.0,0.0,22.0,17040.069155234432,300.1739524835723,0.0,0.987012987012988
12,3600,1,3600,277.45,0.0,0.0,22.0,17040.069155234432,300.51531346419284,0.0,0.987012987012988
13,3900,1,3900,277.46751139322913,0.0,0.0,22.0,17029.185104930864,300.67576448982885,0.0,0.9863825494893455
14,4200,1,4200,277.4846366003788,0.0,0.0,22.0,17016.12424456661,300.752768881524,0.0,0.985626024460976
15,4500,1,4500,277.50130903764205,0.0,0.0,22.0,16952.99675280604,300.7921247704001,0.0,0.9819694868238562
16,4800,1,4800,277.5174621212121,0.0,0.0,22.0,1451.9323104932769,300.79707952827016,0.0,0.08410036565376383
